Codigo comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;35,53;23,78;5,05;5,63;5,42;5,81;8,36;4,90;6,50;4,13;3,16;3,04;4,14;5,58;5,02;4,99;1,06;;
01200;Arabako Lautada / Llanada Alavesa;24,26;21,70;7,68;8,23;7,53;8,16;7,65;6,88;5,85;6,38;6,69;6,66;6,20;7,45;7,64;9,24;3,32;;
01300;Arabako Mendialdea / Monta�a Alavesa;23,90;24,94;9,64;5,28;10,51;6,14;6,42;6,22;4,49;6,58;5,98;3,39;5,42;6,09;10,75;10,89;4,72;;
48100;Arratia Nerbioi / Arratia-Nervi�n;20,96;22,96;8,59;6,11;7,08;6,89;6,37;6,11;5,59;6,08;5,08;5,62;3,77;4,73;5,00;7,32;2,84;;
20200;Bidasoa Beherea / Bajo Bidasoa;38,25;34,46;12,91;11,32;11,40;12,08;10,48;9,67;9,13;9,23;7,68;8,10;8,02;8,97;8,99;11,15;6,64;;
48200;Bilbo Handia / Gran Bilbao;26,46;25,87;9,77;8,47;8,28;8,75;7,68;7,32;7,53;7,37;6,95;6,61;6,21;6,86;7,59;8,76;3,98;;
20100;Deba Beherea / Bajo Deba;24,53;25,92;10,50;10,43;11,26;13,13;9,62;8,29;8,58;9,04;8,56;8,71;7,63;11,87;10,88;10,66;6,89;;
20300;Debagoiena / Alto Deba;20,88;18,37;7,74;8,00;7,97;9,07;6,90;6,86;6,92;8,35;5,40;5,33;4,33;4,74;5,89;5,10;3,31;;
20400;Donostialdea / Donostia-San Sebasti�n;26,98;26,16;10,78;9,93;9,57;10,17;8,52;7,77;7,54;7,36;6,86;6,52;6,09;6,90;7,33;8,70;3,65;;
48300;Durangaldea / Duranguesado;17,62;16,43;7,15;5,66;5,94;6,52;5,56;5,06;4,95;5,15;4,98;5,50;5,30;5,66;6,55;5,89;1,77;;
48400;Enkartazioak / Encartaciones;16,37;15,47;6,73;4,86;4,96;5,36;4,28;3,52;5,36;4,25;4,28;4,25;5,01;4,51;4,95;5,22;5,98;;
01400;Errioxa Arabarra / Rioja Alavesa;25,93;22,38;3,12;2,47;3,03;2,67;3,29;3,33;2,57;2,05;2,11;1,83;2,30;2,20;2,70;6,57;0,89;;
48500;Gernika-Bermeo;20,01;23,42;8,98;7,91;7,95;7,36;5,77;5,69;6,53;7,46;7,01;5,62;5,48;7,59;8,29;8,70;5,30;;
20500;Goierri;24,54;22,71;10,00;11,04;12,87;13,44;10,00;9,95;9,01;7,90;8,08;9,27;6,84;11,57;9,52;12,00;3,84;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;25,79;24,41;10,84;10,70;14,56;14,16;12,77;13,13;10,96;8,56;8,21;8,55;10,23;9,56;10,08;10,18;0,93;;
01600;Kantauri Arabarra / Cant�brica Alavesa;19,77;20,65;6,46;4,63;3,88;4,75;3,72;3,72;3,42;3,52;4,36;4,29;4,54;5,53;6,85;7,20;2,98;;
48600;Markina-Ondarroa;20,62;22,61;8,35;6,07;7,69;7,20;6,57;4,55;4,78;4,83;5,04;4,50;4,94;5,08;4,60;6,22;2,65;;
48700;Plentzia-Mungia;27,36;27,81;9,66;8,84;8,44;8,93;8,80;7,38;7,96;9,06;7,63;6,95;6,23;7,61;8,36;9,86;4,73;;
20600;Tolosaldea / Tolosa;24,77;23,72;11,44;10,15;11,47;12,10;9,77;7,88;6,76;5,41;5,73;6,51;5,76;5,28;5,10;8,23;3,88;;
20700;Urola-Kostaldea / Urola Costa;32,86;33,87;12,37;10,61;10,67;10,94;8,23;7,89;7,30;7,32;6,93;7,44;7,33;8,20;9,73;11,82;4,72;;
