Codigo comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;27,56;26,82;26,56;29,32;30,35;29,85;30,50;27,61;27,65;28,33;28,73;27,11;22,66;27,23;26,20;25,15;24,42;24,79;24,40;24,30;23,63
01200;Arabako Lautada / Llanada Alavesa;26,89;27,61;28,06;27,76;28,32;29,30;30,38;31,55;32,33;32,12;33,10;32,74;32,63;32,39;33,12;33,31;33,42;32,09;32,44;32,62;32,90
01300;Arabako Mendialdea / Monta�a Alavesa;40,11;40,63;41,75;42,20;42,03;41,58;42,94;43,99;43,74;45,05;46,41;46,51;37,17;35,01;35,90;36,50;39,70;39,83;39,85;39,89;38,05
48100;Arratia Nerbioi / Arratia-Nervi�n;35,10;35,13;34,56;35,51;37,91;38,90;40,46;42,65;40,92;39,81;38,85;38,72;36,33;35,62;33,92;33,35;32,47;31,19;32,73;31,70;29,97
20200;Bidasoa Beherea / Bajo Bidasoa;14,40;42,70;42,73;41,42;43,05;43,64;45,75;45,82;47,29;47,76;47,61;48,88;49,86;50,48;50,84;49,03;49,23;47,21;47,12;48,08;48,76
48200;Bilbo Handia / Gran Bilbao;31,80;32,72;33,03;32,96;33,92;34,87;35,31;35,92;36,40;36,37;36,46;36,80;36,83;37,20;37,33;37,68;37,56;37,01;37,31;37,65;37,49
20100;Deba Beherea / Bajo Deba;46,25;33,20;33,54;33,44;34,34;36,11;36,66;37,65;38,12;37,84;38,96;38,07;37,90;38,80;38,16;38,26;38,24;37,78;37,16;38,22;37,94
20300;Debagoiena / Alto Deba;12,66;21,57;21,99;21,90;22,64;23,09;24,21;24,68;24,90;23,87;24,93;25,39;23,94;24,20;24,58;23,72;23,10;22,40;21,90;22,93;22,07
20400;Donostialdea / Donostia-San Sebasti�n;2,66;34,10;34,41;34,25;35,57;35,99;36,85;37,79;38,48;38,45;38,85;38,85;38,79;39,44;39,76;40,11;40,06;39,96;40,44;41,44;41,01
48300;Durangaldea / Duranguesado;26,86;27,64;27,49;27,18;28,03;28,65;29,60;30,00;31,19;31,25;31,45;31,94;32,43;33,01;31,55;31,08;30,75;29,57;29,95;30,68;30,38
48400;Enkartazioak / Encartaciones;49,01;49,68;50,71;51,30;52,83;53,10;55,96;55,70;55,28;54,61;53,16;53,42;47,29;50,28;52,31;50,12;50,23;49,92;50,35;49,97;49,15
01400;Errioxa Arabarra / Rioja Alavesa;44,41;44,64;47,10;47,79;48,22;46,54;46,88;47,53;47,25;47,77;48,20;47,63;41,64;42,47;41,18;40,09;40,03;39,93;39,35;39,93;39,41
48500;Gernika-Bermeo;42,01;41,75;41,88;42,01;42,81;43,53;43,78;45,21;46,13;46,95;47,28;47,49;46,94;47,90;46,20;45,63;45,43;43,62;42,35;43,13;43,00
20500;Goierri;43,25;30,85;30,97;30,50;31,56;32,47;33,59;32,91;33,39;34,13;34,77;34,50;33,68;34,41;33,21;34,39;33,86;32,37;33,22;34,16;34,31
01500;Gorbeia Inguruak / Estribaciones del Gorbea;29,52;30,81;32,27;31,43;31,97;32,60;32,91;33,25;33,41;33,66;32,60;32,07;30,24;29,89;26,79;26,90;26,03;25,01;25,22;24,40;23,33
01600;Kantauri Arabarra / Cant�brica Alavesa;31,96;32,11;31,34;31,85;32,64;32,62;32,89;32,92;33,10;31,75;30,50;29,51;28,72;30,23;29,13;28,99;27,21;27,89;28,65;27,21;28,29
48600;Markina-Ondarroa;37,65;37,54;38,96;38,77;38,62;38,11;39,14;39,79;41,21;42,34;40,99;41,47;42,61;44,88;43,63;42,23;41,94;40,25;40,19;38,86;39,28
48700;Plentzia-Mungia;40,70;40,83;41,83;41,97;44,74;45,35;45,38;44,11;48,16;43,96;45,63;45,08;43,51;44,26;45,46;45,29;44,72;44,58;44,18;43,16;41,94
20600;Tolosaldea / Tolosa;298,24;35,59;36,28;36,62;38,25;39,24;40,39;40,49;41,79;42,65;43,40;42,88;41,55;42,63;42,52;43,20;43,80;43,20;43,28;43,39;42,78
20700;Urola-Kostaldea / Urola Costa;35,91;37,54;38,42;38,89;40,32;41,08;41,69;41,55;43,11;43,71;42,92;41,45;40,60;41,27;40,95;40,17;40,36;39,65;40,05;40,17;39,05
