Indicadores municipales de sostenibilidad: Densidad comercial de bienes ocasionales (? habitantes);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;4,96;5,06;5,21;5,39;5,65;5,81;6,22;6,40;6,44;6,63;6,85;6,93;7,19;7,53;7,92;8,11;8,20;7,95;7,92;7,88;7,72
Bizkaia;;5,52;5,78;6,04;6,20;6,54;6,75;7,18;7,38;7,53;7,63;7,87;8,18;8,53;8,86;9,29;9,28;9,18;8,73;8,40;8,53;8,07
CAE;;5,62;5,84;6,07;6,25;6,62;6,83;7,26;7,46;7,62;7,73;7,95;8,20;8,54;8,94;9,37;9,50;9,49;9,02;8,66;8,80;8,36
Gipuzkoa;;6,07;6,30;6,52;6,73;7,20;7,42;7,85;8,07;8,32;8,39;8,58;8,82;9,17;9,71;10,15;10,49;10,58;9,96;9,42;9,65;9,12
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;1,74;1,74;1,59;1,77;1,96;1,81;1,98;2,01;1,85;1,83;2,00;1,83;1,67;2,02;1,72;2,29;2,32;2,37;2,43;2,29;1,97
01200;Arabako Lautada / Llanada Alavesa;5,28;5,37;5,55;5,76;6,00;6,22;6,61;6,81;6,86;7,05;7,31;7,35;7,62;8,01;8,43;8,63;8,70;8,37;8,40;8,30;8,22
01300;Arabako Mendialdea / Montaña Alavesa;1,55;0,93;0,93;0,97;1,33;1,33;1,00;1,00;1,00;0,99;1,28;1,57;1,25;1,25;1,25;0,94;0,63;0,64;0,64;0,96;0,96
48100;Arratia Nerbioi / Arratia-Nervión;3,14;3,36;3,61;3,70;4,17;4,32;4,59;4,51;4,30;4,25;4,33;4,51;4,96;4,93;5,19;5,24;5,23;5,31;5,36;5,30;5,01
20200;Bidasoa Beherea / Bajo Bidasoa;6,62;6,72;7,00;7,26;7,82;8,09;8,60;8,91;9,32;9,51;9,59;9,82;10,35;11,29;11,58;11,98;11,77;11,37;10,71;10,69;10,06
48200;Bilbo Handia / Gran Bilbao;5,75;6,05;6,30;6,49;6,83;7,05;7,49;7,68;7,87;8,00;8,23;8,53;8,90;9,26;9,71;9,70;9,62;9,13;8,79;8,90;8,40
20100;Deba Beherea / Bajo Deba;5,59;5,95;6,18;6,36;6,72;6,69;6,91;7,18;7,32;7,44;7,74;8,13;8,60;9,33;9,63;9,72;9,96;9,49;8,79;9,25;8,55
20300;Debagoiena / Alto Deba;5,09;5,32;5,47;5,59;6,07;6,18;6,56;6,68;6,93;6,93;6,95;7,26;7,64;8,12;8,66;8,96;8,96;8,52;7,97;8,22;7,59
20400;Donostialdea / Donostia-San Sebastián;6,50;6,73;6,89;7,15;7,63;7,88;8,34;8,64;8,87;8,99;9,17;9,35;9,74;10,24;10,65;11,09;11,20;10,45;9,79;9,94;9,54
48300;Durangaldea / Duranguesado;5,44;5,61;5,76;5,80;6,10;6,29;6,65;6,84;6,99;7,21;7,52;7,83;7,95;8,18;8,50;8,39;8,17;7,86;7,73;7,98;7,52
48400;Enkartazioak / Encartaciones;4,17;4,12;4,68;4,83;5,16;5,49;6,03;6,48;6,52;6,51;6,60;6,90;7,05;7,44;7,63;7,44;7,33;6,98;6,10;6,03;5,93
01400;Errioxa Arabarra / Rioja Alavesa;2,12;2,38;2,48;2,49;2,59;2,34;2,78;3,13;2,77;2,93;2,94;3,01;3,17;3,27;3,12;3,13;2,98;3,05;2,84;2,61;2,28
48500;Gernika-Bermeo;5,89;6,34;6,53;6,58;6,92;7,22;7,56;7,97;7,88;7,99;8,10;8,44;8,83;9,28;9,76;9,82;9,58;9,34;9,00;9,37;8,82
20500;Goierri;5,40;5,61;5,84;6,01;6,30;6,58;7,01;6,97;7,23;7,39;7,57;7,63;7,90;8,25;8,74;9,14;9,42;8,63;8,56;9,10;8,50
01500;Gorbeia Inguruak / Estribaciones del Gorbea;3,14;3,38;3,40;3,24;3,51;3,64;3,65;3,77;4,44;6,04;6,47;6,88;7,84;7,64;8,14;8,78;9,56;10,14;10,49;10,85;10,78
01600;Kantauri Arabarra / Cantábrica Alavesa;4,82;5,01;5,09;5,15;5,50;5,49;6,24;6,33;6,28;6,15;6,20;6,52;6,69;6,96;7,38;7,54;7,73;7,57;7,11;7,47;6,77
48600;Markina-Ondarroa;5,23;5,29;5,56;5,74;6,33;6,69;7,23;7,21;7,29;7,26;7,37;7,65;7,99;8,11;8,50;8,80;8,56;7,76;7,26;7,70;7,24
48700;Plentzia-Mungia;3,92;3,96;4,15;4,25;4,43;4,51;4,91;4,96;4,95;4,73;5,15;5,55;5,96;6,11;6,49;6,58;6,22;6,04;5,70;5,77;5,57
20600;Tolosaldea / Tolosa;5,08;5,47;5,78;5,89;6,52;6,62;7,04;7,41;7,48;7,35;7,54;7,87;8,00;8,56;9,30;9,18;9,24;8,75;8,62;8,94;8,37
20700;Urola-Kostaldea / Urola Costa;6,05;6,27;6,62;6,76;7,27;7,60;8,00;8,01;8,32;8,19;8,55;8,96;9,07;9,47;9,98;10,25;10,31;9,79;9,38;9,71;9,09
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;4,12;4,14;4,30;4,42;4,79;4,96;5,37;5,67;5,70;5,18;5,45;5,89;6,08;6,79;7,23;6,46;6,52;6,74;6,96;6,90;6,22
20001;Abaltzisketa;0,00;0,00;3,27;3,22;3,12;3,12;3,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,17;3,24;3,34;0,00;0,00;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;2,45;2,46;2,67;2,64;2,53;2,73;2,82;3,13;3,23;3,10;3,80;3,99;4,21;4,21;4,55;4,90;4,39;4,51;3,89;4,00;3,82
20002;Aduna;8,00;8,11;6,24;4,16;2,07;2,08;2,08;2,11;2,15;2,15;2,17;2,22;2,24;2,29;4,85;5,19;5,43;0,00;0,00;0,00;0,00
20016;Aia;2,36;1,91;2,92;3,48;3,51;3,48;2,97;3,46;2,97;2,97;2,99;3,49;3,52;4,03;3,06;2,65;2,19;2,21;2,23;2,81;3,42
20003;Aizarnazabal;2,65;2,66;2,62;2,60;2,61;2,61;1,30;1,31;0,00;0,00;2,66;4,03;4,14;4,30;4,50;1,56;1,58;1,61;0,00;0,00;0,00
48911;Ajangiz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20004;Albiztur;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20005;Alegia;3,81;2,77;3,32;3,32;3,38;2,85;2,85;2,84;2,83;2,81;2,24;2,23;2,80;3,41;4,06;4,11;4,17;6,02;4,89;4,99;5,12
01001;Alegría-Dulantzi;0,63;0,63;0,32;0,64;0,97;0,65;0,65;0,66;1,00;0,99;1,65;1,67;2,36;2,09;2,17;2,29;2,08;2,23;2,31;1,91;1,55
20006;Alkiza;0,00;0,00;2,89;0,00;0,00;0,00;2,84;5,75;5,75;2,82;2,75;2,76;2,86;2,93;2,89;0,00;0,00;0,00;0,00;0,00;0,00
48912;Alonsotegi;2,33;2,70;3,39;3,47;3,52;3,51;2,82;2,46;2,45;2,10;2,45;2,10;2,46;2,47;2,81;2,81;2,83;3,21;2,88;1,80;1,43
20906;Altzaga;0,00;0,00;0,00;0,00;0,00;0,00;5,43;5,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20007;Altzo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,59;2,71;0,00;2,74;0,00
20008;Amezketa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48003;Amorebieta-Etxano;6,18;6,30;6,50;6,28;6,40;6,41;6,86;7,26;7,60;8,15;8,65;8,82;8,82;8,99;9,09;8,82;8,01;6,79;7,12;7,42;7,14
48004;Amoroto;2,60;2,58;2,51;2,43;2,43;2,42;2,39;2,40;2,46;2,47;2,49;2,52;2,49;2,47;2,47;2,48;2,48;2,48;2,49;2,47;2,44
01002;Amurrio;5,48;5,78;6,07;5,89;5,88;5,87;6,57;6,79;6,98;6,70;6,45;7,07;7,22;7,14;7,42;7,54;8,04;8,29;8,09;8,59;7,49
20009;Andoain;4,26;4,54;4,46;4,15;4,28;4,62;4,62;4,70;5,05;4,90;5,18;5,59;5,53;6,36;6,45;7,01;7,36;7,03;6,06;6,35;6,04
20010;Anoeta;4,25;4,73;4,27;4,35;3,94;3,98;4,04;4,53;5,06;4,15;4,78;5,40;6,01;5,45;6,00;5,54;6,21;5,70;5,14;5,14;5,14
20011;Antzuola;2,33;2,80;2,80;2,77;2,74;2,71;3,61;3,61;3,13;3,57;3,58;4,06;3,17;3,20;2,77;3,26;3,30;3,79;3,32;4,29;3,38
48005;Arakaldo;5,65;5,75;5,88;5,88;11,83;12,05;12,20;12,20;12,20;12,74;13,89;15,27;16,00;16,95;19,61;21,74;21,51;21,05;21,74;22,73;23,53
20012;Arama;21,05;20,30;19,80;19,51;24,63;24,27;19,05;18,96;18,87;18,43;18,18;19,05;15,08;14,56;14,71;10,53;10,93;11,36;11,83;12,12;6,06
01003;Aramaio;0,00;0,69;0,68;0,67;0,67;0,66;0,00;0,00;0,00;0,65;0,00;0,65;0,65;0,66;0,65;0,66;0,65;0,66;0,66;0,00;0,00
48006;Arantzazu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48093;Areatza;0,80;1,62;1,60;1,61;1,64;0,82;1,65;2,50;3,38;2,52;1,64;1,63;1,67;1,74;1,77;1,80;2,76;3,77;3,84;3,91;2,94
20013;Aretxabaleta;3,20;3,51;3,52;3,38;3,39;3,56;3,73;3,87;4,01;4,15;4,31;4,50;4,72;4,93;5,09;5,42;5,48;5,23;5,01;5,29;5,37
