Indicadores municipales de sostenibilidad: Establecimientos de hostelería y restauración (? habitantes);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;5,82;5,83;5,93;5,99;6,05;6,15;6,25;6,26;6,25;6,45;6,50;6,53;6,60;6,70;6,85;6,86;6,76;6,20;6,59;6,64;6,76
Bizkaia;;6,14;6,19;6,25;6,30;6,34;6,42;6,52;6,55;6,61;6,65;6,63;6,78;6,86;6,94;7,18;7,22;7,16;6,91;7,07;7,15;7,12
CAE;;6,10;6,12;6,17;6,22;6,27;6,32;6,40;6,40;6,44;6,48;6,50;6,61;6,68;6,78;7,00;7,04;7,01;6,64;6,86;6,95;6,95
Gipuzkoa;;6,16;6,16;6,14;6,19;6,25;6,25;6,27;6,21;6,25;6,21;6,28;6,37;6,41;6,57;6,77;6,82;6,86;6,39;6,62;6,74;6,77
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;10,73;11,24;10,96;9,82;11,09;11,34;11,73;10,37;9,91;10,34;9,99;10,98;9,19;10,46;11,35;11,08;11,61;10,94;11,01;11,47;11,85
01200;Arabako Lautada / Llanada Alavesa;5,36;5,36;5,45;5,60;5,64;5,74;5,89;5,96;5,94;6,12;6,18;6,20;6,37;6,45;6,59;6,60;6,49;5,89;6,34;6,34;6,45
01300;Arabako Mendialdea / Montaña Alavesa;14,60;13,33;14,32;12,89;11,27;10,96;10,96;11,69;12,02;13,50;12,83;11,91;12,18;12,20;10,62;10,68;10,43;10,48;10,50;9,87;10,57
48100;Arratia Nerbioi / Arratia-Nervión;6,03;6,26;6,38;6,81;6,80;6,91;7,03;7,00;7,26;7,41;7,49;7,80;7,80;7,67;8,00;8,03;7,98;7,56;8,22;8,03;8,04
20200;Bidasoa Beherea / Bajo Bidasoa;5,83;5,81;5,91;5,97;6,18;6,18;6,27;6,28;6,45;6,43;6,35;6,60;6,62;6,73;6,93;6,98;7,08;6,75;6,49;6,62;6,70
48200;Bilbo Handia / Gran Bilbao;6,16;6,21;6,28;6,31;6,34;6,42;6,54;6,57;6,63;6,65;6,65;6,78;6,86;6,92;7,18;7,21;7,17;6,85;7,01;7,11;7,07
20100;Deba Beherea / Bajo Deba;5,56;5,64;5,60;5,73;5,70;5,72;5,74;5,74;5,84;5,72;5,94;6,08;6,00;6,15;6,49;6,58;6,60;6,29;6,34;6,40;6,41
20300;Debagoiena / Alto Deba;5,21;5,22;5,24;5,08;5,11;5,20;5,23;5,17;5,24;5,21;5,34;5,43;5,44;5,60;5,74;5,69;5,72;5,43;5,53;5,74;5,71
20400;Donostialdea / Donostia-San Sebastián;6,71;6,72;6,67;6,74;6,77;6,74;6,69;6,63;6,61;6,59;6,63;6,67;6,77;6,88;7,04;7,10;7,10;6,52;6,85;6,97;6,98
48300;Durangaldea / Duranguesado;5,23;5,29;5,36;5,36;5,41;5,51;5,64;5,73;5,68;5,79;5,64;5,79;5,92;6,01;6,05;6,04;5,96;5,74;6,05;6,21;6,28
48400;Enkartazioak / Encartaciones;5,88;5,68;6,02;6,24;6,19;6,69;6,72;6,86;6,96;7,07;6,75;6,90;7,02;7,19;7,67;7,61;7,56;7,77;7,85;7,76;7,30
01400;Errioxa Arabarra / Rioja Alavesa;12,66;12,00;12,20;11,49;12,34;12,31;11,55;11,22;11,60;11,82;12,10;12,31;11,15;10,67;10,73;10,25;9,73;8,87;8,88;9,31;9,51
48500;Gernika-Bermeo;7,14;7,29;7,22;7,42;7,40;7,44;7,36;7,22;7,18;7,34;7,32;7,42;7,27;7,36;7,63;7,79;7,57;7,48;7,78;7,83;7,82
20500;Goierri;5,08;5,02;5,01;5,07;5,35;5,38;5,57;5,51;5,68;5,69;5,74;5,78;5,85;5,99;6,17;6,30;6,34;5,83;6,32;6,33;6,46
01500;Gorbeia Inguruak / Estribaciones del Gorbea;6,81;7,20;6,91;6,81;6,57;6,93;6,96;7,08;7,51;8,32;8,40;8,68;7,84;8,33;8,61;9,14;9,31;9,27;9,72;9,41;9,16
01600;Kantauri Arabarra / Cantábrica Alavesa;5,05;5,24;5,47;5,61;5,61;5,69;5,64;5,49;5,30;5,40;5,31;5,17;5,47;5,59;5,91;6,01;5,89;5,66;5,88;6,26;6,43
48600;Markina-Ondarroa;8,04;7,82;7,91;7,73;7,67;7,68;7,92;7,78;7,91;8,02;7,86;8,33;8,25;8,45;8,69;8,61;8,41;7,95;8,38;8,30;8,11
48700;Plentzia-Mungia;5,90;6,00;6,00;6,09;6,32;6,28;6,17;6,16;6,34;6,47;6,53;6,74;6,99;7,31;7,51;7,73;7,68;7,53;7,58;7,56;7,83
20600;Tolosaldea / Tolosa;5,06;5,00;5,05;5,29;5,30;5,38;5,55;5,62;5,60;5,74;5,96;6,03;6,08;6,19;6,66;6,68;6,62;6,28;6,78;6,84;6,89
20700;Urola-Kostaldea / Urola Costa;7,00;6,96;6,94;6,91;6,88;6,83;6,79;6,62;6,51;6,35;6,46;6,61;6,49;6,96;7,08;7,16;7,36;6,92;7,08;7,29;7,26
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;5,54;5,56;5,86;6,76;6,34;6,00;6,29;6,72;6,63;6,37;5,85;5,22;5,14;5,43;6,00;6,59;6,80;7,02;6,82;7,61;7,23
20001;Abaltzisketa;9,46;12,78;13,07;9,65;12,46;12,46;12,62;18,93;15,77;18,81;18,75;18,81;15,82;15,92;15,87;15,87;12,94;16,72;16,89;16,89;16,89
48002;Abanto y Ciérvana-Abanto Zierbena;3,73;4,60;4,91;5,08;4,85;5,56;5,63;5,32;5,62;5,28;4,93;5,53;5,54;5,76;6,20;6,35;6,06;6,50;5,89;6,11;6,26
20002;Aduna;10,00;10,14;10,40;10,40;12,45;12,50;12,47;12,68;12,90;15,02;13,04;11,11;11,19;16,06;16,99;18,18;19,02;16,48;16,76;17,24;14,58
20016;Aia;14,13;12,41;12,66;13,44;14,06;15,43;13,84;13,83;13,35;13,38;14,43;15,46;14,07;15,13;16,81;17,47;19,16;19,93;18,98;17,98;17,12
20003;Aizarnazabal;7,95;7,99;7,87;7,79;7,83;9,15;7,81;5,25;6,62;6,62;6,65;8,06;6,91;5,74;7,51;7,79;6,34;6,42;6,41;6,36;6,40
48911;Ajangiz;10,80;8,62;12,90;11,04;6,71;6,58;6,52;6,47;6,54;6,59;6,67;6,70;6,64;6,71;6,83;6,86;6,86;6,91;4,65;4,68;4,69
20004;Albiztur;12,90;13,07;13,25;13,42;13,56;10,03;13,20;16,29;22,95;19,80;19,74;20,13;13,70;13,79;13,51;13,29;13,51;13,84;13,79;13,61;13,61
20005;Alegia;4,90;4,43;4,99;4,43;4,51;5,13;5,70;5,69;5,66;6,19;6,71;6,13;6,16;5,69;5,80;5,28;5,36;5,42;5,50;4,99;5,12
01001;Alegría-Dulantzi;2,52;2,84;2,87;2,56;2,57;2,92;3,92;3,98;3,67;3,62;2,98;3,00;3,37;3,49;3,98;4,20;4,15;4,45;4,16;4,30;4,65
20006;Alkiza;8,52;5,71;5,78;11,46;11,49;8,57;8,52;5,75;5,75;5,63;5,49;11,05;14,29;14,66;20,23;20,11;18,13;18,87;19,17;19,74;20,55
48912;Alonsotegi;7,67;6,76;6,77;6,93;6,70;6,67;7,04;8,08;8,39;8,04;7,71;7,35;7,03;7,06;7,03;6,33;6,01;5,71;5,75;6,49;6,46
20906;Altzaga;0,00;0,00;0,00;5,65;5,38;5,38;5,43;11,17;11,36;11,63;12,05;18,29;12,50;6,37;18,99;12,74;12,99;13,25;13,33;19,87;20,83
20007;Altzo;2,52;2,58;2,58;2,54;0,00;0,00;2,81;2,81;2,82;2,87;2,86;2,82;2,82;2,87;2,69;2,52;2,59;2,71;2,76;2,74;2,84
20008;Amezketa;5,43;5,40;6,46;6,49;6,56;7,65;6,51;6,51;6,51;6,41;7,35;8,37;7,34;8,28;9,20;7,19;7,34;7,38;7,33;7,38;7,41
48003;Amorebieta-Etxano;5,61;5,67;5,62;5,71;5,57;5,84;6,22;6,51;6,19;6,62;6,46;6,68;6,76;6,80;6,78;6,66;6,62;6,03;6,70;7,00;6,78
48004;Amoroto;18,23;15,50;15,08;14,60;14,56;14,49;11,93;12,02;12,29;12,35;12,44;12,59;12,44;12,35;12,35;12,41;12,38;9,93;9,95;9,88;9,78
01002;Amurrio;5,29;5,59;5,59;5,89;6,07;6,16;6,28;6,11;5,82;6,02;5,66;5,70;5,74;5,65;5,84;5,95;5,73;5,73;5,60;6,08;6,54
20009;Andoain;4,40;4,40;4,39;4,29;4,34;4,22;4,35;4,37;4,51;4,70;4,44;4,91;5,12;5,34;5,16;5,08;5,61;5,11;5,27;5,49;5,40
20010;Anoeta;4,25;4,26;4,27;4,35;4,43;4,48;5,56;5,54;5,56;5,71;6,37;6,48;6,56;5,99;4,91;6,10;5,08;5,70;5,71;5,14;5,14
20011;Antzuola;5,13;5,14;5,14;4,62;4,57;4,98;4,51;5,41;4,93;4,01;4,02;4,06;4,08;4,12;5,08;5,12;5,66;5,68;5,22;4,77;5,79
48005;Arakaldo;11,30;11,49;11,76;11,76;11,83;12,05;18,29;6,10;12,20;12,74;6,94;15,27;16,00;16,95;19,61;21,74;21,51;21,05;21,74;11,36;11,76
20012;Arama;5,26;5,08;4,95;4,88;4,93;9,71;9,52;9,48;9,43;9,22;9,09;9,52;10,05;9,71;4,90;5,26;5,46;5,68;5,92;6,06;6,06
01003;Aramaio;5,59;5,50;5,40;6,05;5,36;5,28;5,92;5,91;5,85;6,49;6,51;7,14;4,58;4,60;5,89;6,57;6,55;7,21;6,63;6,69;6,78
48006;Arantzazu;4,82;4,81;4,77;7,44;5,22;8,04;8,09;7,98;5,25;5,19;5,28;5,43;2,80;5,93;6,39;9,90;9,93;10,00;10,10;10,24;10,27
48093;Areatza;8,77;7,29;7,22;8,84;8,99;7,38;7,42;9,17;10,13;11,75;10,66;8,96;8,37;7,81;7,09;5,40;6,45;7,55;8,65;9,77;9,80
20013;Aretxabaleta;4,73;4,77;4,79;4,65;4,80;4,84;5,02;5,01;5,16;5,01;5,03;5,08;5,31;5,53;5,54;5,57;5,33;4,93;4,85;5,61;5,54
01006;Armiñón;8,62;8,81;8,85;4,46;8,97;9,13;9,09;8,93;13,33;13,10;13,39;9,35;4,88;5,00;5,43;6,10;0,00;0,00;0,00;-1.234,56;0,00
01037;Arraia-Maeztu;9,77;8,70;8,77;7,85;5,46;5,52;5,57;5,56;7,01;8,46;6,93;6,81;5,48;8,37;7,05;7,08;5,66;5,63;5,65;5,69;5,75
48009;Arrankudiaga;4,91;3,93;3,93;3,94;3,93;3,93;2,95;2,97;3,00;4,03;6,10;6,14;6,25;6,41;6,53;6,67;6,90;7,08;7,16;7,26;7,30
20055;Arrasate/Mondragón;5,41;5,50;5,54;5,34;5,39;5,57;5,70;5,60;5,61;5,61;5,61;5,72;5,69;5,78;5,95;5,96;5,90;5,72;5,66;5,90;5,66
48914;Arratzu;7,26;4,74;4,77;4,85;4,84;7,23;4,84;4,89;4,91;4,95;5,05;5,14;5,18;5,26;5,38;2,79;5,75;2,87;5,71;5,80;5,80
01008;Arratzua-Ubarrundia;10,19;11,16;10,32;10,50;11,61;11,61;11,64;11,68;12,55;11,51;12,60;12,75;15,11;14,74;15,01;12,96;14,46;14,77;13,89;15,51;16,52
48010;Arrieta;7,02;7,03;8,87;7,10;5,31;5,38;5,46;5,42;5,35;3,53;3,61;3,68;3,68;3,66;3,63;3,66;1,82;1,82;1,84;1,86;1,87
48011;Arrigorriaga;4,44;4,61;5,00;4,78;4,53;4,78;5,09;5,16;5,22;5,28;5,27;5,48;5,20;5,47;5,73;5,79;5,97;5,36;6,03;5,94;5,64
48023;Artea;9,20;9,23;9,32;9,52;9,70;8,32;6,95;5,50;5,35;6,57;7,94;9,20;10,38;10,54;10,75;10,97;11,48;13,43;13,55;12,07;12,21
48008;Artzentales;11,11;5,63;9,85;10,12;8,80;11,43;8,43;8,29;8,26;11,17;6,97;6,79;6,76;5,54;5,64;5,69;4,32;4,40;5,89;5,94;5,97
01004;Artziniega;6,83;6,93;6,98;6,89;6,78;7,26;6,78;7,45;8,10;7,60;7,05;7,52;7,50;6,51;8,75;8,32;9,20;8,87;9,02;9,82;10,79
01009;Asparrena;7,94;8,50;7,23;8,55;9,30;9,24;9,83;9,82;9,11;9,05;10,17;9,44;8,82;8,28;8,41;9,88;9,48;7,62;7,61;7,62;7,67
20014;Asteasu;7,21;7,24;6,57;5,20;4,50;5,19;5,92;5,33;4,66;4,63;5,31;4,66;5,38;4,78;5,49;6,14;6,18;6,28;6,36;6,47;7,29
20903;Astigarraga;6,86;7,02;6,55;6,85;7,31;7,60;7,98;7,82;7,75;8,16;7,89;7,93;7,74;9,26;9,43;9,42;9,52;9,32;9,53;10,04;10,35
20015;Ataun;4,08;3,55;4,14;3,47;4,01;3,46;4,06;3,51;4,15;4,15;4,74;5,37;4,19;4,21;4,82;4,85;5,58;5,69;5,73;7,06;7,09
48091;Atxondo;10,25;9,46;8,00;8,70;10,71;10,54;9,80;10,00;10,16;10,10;9,34;9,26;9,13;9,08;9,70;10,28;9,67;9,80;9,93;10,79;10,77
48070;Aulesti;6,19;7,68;7,75;6,12;6,00;6,02;6,00;6,03;6,12;6,12;6,13;7,59;5,94;5,90;7,37;7,36;7,41;7,46;6,01;6,05;6,09
01010;Ayala/Aiara;5,87;5,90;6,21;6,20;6,56;6,90;6,57;5,54;5,20;5,56;5,21;5,22;4,57;4,64;4,02;4,12;4,87;4,85;4,17;4,26;4,48
20017;Azkoitia;3,43;3,44;3,69;3,93;3,75;3,76;3,77;3,54;3,54;3,64;3,57;3,67;3,77;3,98;4,13;4,30;4,60;4,41;4,44;4,93;5,24
20018;Azpeitia;4,70;4,83;4,70;4,98;5,22;5,14;5,45;5,26;4,99;4,67;4,90;5,13;5,61;5,88;5,70;5,75;5,97;5,64;5,80;6,04;6,04
01049;Añana;46,24;44,94;33,90;28,25;21,86;21,86;22,22;11,36;17,54;5,78;11,63;17,65;11,49;17,05;16,85;16,85;16,76;16,67;11,05;21,62;21,28
48012;Bakio;13,82;13,14;12,15;13,31;13,67;13,36;12,73;13,13;13,51;13,08;13,71;14,86;14,70;15,13;15,47;16,18;17,13;16,29;16,72;16,15;16,73
20904;Baliarrain;6,37;6,45;6,45;12,50;12,66;6,62;6,62;6,71;6,80;7,14;7,58;7,75;8,06;8,33;8,77;9,62;10,64;10,99;10,75;10,64;10,87
48090;Balmaseda;4,55;4,30;4,69;4,96;4,73;5,67;6,06;5,78;5,99;6,32;6,05;6,59;6,55;6,30;6,99;7,10;6,75;7,23;7,55;7,71;7,45
48013;Barakaldo;5,55;5,66;5,67;5,67;5,63;5,82;5,93;6,05;6,17;6,14;6,19;6,36;6,45;6,45;6,84;6,84;6,65;6,41;6,51;6,72;6,85
48014;Barrika;7,55;6,94;6,93;6,41;7,19;7,18;6,51;5,81;5,76;7,05;7,74;7,84;7,91;7,32;6,84;8,47;9,33;9,44;9,55;10,35;10,58
