Indicador,2020,2021,2022,Título
Percibe oportunidades para emprender en los próximos seis meses,16.5,34.3,26.2,Percepciones de la población adulta sobre sus competencias y el contexto para emprender
Percibe que posee los conocimientos y habilidades para emprender,50.0,46.0,40.1,Percepciones de la población adulta sobre sus competencias y el contexto para emprender
Percibe el miedo al fracaso como un obstáculo para emprender,65.6,61.5,59.5,Percepciones de la población adulta sobre sus competencias y el contexto para emprender
Percibe que conoce a otras personas que han emprendido,35.0,36.1,35.3,Percepciones de la población adulta sobre sus competencias y el contexto para emprender
Percibe que es fácil iniciar un negocio,40.8,42.5,36.0,Percepciones de la población adulta sobre sus competencias y el contexto para emprender
Ha manifestado su intención de emprender en los próximos tres años,6.5,8.0,7.6,Indicadores de actividad emprendedora
TEA (% sobre total de población de 18-64 años),5.3,4.9,5.2,Indicadores de actividad emprendedora
TEA Femenina (% sobre total de población femenina de 18-64 años),5.0,5.2,5.0,Indicadores de actividad emprendedora
TEA Masculina (% sobre total de población masculina de 18-64 años),5.5,4.7,5.4,Indicadores de actividad emprendedora
"% de población involucrada en negocios consolidados (>3,5 años)",5.8,5.2,4.9,Indicadores de actividad emprendedora
"Ha vendido, cerrado o abandonado un negocio en el último año",1.0,1.8,1.7,Indicadores de actividad emprendedora
Edad media,40.0,44.0,43.0,Naturaleza de la población emprendedora en fase inicial (% sobre el TEA)
Hombres,,44.0,43.0,Naturaleza de la población emprendedora en fase inicial (% sobre el TEA)
Mujeres,,43.0,42.0,Naturaleza de la población emprendedora en fase inicial (% sobre el TEA)
% TEA con formación superior o postgrado,63.0,58.8,62.6,Naturaleza de la población emprendedora en fase inicial (% sobre el TEA)
