Codigo comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;229,88;217,44;213,24;242,07;294,83;214,56;210,27;196,79;216,46;239,08;199,60;201,80;191,75;200,57;209,19;303,27;271,02;187,09;183,62
01200;Arabako Lautada / Llanada Alavesa;150,70;166,03;151,91;125,46;159,10;170,88;161,32;153,77;139,27;128,34;118,29;118,38;129,53;133,21;132,85;171,10;181,05;178,31;178,10
01300;Arabako Mendialdea / Monta�a Alavesa;95,03;95,78;111,15;87,04;110,08;109,93;95,32;109,18;126,88;87,94;75,07;76,80;85,29;135,71;101,25;124,33;103,67;88,31;91,02
48100;Arratia Nerbioi / Arratia-Nervi�n;93,28;102,94;89,59;82,31;113,06;111,82;101,68;103,96;98,76;87,03;73,89;77,93;87,30;96,57;109,55;140,26;147,43;139,33;133,02
20200;Bidasoa Beherea / Bajo Bidasoa;97,11;101,31;102,83;87,31;111,78;116,42;106,78;99,43;91,85;85,88;79,39;80,40;83,83;84,02;87,32;109,90;123,67;127,07;121,82
48200;Bilbo Handia / Gran Bilbao;123,66;137,55;128,38;107,01;136,41;139,11;130,87;128,09;122,69;113,82;104,30;103,64;114,93;116,25;113,90;140,74;149,36;149,15;144,94
20100;Deba Beherea / Bajo Deba;86,75;97,08;100,51;81,59;110,65;122,80;115,09;107,45;97,28;87,56;75,43;73,89;80,88;82,74;83,54;99,20;107,36;102,36;99,61
20300;Debagoiena / Alto Deba;108,92;114,45;116,55;94,94;123,08;128,41;120,37;109,39;106,50;94,11;93,18;95,15;107,56;100,08;89,53;126,47;143,79;144,83;137,54
20400;Donostialdea / Donostia-San Sebasti�n;149,70;163,95;149,05;130,07;163,10;166,26;154,80;149,18;137,54;125,33;116,24;116,53;125,53;126,39;129,23;160,82;160,14;164,80;156,17
48300;Durangaldea / Duranguesado;134,18;147,53;138,14;117,96;145,71;158,44;147,04;144,42;134,38;123,37;105,99;105,86;120,95;119,46;101,16;150,51;167,87;165,64;157,58
48400;Enkartazioak / Encartaciones;76,25;92,90;81,41;69,61;86,44;84,47;78,76;76,06;71,97;66,28;58,03;60,68;83,94;82,12;80,16;85,86;101,68;99,49;99,95
01400;Errioxa Arabarra / Rioja Alavesa;498,05;587,20;596,91;539,32;644,54;686,03;596,46;725,49;659,71;677,76;610,71;545,14;561,26;570,43;546,39;596,75;496,89;443,64;370,16
48500;Gernika-Bermeo;79,91;86,58;82,08;70,37;87,86;87,85;85,76;83,02;88,50;84,68;69,73;69,91;72,82;77,07;83,27;91,22;97,37;103,14;93,20
20500;Goierri;90,26;96,47;94,66;80,82;99,63;110,80;100,76;93,06;90,05;84,12;71,92;71,39;78,62;88,15;87,24;118,74;124,04;130,35;123,98
01500;Gorbeia Inguruak / Estribaciones del Gorbea;125,55;165,74;134,69;102,88;147,25;152,92;129,47;136,20;120,80;122,31;122,98;156,35;161,37;162,71;147,83;219,04;267,80;225,14;183,21
01600;Kantauri Arabarra / Cant�brica Alavesa;96,94;102,08;101,80;89,88;108,98;115,52;110,36;109,02;108,48;102,89;95,41;101,03;116,77;126,67;121,24;161,61;161,57;153,54;146,87
48600;Markina-Ondarroa;93,28;109,70;102,09;94,78;106,03;113,42;122,31;115,57;117,24;101,38;96,04;95,72;99,23;102,45;92,98;113,71;126,19;139,39;146,27
48700;Plentzia-Mungia;87,24;107,36;94,78;80,92;100,53;95,88;90,92;90,17;86,11;79,59;79,02;77,86;79,82;81,82;87,75;105,78;115,81;113,20;108,34
20600;Tolosaldea / Tolosa;106,90;119,59;113,57;96,96;118,95;122,42;115,14;110,27;112,31;99,85;94,53;95,55;107,50;103,31;98,85;136,35;136,86;135,04;123,71
20700;Urola-Kostaldea / Urola Costa;88,29;110,53;113,56;88,67;113,40;119,84;111,96;112,33;104,89;97,30;85,38;85,66;84,79;85,57;90,43;109,50;115,00;127,69;110,45
