Indicadores municipales de sostenibilidad: Contratos indefinidos registrados en el año: menores de 30 años (% total contratos indefinidos);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;43,00;38,44;30,08;29,01;30,56;29,55;30,22;29,83;28,55;29,20;29,06;34,78;35,50;39,24;38,25;43,91;45,01;44,64;48,30
Bizkaia;;37,12;34,40;26,75;27,12;26,30;27,81;28,60;28,15;26,84;26,97;26,80;30,65;33,43;36,31;37,99;43,04;43,32;43,29;45,41
CAE;;39,91;37,01;28,87;28,20;28,36;28,72;29,63;28,86;26,70;26,88;27,49;31,55;33,83;36,84;37,84;42,43;42,92;42,75;45,16
Gipuzkoa;;42,12;40,11;31,43;29,32;30,24;29,60;30,84;29,50;25,64;25,66;27,88;31,47;33,67;36,43;37,38;40,58;41,00;40,85;42,85
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;37,24;34,18;25,11;25,65;30,42;21,84;25,19;26,34;27,10;22,70;33,33;33,33;34,19;42,57;37,93;43,03;0,00;;
01200;Arabako Lautada / Llanada Alavesa;45,49;40,52;30,96;29,25;31,00;29,97;30,96;30,23;29,36;29,47;29,18;35,43;35,99;39,13;38,27;44,20;0,00;;
01300;Arabako Mendialdea / Montaña Alavesa;42,01;27,75;25,00;28,12;25,00;17,02;29,55;26,83;14,29;27,78;25,00;26,32;37,50;33,33;39,68;44,16;0,00;;
48100;Arratia Nerbioi / Arratia-Nervión;30,62;25,11;26,22;25,69;25,77;19,08;22,68;20,37;18,52;16,88;23,15;25,07;27,06;31,17;30,98;37,77;0,00;;
20200;Bidasoa Beherea / Bajo Bidasoa;40,31;37,59;29,62;29,03;31,83;30,95;28,22;27,76;24,24;24,11;26,68;28,19;32,27;32,69;35,96;40,23;0,00;;
48200;Bilbo Handia / Gran Bilbao;37,86;35,12;27,55;27,68;27,11;28,90;29,49;28,94;27,85;27,69;27,21;31,62;34,86;37,53;39,29;44,69;0,00;;
20100;Deba Beherea / Bajo Deba;42,42;38,83;30,24;30,91;31,92;29,87;27,31;27,96;22,55;28,52;25,84;30,93;34,12;36,80;33,43;37,06;0,00;;
20300;Debagoiena / Alto Deba;43,02;40,89;32,42;26,34;29,72;26,49;29,16;24,68;23,36;20,66;28,05;30,88;28,03;36,78;34,98;35,09;0,00;;
20400;Donostialdea / Donostia-San Sebastián;43,11;41,23;32,03;28,79;30,03;29,68;31,96;30,19;25,97;25,67;27,52;32,22;34,81;36,97;39,00;42,29;0,00;;
48300;Durangaldea / Duranguesado;34,04;31,49;24,95;25,97;23,38;24,09;25,64;25,59;24,05;25,57;26,48;28,21;30,29;31,42;35,06;36,89;0,00;;
48400;Enkartazioak / Encartaciones;33,86;30,22;21,18;25,60;21,11;21,67;23,82;23,02;17,43;21,15;24,37;21,31;19,14;31,96;32,50;36,36;0,00;;
01400;Errioxa Arabarra / Rioja Alavesa;30,14;28,17;23,62;28,21;26,63;26,50;25,35;25,75;25,36;28,65;25,74;31,91;27,70;39,30;35,77;39,31;0,00;;
48500;Gernika-Bermeo;31,09;28,49;19,63;23,31;21,35;23,10;23,83;21,21;19,45;20,69;21,49;25,56;26,65;26,32;29,87;31,45;0,00;;
20500;Goierri;36,82;37,76;30,49;27,88;29,82;26,99;29,94;29,50;27,18;27,73;27,95;34,29;35,68;38,25;32,83;38,61;0,00;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;34,12;33,62;28,69;27,64;29,90;27,44;29,82;35,09;26,71;33,19;34,43;33,20;42,91;48,73;49,80;51,80;0,00;;
01600;Kantauri Arabarra / Cantábrica Alavesa;32,84;32,59;26,59;28,16;28,19;29,53;26,09;26,95;24,50;26,87;27,07;30,64;31,35;36,07;35,18;41,02;0,00;;
48600;Markina-Ondarroa;33,30;34,97;19,35;21,88;16,92;21,58;23,85;22,22;19,69;25,23;27,62;20,20;19,12;24,71;18,01;21,53;0,00;;
48700;Plentzia-Mungia;36,25;33,23;23,38;23,02;24,16;22,87;24,23;27,41;25,28;25,22;23,89;26,67;26,67;35,15;33,30;35,03;0,00;;
20600;Tolosaldea / Tolosa;40,66;38,36;32,85;31,98;28,57;31,24;33,53;31,70;28,47;26,63;31,72;30,41;34,12;34,56;34,19;35,24;0,00;;
20700;Urola-Kostaldea / Urola Costa;41,38;38,46;29,29;33,56;30,30;30,35;29,23;29,87;25,88;27,52;30,39;29,81;29,42;35,99;38,35;40,16;0,00;;
"";;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadiño;28,84;27,96;25,32;23,30;18,63;22,02;24,51;25,41;24,43;23,12;23,38;38,17;31,39;36,09;36,13;41,29;40,45;42,17;45,14
20001;Abaltzisketa;57,89;50,00;29,63;50,00;21,62;22,45;25,00;31,03;50,00;25,00;42,86;33,33;44,44;40,00;11,11;23,53;30,00;26,32;45,45
48002;Abanto y Ciérvana-Abanto Zierbena;28,26;24,23;23,05;27,69;24,25;21,95;21,40;27,43;19,62;19,87;25,27;24,30;28,28;23,77;35,64;29,04;34,80;34,52;38,30
20002;Aduna;57,04;45,95;47,01;25,61;30,36;44,79;62,41;30,93;20,48;7,58;38,30;22,58;27,03;31,58;28,57;41,33;44,16;43,16;45,28
20016;Aia;31,28;34,24;35,80;40,00;27,47;25,96;28,57;22,73;22,03;31,11;42,86;35,00;21,05;26,53;13,04;45,65;41,18;37,65;38,10
20003;Aizarnazabal;31,87;34,38;24,39;30,00;30,36;22,73;26,32;21,74;16,67;20,00;33,33;33,33;23,53;45,83;41,18;37,04;39,02;55,26;7,14
48911;Ajangiz;54,55;12,50;50,00;10,00;14,29;0,00;53,85;0,00;0,00;50,00;0,00;0,00;50,00;50,00;66,67;25,00;100,00;0,00;0,00
20004;Albiztur;50,00;66,67;25,00;20,00;31,25;41,30;27,27;9,09;40,00;0,00;33,33;0,00;40,00;16,67;50,00;30,77;28,57;62,50;47,37
20005;Alegia;33,94;45,69;26,92;47,62;38,10;40,38;27,59;45,61;35,16;38,64;36,54;57,89;25,00;37,84;32,00;22,22;44,00;45,45;36,00
01001;Alegría-Dulantzi;37,95;32,39;22,97;20,37;22,54;36,36;47,73;37,25;11,11;38,24;24,39;33,33;43,90;27,87;35,14;42,73;39,80;35,56;45,83
20006;Alkiza;50,00;66,67;33,33;0,00;33,33;50,00;33,33;50,00;0,00;0,00;16,67;0,00;50,00;28,57;20,00;50,00;37,50;30,77;66,67
48912;Alonsotegi;40,24;26,56;10,32;26,47;19,30;23,81;15,38;14,29;21,62;29,03;25,49;36,84;21,43;26,67;39,29;29,41;30,30;27,50;51,06
20906;Altzaga;0,00;0,00;0,00;33,33;0,00;33,33;50,00;80,00;0,00;0,00;50,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;0,00
20007;Altzo;34,09;31,48;9,09;31,82;20,00;11,11;38,10;50,00;16,67;20,00;57,14;33,33;66,67;0,00;50,00;31,82;50,00;21,21;50,00
20008;Amezketa;30,16;37,50;30,77;25,58;28,81;23,81;24,49;24,00;54,55;35,29;38,89;54,55;33,33;31,58;25,00;50,00;40,00;50,00;41,67
48003;Amorebieta-Etxano;33,76;29,26;25,12;28,22;25,37;23,79;26,11;26,28;23,81;26,36;27,45;25,44;29,00;27,16;34,39;32,42;41,02;39,97;38,77
48004;Amoroto;50,00;28,85;25,00;36,36;31,03;33,33;23,08;46,15;27,27;20,00;0,00;33,33;44,44;25,00;10,00;35,00;37,50;44,12;41,46
