Indicadores municipales de sostenibilidad: Contratos indefinidos registrados en el año: mujeres (% total contratos indefinidos);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;44,49;45,21;47,09;45,64;45,69;46,08;43,12;46,56;48,71;50,02;48,05;46,31;43,61;43,05;47,81;44,09;45,04;44,36;44,08
Bizkaia;;46,80;48,34;49,27;50,21;48,84;48,32;49,15;50,49;50,69;51,87;53,75;50,34;45,71;47,32;48,97;48,07;46,62;44,97;45,94
CAE;;47,32;48,65;49,11;49,68;48,19;48,04;47,91;49,72;50,65;51,76;52,77;49,12;45,20;46,53;48,45;46,98;46,52;44,84;44,95
Gipuzkoa;;49,68;50,98;49,76;50,80;48,41;48,54;48,51;50,10;51,45;52,36;53,48;48,43;45,14;47,09;47,92;46,75;47,21;44,87;43,66
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;28,47;41,46;33,33;30,43;22,98;33,98;38,89;42,47;28,50;39,26;37,84;33,33;23,93;35,14;32,76;35,76;0,00;;
01200;Arabako Lautada / Llanada Alavesa;47,79;48,67;48,69;46,86;47,51;47,59;44,42;48,45;51,45;51,90;50,15;48,17;45,89;44,51;49,95;46,52;0,00;;
01300;Arabako Mendialdea / Montaña Alavesa;47,34;43,54;56,25;28,12;38,16;44,68;38,64;51,22;51,43;58,33;53,57;26,32;40,62;61,90;57,14;58,44;0,00;;
48100;Arratia Nerbioi / Arratia-Nervión;37,08;41,35;41,21;44,21;38,86;39,14;41,26;36,85;38,34;39,64;36,91;40,41;29,02;40,00;40,00;37,11;0,00;;
20200;Bidasoa Beherea / Bajo Bidasoa;48,56;48,61;48,28;47,42;45,95;47,29;49,32;49,52;49,98;49,70;49,79;46,32;43,15;46,42;45,96;47,24;0,00;;
