Indicadores municipales de sostenibilidad: Contratos indefinidos registrados en el año: población de 45 y más años (% total contratos indefinidos);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;24,78;26,65;30,68;28,44;26,38;25,71;22,78;22,66;24,05;23,15;22,46;19,25;15,72;15,16;15,59;14,08;10,34;10,37;13,72
Bizkaia;;27,39;28,68;31,85;29,36;29,64;27,69;25,34;24,33;24,21;24,17;24,35;21,48;18,26;17,54;17,01;14,35;11,51;11,37;15,77
CAE;;26,30;27,47;31,35;29,66;28,97;27,63;25,10;24,58;25,07;24,45;24,07;21,26;18,01;17,22;16,60;14,84;11,53;11,11;15,65
Gipuzkoa;;25,61;26,11;30,92;30,63;29,21;28,41;25,93;25,92;26,94;25,53;24,41;21,89;18,77;17,78;16,46;16,09;12,26;11,07;16,57
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;26,11;30,61;35,93;26,96;26,86;31,07;33,70;32,80;21,03;17,18;21,62;21,90;23,93;17,57;13,79;13,33;0,00;;
01200;Arabako Lautada / Llanada Alavesa;23,20;24,96;30,07;27,88;25,74;25,19;21,64;21,80;23,79;23,28;22,78;19,33;15,48;15,03;16,07;14,17;0,00;;
01300;Arabako Mendialdea / Montaña Alavesa;30,77;39,71;43,75;40,62;38,16;44,68;31,82;21,95;37,14;36,11;39,29;21,05;15,62;9,52;14,29;7,79;0,00;;
48100;Arratia Nerbioi / Arratia-Nervión;32,58;37,14;34,04;31,02;31,89;30,59;29,00;32,78;35,95;30,43;28,52;23,89;21,96;18,44;19,27;16,58;0,00;;
20200;Bidasoa Beherea / Bajo Bidasoa;27,11;28,85;32,48;32,17;28,08;27,51;27,67;28,03;27,38;25,26;25,49;25,42;20,30;20,01;19,07;17,44;0,00;;
48200;Bilbo Handia / Gran Bilbao;26,75;28,12;31,19;28,84;28,86;27,06;24,52;23,53;23,35;23,45;23,62;20,84;17,26;16,84;16,21;13,40;0,00;;
20100;Deba Beherea / Bajo Deba;26,58;27,81;27,86;29,57;26,03;26,80;26,28;25,44;28,45;26,10;28,76;21,51;18,56;17,60;17,56;16,78;0,00;;
20300;Debagoiena / Alto Deba;23,97;24,83;30,41;32,14;28,58;32,38;28,72;29,92;32,89;31,57;25,19;23,81;23,15;22,00;19,90;19,17;0,00;;
20400;Donostialdea / Donostia-San Sebastián;25,08;25,22;30,75;30,70;29,75;28,45;25,24;25,20;26,48;24,73;23,91;21,08;18,06;17,21;15,32;15,17;0,00;;
48300;Durangaldea / Duranguesado;29,21;29,63;32,70;30,71;31,85;29,06;27,40;26,28;26,54;25,98;26,43;21,72;20,52;19,82;17,81;17,12;0,00;;
48400;Enkartazioak / Encartaciones;31,61;34,19;37,97;32,85;34,53;33,50;32,19;30,69;29,50;29,67;30,38;31,80;17,94;21,13;21,11;18,69;0,00;;
01400;Errioxa Arabarra / Rioja Alavesa;34,03;34,41;33,33;28,21;29,90;26,33;28,44;26,32;24,33;19,01;23,08;17,51;20,61;20,59;16,06;13,90;0,00;;
48500;Gernika-Bermeo;30,62;31,28;35,30;31,38;35,03;31,14;29,22;29,85;29,66;32,49;29,27;27,99;23,74;24,51;23,09;23,22;0,00;;
20500;Goierri;27,00;28,34;31,70;29,79;29,07;27,22;27,86;27,82;25,91;22,89;24,09;20,85;19,85;15,69;15,94;17,80;0,00;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;26,09;27,84;31,25;31,71;27,01;31,19;27,07;22,31;26,38;20,17;19,81;19,37;15,88;11,39;13,94;12,16;0,00;;
01600;Kantauri Arabarra / Cantábrica Alavesa;31,91;32,76;33,05;34,49;31,25;27,00;26,90;27,25;25,73;26,69;18,97;18,61;13,99;15,23;12,44;14,74;0,00;;
48600;Markina-Ondarroa;32,78;29,90;39,07;30,79;40,85;36,33;34,23;29,00;34,12;30,77;33,33;30,64;38,24;27,53;33,60;32,39;0,00;;
48700;Plentzia-Mungia;29,70;31,43;36,02;33,83;31,02;30,21;29,10;27,41;24,33;23,61;25,82;23,70;23,73;17,31;19,63;16,86;0,00;;
20600;Tolosaldea / Tolosa;27,89;27,25;30,84;30,03;29,78;25,78;23,77;23,17;25,04;26,52;21,70;23,50;17,85;19,17;18,01;15,60;0,00;;
20700;Urola-Kostaldea / Urola Costa;25,61;26,43;31,99;28,99;29,43;30,89;26,26;26,14;26,14;26,86;24,68;21,66;18,91;17,92;17,44;17,25;0,00;;
"";;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadiño;32,87;31,02;33,65;31,55;32,05;28,34;30,64;23,78;23,17;27,03;26,41;13,36;10,22;16,92;13,61;12,90;11,59;13,01;11,91
