Indicadores municipales de sostenibilidad: Deuda viva del Ayuntamiento por habitante (?);;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;280,62;271,01;276,74;266,31;295,22;323,97;346,43;363,24;374,87;412,43;450,96;466,56;457,38;357,97;220,12;182,31;183,30;184,60;194,02;186,08
Bizkaia;;47,88;46,29;56,38;65,03;78,77;86,87;100,15;105,06;125,52;139,57;152,86;158,20;164,38;136,64;141,23;147,33;170,16;191,73;200,92;195,06
CAE;;116,88;119,91;145,18;154,50;166,03;179,16;200,44;214,77;240,25;261,87;282,48;296,73;303,19;277,12;249,23;232,34;244,89;255,38;262,00;261,83
Gipuzkoa;;150,82;167,22;226,06;245,94;246,02;260,53;294,49;323,25;363,69;391,34;416,97;445,85;460,86;471,53;440,33;394,96;396,01;391,06;391,90;404,24
"";;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;109,04;80,97;112,68;141,91;167,03;210,22;271,80;292,94;325,78;339,08;320,51;326,44;336,07;74,22;90,52;96,11;90,31;111,41;13,69;15,20
01200;Arabako Lautada / Llanada Alavesa;342,37;330,81;336,22;320,88;354,74;387,77;411,61;426,70;434,97;476,35;522,31;535,84;520,87;397,14;229,56;183,48;181,58;174,47;190,70;185,99
01300;Arabako Mendialdea / Montaña Alavesa;51,42;66,37;86,44;110,36;130,41;143,10;111,01;131,78;148,44;155,85;187,41;152,49;124,73;37,71;44,51;51,71;58,86;85,08;140,77;63,05
48100;Arratia Nerbioi / Arratia-Nervión;47,08;123,64;161,00;163,58;191,03;198,73;168,36;188,72;215,69;250,85;276,99;312,61;350,86;385,96;396,10;410,98;461,26;538,94;366,12;171,53
20200;Bidasoa Beherea / Bajo Bidasoa;159,09;127,86;158,83;191,38;224,18;256,71;302,86;351,17;399,75;448,00;493,17;550,14;540,07;531,33;447,94;404,98;315,49;227,70;250,90;109,90
48200;Bilbo Handia / Gran Bilbao;40,55;35,43;45,51;54,78;67,84;73,51;84,54;82,25;99,61;108,42;120,10;125,84;130,32;106,35;112,99;128,33;159,10;191,48;207,96;206,55
20100;Deba Beherea / Bajo Deba;55,60;64,58;80,85;93,47;95,54;121,65;153,93;192,11;240,93;279,72;325,06;334,35;304,37;336,60;305,64;328,98;351,80;331,93;352,15;383,43
20300;Debagoiena / Alto Deba;239,54;255,19;271,43;316,85;179,10;232,54;263,67;310,67;381,07;437,89;510,16;599,69;495,78;516,94;467,25;490,37;524,52;494,39;441,63;471,34
20400;Donostialdea / Donostia-San Sebastián;161,88;184,14;293,43;299,46;300,63;295,14;329,11;335,19;380,15;389,80;395,54;410,54;451,80;454,71;448,94;374,75;385,47;422,29;432,44;467,83
48300;Durangaldea / Duranguesado;102,91;115,66;125,05;123,96;136,28;148,31;167,99;186,21;209,65;223,29;261,84;294,81;323,35;238,02;244,91;255,52;234,09;197,70;182,75;190,31
48400;Enkartazioak / Encartaciones;31,44;36,49;24,79;34,91;52,58;68,52;82,52;104,31;134,32;190,55;224,85;221,18;119,98;128,47;118,74;143,42;163,35;148,86;184,54;196,98
01400;Errioxa Arabarra / Rioja Alavesa;67,32;78,37;96,61;121,91;150,75;189,58;234,62;314,03;398,93;481,32;495,53;585,95;628,10;676,86;603,55;549,82;573,44;648,66;548,98;573,85
48500;Gernika-Bermeo;104,28;120,14;121,11;142,82;163,10;182,75;202,75;244,39;279,34;314,41;234,73;242,00;291,53;227,21;215,97;161,22;176,54;137,67;155,37;178,18
20500;Goierri;135,80;154,02;115,12;163,25;176,58;177,17;195,83;235,24;235,29;259,06;246,82;239,73;274,90;286,76;316,81;315,06;361,53;325,91;282,41;314,95
01500;Gorbeia Inguruak / Estribaciones del Gorbea;0,00;0,00;0,00;0,00;0,00;0,00;9,19;20,52;32,97;45,78;52,00;56,65;62,12;133,09;25,05;36,15;47,46;71,55;66,70;84,92
01600;Kantauri Arabarra / Cantábrica Alavesa;0,00;0,00;0,00;0,00;3,51;7,01;13,78;23,40;33,82;45,75;57,80;69,84;82,12;95,05;107,42;110,97;124,36;152,63;165,47;123,21
48600;Markina-Ondarroa;107,32;47,29;66,87;83,56;111,66;126,53;154,20;188,38;231,41;298,63;353,25;378,62;354,10;327,55;311,74;300,89;271,99;301,45;258,05;171,94
48700;Plentzia-Mungia;1,72;2,76;17,57;21,56;27,45;48,77;91,64;124,42;157,84;179,21;214,88;148,19;173,57;173,87;171,89;63,01;57,88;47,59;58,44;38,16
20600;Tolosaldea / Tolosa;129,30;165,45;211,67;254,20;297,40;334,91;355,91;400,19;451,50;479,71;532,12;574,14;548,09;579,08;575,98;603,03;518,72;352,69;317,45;248,05
20700;Urola-Kostaldea / Urola Costa;117,60;148,80;180,56;192,55;228,05;267,49;315,06;379,42;390,88;446,31;502,47;552,86;621,35;648,54;499,95;382,69;405,39;466,45;496,33;573,10
"";;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;0,00;0,00;2,34;74,30;113,55;160,57;177,65;246,26;295,76;355,83;414,04;466,96;531,45;581,35;497,41;551,24;607,53;319,03;356,11;384,87
20001;Abaltzisketa;121,15;179,09;228,01;0,00;0,00;0,00;0,00;11,73;11,54;11,54;102,38;125,26;148,83;170,94;191,07;208,77;222,67;228,07;262,95;289,26
48002;Abanto y Ciérvana-Abanto Zierbena;241,00;57,36;102,94;146,55;191,71;233,91;241,70;286,37;328,06;381,44;422,25;506,66;537,86;411,44;419,68;422,58;270,27;136,35;28,57;54,61
20002;Aduna;0,00;0,00;0,00;0,00;0,00;0,00;129,34;225,66;327,75;425,87;507,95;567,53;620,30;706,84;754,79;1.958,58;2.065,17;2.397,65;1.978,24;1.463,07
20016;Aia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,79;4,63;12,37
20003;Aizarnazabal;400,92;468,77;524,95;594,22;667,34;732,90;797,95;883,09;951,09;1.021,61;1.096,69;1.185,29;1.305,58;1.450,65;0,00;0,00;17,92;54,94;91,22;155,32
48911;Ajangiz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20004;Albiztur;208,75;256,62;297,27;350,35;389,95;422,95;0,00;0,00;184,34;196,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20005;Alegia;0,00;0,05;313,20;367,18;429,25;462,45;79,11;94,71;109,50;124,39;124,47;153,64;168,43;199,33;236,55;260,89;284,99;104,01;189,04;237,36
01001;Alegría-Dulantzi;415,84;184,18;229,70;296,44;377,57;456,45;253,00;333,08;398,69;464,29;553,76;627,74;735,32;632,82;615,27;500,71;528,59;551,15;604,35;13,76
20006;Alkiza;585,21;680,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48912;Alonsotegi;0,00;137,27;290,90;356,98;413,47;739,52;741,61;1.034,00;1.221,45;1.300,19;1.399,74;958,51;1.023,87;1.072,13;627,44;651,08;24,07;43,55;71,52;98,73
20906;Altzaga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66,67;83,18;109,60;256,38;331,43;417,83;494,82;584,48;656,06;725,06
20007;Altzo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20008;Amezketa;0,08;0,08;27,98;56,30;85,62;125,75;167,82;209,59;545,49;597,60;660,51;723,82;776,87;790,51;459,25;472,11;496,97;156,68;157,99;159,17
48003;Amorebieta-Etxano;32,54;47,41;68,48;89,26;111,26;133,86;157,01;180,80;204,22;228,03;281,02;304,78;317,70;0,00;0,00;0,00;0,00;0,00;0,21;2,64
48004;Amoroto;73,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01002;Amurrio;0,00;0,00;0,00;0,00;11,71;23,55;43,23;70,65;105,74;141,06;177,45;213,20;250,14;284,81;317,67;354,14;397,13;438,44;479,98;372,51
20009;Andoain;287,46;323,70;356,41;393,42;434,39;384,13;355,66;187,37;218,61;257,13;303,78;330,57;341,74;283,88;88,80;103,32;120,38;149,37;110,24;138,99
20010;Anoeta;171,68;257,45;340,59;441,98;528,06;632,20;724,52;805,95;911,49;1.034,48;1.090,23;1.206,03;1.337,61;1.419,61;1.512,78;1.609,74;1.695,49;1.705,18;1.703,23;0,00
