Indicadores municipales de sostenibilidad: Establecimientos de bebidas ( ? habitantes);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
Araba/Álava;;3,25;3,35;3,45;3,56;3,63;3,75;3,87;4,00;3,99;4,14;4,10;4,08;4,17;4,36;4,49;4,53
Bizkaia;;3,81;3,98;4,12;4,21;4,28;4,40;4,48;4,54;4,57;4,61;4,54;4,58;4,62;4,83;5,02;5,09
CAE;;3,38;3,52;3,62;3,73;3,83;3,95;4,05;4,13;4,17;4,21;4,20;4,24;4,31;4,50;4,67;4,74
Gipuzkoa;;2,77;2,85;2,90;3,04;3,19;3,32;3,45;3,53;3,59;3,61;3,69;3,75;3,86;4,03;4,19;4,24
"";;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
01100;Arabako Ibarrak / Valles Alaveses;2,52;2,85;3,02;2,58;2,94;3,29;3,80;3,85;3,53;4,17;3,83;4,16;3,34;4,39;4,82;4,75
01200;Arabako Lautada / Llanada Alavesa;3,25;3,31;3,39;3,56;3,61;3,76;3,89;4,04;4,05;4,20;4,19;4,20;4,32;4,49;4,62;4,65
01300;Arabako Mendialdea / Montaña Alavesa;4,35;4,65;4,67;3,55;2,98;2,99;3,32;3,34;3,34;3,62;3,21;2,51;3,12;3,44;2,81;2,83
48100;Arratia Nerbioi / Arratia-Nervión;2,93;3,32;3,48;3,65;3,80;3,94;3,95;3,88;4,09;4,21;3,91;4,09;4,11;4,33;4,54;4,50
20200;Bidasoa Beherea / Bajo Bidasoa;1,96;2,01;2,07;2,34;2,62;2,79;3,04;3,24;3,38;3,44;3,41;3,45;3,41;3,48;3,61;3,56
