Indicadores municipales de sostenibilidad: Gasto liquidado del Ayuntamiento por habitante (?);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;1.667,54;1.505,01;1.434,87;1.460,10;1.387,26;1.398,74;1.378,75;1.434,77;1.407,74;1.371,09;1.293,00;1.520,22;1.693,38;1.850,99;1.616,00;1.560,52;1.437,93;1.259,56;1.161,95;1.233,18;1.175,38
Bizkaia;;1.551,68;1.389,11;1.305,83;1.371,59;1.297,21;1.256,86;1.216,98;1.206,97;1.217,26;1.183,86;1.233,50;1.349,73;1.502,37;1.646,54;1.458,55;1.414,96;1.272,08;1.179,27;1.124,87;1.065,29;938,67
CAE;;1.605,92;1.457,04;1.383,99;1.434,21;1.350,40;1.310,51;1.295,30;1.280,46;1.281,76;1.245,03;1.252,97;1.417,19;1.555,58;1.719,46;1.504,94;1.455,22;1.339,45;1.222,24;1.143,43;1.119,47;1.012,19
Gipuzkoa;;1.663,67;1.543,00;1.485,17;1.522,18;1.418,42;1.356,10;1.382,78;1.328,45;1.328,67;1.287,15;1.266,54;1.480,80;1.580,53;1.780,23;1.531,69;1.474,83;1.406,98;1.276,46;1.165,86;1.159,76;1.064,04
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;1.883,01;1.521,58;1.403,23;1.389,67;1.430,62;1.505,50;1.357,86;1.464,37;1.379,87;1.620,42;1.669,08;1.652,71;2.190,36;1.986,89;1.970,08;1.814,47;1.873,44;1.562,37;1.205,74;1.504,50;1.289,12
01200;Arabako Lautada / Llanada Alavesa;1.713,17;1.558,03;1.451,62;1.494,39;1.410,61;1.398,86;1.414,29;1.465,65;1.430,01;1.383,42;1.286,79;1.494,88;1.677,88;1.880,89;1.615,32;1.528,54;1.413,55;1.232,98;1.144,39;1.194,42;1.179,55
01300;Arabako Mendialdea / Montaña Alavesa;1.563,52;1.165,04;1.596,36;1.384,60;1.155,18;1.363,67;1.278,11;1.167,14;1.209,08;1.169,05;1.215,62;1.362,71;2.014,41;1.620,15;1.330,08;1.215,63;1.362,46;1.359,52;1.061,33;1.079,50;847,83
48100;Arratia Nerbioi / Arratia-Nervión;1.639,72;1.313,24;1.204,98;1.380,96;1.370,89;1.288,92;1.236,67;1.252,51;1.139,98;1.221,60;1.382,95;1.436,39;1.716,43;2.061,18;1.958,29;1.767,50;1.699,48;1.528,05;1.490,05;1.255,07;1.115,83
20200;Bidasoa Beherea / Bajo Bidasoa;1.407,17;1.123,07;1.268,50;1.224,39;1.249,35;1.111,91;1.122,20;1.110,06;1.171,32;1.093,38;1.131,22;1.335,36;1.376,08;1.543,09;1.269,86;1.222,89;1.205,15;1.034,18;988,90;982,28;925,34
48200;Bilbo Handia / Gran Bilbao;1.571,00;1.429,79;1.347,88;1.404,91;1.323,58;1.272,77;1.229,56;1.222,06;1.236,30;1.196,64;1.236,44;1.353,27;1.488,92;1.606,85;1.399,20;1.356,66;1.227,28;1.162,62;1.102,17;1.053,32;917,34
20100;Deba Beherea / Bajo Deba;1.559,60;1.357,54;1.409,84;1.427,87;1.224,25;1.128,87;1.108,03;1.164,32;1.168,59;1.096,91;1.063,98;1.307,87;1.440,96;1.623,51;1.364,53;1.346,51;1.236,69;1.147,50;1.073,85;1.209,70;1.063,30
20300;Debagoiena / Alto Deba;1.739,58;1.599,38;1.554,12;1.519,77;1.433,73;1.378,49;1.392,36;1.415,72;1.415,21;1.325,86;1.352,80;1.524,19;1.643,43;1.865,90;1.634,65;1.572,54;1.688,81;1.396,20;1.242,97;1.133,17;1.067,87
20400;Donostialdea / Donostia-San Sebastián;1.786,88;1.755,01;1.648,60;1.689,29;1.523,83;1.475,66;1.558,33;1.422,20;1.417,85;1.398,37;1.353,99;1.571,93;1.669,84;1.850,15;1.634,55;1.529,77;1.397,85;1.269,59;1.226,75;1.204,20;1.070,41
48300;Durangaldea / Duranguesado;1.490,71;1.264,02;1.228,61;1.244,98;1.234,08;1.143,75;1.191,97;1.162,63;1.207,58;1.200,10;1.215,88;1.235,34;1.518,87;1.705,69;1.568,79;1.457,13;1.297,48;1.132,53;1.040,16;1.090,06;956,48
48400;Enkartazioak / Encartaciones;1.395,27;1.218,84;1.054,47;1.232,59;1.193,62;1.162,26;1.154,88;1.188,19;1.181,24;1.070,17;1.184,76;1.384,57;1.539,81;2.006,84;1.829,18;1.734,66;1.482,39;1.353,09;1.400,10;1.177,38;1.032,93
01400;Errioxa Arabarra / Rioja Alavesa;1.641,81;1.408,29;1.465,60;1.669,37;1.511,99;1.862,74;1.164,25;1.386,70;1.775,16;1.842,47;1.773,03;2.733,76;2.381,52;1.884,71;1.903,17;1.990,01;1.808,47;1.783,14;1.652,54;1.882,34;1.505,60
48500;Gernika-Bermeo;1.479,87;1.262,44;1.144,95;1.247,98;1.172,08;1.159,33;1.155,88;1.132,89;1.110,36;1.128,71;1.205,96;1.364,02;1.613,47;1.645,55;1.692,23;1.645,71;1.349,77;1.264,62;1.270,80;1.115,49;1.108,25
20500;Goierri;1.551,85;1.405,18;1.315,88;1.370,39;1.338,17;1.251,39;1.228,80;1.233,53;1.239,32;1.210,77;1.201,92;1.412,74;1.552,95;1.797,06;1.363,77;1.490,38;1.365,58;1.249,84;1.075,79;1.044,49;1.012,72
01500;Gorbeia Inguruak / Estribaciones del Gorbea;1.559,59;1.188,07;1.236,58;1.254,64;1.528,39;1.419,35;1.360,87;1.298,19;1.307,83;1.260,40;1.273,88;1.406,67;1.787,26;1.733,40;1.415,63;1.479,32;1.668,84;1.040,86;1.167,98;1.219,97;1.043,71
01600;Kantauri Arabarra / Cantábrica Alavesa;1.320,56;1.240,87;1.338,34;1.200,16;1.146,61;1.223,23;1.200,61;1.272,80;1.167,04;1.125,75;1.124,77;1.319,10;1.435,97;1.646,62;1.540,15;1.657,73;1.371,88;1.271,94;1.129,19;1.276,60;1.083,73
48600;Markina-Ondarroa;1.610,66;1.307,11;1.202,14;1.462,27;1.299,16;1.304,39;1.457,03;1.163,15;1.111,36;1.095,58;1.291,65;1.382,02;1.521,50;1.779,05;1.656,44;1.666,61;1.654,36;1.265,37;1.152,10;1.096,41;996,12
48700;Plentzia-Mungia;1.455,21;1.269,22;1.171,05;1.222,96;1.136,57;1.310,52;1.034,19;1.125,64;1.131,15;1.092,76;1.177,59;1.412,49;1.472,19;1.734,85;1.505,12;1.646,79;1.412,33;1.173,30;1.204,78;1.012,77;963,21
20600;Tolosaldea / Tolosa;1.521,53;1.322,33;1.213,65;1.341,65;1.271,24;1.248,26;1.243,11;1.279,03;1.304,62;1.182,94;1.223,87;1.457,48;1.568,80;1.683,77;1.392,43;1.449,29;1.559,67;1.550,65;1.213,52;1.199,53;1.114,70
20700;Urola-Kostaldea / Urola Costa;1.596,04;1.409,19;1.327,18;1.428,37;1.432,56;1.401,16;1.314,25;1.311,82;1.245,22;1.247,15;1.188,03;1.400,94;1.483,95;1.812,33;1.637,50;1.516,14;1.491,91;1.412,86;1.133,67;1.212,19;1.196,78
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
48001;Abadiño;1.881,32;1.336,54;1.215,09;1.444,56;1.289,27;1.147,71;1.134,56;1.206,71;1.276,98;1.214,14;1.370,95;1.387,33;1.399,63;1.784,68;1.129,78;1.223,49;1.358,98;1.155,32;1.016,89;996,53;1.357,98
20001;Abaltzisketa;1.439,70;1.422,00;2.003,22;1.340,00;1.897,78;1.117,58;1.425,92;1.388,95;1.296,15;2.054,22;1.410,38;2.488,25;2.563,14;1.862,15;1.319,69;1.076,02;1.330,58;1.551,18;994,84;1.069,83;1.405,34
48002;Abanto y Ciérvana-Abanto Zierbena;1.660,58;1.358,53;1.306,63;1.339,37;1.433,58;1.284,94;1.237,90;1.312,55;1.133,57;1.108,61;1.220,81;1.473,26;1.272,57;1.675,85;1.688,94;1.687,69;1.638,40;1.279,41;1.167,42;905,68;906,52
20002;Aduna;2.499,00;1.913,72;2.015,04;3.145,29;2.276,48;2.185,90;2.576,68;2.418,88;1.992,64;1.678,80;1.572,19;1.581,02;2.867,65;4.320,18;4.623,16;2.103,96;2.319,26;2.996,14;2.387,55;2.230,90;1.928,12
20016;Aia;1.286,15;1.079,43;1.485,79;1.100,07;1.319,80;1.077,07;1.757,97;1.765,62;982,40;1.132,20;1.108,27;1.166,24;1.333,35;1.542,32;2.036,08;1.251,31;1.630,31;1.382,11;1.051,94;1.237,47;1.348,70
20003;Aizarnazabal;1.774,06;1.757,89;1.614,97;1.483,87;1.374,50;1.531,53;1.799,10;1.804,15;1.768,11;1.523,80;1.880,70;1.615,01;1.622,98;2.721,99;3.338,59;2.579,13;1.478,97;1.296,76;1.288,88;1.419,33;1.237,29
48911;Ajangiz;1.449,43;1.655,71;937,87;1.164,56;1.465,05;1.077,41;1.509,23;1.331,30;1.275,68;1.205,66;1.741,45;2.588,65;2.546,69;2.434,27;2.136,21;1.969,91;1.524,41;2.376,76;1.583,87;1.217,64;1.365,78
20004;Albiztur;2.222,35;1.634,99;1.556,17;1.693,04;1.525,23;1.613,34;1.414,51;2.328,89;1.950,34;1.356,01;1.290,57;1.488,02;2.039,32;1.833,05;1.903,08;2.243,88;2.298,23;2.403,59;918,78;1.013,22;933,22
20005;Alegia;1.188,46;1.321,18;1.028,22;1.147,29;1.410,59;1.390,80;1.022,62;1.139,13;1.042,04;945,52;839,85;1.058,55;1.195,81;1.344,83;1.508,79;1.340,10;905,75;913,11;688,13;833,60;746,62
01001;Alegría-Dulantzi;1.295,35;1.030,53;991,55;1.142,23;1.299,73;1.138,35;1.203,72;1.301,25;1.070,34;977,02;1.003,11;1.028,94;1.610,54;1.731,95;1.509,82;1.377,17;1.583,92;1.802,33;2.247,05;1.131,50;1.186,42
20006;Alkiza;1.797,48;2.454,09;1.751,96;1.431,59;1.829,37;1.434,03;1.731,75;1.794,09;1.945,01;1.236,94;1.348,02;1.140,19;1.626,93;1.481,23;1.280,50;1.365,53;2.518,03;2.372,39;1.206,77;1.201,71;969,30
48912;Alonsotegi;1.534,45;1.418,37;1.104,26;1.022,10;1.320,25;1.158,58;1.149,91;1.209,24;1.038,60;1.028,08;2.112,57;1.126,08;1.411,09;2.875,36;1.464,94;3.514,73;1.866,93;970,58;1.920,26;1.239,62;1.272,73
20906;Altzaga;2.026,21;2.410,11;1.217,01;1.395,85;2.973,41;1.081,18;1.775,77;1.947,73;1.776,05;1.086,67;1.843,07;1.677,22;1.870,71;2.616,66;1.601,47;1.834,79;2.225,97;2.788,08;1.460,36;1.339,71;3.243,40
20007;Altzo;2.146,99;2.765,56;1.745,27;3.324,77;2.884,47;2.688,90;1.708,61;1.813,73;1.503,50;1.953,35;1.925,84;1.931,28;2.317,02;2.095,69;1.230,30;1.333,85;1.395,30;1.422,28;1.375,83;1.957,90;1.695,83
20008;Amezketa;1.918,77;1.693,22;1.544,91;1.323,11;1.675,77;1.529,59;1.204,26;1.324,16;1.276,00;1.165,35;968,65;1.507,91;1.382,54;2.586,79;1.115,79;1.050,53;1.357,41;905,97;652,24;1.136,65;716,01
48003;Amorebieta-Etxano;1.643,75;1.395,55;1.423,68;1.384,79;1.362,05;1.200,50;1.301,99;1.255,56;1.405,89;1.356,54;1.282,38;1.263,46;2.047,18;2.019,34;1.702,13;1.305,48;1.302,44;1.124,25;1.150,69;1.071,74;955,60
48004;Amoroto;2.342,37;1.686,26;1.686,39;1.604,67;1.384,15;1.421,89;1.514,42;1.464,33;1.436,80;1.611,13;1.610,30;1.503,52;1.640,61;2.320,49;2.055,51;2.550,68;2.595,21;1.708,72;1.307,87;1.009,00;1.226,21
01002;Amurrio;1.420,38;1.384,40;1.404,29;1.193,12;1.116,87;1.223,10;1.042,92;1.168,67;1.123,63;1.109,97;1.078,17;1.211,34;1.276,51;1.622,59;1.437,41;1.514,78;1.480,60;1.526,80;1.249,83;1.274,95;1.164,33
20009;Andoain;1.660,00;1.441,08;1.341,56;1.457,96;1.457,88;1.484,19;1.791,10;1.374,66;1.368,10;1.412,58;1.418,88;1.476,66;1.637,22;1.777,30;1.395,95;1.665,21;1.273,23;1.276,78;1.035,54;1.169,09;844,21
20010;Anoeta;1.148,91;1.219,90;1.266,75;1.308,80;1.050,51;1.212,16;899,69;997,85;1.299,16;1.040,79;1.058,79;1.170,24;1.155,63;1.418,20;1.078,29;1.098,38;1.056,74;1.222,96;2.474,80;1.067,65;946,05
20011;Antzuola;1.549,76;1.143,11;1.419,56;1.356,42;1.356,86;1.136,46;1.241,34;1.122,80;1.255,51;1.261,17;1.076,98;1.135,32;1.554,82;2.224,59;1.669,44;916,78;1.050,20;1.220,76;1.042,14;1.047,07;835,42
