Indicadores municipales de sostenibilidad: Hombres ocupados en el sector agropesquero (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;2,32;2,62;2,57;2,75
Bizkaia;;1,22;1,28;1,23;1,22
CAE;;1,36;1,47;1,37;1,43
Gipuzkoa;;1,13;1,22;1,03;1,14
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;8,32;9,70;10,06;10,61
01200;Arabako Lautada / Llanada Alavesa;0,92;1,04;0,99;1,04
01300;Arabako Mendialdea / Montaña Alavesa;11,05;12,33;12,24;14,30
48100;Arratia Nerbioi / Arratia-Nervión;2,73;3,10;3,25;3,50
20200;Bidasoa Beherea / Bajo Bidasoa;1,84;1,91;1,09;1,14
48200;Bilbo Handia / Gran Bilbao;0,55;0,58;0,54;0,51
20100;Deba Beherea / Bajo Deba;1,70;1,81;1,50;1,59
20300;Debagoiena / Alto Deba;0,83;0,81;0,79;0,82
20400;Donostialdea / Donostia-San Sebastián;0,63;0,66;0,66;0,69
48300;Durangaldea / Duranguesado;1,30;1,38;1,35;1,26
48400;Enkartazioak / Encartaciones;4,37;4,78;5,17;5,68
01400;Errioxa Arabarra / Rioja Alavesa;24,47;27,36;27,09;31,59
48500;Gernika-Bermeo;5,82;5,61;5,46;5,36
20500;Goierri;1,04;1,09;1,06;1,23
01500;Gorbeia Inguruak / Estribaciones del Gorbea;4,94;5,38;5,79;6,04
01600;Kantauri Arabarra / Cantábrica Alavesa;2,08;2,32;2,25;2,27
48600;Markina-Ondarroa;8,04;8,59;7,44;7,68
48700;Plentzia-Mungia;1,74;1,83;1,85;1,94
20600;Tolosaldea / Tolosa;1,38;1,64;1,59;1,92
20700;Urola-Kostaldea / Urola Costa;2,31;2,65;1,95;2,37
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;1,24;1,32;1,20;1,30
20001;Abaltzisketa;6,19;6,38;7,61;7,29
48002;Abanto y Ciérvana-Abanto Zierbena;0,60;0,71;0,51;0,45
20002;Aduna;0,00;0,00;0,00;0,74
20016;Aia;8,42;9,06;8,52;12,24
20003;Aizarnazabal;3,35;2,89;1,74;4,42
48911;Ajangiz;3,39;3,36;4,46;3,67
20004;Albiztur;1,25;2,74;2,90;2,67
20005;Alegia;1,09;1,34;0,70;0,94
01001;Alegría-Dulantzi;1,83;2,01;1,87;2,05
20006;Alkiza;5,75;5,81;5,06;6,02
48912;Alonsotegi;2,26;2,07;2,19;2,09
20906;Altzaga;2,94;2,78;3,33;5,41
20007;Altzo;0,96;2,02;2,02;0,00
20008;Amezketa;3,02;5,44;3,62;6,14
48003;Amorebieta-Etxano;1,05;1,09;0,88;0,87
48004;Amoroto;2,08;1,10;1,02;1,06
01002;Amurrio;2,45;2,57;2,29;2,54
20009;Andoain;0,39;0,43;0,43;0,59
20010;Anoeta;1,29;1,90;1,71;1,92
20011;Antzuola;1,83;1,44;1,50;1,64
48005;Arakaldo;2,00;2,17;2,27;2,13
20012;Arama;4,65;4,65;4,76;4,26
01003;Aramaio;5,67;5,41;6,53;6,09
48006;Arantzazu;0,00;0,00;1,04;1,01
48093;Areatza;5,44;5,49;6,86;7,43
20013;Aretxabaleta;0,74;0,64;0,84;0,81
01006;Armiñón;3,08;7,69;10,00;9,84
01037;Arraia-Maeztu;10,00;10,86;10,48;13,04
48009;Arrankudiaga;1,16;0,80;2,07;4,31
20055;Arrasate/Mondragón;0,39;0,40;0,28;0,36
48914;Arratzu;0,00;0,00;0,00;1,12
01008;Arratzua-Ubarrundia;5,94;6,44;7,04;7,55
48010;Arrieta;5,73;7,79;8,78;9,56
48011;Arrigorriaga;0,38;0,22;0,47;0,56
48023;Artea;2,34;1,21;0,63;2,55
48008;Artzentales;7,78;10,69;9,82;12,74
01004;Artziniega;2,65;3,02;2,36;3,17
01009;Asparrena;7,20;6,86;6,87;7,37
20014;Asteasu;4,39;4,38;4,79;5,93
20903;Astigarraga;0,88;1,07;1,16;1,28
20015;Ataun;5,41;5,99;6,11;7,02
48091;Atxondo;4,15;3,60;4,18;3,36
48070;Aulesti;5,30;4,51;5,26;3,57
01010;Ayala/Aiara;5,09;6,02;5,90;6,11
20017;Azkoitia;1,36;1,09;0,92;1,16
20018;Azpeitia;1,51;2,19;2,02;2,03
01049;Añana;7,27;8,33;8,47;14,81
48012;Bakio;3,19;2,98;2,64;3,82
20904;Baliarrain;0,00;0,00;0,00;2,56
48090;Balmaseda;1,05;1,06;1,01;1,18
48013;Barakaldo;0,32;0,37;0,30;0,32
48014;Barrika;1,31;1,34;1,16;0,82
01013;Barrundia;13,77;17,41;17,07;16,84
48015;Basauri;0,41;0,33;0,46;0,41
01011;Baños de Ebro/Mañueta;60,38;68,57;67,05;76,67
20019;Beasain;0,45;0,52;0,58;0,55
48092;Bedia;0,71;0,77;0,75;0,78
20020;Beizama;13,16;13,16;15,79;15,79
20021;Belauntza;3,03;3,03;6,56;3,17
48016;Berango;0,63;0,69;0,54;0,62
01014;Berantevilla;14,50;18,85;18,11;21,43
20022;Berastegi;1,05;1,41;1,78;2,17
20074;Bergara;1,14;1,14;1,10;1,16
48017;Bermeo;12,40;12,27;11,79;10,97
01016;Bernedo;17,76;20,13;18,99;19,23
48018;Berriatua;12,17;15,02;13,77;13,38
48019;Berriz;1,41;1,35;1,38;1,49
20023;Berrobi;1,26;1,89;1,97;1,86
20024;Bidania-Goiatz;4,93;5,30;4,72;7,81
48020;Bilbao;0,60;0,64;0,64;0,57
48021;Busturia;3,81;3,06;3,99;3,29
01017;Campezo/Kanpezu;5,68;6,71;8,27;9,76
20029;Deba;2,35;2,22;2,17;2,29
48901;Derio;0,43;0,45;0,52;0,55
48026;Dima;2,43;3,26;2,63;2,23
20069;Donostia / San Sebastián;0,49;0,50;0,52;0,47
48027;Durango;1,22;1,33;1,50;1,23
48028;Ea;4,48;3,48;2,03;1,97
20030;Eibar;0,67;0,81;0,66;0,57
48031;Elantxobe;2,99;3,03;3,28;2,74
01021;Elburgo/Burgelu;8,70;11,70;13,71;11,05
01022;Elciego;20,16;19,84;18,85;29,24
20031;Elduain;3,03;3,28;3,64;3,33
