Indicadores municipales de sostenibilidad: Hombres ocupados en el sector construcción (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;7,63;7,67;7,90;7,56
Bizkaia;;10,57;10,52;10,71;10,37
CAE;;9,59;9,58;9,81;9,49
Gipuzkoa;;9,00;9,03;9,30;9,05
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;9,37;8,63;8,89;9,27
01200;Arabako Lautada / Llanada Alavesa;7,56;7,63;7,84;7,46
01300;Arabako Mendialdea / Montaña Alavesa;10,04;9,30;9,88;10,13
48100;Arratia Nerbioi / Arratia-Nervión;8,68;8,58;8,67;8,00
20200;Bidasoa Beherea / Bajo Bidasoa;10,60;10,30;10,91;10,66
48200;Bilbo Handia / Gran Bilbao;11,26;11,20;11,36;10,99
20100;Deba Beherea / Bajo Deba;6,91;6,95;6,96;6,62
20300;Debagoiena / Alto Deba;5,31;5,43;5,62;5,22
20400;Donostialdea / Donostia-San Sebastián;9,48;9,61;9,86;9,63
48300;Durangaldea / Duranguesado;7,55;7,61;7,81;7,59
48400;Enkartazioak / Encartaciones;12,66;12,55;12,95;12,56
01400;Errioxa Arabarra / Rioja Alavesa;6,84;6,34;6,21;6,04
48500;Gernika-Bermeo;10,23;10,09;10,66;10,19
20500;Goierri;10,44;10,04;10,37;10,11
01500;Gorbeia Inguruak / Estribaciones del Gorbea;6,41;6,57;6,81;6,64
01600;Kantauri Arabarra / Cantábrica Alavesa;8,16;8,35;8,89;8,52
48600;Markina-Ondarroa;6,40;6,20;6,82;6,63
48700;Plentzia-Mungia;8,04;8,17;8,29;8,19
20600;Tolosaldea / Tolosa;9,12;9,40;9,41;9,40
20700;Urola-Kostaldea / Urola Costa;8,50;8,62;9,02;8,74
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;6,61;6,93;7,09;7,19
20001;Abaltzisketa;9,28;6,38;4,35;5,21
48002;Abanto y Ciérvana-Abanto Zierbena;15,83;15,57;15,99;14,95
20002;Aduna;9,93;9,85;9,02;9,56
20016;Aia;10,22;11,65;13,07;12,05
20003;Aizarnazabal;7,82;7,51;8,14;7,18
48911;Ajangiz;3,39;5,04;4,46;5,50
20004;Albiztur;6,25;4,11;7,25;10,67
20005;Alegia;11,60;12,25;11,48;11,06
01001;Alegría-Dulantzi;10,42;10,17;11,44;9,89
20006;Alkiza;11,49;12,79;12,66;10,84
48912;Alonsotegi;16,29;15,85;15,65;14,93
20906;Altzaga;14,71;19,44;13,33;18,92
20007;Altzo;10,58;9,09;10,10;9,78
20008;Amezketa;9,48;10,04;10,41;9,21
48003;Amorebieta-Etxano;9,61;9,94;10,21;10,06
48004;Amoroto;7,29;7,69;9,18;6,38
01002;Amurrio;9,19;8,99;9,38;9,26
20009;Andoain;11,41;11,19;11,37;11,02
20010;Anoeta;8,32;7,97;8,54;9,00
20011;Antzuola;4,77;5,96;6,39;6,39
48005;Arakaldo;10,00;15,22;9,09;8,51
20012;Arama;9,30;6,98;9,52;8,51
01003;Aramaio;1,98;2,28;2,97;1,66
48006;Arantzazu;10,38;14,14;11,46;10,10
48093;Areatza;10,88;9,89;9,39;10,14
20013;Aretxabaleta;5,48;5,48;6,13;5,94
01006;Armiñón;4,62;4,62;3,33;4,92
01037;Arraia-Maeztu;10,91;9,95;11,43;10,63
48009;Arrankudiaga;8,91;10,00;10,33;10,78
20055;Arrasate/Mondragón;5,35;5,65;5,48;5,13
48914;Arratzu;9,89;9,30;10,98;10,11
01008;Arratzua-Ubarrundia;9,09;11,53;10,92;8,99
48010;Arrieta;9,55;10,39;6,76;8,09
48011;Arrigorriaga;10,47;10,86;11,38;11,77
48023;Artea;7,02;7,27;7,59;7,01
48008;Artzentales;19,76;20,13;22,70;21,02
01004;Artziniega;9,73;9,30;10,17;9,95
01009;Asparrena;6,45;6,13;5,85;3,95
20014;Asteasu;11,71;11,44;12,34;12,59
20903;Astigarraga;10,46;10,52;10,85;10,79
20015;Ataun;9,34;9,48;9,67;8,77
48091;Atxondo;7,72;7,21;6,43;6,42
48070;Aulesti;11,36;13,53;12,78;12,86
01010;Ayala/Aiara;9,10;9,85;9,60;10,42
20017;Azkoitia;8,53;8,37;8,66;8,77
20018;Azpeitia;9,07;9,68;9,81;9,45
01049;Añana;10,91;5,00;6,78;7,41
