Indicadores municipales de sostenibilidad: Hombres ocupados en el sector industria (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;33,19;32,89;34,12;33,74
Bizkaia;;22,51;22,46;23,00;23,33
CAE;;27,50;27,51;28,12;28,23
Gipuzkoa;;32,50;32,67;33,17;33,13
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;34,34;34,09;35,56;34,19
01200;Arabako Lautada / Llanada Alavesa;32,01;31,70;32,88;32,77
01300;Arabako Mendialdea / Montaña Alavesa;30,13;30,94;32,47;32,54
48100;Arratia Nerbioi / Arratia-Nervión;37,37;37,08;37,40;38,64
20200;Bidasoa Beherea / Bajo Bidasoa;21,07;20,97;21,62;20,37
48200;Bilbo Handia / Gran Bilbao;18,70;18,61;19,05;19,35
20100;Deba Beherea / Bajo Deba;45,80;46,09;46,78;47,03
20300;Debagoiena / Alto Deba;52,40;52,40;52,83;53,43
20400;Donostialdea / Donostia-San Sebastián;21,12;21,21;21,60;21,48
48300;Durangaldea / Duranguesado;43,71;43,78;44,95;45,48
48400;Enkartazioak / Encartaciones;25,31;25,01;24,50;24,46
01400;Errioxa Arabarra / Rioja Alavesa;33,22;32,16;33,12;26,36
48500;Gernika-Bermeo;26,42;26,97;28,41;28,80
20500;Goierri;51,36;52,04;52,59;52,36
01500;Gorbeia Inguruak / Estribaciones del Gorbea;31,71;31,24;31,84;31,62
01600;Kantauri Arabarra / Cantábrica Alavesa;43,02;42,88;44,58;44,54
48600;Markina-Ondarroa;39,08;39,16;40,05;40,37
48700;Plentzia-Mungia;21,12;20,62;21,26;21,68
20600;Tolosaldea / Tolosa;43,43;43,68;44,35;43,81
20700;Urola-Kostaldea / Urola Costa;41,70;41,51;41,81;42,45
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;48,79;49,09;50,51;51,22
20001;Abaltzisketa;45,36;53,19;51,09;53,12
48002;Abanto y Ciérvana-Abanto Zierbena;24,04;23,82;24,71;26,66
20002;Aduna;42,55;40,91;42,11;41,91
20016;Aia;32,08;31,98;32,20;30,98
20003;Aizarnazabal;51,40;53,18;55,23;56,35
48911;Ajangiz;37,29;36,13;38,39;37,61
20004;Albiztur;53,75;50,68;50,72;50,67
20005;Alegia;43,11;45,88;49,41;49,18
01001;Alegría-Dulantzi;36,77;36,29;36,44;36,79
20006;Alkiza;48,28;47,67;48,10;44,58
48912;Alonsotegi;21,72;21,63;21,75;21,99
20906;Altzaga;35,29;30,56;36,67;37,84
20007;Altzo;48,08;47,47;44,44;44,57
20008;Amezketa;58,19;59,83;60,63;59,21
48003;Amorebieta-Etxano;37,87;37,74;39,51;40,11
48004;Amoroto;41,67;45,05;37,76;39,36
01002;Amurrio;44,93;44,84;47,02;47,55
20009;Andoain;36,24;36,91;37,35;37,51
20010;Anoeta;48,98;51,04;50,85;50,38
20011;Antzuola;61,83;62,64;61,28;62,96
48005;Arakaldo;42,00;41,30;34,09;42,55
20012;Arama;46,51;51,16;50,00;48,94
01003;Aramaio;45,89;46,44;45,99;49,03
48006;Arantzazu;41,51;41,41;43,75;42,42
48093;Areatza;33,33;31,50;31,77;33,45
20013;Aretxabaleta;52,23;53,06;52,76;52,86
01006;Armiñón;41,54;38,46;41,67;45,90
01037;Arraia-Maeztu;28,64;32,13;30,00;31,40
48009;Arrankudiaga;24,42;25,60;22,73;23,71
20055;Arrasate/Mondragón;47,80;47,23;48,45;48,28
48914;Arratzu;36,26;41,86;46,34;46,07
01008;Arratzua-Ubarrundia;29,72;29,15;27,82;28,78
48010;Arrieta;16,56;14,94;17,57;19,85
48011;Arrigorriaga;23,82;24,37;25,41;26,43
48023;Artea;34,50;35,15;35,44;36,31
48008;Artzentales;15,57;15,72;14,72;14,65
01004;Artziniega;33,63;34,19;35,70;37,56
01009;Asparrena;42,43;40,20;42,24;42,89
20014;Asteasu;39,27;38,20;39,04;38,27
20903;Astigarraga;25,37;25,50;25,36;25,48
20015;Ataun;49,63;49,88;50,89;50,63
48091;Atxondo;46,59;47,45;49,52;49,54
48070;Aulesti;43,94;44,36;42,86;42,86
01010;Ayala/Aiara;44,58;44,32;46,78;46,25
20017;Azkoitia;52,01;52,31;51,97;53,04
20018;Azpeitia;48,64;47,84;47,93;48,42
01049;Añana;23,64;26,67;32,20;37,04
48012;Bakio;19,53;20,45;19,77;18,65
20904;Baliarrain;45,45;46,34;48,65;51,28
48090;Balmaseda;27,95;28,22;28,18;27,09
48013;Barakaldo;21,02;20,67;21,08;21,93
48014;Barrika;15,67;14,44;13,04;15,11
01013;Barrundia;26,09;24,23;25,09;26,32
48015;Basauri;24,94;24,91;26,25;26,95
01011;Baños de Ebro/Mañueta;27,36;17,14;17,05;15,56
20019;Beasain;50,63;51,24;52,16;51,69
48092;Bedia;30,60;32,31;32,21;34,51
20020;Beizama;21,05;21,05;15,79;15,79
20021;Belauntza;40,91;39,39;39,34;36,51
48016;Berango;16,66;16,34;16,53;16,15
01014;Berantevilla;39,69;42,62;40,16;32,14
20022;Berastegi;49,83;48,76;51,25;47,29
20074;Bergara;49,35;49,34;49,42;50,58
48017;Bermeo;20,57;21,05;21,82;22,61
01016;Bernedo;31,58;27,92;32,28;35,26
48018;Berriatua;45,39;46,33;45,25;46,82
48019;Berriz;48,89;48,20;49,77;49,91
20023;Berrobi;54,09;52,20;52,63;53,42
20024;Bidania-Goiatz;46,48;45,45;42,52;45,31
48020;Bilbao;14,59;14,63;14,92;15,01
48021;Busturia;30,52;30,56;28,77;29,04
01017;Campezo/Kanpezu;35,02;35,78;35,97;34,84
20029;Deba;41,18;40,74;42,65;42,35
48901;Derio;25,98;27,01;26,18;28,71
48026;Dima;33,69;32,61;33,68;37,43
20069;Donostia / San Sebastián;16,40;16,49;16,58;16,47
48027;Durango;40,88;40,70;41,59;41,82
48028;Ea;25,87;28,86;28,43;28,08
20030;Eibar;43,03;43,61;44,54;44,77
48031;Elantxobe;25,37;30,30;36,07;34,25
01021;Elburgo/Burgelu;27,72;26,90;25,71;25,26
01022;Elciego;38,27;42,02;45,49;30,93
20031;Elduain;54,55;63,93;65,45;63,33
20033;Elgeta;50,71;51,09;52,82;53,75
20032;Elgoibar;50,48;51,33;51,52;51,93
48032;Elorrio;46,55;46,15;46,45;47,61
01023;Elvillar/Bilar;28,75;18,82;17,44;18,39
48902;Erandio;19,49;18,89;18,96;19,46
48033;Ereño;39,19;38,46;47,89;37,31
48034;Ermua;51,63;52,05;53,20;53,86
20067;Errenteria;24,42;24,67;25,28;25,67
20066;Errezil;45,62;43,79;43,14;43,12
01046;Erriberagoitia/Ribera Alta;26,52;25,76;27,27;28,16
48079;Errigoiti;32,00;31,82;31,78;34,17
20034;Eskoriatza;53,95;54,55;55,67;56,61
48029;Etxebarri;22,36;21,64;23,21;22,64
48030;Etxebarria;47,93;47,31;47,97;49,10
20035;Ezkio-Itsaso;53,55;50,91;51,90;52,69
48906;Forua;27,32;27,55;25,25;27,45
48035;Fruiz;21,71;19,20;16,13;20,34
20038;Gabiria;48,99;49,01;51,06;50,00
20037;Gaintza;44,12;43,59;44,44;40,62
48036;Galdakao;29,33;29,31;29,91;30,57
48037;Galdames;28,57;27,52;25,36;27,14
48038;Gamiz-Fika;28,57;26,52;27,66;27,16
48039;Garai;42,39;42,86;42,71;40,00
48040;Gatika;25,44;25,91;29,18;30,13
48041;Gautegiz Arteaga;22,98;20,98;24,51;30,96
20907;Gaztelu;30,23;22,92;19,15;16,28
48046;Gernika-Lumo;30,40;31,11;33,15;33,18
20039;Getaria;38,58;37,18;39,60;37,61
48044;Getxo;14,25;14,27;14,67;14,16
48047;Gizaburuaga;49,12;45,10;52,63;54,55
48042;Gordexola;24,23;23,24;21,28;25,83
48043;Gorliz;15,18;15,19;15,76;15,62
48045;Güeñes;24,44;24,35;24,31;24,52
01056;Harana/Valle de Arana;14,29;13,79;19,30;14,04
20040;Hernani;27,78;27,62;28,79;28,96
20041;Hernialde;34,25;28,99;33,33;38,24
20036;Hondarribia;19,29;18,86;20,11;19,24
20042;Ibarra;45,03;44,32;45,03;44,69
48048;Ibarrangelu;20,56;18,50;20,23;21,33
20043;Idiazabal;59,71;57,07;60,07;56,81
48094;Igorre;41,88;40,59;41,14;42,77
20044;Ikaztegieta;51,46;45,28;50,00;44,07
20045;Irun;21,57;21,58;22,04;20,69
20046;Irura;47,99;47,96;47,74;45,76
01027;Iruraiz-Gauna;29,24;25,95;27,17;23,78
01901;Iruña Oka/Iruña de Oca;34,27;34,77;36,69;36,02
48049;Ispaster;38,67;38,06;36,13;34,59
20047;Itsasondo;49,10;45,28;53,55;49,12
48910;Iurreta;44,47;44,80;46,43;48,14
48050;Izurtza;39,06;31,67;37,88;39,44
48022;Karrantza Harana/Valle de Carranza;21,05;19,90;18,59;16,64
48907;Kortezubi;26,61;26,36;27,27;30,56
01019;Kripan;33,33;29,79;33,33;15,91
01020;Kuartango;32,73;31,82;36,94;42,57
01028;Labastida/Bastida;32,08;30,65;32,46;26,93
01030;Lagrán;11,63;16,28;21,43;27,03
01031;Laguardia;32,92;32,51;34,60;28,01
01032;Lanciego/Lantziego;21,97;24,86;23,70;19,44
