Indicadores municipales de sostenibilidad: Hombres ocupados en el sector servicios (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;56,86;56,83;55,41;55,95
Bizkaia;;65,70;65,74;65,05;65,09
CAE;;61,57;61,45;60,70;60,85
Gipuzkoa;;57,42;57,08;56,49;56,67
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;47,96;47,59;45,49;45,94
01200;Arabako Lautada / Llanada Alavesa;59,51;59,63;58,28;58,73
01300;Arabako Mendialdea / Montaña Alavesa;48,77;47,42;45,41;43,03
48100;Arratia Nerbioi / Arratia-Nervión;51,23;51,24;50,68;49,87
20200;Bidasoa Beherea / Bajo Bidasoa;66,50;66,82;66,38;67,83
48200;Bilbo Handia / Gran Bilbao;69,48;69,60;69,04;69,16
20100;Deba Beherea / Bajo Deba;46,28;45,15;44,76;44,76
20300;Debagoiena / Alto Deba;41,45;41,36;40,76;40,54
20400;Donostialdea / Donostia-San Sebastián;68,77;68,53;67,89;68,20
48300;Durangaldea / Duranguesado;47,44;47,24;45,89;45,67
48400;Enkartazioak / Encartaciones;57,67;57,66;57,38;57,30
01400;Errioxa Arabarra / Rioja Alavesa;35,48;34,14;33,59;36,00
48500;Gernika-Bermeo;57,53;57,33;55,47;55,65
20500;Goierri;37,16;36,84;35,98;36,30
01500;Gorbeia Inguruak / Estribaciones del Gorbea;56,94;56,81;55,56;55,70
01600;Kantauri Arabarra / Cantábrica Alavesa;46,73;46,46;44,28;44,66
48600;Markina-Ondarroa;46,48;46,05;45,69;45,32
48700;Plentzia-Mungia;69,09;69,38;68,60;68,19
20600;Tolosaldea / Tolosa;46,07;45,28;44,64;44,86
20700;Urola-Kostaldea / Urola Costa;47,48;47,22;47,22;46,44
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;43,36;42,66;41,20;40,30
20001;Abaltzisketa;39,18;34,04;36,96;34,38
48002;Abanto y Ciérvana-Abanto Zierbena;59,53;59,90;58,79;57,94
20002;Aduna;47,52;49,24;48,87;47,79
20016;Aia;49,28;47,32;46,21;44,74
20003;Aizarnazabal;37,43;36,42;34,88;32,04
48911;Ajangiz;55,93;55,46;52,68;53,21
20004;Albiztur;38,75;42,47;39,13;36,00
20005;Alegia;44,20;40,53;38,41;38,82
01001;Alegría-Dulantzi;50,97;51,54;50,25;51,27
20006;Alkiza;34,48;33,72;34,18;38,55
48912;Alonsotegi;59,73;60,44;60,41;61,00
20906;Altzaga;47,06;47,22;46,67;37,84
20007;Altzo;40,38;41,41;43,43;45,65
20008;Amezketa;29,31;24,69;25,34;25,44
48003;Amorebieta-Etxano;51,47;51,23;49,40;48,96
48004;Amoroto;48,96;46,15;52,04;53,19
01002;Amurrio;43,43;43,60;41,31;40,65
20009;Andoain;51,96;51,47;50,85;50,89
20010;Anoeta;41,40;39,09;38,90;38,70
20011;Antzuola;31,56;29,96;30,83;29,01
48005;Arakaldo;46,00;41,30;54,55;46,81
20012;Arama;39,53;37,21;35,71;38,30
01003;Aramaio;46,46;45,87;44,51;43,21
48006;Arantzazu;48,11;44,44;43,75;46,46
48093;Areatza;50,34;53,11;51,99;48,99
20013;Aretxabaleta;41,55;40,82;40,26;40,39
01006;Armiñón;50,77;49,23;45,00;39,34
01037;Arraia-Maeztu;50,45;47,06;48,10;44,93
48009;Arrankudiaga;65,50;63,60;64,88;61,21
20055;Arrasate/Mondragón;46,46;46,72;45,80;46,23
48914;Arratzu;53,85;48,84;42,68;42,70
01008;Arratzua-Ubarrundia;55,24;52,88;54,23;54,68
48010;Arrieta;68,15;66,88;66,89;62,50
48011;Arrigorriaga;65,33;64,56;62,74;61,24
48023;Artea;56,14;56,36;56,33;54,14
48008;Artzentales;56,89;53,46;52,76;51,59
01004;Artziniega;53,98;53,49;51,77;49,32
01009;Asparrena;43,92;46,81;45,04;45,79
20014;Asteasu;44,63;45,99;43,83;43,21
20903;Astigarraga;63,29;62,92;62,63;62,45
20015;Ataun;35,63;34,66;33,33;33,58
48091;Atxondo;41,54;41,74;39,87;40,67
48070;Aulesti;39,39;37,59;39,10;40,71
01010;Ayala/Aiara;41,23;39,81;37,72;37,22
20017;Azkoitia;38,10;38,22;38,45;37,04
20018;Azpeitia;40,78;40,30;40,23;40,09
01049;Añana;58,18;60,00;52,54;40,74
48012;Bakio;70,50;69,32;69,55;70,49
20904;Baliarrain;38,64;34,15;29,73;25,64
48090;Balmaseda;59,35;59,23;58,52;59,21
48013;Barakaldo;65,04;65,25;64,82;64,41
48014;Barrika;74,41;73,26;74,20;73,90
01013;Barrundia;53,62;51,54;49,83;50,18
48015;Basauri;62,25;61,91;60,40;60,28
01011;Baños de Ebro/Mañueta;11,32;12,38;12,50;5,56
20019;Beasain;36,65;36,39;34,79;35,85
48092;Bedia;56,94;55,38;55,06;53,73
20020;Beizama;47,37;50,00;52,63;47,37
20021;Belauntza;34,85;37,88;34,43;38,10
48016;Berango;74,93;75,12;74,94;74,85
01014;Berantevilla;41,98;34,43;35,43;40,18
20022;Berastegi;39,02;38,52;35,59;39,71
20074;Bergara;43,10;43,19;42,91;42,34
48017;Bermeo;55,10;54,73;54,24;54,69
01016;Bernedo;42,11;43,51;40,51;37,18
48018;Berriatua;35,86;33,55;32,79;33,44
48019;Berriz;43,85;44,51;42,79;41,65
20023;Berrobi;36,48;38,36;38,16;35,40
20024;Bidania-Goiatz;40,85;41,67;44,09;35,94
48020;Bilbao;74,44;74,56;74,08;74,50
48021;Busturia;59,13;60,00;58,40;59,58
01017;Campezo/Kanpezu;50,16;47,92;46,40;45,99
20029;Deba;50,43;50,87;48,67;49,08
48901;Derio;62,99;62,07;62,66;60,71
48026;Dima;54,99;56,79;56,84;52,51
20069;Donostia / San Sebastián;75,73;75,57;75,33;75,69
48027;Durango;51,71;51,99;50,50;50,72
