Indicadores municipales de sostenibilidad: Hombres parados de larga duración registrados en LANBIDE (% Hombres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2007;2005
Araba/Álava;;3,21;3,20;3,51;4,16;3,18;3,40;3,99;4,60;5,34;5,79;5,48;4,68;3,33;2,67;1,84;0,86;0,94
Bizkaia;;3,50;3,57;3,87;4,64;3,70;4,13;4,58;5,05;5,67;6,29;6,02;5,32;3,85;2,88;2,05;1,28;1,68
CAE;;3,02;3,06;3,34;4,00;3,14;3,48;3,95;4,38;5,00;5,56;5,33;4,66;3,46;2,81;1,99;1,15;1,40
Gipuzkoa;;2,18;2,20;2,41;2,91;2,22;2,49;2,90;3,22;3,78;4,28;4,13;3,60;2,88;2,77;1,95;1,08;1,16
"";;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2007;2005
01100;Arabako Ibarrak / Valles Alaveses;2,19;2,17;1,93;2,35;1,54;1,66;1,77;2,41;2,90;2,89;3,52;2,37;1,84;1,54;0,68;0,38;0,34
01200;Arabako Lautada / Llanada Alavesa;3,35;3,36;3,70;4,39;3,36;3,66;4,21;4,88;5,66;6,14;5,79;4,92;3,49;2,86;1,97;0,91;0,96
01300;Arabako Mendialdea / Montaña Alavesa;2,20;1,69;1,38;1,86;1,30;1,61;1,99;2,57;2,36;3,22;4,18;4,11;3,12;1,94;0,76;1,18;0,86
48100;Arratia Nerbioi / Arratia-Nervión;1,84;1,99;2,15;2,59;2,03;2,58;2,66;3,41;3,93;4,50;4,49;4,05;3,15;2,27;1,64;0,62;0,91
20200;Bidasoa Beherea / Bajo Bidasoa;2,70;2,55;2,76;3,33;2,66;2,64;3,10;3,48;4,32;4,75;4,41;3,93;3,33;2,86;2,23;1,50;1,40
48200;Bilbo Handia / Gran Bilbao;3,89;3,97;4,30;5,15;4,16;4,65;5,12;5,60;6,24;6,88;6,57;5,80;4,25;3,10;2,23;1,48;1,94
20100;Deba Beherea / Bajo Deba;2,61;2,67;3,09;3,49;2,68;2,98;3,66;3,84;4,70;4,98;4,83;4,11;3,21;3,55;2,44;0,98;1,05
20300;Debagoiena / Alto Deba;1,97;1,94;2,11;2,55;1,81;2,26;2,48;2,95;3,23;3,54;3,08;2,75;2,15;2,55;1,98;0,77;0,66
