Indicadores municipales de sostenibilidad: Hombres parados registrados en Lanbide (% hombres de 16 a 64 años);;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
Araba/Álava;;7,07;7,31;7,98;9,27;7,80;8,15;8,56;9,64;10,89;12,39;12,48;12,23;9,88;9,18;8,79;6,57;3,82;3,85;4,32;3,75
Bizkaia;;7,29;7,57;8,12;9,43;8,25;8,69;9,22;9,96;11,14;12,52;12,76;12,89;10,77;9,92;9,39;7,09;4,58;4,65;5,56;4,88
CAE;;6,65;6,85;7,34;8,58;7,38;7,74;8,24;9,03;10,16;11,53;11,73;11,86;9,88;9,29;8,91;6,62;4,23;4,28;4,93;4,26
Gipuzkoa;;5,29;5,51;5,81;6,91;5,81;6,05;6,53;7,28;8,26;9,53;9,72;10,01;8,41;8,29;8,20;5,88;3,84;3,88;4,17;3,46
"";;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
01100;Arabako Ibarrak / Valles Alaveses;4,68;4,82;4,81;5,44;4,98;4,49;4,37;5,18;6,30;7,29;7,84;7,62;6,29;5,20;4,81;2,87;2,30;1,82;1,96;1,87
01200;Arabako Lautada / Llanada Alavesa;7,21;7,51;8,11;9,52;7,94;8,42;8,82;9,93;11,31;12,87;13,03;12,79;10,24;9,72;9,24;7,00;4,07;4,03;4,44;3,74
01300;Arabako Mendialdea / Montaña Alavesa;4,41;3,91;4,57;6,02;4,55;5,38;5,78;5,71;6,03;7,38;9,10;9,73;8,41;7,04;5,92;3,10;3,47;3,68;2,83;2,75
48100;Arratia Nerbioi / Arratia-Nervión;4,52;4,85;5,07;5,96;5,47;6,75;5,74;6,94;8,06;9,20;9,58;10,00;8,70;7,91;7,89;6,04;3,17;3,15;3,86;3,49
20200;Bidasoa Beherea / Bajo Bidasoa;6,48;6,35;6,80;7,78;6,87;6,68;7,07;8,11;9,52;10,79;10,84;11,30;9,65;9,23;8,87;7,09;4,73;5,00;4,96;3,93
48200;Bilbo Handia / Gran Bilbao;7,85;8,08;8,67;10,09;8,80;9,30;9,96;10,65;11,94;13,36;13,62;13,70;11,50;10,57;9,78;7,43;4,99;5,08;6,04;5,35
20100;Deba Beherea / Bajo Deba;6,30;6,23;6,62;7,63;6,81;7,24;7,85;8,18;9,42;10,77;10,02;10,59;9,23;8,91;9,41;6,06;3,47;3,72;4,04;2,48
20300;Debagoiena / Alto Deba;4,80;5,26;5,69;6,49;5,43;5,75;5,68;6,93;7,51;8,71;8,45;8,38;6,95;7,14;8,35;6,56;3,59;2,92;3,28;2,68
20400;Donostialdea / Donostia-San Sebastián;5,34;5,63;5,96;7,14;5,96;6,28;6,84;7,40;8,39;9,49;10,08;10,31;8,65;8,38;8,03;5,96;4,17;4,21;4,63;3,94
48300;Durangaldea / Duranguesado;5,51;5,85;6,21;7,19;6,38;6,35;6,64;7,14;7,82;9,72;9,89;10,35;8,18;8,01;9,02;5,96;2,76;2,56;3,21;2,78
48400;Enkartazioak / Encartaciones;7,56;7,50;7,99;9,09;8,43;9,21;9,95;11,20;12,87;13,92;13,75;13,90;11,30;8,78;7,82;6,42;4,46;3,87;4,38;3,85
01400;Errioxa Arabarra / Rioja Alavesa;5,12;6,16;7,82;8,59;7,72;8,53;8,70;9,52;10,55;11,46;11,12;10,64;8,67;7,54;6,36;4,46;2,20;1,97;2,39;2,49
48500;Gernika-Bermeo;6,12;6,57;7,01;7,96;7,28;7,31;7,58;8,74;9,73;10,48;10,78;10,76;8,98;7,96;7,67;6,26;3,51;3,79;4,98;3,84
20500;Goierri;4,97;5,16;5,04;6,25;5,03;4,99;5,39;6,35;6,37;8,06;8,05;8,58;7,28;7,82;7,75;4,95;2,65;2,39;2,78;2,61
01500;Gorbeia Inguruak / Estribaciones del Gorbea;4,00;3,53;4,66;5,18;4,03;4,87;3,86;4,96;5,76;5,90;6,58;6,52;5,65;5,89;5,14;4,37;1,89;2,24;2,38;2,36
01600;Kantauri Arabarra / Cantábrica Alavesa;8,42;8,15;9,14;10,02;8,72;7,89;8,95;10,08;10,67;12,42;11,73;11,37;9,61;7,54;8,19;5,70;3,32;3,96;5,09;4,98
48600;Markina-Ondarroa;4,79;5,89;6,33;6,94;5,76;6,47;6,26;6,53;7,88;8,79;8,94;9,88;7,29;7,16;7,80;6,39;3,11;3,36;3,87;3,29
48700;Plentzia-Mungia;5,51;5,90;6,52;7,66;6,43;6,45;6,74;7,90;8,19;9,08;9,33;9,17;8,07;7,83;7,55;5,63;3,83;4,12;4,86;3,88
20600;Tolosaldea / Tolosa;4,69;4,99;5,08;6,25;5,19;5,29;6,23;7,04;8,04;9,32;9,45;10,01;8,37;8,28;7,65;5,22;3,70;4,32;4,04;3,43
20700;Urola-Kostaldea / Urola Costa;4,29;4,57;4,87;5,99;4,87;5,33;5,71;6,53;8,07;9,70;9,63;9,68;7,86;7,93;8,00;4,80;3,17;3,25;3,51;3,06
"";;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
