Indicadores municipales de sostenibilidad: Índice de rotación contractual (contratos/personas);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;2,77;2,82;3,15;2,95;3,41;3,22;3,29;3,14;3,25;3,00;2,83;2,73;2,65;2,85;2,39;2,36;2,43;2,44;2,45
Bizkaia;;2,63;2,66;3,09;3,05;3,47;3,38;3,44;3,45;3,34;3,17;3,12;3,15;3,07;3,24;2,76;2,83;2,87;2,80;2,74
CAE;;2,65;2,68;3,03;2,92;3,31;3,19;3,27;3,26;3,23;3,06;2,99;2,97;2,91;3,11;2,65;2,66;2,69;2,65;2,63
Gipuzkoa;;2,62;2,63;2,85;2,69;3,01;2,89;3,00;3,02;3,05;2,92;2,87;2,80;2,80;3,04;2,64;2,55;2,54;2,53;2,55
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;1,96;2,06;3,41;2,72;3,15;2,72;2,54;3,22;2,55;2,76;2,93;2,85;2,46;2,23;1,90;1,92;2,05;2,65;2,83
01200;Arabako Lautada / Llanada Alavesa;2,91;2,92;3,21;2,97;3,45;3,21;3,23;3,14;3,28;3,02;2,88;2,77;2,73;2,92;2,52;2,48;2,53;2,52;2,51
01300;Arabako Mendialdea / Montaña Alavesa;2,31;2,71;2,32;2,24;2,18;2,31;2,39;2,02;2,05;2,05;2,00;2,29;2,16;1,59;1,81;1,79;1,94;1,96;1,61
48100;Arratia Nerbioi / Arratia-Nervión;2,91;2,33;3,31;3,57;3,74;3,30;3,49;3,59;3,51;3,11;3,34;3,26;3,29;3,61;3,24;2,59;2,78;2,89;2,54
20200;Bidasoa Beherea / Bajo Bidasoa;2,30;2,49;2,70;2,84;3,10;3,08;3,15;3,09;3,12;3,02;3,07;2,77;2,69;2,77;2,52;2,50;2,65;2,69;2,62
48200;Bilbo Handia / Gran Bilbao;2,58;2,65;3,07;3,02;3,43;3,36;3,42;3,38;3,28;3,16;3,10;3,17;3,08;3,26;2,77;2,88;2,90;2,81;2,76
20100;Deba Beherea / Bajo Deba;2,59;2,73;2,68;2,53;2,76;2,54;2,70;2,74;2,72;2,55;2,60;2,43;2,37;2,43;2,03;2,08;2,07;2,07;2,01
20300;Debagoiena / Alto Deba;2,65;2,67;2,91;2,45;2,55;2,47;2,60;2,63;2,63;2,45;2,44;2,32;2,49;2,85;2,37;2,49;2,38;2,35;2,45
20400;Donostialdea / Donostia-San Sebastián;2,76;2,75;3,02;2,84;3,30;3,15;3,23;3,21;3,24;3,08;3,01;3,04;3,02;3,21;2,83;2,82;2,73;2,69;2,71
48300;Durangaldea / Duranguesado;3,01;3,10;3,46;3,41;4,08;3,82;3,92;4,23;4,12;3,58;3,65;3,34;3,27;3,38;2,78;2,91;3,12;3,03;2,96
48400;Enkartazioak / Encartaciones;3,34;3,11;3,76;3,82;4,08;4,16;4,34;4,41;4,22;4,02;3,95;3,68;3,11;3,32;2,90;2,85;2,46;2,54;2,42
01400;Errioxa Arabarra / Rioja Alavesa;2,05;2,21;2,41;2,30;2,71;2,68;2,86;2,53;2,48;2,38;2,27;2,22;1,97;2,56;1,61;1,48;1,49;1,43;1,47
48500;Gernika-Bermeo;2,54;2,48;2,89;2,66;3,01;2,98;3,11;3,06;2,74;2,61;2,63;2,72;2,80;2,68;2,20;2,26;2,34;2,31;2,26
20500;Goierri;2,54;2,55;2,70;2,22;2,27;2,18;2,38;2,37;2,44;2,34;2,24;2,11;2,19;2,33;1,90;1,82;1,91;1,90;2,01
01500;Gorbeia Inguruak / Estribaciones del Gorbea;2,53;2,47;2,64;2,49;2,57;2,52;2,76;2,55;2,64;2,59;2,38;2,13;2,04;2,35;1,99;2,39;2,65;2,50;2,10
01600;Kantauri Arabarra / Cantábrica Alavesa;2,76;3,28;4,18;4,39;4,91;4,77;5,16;4,77;5,10;4,48;3,77;3,54;3,39;3,19;2,80;2,68;2,68;2,70;2,82
48600;Markina-Ondarroa;2,32;2,14;2,53;2,61;2,74;2,60;2,48;2,69;2,61;2,54;2,47;2,61;2,63;3,10;3,29;2,65;2,86;2,94;2,96
48700;Plentzia-Mungia;2,48;2,25;2,70;2,73;2,99;2,97;2,86;3,05;3,01;2,79;2,64;2,72;2,77;2,80;2,33;2,23;2,31;2,29;2,13
20600;Tolosaldea / Tolosa;2,46;2,49;2,78;2,73;2,70;2,64;2,82;3,14;3,41;3,53;3,25;2,91;3,04;4,13;3,47;2,52;3,06;3,16;3,17
20700;Urola-Kostaldea / Urola Costa;2,15;2,04;2,30;2,28;2,59;2,58;2,70;2,72;2,70;2,55;2,63;2,53;2,51;2,66;2,24;2,02;1,99;2,01;2,00
"";;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadiño;2,49;3,41;3,44;3,15;3,71;3,00;3,40;3,23;3,04;2,74;2,82;2,81;2,89;2,79;2,70;2,96;2,60;2,42;2,17
20001;Abaltzisketa;2,79;2,21;1,86;2,74;2,34;1,99;2,44;2,98;3,43;2,58;2,21;1,56;2,13;2,09;1,76;1,31;1,40;1,67;1,52
48002;Abanto y Ciérvana-Abanto Zierbena;2,27;3,20;3,46;3,60;3,23;3,08;3,06;3,17;3,09;2,95;2,69;2,59;2,58;2,66;2,61;2,44;2,34;2,21;2,46
20002;Aduna;1,92;2,02;1,63;1,62;1,75;1,73;1,76;1,95;2,05;2,20;1,86;2,30;1,86;1,96;1,41;1,65;1,68;1,69;1,63
20016;Aia;2,61;2,24;2,38;2,22;2,35;2,98;2,91;3,04;3,35;1,90;2,00;1,82;2,00;2,55;1,88;1,69;1,57;1,55;1,66
20003;Aizarnazabal;2,16;2,12;2,17;2,01;2,06;1,99;3,51;2,12;1,54;2,06;2,18;1,62;1,98;1,99;2,22;1,82;1,59;2,41;2,14
48911;Ajangiz;1,66;1,52;1,39;1,27;1,37;1,30;1,23;1,55;1,47;1,29;1,50;1,44;1,77;1,41;1,62;1,39;1,43;1,45;1,38
20004;Albiztur;2,21;2,58;1,85;2,21;2,39;1,75;1,68;2,25;1,89;2,42;2,29;2,06;1,86;6,12;4,26;2,42;2,30;2,12;1,57
20005;Alegia;1,97;2,09;2,25;1,95;2,37;2,57;2,46;3,20;2,68;2,38;1,85;2,31;2,59;1,85;1,82;1,82;2,03;2,57;2,12
01001;Alegría-Dulantzi;2,04;2,26;2,29;2,07;2,44;2,47;2,59;2,86;2,57;2,63;2,55;2,93;2,46;2,16;1,80;1,77;1,84;2,10;1,79
20006;Alkiza;1,62;2,26;2,43;2,06;2,04;2,58;3,00;4,13;3,83;4,62;2,68;3,22;1,23;2,52;1,84;2,34;1,77;1,78;1,54
48912;Alonsotegi;2,37;1,65;2,35;2,77;2,77;2,69;3,29;2,50;3,09;3,52;2,85;2,63;2,85;3,24;2,57;3,50;2,29;1,98;2,73
20906;Altzaga;1,67;1,29;3,25;2,00;1,88;2,00;1,82;1,78;1,14;2,17;1,89;1,60;2,20;1,25;3,00;2,00;1,86;2,22;1,43
20007;Altzo;1,79;1,94;1,82;1,72;1,90;1,73;2,07;1,98;2,34;1,79;2,16;1,78;1,96;1,90;1,54;1,59;1,66;1,71;2,09
20008;Amezketa;4,43;4,96;3,39;2,90;4,16;5,89;4,52;3,57;1,73;1,73;1,50;1,74;1,52;1,93;1,33;1,41;1,33;1,58;1,78
48003;Amorebieta-Etxano;2,66;2,81;3,15;3,16;3,31;3,42;3,67;4,06;4,03;3,66;3,75;3,51;3,16;3,42;3,19;3,00;3,00;2,86;3,03
48004;Amoroto;1,56;1,94;1,69;1,73;1,87;1,57;1,54;1,55;1,71;1,36;1,73;2,00;1,53;1,97;1,98;2,71;4,26;1,62;1,82
01002;Amurrio;3,13;4,39;4,56;5,44;6,25;5,79;5,99;5,92;6,89;5,75;4,61;4,59;4,04;3,23;2,44;2,92;2,83;3,10;2,94
20009;Andoain;2,30;2,62;2,42;2,40;2,92;2,61;2,97;2,73;2,94;2,75;2,34;2,07;2,14;2,59;2,06;2,21;2,15;2,30;2,37
20010;Anoeta;1,94;1,83;1,69;1,71;1,89;1,62;1,54;1,75;1,96;2,58;2,19;1,88;1,91;2,12;2,21;1,59;1,81;1,87;1,66
20011;Antzuola;1,66;2,00;2,07;2,04;2,07;2,25;2,41;2,03;2,34;1,81;2,35;2,64;2,28;2,53;1,46;2,54;1,74;1,61;1,49
48005;Arakaldo;1,39;2,22;1,79;2,60;3,25;3,14;2,76;1,50;3,09;1,26;1,70;1,59;1,91;1,59;1,68;2,08;2,17;2,00;1,67
20012;Arama;3,57;1,55;1,65;1,25;2,06;1,52;1,71;2,91;1,81;1,32;1,48;1,51;1,62;1,68;1,46;1,30;1,54;1,23;1,59
01003;Aramaio;1,94;2,44;2,05;2,68;2,76;2,65;2,37;2,51;2,41;1,94;2,25;1,77;1,83;2,20;1,65;1,52;1,80;1,65;1,50
48006;Arantzazu;2,37;3,36;2,59;2,54;3,23;3,00;2,34;2,29;2,38;2,33;5,56;3,43;4,13;1,89;1,67;1,52;1,70;1,62;1,47
48093;Areatza;1,88;1,42;1,90;2,83;3,31;1,93;2,07;2,21;1,92;2,45;2,67;2,80;3,80;1,90;1,60;2,18;1,56;2,32;2,82
20013;Aretxabaleta;4,70;5,62;5,72;3,86;2,13;2,23;2,01;2,16;1,99;2,03;1,97;1,83;2,08;2,14;1,86;1,90;1,77;1,90;2,05
01006;Armiñón;1,79;2,12;1,97;1,68;1,89;2,39;1,88;1,98;1,77;1,65;1,58;3,69;3,29;1,77;1,37;1,49;1,51;1,81;1,54
01037;Arraia-Maeztu;2,17;2,12;2,11;1,91;2,05;2,48;2,36;2,09;2,13;2,14;1,89;2,56;2,43;2,10;2,23;1,88;2,21;1,68;1,68
48009;Arrankudiaga;1,67;1,70;1,98;2,11;2,08;2,07;2,01;2,43;2,01;1,70;1,91;1,75;1,88;2,18;2,27;2,10;2,10;2,05;1,75
20055;Arrasate/Mondragón;2,60;2,63;2,46;2,23;2,72;2,67;2,71;2,56;2,61;2,39;2,41;2,29;2,32;2,63;2,26;2,35;2,79;2,76;2,99
48914;Arratzu;4,47;1,33;2,28;3,00;3,06;3,36;5,29;5,17;2,80;2,41;1,20;2,00;1,67;1,79;1,33;6,50;1,88;1,75;4,50
