Indicadores municipales de sostenibilidad: Índice de rotación contractual: hombres (contratos /hombres);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;2,71;2,81;3,17;2,96;3,33;3,13;3,21;3,01;3,14;2,91;2,71;2,61;2,49;2,59;2,11;2,11;2,20;2,22;2,24
Bizkaia;;2,43;2,51;3,01;3,01;3,33;3,22;3,26;3,26;3,17;2,99;2,89;2,88;2,76;2,86;2,33;2,47;2,61;2,56;2,48
CAE;;2,51;2,57;2,94;2,84;3,14;3,01;3,09;3,06;3,06;2,88;2,78;2,72;2,64;2,76;2,27;2,32;2,41;2,38;2,35
Gipuzkoa;;2,51;2,50;2,69;2,50;2,71;2,62;2,73;2,76;2,81;2,67;2,64;2,53;2,53;2,70;2,28;2,20;2,19;2,17;2,17
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;1,94;2,06;3,51;2,75;3,09;2,57;2,12;2,80;2,28;2,68;3,01;3,09;2,43;2,09;1,75;1,75;;;
01200;Arabako Lautada / Llanada Alavesa;2,91;2,95;3,27;2,98;3,40;3,11;3,12;3,01;3,12;2,88;2,70;2,58;2,49;2,54;2,16;2,15;;;
01300;Arabako Mendialdea / Montaña Alavesa;1,74;2,27;1,87;1,91;1,65;1,88;2,05;1,70;1,87;1,86;1,75;2,13;1,76;2,05;1,85;1,77;;;
48100;Arratia Nerbioi / Arratia-Nervión;2,15;1,98;2,97;3,10;3,26;2,70;3,14;3,17;3,04;2,61;2,71;2,44;2,43;2,57;2,40;2,19;;;
20200;Bidasoa Beherea / Bajo Bidasoa;2,08;2,35;2,63;2,86;2,96;3,00;3,20;3,19;3,10;3,03;3,07;2,71;2,44;2,53;2,27;2,23;;;
48200;Bilbo Handia / Gran Bilbao;2,38;2,49;3,00;3,01;3,31;3,21;3,25;3,18;3,13;3,00;2,88;2,92;2,79;2,89;2,34;2,52;;;
20100;Deba Beherea / Bajo Deba;2,42;2,57;2,52;2,33;2,35;2,34;2,49;2,53;2,41;2,23;2,20;1,98;2,05;2,15;1,82;1,77;;;
20300;Debagoiena / Alto Deba;2,52;2,58;2,85;2,33;2,24;2,29;2,45;2,50;2,45;2,31;2,20;2,07;2,11;2,37;1,87;1,98;;;
20400;Donostialdea / Donostia-San Sebastián;2,74;2,67;2,86;2,62;3,02;2,88;2,94;2,96;3,06;2,88;2,83;2,85;2,86;3,01;2,57;2,54;;;
48300;Durangaldea / Duranguesado;2,96;3,10;3,51;3,46;4,13;3,82;3,94;4,29;4,13;3,55;3,69;3,30;3,08;3,12;2,39;2,59;;;
48400;Enkartazioak / Encartaciones;2,53;2,41;3,10;3,09;3,38;3,33;3,29;3,07;3,07;2,68;2,73;2,55;2,36;2,24;2,05;2,08;;;
01400;Errioxa Arabarra / Rioja Alavesa;2,03;2,18;2,30;2,29;2,52;2,51;2,68;2,38;2,43;2,31;2,25;2,19;1,92;2,52;1,60;1,48;;;
48500;Gernika-Bermeo;2,12;2,19;2,54;2,41;2,60;2,43;2,67;2,61;2,38;2,21;2,21;2,29;2,50;2,28;2,02;1,99;;;
20500;Goierri;2,30;2,35;2,56;2,04;1,96;1,87;2,07;2,09;2,26;2,18;2,08;1,79;1,90;1,98;1,55;1,53;;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;2,45;2,38;2,47;2,23;2,32;2,37;2,55;2,17;2,38;2,37;2,23;1,93;1,93;2,13;1,73;2,07;;;
01600;Kantauri Arabarra / Cantábrica Alavesa;2,79;3,44;4,62;5,09;5,41;5,43;5,94;5,29;5,85;5,07;4,13;3,87;3,82;3,41;2,96;2,83;;;
48600;Markina-Ondarroa;2,01;1,91;2,16;2,29;2,36;2,35;2,08;2,26;2,10;2,12;2,07;2,11;2,16;2,77;3,08;2,39;;;
48700;Plentzia-Mungia;2,21;2,04;2,45;2,47;2,70;2,68;2,63;2,80;2,65;2,49;2,28;2,20;2,26;2,38;1,95;1,93;;;
20600;Tolosaldea / Tolosa;2,10;2,14;2,44;2,54;2,25;2,20;2,37;2,56;2,80;2,78;2,67;2,35;2,35;2,86;2,35;1,89;;;
20700;Urola-Kostaldea / Urola Costa;1,97;1,90;2,14;2,07;2,32;2,31;2,42;2,39;2,34;2,25;2,28;2,16;2,12;2,25;1,85;1,65;;;
"";;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadiño;2,46;3,24;3,35;3,15;3,57;2,68;3,03;2,69;2,70;2,55;2,44;2,46;2,36;2,10;1,80;2,20;2,13;2,09;1,74
20001;Abaltzisketa;2,86;2,67;1,86;3,50;2,75;1,72;2,29;1,72;1,81;1,70;1,60;1,40;1,72;1,55;1,63;1,42;1,21;2,02;1,32
48002;Abanto y Ciérvana-Abanto Zierbena;1,80;2,79;3,37;3,36;2,83;2,70;2,58;2,58;2,48;2,64;2,22;2,15;2,15;2,10;1,96;1,95;1,95;1,85;2,03
20002;Aduna;1,77;1,90;1,60;1,54;1,63;1,58;1,69;1,98;2,07;2,11;1,95;2,24;1,90;2,01;1,39;1,67;1,64;1,76;1,68
20016;Aia;2,68;2,37;2,47;2,34;2,34;2,97;2,95;3,01;3,38;1,89;1,91;1,71;1,92;2,31;1,60;1,58;1,41;1,51;1,64
20003;Aizarnazabal;2,31;2,12;2,03;2,25;1,95;1,92;2,35;2,09;1,63;1,88;2,10;1,55;1,78;1,89;2,05;1,55;1,57;2,28;2,12
48911;Ajangiz;1,68;1,54;1,35;1,20;1,38;1,24;1,21;1,58;1,46;1,24;1,57;1,38;1,86;1,28;1,55;1,29;1,28;1,31;1,29
20004;Albiztur;1,75;2,33;1,67;1,75;2,67;1,53;1,27;1,88;1,40;1,80;1,75;1,50;1,80;4,36;4,55;2,04;2,45;2,06;1,54
20005;Alegia;1,70;1,81;2,16;1,93;2,15;2,25;2,42;2,95;2,41;2,41;1,85;1,91;1,94;1,83;1,73;1,48;1,85;2,63;1,89
01001;Alegría-Dulantzi;2,16;2,24;2,19;1,85;2,24;2,72;2,84;3,26;2,62;2,78;2,70;3,05;2,52;2,09;1,77;1,74;1,82;2,09;1,76
20006;Alkiza;1,44;2,33;2,50;1,60;1,80;3,89;3,92;5,33;4,08;7,17;3,42;4,25;1,19;1,76;1,28;2,00;1,61;2,00;1,68
48912;Alonsotegi;2,01;1,54;2,14;2,12;2,48;2,57;2,90;1,90;2,96;2,95;2,50;2,15;2,32;3,10;2,46;3,72;2,18;1,83;2,74
20906;Altzaga;1,50;1,00;1,33;1,33;4,00;2,25;2,50;2,20;1,25;1,20;1,00;1,00;1,33;1,25;2,33;2,00;1,14;2,20;1,33
20007;Altzo;1,58;1,80;1,72;1,65;1,55;1,46;1,76;1,82;2,33;1,63;2,29;1,73;1,81;1,82;1,38;1,32;1,58;1,52;1,96
20008;Amezketa;3,67;2,64;2,81;1,91;2,12;4,50;4,29;3,34;1,73;1,32;1,35;1,67;1,46;1,71;1,17;1,26;1,24;1,37;1,48
48003;Amorebieta-Etxano;2,19;2,55;3,09;2,96;3,10;3,23;3,62;4,15;4,00;3,65;3,79;3,48;2,91;2,94;2,96;2,89;2,97;2,70;2,93
48004;Amoroto;1,64;1,98;1,62;1,71;1,94;1,61;1,48;1,50;1,55;1,29;1,53;2,06;1,55;1,84;1,42;2,88;2,31;1,49;1,78
01002;Amurrio;3,48;5,05;5,23;6,60;7,03;6,85;7,18;6,91;8,27;6,71;5,55;5,58;4,83;3,63;2,66;3,25;3,19;3,55;3,48
20009;Andoain;2,11;2,41;2,28;2,40;2,61;2,41;2,89;2,60;2,80;2,63;2,12;1,89;1,90;2,20;1,74;1,92;1,92;2,02;2,07
20010;Anoeta;1,69;1,60;1,52;1,48;1,58;1,54;1,51;1,59;1,80;2,08;2,13;1,67;1,70;1,88;2,02;1,44;1,52;1,78;1,52
20011;Antzuola;1,34;1,70;1,62;1,71;1,76;1,90;2,46;2,07;2,33;1,60;2,48;2,95;2,17;2,53;1,19;2,02;1,67;1,30;1,36
48005;Arakaldo;1,44;2,17;1,91;2,00;2,94;3,63;2,93;1,69;3,00;1,20;1,75;1,50;1,77;1,48;1,38;1,85;2,26;2,00;1,61
20012;Arama;5,00;1,62;1,67;1,14;1,85;1,67;1,50;1,45;1,74;1,29;1,36;1,33;1,62;1,71;1,41;1,23;1,51;1,20;1,66
01003;Aramaio;1,98;2,19;2,00;2,61;2,36;2,30;2,11;2,32;1,72;1,50;1,89;1,48;1,69;2,08;1,60;1,64;1,67;1,72;1,57
48006;Arantzazu;2,12;2,93;2,75;2,17;2,31;1,88;2,11;1,93;1,40;2,00;8,40;4,20;2,27;1,89;2,17;1,57;1,46;1,61;1,38
48093;Areatza;1,68;1,41;2,02;3,34;3,92;1,79;2,21;2,41;1,70;1,50;2,63;3,24;3,27;1,56;1,55;1,79;1,33;1,74;2,85
20013;Aretxabaleta;4,82;6,44;6,79;4,12;1,68;2,19;1,71;1,62;1,70;1,78;1,74;1,56;1,69;2,15;1,59;1,71;1,50;1,67;1,94
01006;Armiñón;1,85;2,71;2,15;1,71;2,00;2,72;1,62;1,68;1,54;1,66;1,68;4,40;3,75;1,57;1,18;1,52;1,40;1,93;1,43
01037;Arraia-Maeztu;1,85;1,91;2,11;1,71;1,59;2,31;2,24;2,06;1,84;2,02;1,58;2,40;1,78;2,16;2,24;1,75;1,90;1,57;1,58
48009;Arrankudiaga;1,65;1,81;2,26;2,40;2,22;2,02;2,03;2,52;2,14;1,72;1,92;1,62;1,98;2,11;2,18;2,07;2,06;2,13;1,66
20055;Arrasate/Mondragón;2,37;2,35;2,17;1,90;2,34;2,48;2,45;2,40;2,45;2,22;2,16;1,99;1,96;2,09;1,82;1,79;2,36;2,49;2,79
48914;Arratzu;3,08;1,12;1,96;2,33;2,38;3,20;3,00;5,50;2,00;2,56;1,33;2,00;1,67;1,62;1,00;5,00;1,50;1,75;1,67
01008;Arratzua-Ubarrundia;2,28;1,85;2,26;1,86;2,83;2,92;2,05;2,62;2,46;2,04;3,04;2,25;3,20;2,46;2,94;2,18;2,19;2,20;1,23
48010;Arrieta;1,14;1,42;1,30;1,31;1,94;2,33;2,00;2,20;2,33;2,22;3,67;1,46;1,96;4,07;4,18;2,22;2,06;1,93;2,19
48011;Arrigorriaga;1,81;2,21;1,92;2,07;2,14;2,01;2,31;2,18;2,38;2,04;2,46;2,48;2,35;2,56;2,41;2,60;2,74;2,68;2,54
48023;Artea;1,77;2,05;3,26;3,59;2,98;3,01;2,57;1,97;1,70;1,81;3,08;2,75;1,73;2,05;1,67;1,98;2,07;1,87;1,76
48008;Artzentales;3,97;8,44;5,84;6,38;5,42;8,33;7,17;4,56;3,82;2,94;1,17;4,65;3,46;3,09;1,92;2,24;1,86;1,77;1,69
01004;Artziniega;1,98;2,87;2,75;2,59;2,26;3,02;4,69;2,95;2,04;1,55;2,45;1,95;2,47;1,67;1,47;1,83;1,83;1,67;1,74
01009;Asparrena;3,38;3,84;6,22;5,91;6,43;5,40;5,61;5,36;5,97;7,07;6,33;5,30;3,84;4,87;5,85;3,07;2,09;1,73;1,76
20014;Asteasu;1,62;1,66;2,29;2,77;2,13;2,21;2,46;1,98;1,98;1,74;1,88;2,27;3,06;2,66;1,66;1,58;1,57;1,54;1,58
20903;Astigarraga;3,08;2,32;2,28;2,12;3,07;3,31;3,40;3,20;3,22;2,71;2,92;2,37;3,03;3,09;2,68;2,43;2,44;2,14;2,01
20015;Ataun;1,47;1,70;1,91;1,60;1,65;1,55;1,56;1,55;1,52;1,69;2,00;1,75;1,42;1,58;1,24;1,32;1,12;1,67;1,77
48091;Atxondo;10,33;9,60;9,06;8,99;9,72;8,60;9,74;7,29;6,15;6,21;6,97;6,16;3,89;3,77;2,50;4,15;3,10;2,72;2,71
48070;Aulesti;1,47;1,64;1,82;1,29;1,65;1,48;1,83;2,16;1,96;2,00;1,07;1,50;1,31;1,89;1,50;1,31;1,68;1,63;1,52
01010;Ayala/Aiara;1,98;2,21;2,92;2,39;3,33;2,91;3,59;3,29;3,40;2,87;2,29;2,17;2,84;3,42;4,04;3,12;3,62;2,51;1,95
20017;Azkoitia;1,83;2,16;1,71;1,79;2,04;1,82;1,95;2,30;2,17;2,26;2,24;2,43;2,86;2,85;2,18;1,64;1,67;2,02;2,21
20018;Azpeitia;1,60;1,66;1,61;1,65;1,82;1,96;1,89;1,75;1,79;1,73;1,89;1,68;1,84;2,00;1,55;1,42;1,43;1,54;1,49
01049;Añana;1,06;1,35;4,22;1,79;3,54;2,14;1,79;2,60;1,46;3,12;1,42;1,41;1,75;1,22;1,43;1,50;1,83;1,57;1,43
48012;Bakio;2,12;3,15;3,48;2,75;2,94;2,01;2,42;3,54;3,26;6,80;5,61;5,03;4,86;4,87;1,95;1,79;2,36;1,92;1,94
20904;Baliarrain;1,67;1,20;0,00;1,00;1,15;1,38;1,00;1,14;1,40;2,00;1,00;1,00;1,30;1,80;1,40;1,14;1,36;1,19;1,35
48090;Balmaseda;2,21;1,78;2,17;2,06;2,53;2,29;2,34;2,35;2,33;1,92;2,20;2,05;2,04;1,91;1,75;1,65;1,78;1,96;1,92
48013;Barakaldo;2,47;2,80;2,50;2,48;2,96;2,91;3,04;3,05;3,04;2,79;2,75;2,56;2,68;2,90;2,41;2,29;2,48;2,43;2,24
48014;Barrika;2,19;2,30;4,23;3,06;5,24;3,56;2,91;3,13;3,00;2,67;2,94;2,91;2,13;2,11;2,12;2,21;2,48;2,54;1,84
01013;Barrundia;1,74;2,29;1,88;1,61;1,76;1,91;1,84;1,76;1,50;2,12;1,67;1,49;1,42;1,47;1,74;1,51;1,73;1,62;1,25
48015;Basauri;2,09;2,30;2,48;2,57;2,55;2,47;2,47;2,47;2,44;2,17;2,12;2,29;2,17;2,13;1,82;1,92;1,95;2,09;2,04
01011;Baños de Ebro/Mañueta;2,30;2,64;2,33;2,46;2,71;3,10;3,64;2,85;3,31;2,70;2,46;1,80;1,41;2,59;1,39;1,20;1,31;1,10;1,26
20019;Beasain;1,67;1,79;1,76;1,69;1,72;1,68;1,84;1,66;1,72;1,74;1,75;1,53;1,59;1,75;1,39;1,47;1,73;1,70;2,06
48092;Bedia;1,56;1,76;2,62;2,35;2,66;2,92;3,36;3,08;2,50;2,31;2,08;2,48;2,35;3,22;2,68;2,20;2,43;2,26;2,59
20020;Beizama;2,50;2,50;2,00;1,75;1,86;3,00;4,33;2,31;2,43;1,71;1,50;1,17;1,75;1,86;1,14;1,08;1,84;2,55;2,33
20021;Belauntza;1,39;1,71;1,29;1,46;1,52;1,50;1,34;1,49;1,53;1,37;1,50;1,35;1,22;1,58;1,37;1,48;1,50;1,37;1,37
48016;Berango;2,26;2,62;2,80;4,19;8,18;6,37;6,66;6,27;5,67;5,22;4,36;5,89;5,25;6,55;4,92;2,27;2,41;2,11;2,22
01014;Berantevilla;1,35;1,96;2,68;2,17;2,91;2,06;2,08;2,97;2,63;2,92;2,38;2,45;2,90;1,98;1,58;1,83;1,71;1,89;1,47
20022;Berastegi;2,12;1,95;1,27;1,42;1,58;1,16;1,39;1,47;1,22;1,29;1,93;1,28;1,62;1,50;1,58;1,20;1,72;1,19;1,31
20074;Bergara;2,42;2,43;3,12;2,86;2,84;2,74;2,92;3,20;2,95;2,91;2,84;2,80;3,15;4,03;2,94;2,41;2,20;2,26;2,41
48017;Bermeo;2,49;3,00;3,23;3,18;3,38;2,90;3,03;2,70;2,44;2,21;2,12;2,45;2,55;2,46;2,57;2,39;2,64;2,52;2,44
01016;Bernedo;1,88;3,53;2,02;3,00;1,97;2,26;2,60;1,66;1,89;2,06;2,00;2,83;1,92;2,39;1,84;1,52;1,70;1,71;1,65
48018;Berriatua;2,49;2,48;2,71;3,55;2,19;2,91;1,94;2,02;2,30;2,15;2,47;2,28;2,55;6,05;10,80;4,12;5,19;8,28;11,16
48019;Berriz;2,80;2,43;3,58;2,84;3,29;3,17;3,18;2,91;2,71;2,38;2,84;2,76;3,31;3,80;2,40;3,05;2,23;2,31;1,98
20023;Berrobi;1,77;2,20;3,55;3,71;2,94;2,40;1,47;1,29;1,57;1,36;1,23;1,40;1,73;1,40;1,38;1,62;1,60;1,31;1,32
20024;Bidania-Goiatz;1,86;1,62;1,47;2,00;1,58;2,18;1,38;1,12;1,50;1,25;1,23;1,00;1,33;1,11;1,36;1,11;1,25;1,25;1,38
48020;Bilbao;2,55;2,70;2,92;2,80;3,21;3,18;3,26;3,59;3,59;3,46;3,38;3,59;3,44;3,45;2,59;2,86;3,16;2,98;2,91
48021;Busturia;2,80;2,11;2,06;2,15;2,08;2,56;2,80;1,86;1,31;1,75;2,04;1,68;1,97;1,59;1,49;1,74;2,08;2,05;1,70
01017;Campezo/Kanpezu;1,74;1,99;1,75;1,59;1,66;1,49;1,54;1,65;1,83;1,77;2,56;1,84;1,97;2,03;1,78;2,19;2,36;2,75;1,65
20029;Deba;2,20;2,08;2,29;2,07;2,15;2,13;2,26;2,61;2,42;2,11;2,55;2,43;1,90;2,25;1,61;1,59;1,61;1,75;1,78
48901;Derio;2,25;1,98;2,53;2,30;2,42;2,44;2,56;2,57;2,63;3,07;2,67;2,30;2,43;2,57;2,05;2,20;2,64;3,00;2,95
48026;Dima;2,00;1,89;2,27;2,34;2,68;2,13;2,38;1,96;2,31;2,86;1,98;1,49;1,91;1,91;2,00;1,83;1,80;1,78;1,44
20069;Donostia / San Sebastián;2,60;2,65;2,85;2,58;3,16;2,99;3,04;3,07;3,21;3,09;3,02;3,07;3,06;3,26;2,76;2,75;2,63;2,52;2,51
48027;Durango;3,03;2,80;3,21;2,82;3,54;3,01;3,22;2,81;3,04;2,89;2,63;2,85;2,63;3,02;2,02;2,12;4,19;4,42;3,94
48028;Ea;1,42;1,54;1,56;1,38;1,32;1,57;2,04;2,59;1,69;1,67;1,27;1,12;1,42;1,46;1,42;1,26;1,58;1,41;1,62
20030;Eibar;2,73;3,03;2,95;2,78;2,59;2,71;2,95;2,80;2,71;2,49;2,43;2,27;2,29;2,31;1,98;1,94;1,88;1,88;1,91
48031;Elantxobe;1,50;1,45;2,07;1,10;3,30;2,12;1,55;1,67;2,25;1,75;2,50;2,00;0,00;1,20;1,67;1,45;2,60;1,57;1,30
01021;Elburgo/Burgelu;5,24;4,04;3,70;2,97;3,00;2,11;2,72;2,56;2,21;2,17;2,02;2,03;2,58;3,88;1,91;2,73;1,91;1,93;3,12
01022;Elciego;1,57;2,39;2,14;1,93;2,79;2,64;2,37;2,41;2,14;2,66;2,50;2,47;2,03;3,13;1,69;1,41;1,52;1,35;1,54
20031;Elduain;3,77;3,46;3,25;2,40;4,00;1,88;3,86;2,47;1,62;2,78;3,00;3,20;2,92;2,80;1,62;2,14;2,00;1,30;1,27
20033;Elgeta;2,15;2,41;3,72;3,90;2,47;2,74;3,85;4,45;2,91;2,69;2,51;2,13;2,12;2,14;1,40;1,82;2,31;1,94;1,81
20032;Elgoibar;2,26;2,54;2,08;1,84;2,16;2,07;2,11;2,10;2,23;2,10;1,95;1,62;1,99;2,01;1,70;1,74;1,74;1,80;1,59
48032;Elorrio;3,98;3,41;4,24;3,82;4,13;4,08;3,72;3,95;3,80;3,54;3,56;2,95;2,82;2,79;2,47;2,72;2,29;2,15;2,12
01023;Elvillar/Bilar;2,50;3,12;2,27;2,12;2,79;2,84;3,19;2,51;2,36;2,70;2,55;2,83;2,15;2,50;1,54;1,63;1,37;1,20;1,13
48902;Erandio;2,78;2,27;3,11;2,76;2,76;2,58;2,75;2,90;2,86;2,41;2,24;2,40;2,13;2,12;1,78;1,81;1,87;1,88;2,00
48033;Ereño;3,17;5,00;12,75;16,14;29,50;18,33;11,50;26,50;6,14;5,56;8,86;5,00;1,00;2,22;2,23;1,86;2,73;1,23;1,30
48034;Ermua;3,85;6,32;6,15;6,30;10,61;9,15;7,64;10,40;9,13;6,76;7,46;5,66;4,90;4,31;1,99;2,72;2,21;1,93;1,75
20067;Errenteria;3,76;2,82;3,16;2,94;2,64;2,97;2,62;3,00;2,80;2,36;2,63;2,60;2,95;2,87;2,19;2,34;2,12;2,19;2,16
20066;Errezil;2,29;1,49;1,58;1,39;1,32;1,30;1,30;1,12;1,49;1,26;2,16;1,90;1,45;1,37;1,33;1,67;1,49;1,48;1,58
01046;Erriberagoitia/Ribera Alta;1,85;2,03;2,38;2,25;2,12;1,87;1,98;1,53;1,57;2,00;1,20;1,39;1,83;2,71;1,90;2,00;1,54;1,61;1,58
48079;Errigoiti;1,33;1,31;1,60;2,00;1,46;1,90;1,46;1,73;1,75;2,25;1,10;1,20;1,40;1,64;1,15;1,53;1,83;1,82;1,91
20034;Eskoriatza;1,62;1,61;2,01;1,64;1,39;1,36;1,47;1,81;2,09;1,58;1,65;1,55;1,37;1,50;1,46;2,01;1,76;1,81;1,70
48029;Etxebarri;1,93;1,97;2,03;1,76;2,07;2,04;2,10;2,22;1,89;1,72;1,81;1,66;1,88;1,79;1,81;2,21;2,37;2,40;2,33
48030;Etxebarria;1,94;1,49;1,90;1,84;1,91;2,10;2,12;1,81;1,97;2,23;2,17;2,31;2,22;2,43;2,18;1,88;2,00;1,65;1,61
20035;Ezkio-Itsaso;1,48;1,79;1,81;1,74;1,96;2,27;2,21;2,06;1,96;2,54;1,68;1,65;1,66;1,58;1,37;1,34;1,34;1,57;1,66
48906;Forua;4,08;3,64;5,87;5,36;6,06;5,77;7,97;6,62;4,59;3,54;1,83;3,12;1,71;2,53;2,18;2,70;3,74;3,93;4,28
48035;Fruiz;1,50;1,60;7,00;7,00;4,61;7,05;2,18;1,58;1,71;1,17;1,50;1,80;1,62;2,06;1,41;1,75;2,75;1,60;1,67
20038;Gabiria;1,24;1,55;1,60;1,32;1,34;1,27;1,64;1,75;1,60;1,98;1,50;1,41;1,23;1,39;1,29;1,27;1,46;1,32;1,34
20037;Gaintza;2,00;3,00;1,50;2,00;1,00;1,00;1,00;2,00;0,00;2,00;2,00;1,25;1,17;1,33;1,50;4,00;1,50;1,00;1,38
48036;Galdakao;2,79;2,64;3,87;3,64;3,02;2,84;2,78;3,03;2,57;2,51;2,68;2,67;2,27;2,21;1,85;2,21;2,25;2,35;2,29
48037;Galdames;1,49;1,98;2,69;4,65;3,55;3,01;2,05;2,35;2,46;2,27;1,50;1,57;1,54;1,73;1,59;1,65;1,69;1,90;1,69
48038;Gamiz-Fika;1,93;1,79;1,73;1,49;2,29;2,00;2,09;1,52;1,69;1,78;1,34;1,55;1,75;1,93;1,57;1,36;1,92;1,56;1,43
48039;Garai;1,60;2,00;1,80;1,75;4,92;4,80;3,75;3,70;3,70;1,22;1,86;1,50;1,67;1,50;1,00;4,80;1,60;1,57;2,25
48040;Gatika;2,74;2,39;2,47;2,82;3,53;3,27;3,38;3,14;3,59;3,32;2,88;2,61;2,76;1,84;1,46;1,57;1,62;1,68;1,61
48041;Gautegiz Arteaga;2,97;2,84;1,57;2,00;5,00;6,83;7,79;6,00;1,71;1,75;1,44;1,28;2,24;2,95;1,67;3,45;4,06;3,87;1,92
20907;Gaztelu;1,00;2,00;1,50;1,00;1,25;1,00;1,00;2,00;3,00;2,00;1,50;0,00;2,00;0,00;1,29;1,20;2,00;1,33;1,00
48046;Gernika-Lumo;2,01;1,90;2,19;1,83;2,11;2,03;2,36;2,54;2,69;2,70;2,91;2,89;3,50;2,84;1,87;1,73;1,79;1,88;1,97
20039;Getaria;1,43;1,69;1,88;1,72;2,09;2,19;2,32;2,19;2,15;2,08;1,42;1,49;1,58;1,70;1,40;1,28;1,63;2,32;1,75
48044;Getxo;2,43;2,34;2,60;2,49;3,10;2,88;2,87;2,82;2,67;2,55;2,27;2,20;2,04;2,06;1,76;1,92;1,90;1,85;2,01
48047;Gizaburuaga;2,14;1,82;1,96;1,99;2,04;2,49;2,11;2,17;1,69;1,91;2,08;2,08;1,90;1,99;1,64;1,73;1,72;1,74;1,79
48042;Gordexola;2,17;2,40;2,94;2,96;3,40;3,53;3,56;3,13;2,68;2,58;3,06;2,93;3,14;2,18;2,32;2,09;1,82;1,76;1,88
48043;Gorliz;2,50;2,56;2,70;2,97;3,02;3,60;3,14;2,93;2,93;3,40;3,28;2,59;2,67;2,59;2,18;1,91;2,06;2,10;1,89
48045;Güeñes;3,72;3,69;6,18;4,87;5,00;6,42;7,13;5,50;5,04;5,70;4,13;2,55;2,04;2,28;2,03;1,66;2,07;2,38;2,74
01056;Harana/Valle de Arana;1,00;1,33;1,67;1,29;1,79;2,27;4,50;1,78;2,22;2,00;1,25;1,36;1,11;1,58;2,25;1,12;1,67;1,75;1,58
20040;Hernani;2,46;2,74;2,45;2,37;2,52;2,56;2,40;2,23;2,49;2,25;2,21;2,06;2,28;2,30;2,01;2,12;2,24;2,24;2,24
20041;Hernialde;2,67;2,25;1,40;1,20;2,20;1,80;1,67;1,53;1,33;1,20;1,17;2,20;3,50;2,33;1,50;1,00;1,60;1,25;1,00
20036;Hondarribia;2,46;2,52;2,54;2,13;2,69;2,59;2,65;2,61;2,67;2,58;2,28;2,21;2,05;2,14;2,01;2,16;1,97;1,87;2,00
20042;Ibarra;1,82;1,64;1,61;1,78;1,61;1,59;1,80;1,96;1,80;1,49;1,50;1,37;1,69;1,50;1,31;1,59;1,56;1,60;1,55
