Indicadores municipales de sostenibilidad: Índice de rotación contractual: mujeres (contratos/mujeres);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;2,84;2,84;3,13;2,94;3,52;3,34;3,41;3,32;3,40;3,13;3,00;2,91;2,90;3,23;2,78;2,73;2,76;2,75;2,75
Bizkaia;;2,84;2,83;3,19;3,09;3,62;3,56;3,64;3,66;3,52;3,37;3,37;3,45;3,44;3,70;3,26;3,25;3,18;3,09;3,06
CAE;;2,81;2,81;3,12;3,00;3,51;3,40;3,48;3,48;3,42;3,26;3,22;3,24;3,24;3,53;3,10;3,06;3,03;2,98;2,98
Gipuzkoa;;2,73;2,76;3,02;2,88;3,33;3,18;3,28;3,28;3,28;3,16;3,10;3,07;3,10;3,41;3,01;2,94;2,93;2,93;2,98
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;2,00;2,06;3,19;2,64;3,32;2,97;3,26;3,87;3,14;2,91;2,74;2,27;2,53;2,54;2,15;2,21;;;
01200;Arabako Lautada / Llanada Alavesa;2,92;2,89;3,13;2,96;3,50;3,34;3,38;3,29;3,46;3,17;3,07;2,98;3,02;3,38;2,94;2,89;;;
01300;Arabako Mendialdea / Montaña Alavesa;3,05;3,32;2,83;2,71;2,93;2,77;2,77;2,33;2,31;2,36;2,45;2,55;2,84;2,35;1,75;1,80;;;
48100;Arratia Nerbioi / Arratia-Nervión;3,99;2,75;3,75;4,20;4,47;4,32;4,03;4,22;4,23;3,88;4,29;4,47;4,74;5,35;4,74;3,36;;;
20200;Bidasoa Beherea / Bajo Bidasoa;2,52;2,64;2,77;2,81;3,25;3,17;3,10;2,99;3,14;3,02;3,07;2,83;2,96;3,02;2,79;2,77;;;
48200;Bilbo Handia / Gran Bilbao;2,77;2,80;3,14;3,02;3,56;3,51;3,60;3,59;3,43;3,31;3,33;3,42;3,40;3,67;3,26;3,27;;;
20100;Deba Beherea / Bajo Deba;2,79;2,89;2,84;2,73;3,23;2,78;2,94;2,99;3,06;2,88;2,98;2,89;2,73;2,73;2,29;2,49;;;
20300;Debagoiena / Alto Deba;2,81;2,77;2,97;2,59;2,89;2,68;2,79;2,77;2,82;2,60;2,71;2,61;2,94;3,38;2,87;3,05;;;
20400;Donostialdea / Donostia-San Sebastián;2,77;2,83;3,16;3,04;3,55;3,41;3,50;3,45;3,40;3,27;3,17;3,22;3,17;3,41;3,09;3,09;;;
48300;Durangaldea / Duranguesado;3,06;3,10;3,39;3,35;4,01;3,81;3,87;4,14;4,10;3,62;3,58;3,40;3,58;3,78;3,27;3,41;;;
48400;Enkartazioak / Encartaciones;4,10;3,78;4,47;4,53;4,80;5,12;5,44;5,86;5,26;5,51;5,12;4,77;3,75;4,49;3,72;3,58;;;
01400;Errioxa Arabarra / Rioja Alavesa;2,11;2,32;2,77;2,37;3,38;3,34;3,54;3,13;2,69;2,66;2,33;2,33;2,16;2,50;1,64;1,49;;;
48500;Gernika-Bermeo;3,01;2,80;3,28;2,94;3,47;3,55;3,58;3,51;3,15;3,08;3,13;3,21;3,14;3,21;2,43;2,60;;;
20500;Goierri;2,81;2,77;2,85;2,41;2,64;2,58;2,77;2,71;2,66;2,54;2,42;2,50;2,57;2,83;2,32;2,25;;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;2,65;2,60;2,94;2,89;2,95;2,77;3,06;3,09;2,99;2,91;2,56;2,48;2,22;2,76;2,42;2,98;;;
01600;Kantauri Arabarra / Cantábrica Alavesa;2,70;3,03;3,53;3,38;4,17;3,74;3,93;3,94;3,80;3,38;3,11;2,95;2,57;2,79;2,51;2,37;;;
48600;Markina-Ondarroa;2,71;2,42;2,97;3,02;3,15;2,92;3,05;3,28;3,31;3,06;2,98;3,27;3,27;3,53;3,53;3,01;;;
48700;Plentzia-Mungia;2,80;2,48;3,01;3,07;3,37;3,33;3,16;3,38;3,45;3,17;3,10;3,46;3,56;3,45;2,91;2,72;;;
20600;Tolosaldea / Tolosa;2,85;2,90;3,17;2,94;3,26;3,20;3,38;3,85;4,06;4,29;3,88;3,56;3,89;5,64;4,70;3,24;;;
20700;Urola-Kostaldea / Urola Costa;2,37;2,22;2,52;2,52;2,92;2,91;3,02;3,11;3,14;2,92;3,04;2,98;2,98;3,18;2,69;2,54;;;
"";;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48001;Abadiño;2,54;3,73;3,58;3,15;3,92;3,58;4,05;4,31;3,69;3,07;3,33;3,32;3,84;3,95;3,86;4,05;3,32;2,90;2,79
20001;Abaltzisketa;2,71;1,86;1,86;2,39;2,21;2,13;2,50;3,37;4,04;2,89;2,47;1,68;2,43;2,70;1,93;1,15;1,69;1,49;1,67
48002;Abanto y Ciérvana-Abanto Zierbena;3,35;4,26;3,71;4,12;4,20;4,16;4,18;4,30;4,38;3,66;3,66;3,58;3,56;3,77;3,98;3,67;3,22;3,02;3,40
20002;Aduna;2,28;2,41;1,72;1,90;2,21;2,39;2,07;1,83;1,97;2,50;1,53;2,65;1,73;1,76;1,50;1,60;1,78;1,54;1,53
20016;Aia;2,44;1,90;2,16;1,96;2,39;3,00;2,80;3,10;3,30;1,93;2,21;2,06;2,19;3,05;2,48;2,00;2,03;1,62;1,71
20003;Aizarnazabal;1,82;2,16;2,90;1,50;2,39;2,29;5,70;2,20;1,40;3,57;2,38;1,84;2,70;2,29;2,66;2,33;1,68;2,78;2,18
48911;Ajangiz;1,61;1,50;1,48;1,39;1,35;1,46;1,26;1,50;1,49;1,42;1,37;1,63;1,56;1,88;1,76;1,55;1,64;1,67;1,47
20004;Albiztur;2,53;2,65;1,94;2,55;2,24;2,04;1,87;2,44;2,50;2,86;2,50;2,50;1,91;7,62;4,00;2,90;2,07;2,21;1,64
20005;Alegia;2,33;2,46;2,38;1,98;2,68;3,06;2,51;3,48;2,94;2,35;1,86;2,83;3,95;1,91;1,98;2,95;2,51;2,37;2,71
01001;Alegría-Dulantzi;1,97;2,30;2,41;2,39;2,84;2,10;2,24;2,22;2,44;2,31;2,11;2,63;2,31;2,34;1,90;1,87;1,90;2,14;1,89
20006;Alkiza;1,75;2,21;2,38;2,23;2,31;1,88;2,25;2,82;3,20;2,43;2,00;2,09;1,33;4,67;2,57;2,62;2,00;1,59;1,43
48912;Alonsotegi;3,11;1,89;2,80;4,28;3,51;2,96;4,25;4,16;3,43;5,23;3,67;3,86;4,35;4,03;3,02;2,69;2,80;2,58;2,65
20906;Altzaga;2,00;2,00;9,00;4,00;1,57;1,60;1,67;1,25;1,00;7,00;2,14;2,50;3,50;0,00;2,00;2,00;5,00;2,25;1,50
20007;Altzo;2,35;2,47;2,33;1,83;3,25;2,55;2,68;2,26;2,35;2,11;1,75;1,88;2,24;2,07;1,93;1,96;1,77;1,88;2,40
20008;Amezketa;4,67;6,22;3,60;3,26;5,68;6,56;4,64;3,70;1,72;2,25;1,64;1,80;1,61;2,24;1,52;1,71;1,45;1,81;2,09
48003;Amorebieta-Etxano;3,33;3,23;3,23;3,52;3,64;3,74;3,74;3,93;4,08;3,69;3,70;3,54;3,49;4,12;3,43;3,18;3,05;3,11;3,18
48004;Amoroto;1,40;1,88;1,87;1,75;1,74;1,50;1,68;1,63;2,14;1,57;2,57;1,94;1,50;2,17;3,00;2,39;6,09;1,98;1,87
01002;Amurrio;2,46;3,06;3,36;3,39;4,83;3,76;3,76;3,83;3,95;3,17;2,62;2,47;2,27;2,42;2,05;2,19;2,08;2,05;1,71
20009;Andoain;2,60;2,95;2,65;2,40;3,35;2,89;3,10;2,90;3,14;2,95;2,68;2,38;2,51;3,17;2,50;2,60;2,46;2,64;2,80
20010;Anoeta;2,42;2,38;2,05;2,07;2,61;1,78;1,59;2,03;2,25;3,34;2,26;2,19;2,31;2,57;2,53;1,99;2,59;2,05;2,15
20011;Antzuola;1,93;2,31;2,91;2,32;2,47;2,93;2,32;1,96;2,35;2,21;2,18;2,24;2,50;2,53;2,04;3,49;1,81;2,04;1,64
48005;Arakaldo;1,33;2,33;1,62;4,00;3,64;2,20;2,57;1,29;3,20;1,38;1,62;1,86;2,11;1,79;2,15;2,80;2,00;2,00;1,79
20012;Arama;3,00;1,44;1,62;1,40;2,21;1,45;1,86;5,41;2,17;1,45;1,67;2,00;1,57;1,58;1,64;1,77;1,78;1,37;1,37
01003;Aramaio;1,91;2,83;2,09;2,75;3,33;2,98;2,58;2,63;3,02;2,58;2,74;3,47;2,12;2,85;2,00;1,14;2,11;1,54;1,40
48006;Arantzazu;2,76;4,00;2,18;3,38;5,64;6,86;2,80;2,64;4,00;2,83;2,00;1,90;9,25;1,89;1,42;1,44;2,04;1,62;1,71
48093;Areatza;2,08;1,44;1,73;2,17;2,50;2,08;1,92;2,00;2,23;3,70;2,72;2,29;4,32;2,50;1,74;2,83;1,96;2,96;2,79
20013;Aretxabaleta;4,51;4,70;4,57;3,58;2,58;2,27;2,32;2,84;2,26;2,22;2,16;2,12;2,46;2,13;2,14;2,20;2,13;2,19;2,19
01006;Armiñón;1,50;1,70;1,17;1,50;1,55;2,10;2,27;2,80;2,21;1,61;1,17;1,33;2,50;1,94;1,88;1,33;2,28;1,32;2,00
01037;Arraia-Maeztu;2,74;2,40;2,11;2,24;3,14;2,68;2,58;2,14;2,81;2,41;2,70;2,86;3,57;2,00;2,21;2,00;2,88;1,85;1,77
48009;Arrankudiaga;1,71;1,53;1,51;1,49;1,78;2,20;1,96;2,18;1,70;1,67;1,88;2,04;1,67;2,43;2,54;2,18;2,28;1,77;2,13
20055;Arrasate/Mondragón;2,81;2,89;2,72;2,50;3,05;2,83;2,95;2,71;2,75;2,52;2,62;2,56;2,67;3,09;2,61;2,80;3,16;3,01;3,16
48914;Arratzu;7,50;3,00;4,25;11,00;4,80;3,50;7,00;5,00;3,60;2,31;1,09;2,00;0,00;4,00;2,00;8,00;2,25;0,00;13,00
01008;Arratzua-Ubarrundia;2,15;2,39;2,66;1,96;3,17;3,41;4,35;2,88;4,02;3,95;2,97;2,42;2,96;2,92;6,26;6,03;6,43;5,49;2,18
48010;Arrieta;1,87;2,00;2,20;1,92;2,27;1,85;2,89;2,31;2,67;2,89;4,29;2,20;1,50;2,12;2,07;3,44;2,25;1,87;2,53
48011;Arrigorriaga;2,66;2,57;2,51;2,35;2,74;2,54;2,65;2,90;2,99;2,90;3,43;3,73;3,75;3,16;2,65;3,44;2,56;2,35;2,15
48023;Artea;2,00;1,75;2,11;1,92;2,79;2,24;1,85;2,89;2,03;2,24;3,36;2,68;1,88;2,39;2,26;2,41;2,17;2,54;3,38
48008;Artzentales;6,38;7,72;8,70;11,84;10,08;10,69;12,91;18,07;14,58;28,47;15,32;19,88;8,26;1,61;1,33;1,48;2,04;2,00;1,98
01004;Artziniega;2,98;2,77;2,81;2,32;2,98;3,16;4,11;3,08;2,45;2,70;2,48;2,74;2,29;2,06;1,45;1,84;1,74;1,56;1,71
01009;Asparrena;4,10;4,95;3,57;3,09;3,83;3,24;3,97;5,04;3,94;3,26;3,58;2,81;2,55;3,76;2,55;2,48;2,01;2,05;1,83
20014;Asteasu;2,30;2,18;2,93;4,39;3,03;2,59;2,72;2,31;2,23;2,14;2,48;2,84;3,56;2,77;1,95;1,86;2,20;2,00;2,25
20903;Astigarraga;3,60;2,64;3,53;3,38;4,99;4,80;5,44;5,40;4,83;4,30;4,54;4,68;4,83;5,48;4,96;4,22;3,72;3,21;3,32
20015;Ataun;2,16;1,78;2,00;1,71;2,49;2,35;2,50;2,00;1,66;1,64;2,24;1,68;2,11;2,88;1,68;2,35;2,24;1,89;3,53
48091;Atxondo;6,52;5,28;6,79;6,74;8,89;9,44;6,44;7,20;10,58;6,31;7,60;6,32;5,70;3,37;3,81;5,78;5,28;3,99;4,01
48070;Aulesti;2,53;1,70;1,62;1,79;2,28;2,25;2,06;3,20;2,67;2,36;3,44;3,00;4,25;2,00;2,71;2,36;3,27;2,86;2,29
01010;Ayala/Aiara;2,49;2,75;4,45;3,42;4,99;3,78;4,80;5,88;5,43;5,27;2,49;2,80;2,06;2,73;2,69;2,98;2,25;2,51;2,31
20017;Azkoitia;2,43;2,58;2,55;2,71;2,58;2,38;2,39;2,66;2,90;2,82;2,31;2,33;2,74;2,62;2,42;2,11;2,15;2,12;2,41
20018;Azpeitia;2,19;2,51;2,52;2,59;2,98;3,12;3,14;2,86;2,95;2,87;2,87;2,53;2,69;3,11;2,30;2,00;2,13;2,03;1,98
01049;Añana;1,10;1,65;4,87;2,08;2,42;1,56;2,22;1,09;2,60;5,57;3,69;2,00;2,00;1,75;1,12;2,33;3,33;1,88;2,20
48012;Bakio;2,12;4,41;4,70;3,84;4,62;3,83;3,77;6,09;4,59;4,89;5,26;6,21;5,34;4,81;2,38;2,26;2,44;2,52;2,03
20904;Baliarrain;1,86;1,67;1,67;2,33;3,67;2,62;3,67;2,25;4,50;2,00;4,00;5,00;3,50;1,30;2,00;3,20;4,25;3,40;2,00
48090;Balmaseda;2,76;2,08;2,70;2,79;3,64;3,16;2,95;2,99;2,95;2,81;2,72;2,95;2,98;3,19;2,39;2,15;2,07;1,99;2,02
48013;Barakaldo;2,63;3,02;3,15;3,08;3,58;3,74;3,90;3,88;3,78;3,52;3,27;3,53;3,59;3,97;3,61;3,45;3,32;3,00;2,92
48014;Barrika;3,51;4,00;3,22;3,92;5,06;4,79;5,09;6,55;5,80;5,54;4,23;4,71;5,29;5,54;4,46;3,68;3,77;4,13;4,34
01013;Barrundia;2,72;3,38;1,80;1,76;3,04;2,62;4,58;1,97;2,87;2,68;3,78;2,77;1,61;1,95;1,63;1,73;1,89;1,89;1,75
48015;Basauri;2,60;3,10;2,98;3,02;3,04;3,15;3,25;3,22;3,18;3,23;3,47;3,42;3,35;3,05;2,79;2,70;2,50;2,32;2,32
01011;Baños de Ebro/Mañueta;2,39;2,03;1,80;2,10;2,10;2,21;2,50;2,34;1,91;2,20;2,05;1,56;1,36;2,48;1,43;1,13;1,27;1,15;1,17
20019;Beasain;2,13;2,27;2,18;2,13;2,23;2,17;2,26;2,22;2,29;2,22;1,94;2,12;2,18;2,35;2,15;2,24;2,74;2,53;2,70
