Indicadores municipales de sostenibilidad: Ingresos municipales por operaciones corrientes;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;1.597,43;1.417,45;1.305,84;1.410,84;1.368,63;1.334,05;1.341,80;1.364,90;1.255,92;1.290,19;1.285,19;1.382,75;1.305,35;1.321,02;1.436,10;1.342,39;1.270,25;1.174,03;1.047,50;985,72;931,06
Bizkaia;;1.546,61;1.357,81;1.287,81;1.394,98;1.316,52;1.217,06;1.206,21;1.210,11;1.209,33;1.139,13;1.155,11;1.211,31;1.172,81;1.227,20;1.360,18;1.318,61;1.181,17;998,03;954,53;880,52;881,62
CAE;;1.577,27;1.423,61;1.315,27;1.417,57;1.358,02;1.279,84;1.268,10;1.266,73;1.236,97;1.186,75;1.191,89;1.223,76;1.216,84;1.220,09;1.328,35;1.298,04;1.185,30;1.041,06;990,26;930,31;894,49
Gipuzkoa;;1.616,70;1.531,10;1.363,34;1.456,66;1.419,38;1.355,48;1.333,73;1.313,08;1.272,94;1.217,15;1.209,49;1.171,84;1.249,03;1.162,88;1.227,60;1.244,26;1.154,55;1.053,48;1.024,11;988,44;900,14
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;1.638,51;1.352,92;1.392,92;1.473,79;1.398,93;1.359,94;1.295,91;1.301,94;1.248,17;1.337,20;1.300,01;1.311,95;1.233,97;1.241,95;1.322,64;1.288,82;1.358,65;1.243,31;1.034,01;1.032,63;981,77
01200;Arabako Lautada / Llanada Alavesa;1.640,92;1.453,97;1.336,50;1.432,79;1.403,61;1.376,28;1.367,54;1.393,18;1.278,28;1.311,49;1.323,46;1.423,30;1.338,69;1.348,42;1.467,86;1.352,25;1.286,31;1.187,33;1.045,07;965,33;931,87
01300;Arabako Mendialdea / Montaña Alavesa;1.233,58;1.036,17;1.083,38;1.167,66;1.129,16;1.095,93;1.181,98;1.103,39;1.070,41;1.089,96;1.019,69;1.021,02;990,97;967,80;1.009,27;930,25;828,80;814,35;751,97;644,19;628,31
48100;Arratia Nerbioi / Arratia-Nervión;1.525,26;1.308,19;1.213,26;1.311,92;1.280,86;1.176,61;1.151,26;1.203,14;1.185,91;1.154,86;1.138,32;1.248,77;1.075,45;1.203,02;1.374,12;1.298,08;1.167,54;972,21;891,32;825,48;777,72
