Indicadores municipales de sostenibilidad: Inversión neta del Ayuntamiento por habitante (?);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;17,89;59,26;102,26;70,03;30,14;66,58;74,85;101,30;43,32;58,08;61,12;112,97;120,98;225,80;258,22;276,51;17,64;74,88;105,57;195,41;168,96
Bizkaia;;99,00;94,21;94,14;161,00;109,38;117,04;88,72;94,79;128,08;73,54;122,61;163,83;192,13;225,73;214,01;197,62;164,90;136,93;186,48;160,49;159,64
CAE;;98,48;99,17;111,34;152,56;89,03;113,02;96,31;99,34;110,93;75,47;105,82;160,37;159,03;243,25;224,79;210,82;165,69;136,88;172,07;184,91;175,82
Gipuzkoa;;134,86;125,42;142,90;176,88;83,45;127,71;118,20;105,77;113,87;86,47;98,75;176,25;121,93;279,96;227,58;203,37;232,49;163,95;177,25;220,60;205,48
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;-13,29;239,09;218,03;10,98;144,56;166,31;215,29;104,94;145,41;262,16;331,36;-94,18;215,52;227,34;301,99;71,89;-336,72;237,30;351,85;625,56;34,04
01200;Arabako Lautada / Llanada Alavesa;3,54;45,66;86,28;55,69;14,89;49,10;70,48;98,64;17,19;44,26;52,39;114,51;143,82;234,66;277,49;265,87;10,38;53,87;86,31;154,41;163,89
01300;Arabako Mendialdea / Montaña Alavesa;134,66;47,56;386,30;-118,05;67,88;107,60;107,34;76,50;133,43;-115,57;121,74;133,27;119,46;108,54;76,17;201,52;147,50;49,71;156,97;244,48;198,29
48100;Arratia Nerbioi / Arratia-Nervión;48,60;42,08;63,56;199,50;177,20;106,01;91,16;149,28;80,51;125,15;143,26;99,22;27,09;243,42;353,98;131,70;179,82;169,55;212,66;68,98;238,91
20200;Bidasoa Beherea / Bajo Bidasoa;154,00;23,70;125,10;120,97;197,08;110,08;123,04;170,51;182,84;64,25;132,02;247,75;113,58;235,91;227,25;212,06;274,30;160,21;167,72;278,18;162,89
48200;Bilbo Handia / Gran Bilbao;106,92;96,15;96,52;160,06;112,78;132,04;87,09;91,46;123,33;80,35;129,85;165,24;185,17;221,16;206,93;180,61;181,11;138,30;173,20;151,88;148,65
20100;Deba Beherea / Bajo Deba;186,24;118,46;235,61;301,04;112,89;101,48;60,24;125,93;100,59;56,35;89,40;184,21;143,46;250,06;135,09;255,32;135,58;166,40;198,51;367,65;143,13
20300;Debagoiena / Alto Deba;303,39;279,57;264,66;234,53;177,76;187,90;141,75;173,62;154,77;101,27;168,14;225,42;151,91;313,64;345,63;35,12;383,26;216,26;169,23;155,41;271,09
20400;Donostialdea / Donostia-San Sebastián;63,05;121,38;130,59;152,55;-14,98;104,32;120,00;59,91;92,55;81,27;73,79;143,96;95,84;282,41;203,81;187,07;181,77;141,21;160,78;159,34;178,53
48300;Durangaldea / Duranguesado;93,85;62,53;99,53;152,00;132,29;69,92;106,52;87,97;179,24;46,25;70,50;141,77;259,11;310,12;326,52;243,41;184,99;168,34;261,61;358,99;197,23
48400;Enkartazioak / Encartaciones;83,05;133,99;91,54;183,51;122,84;115,94;130,58;128,02;129,98;70,02;162,49;234,83;225,44;323,68;283,31;191,11;-49,61;66,58;216,15;34,38;188,41
