Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector agropesquero (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;0,85;0,89;0,94;0,98
Bizkaia;;0,31;0,33;0,35;0,36
CAE;;0,44;0,46;0,48;0,52
Gipuzkoa;;0,45;0,46;0,48;0,54
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;3,97;4,79;5,25;5,35
01200;Arabako Lautada / Llanada Alavesa;0,34;0,36;0,39;0,37
01300;Arabako Mendialdea / Montaña Alavesa;5,75;5,43;5,70;6,35
48100;Arratia Nerbioi / Arratia-Nervión;0,86;1,10;1,22;1,40
20200;Bidasoa Beherea / Bajo Bidasoa;0,18;0,20;0,23;0,26
48200;Bilbo Handia / Gran Bilbao;0,13;0,12;0,13;0,13
20100;Deba Beherea / Bajo Deba;0,65;0,61;0,67;0,66
20300;Debagoiena / Alto Deba;0,33;0,33;0,39;0,44
20400;Donostialdea / Donostia-San Sebastián;0,23;0,22;0,23;0,24
48300;Durangaldea / Duranguesado;0,37;0,39;0,43;0,50
48400;Enkartazioak / Encartaciones;1,65;1,93;2,04;2,24
01400;Errioxa Arabarra / Rioja Alavesa;8,97;8,97;9,90;11,46
48500;Gernika-Bermeo;1,02;1,12;1,26;1,24
20500;Goierri;0,60;0,64;0,68;0,81
01500;Gorbeia Inguruak / Estribaciones del Gorbea;1,92;2,17;2,21;2,57
01600;Kantauri Arabarra / Cantábrica Alavesa;1,26;1,32;1,34;1,44
48600;Markina-Ondarroa;1,72;1,72;1,84;1,96
48700;Plentzia-Mungia;0,74;0,76;0,84;0,92
20600;Tolosaldea / Tolosa;1,17;1,24;1,24;1,44
20700;Urola-Kostaldea / Urola Costa;1,03;1,09;1,10;1,33
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;0,29;0,36;0,50;0,73
20001;Abaltzisketa;8,82;10,14;10,29;8,70
48002;Abanto y Ciérvana-Abanto Zierbena;0,24;0,35;0,31;0,20
20002;Aduna;2,40;3,48;3,54;3,70
20016;Aia;6,37;7,37;7,78;8,82
20003;Aizarnazabal;4,29;5,19;4,03;5,16
48911;Ajangiz;0,97;2,04;2,08;2,83
20004;Albiztur;4,29;3,03;3,17;4,55
20005;Alegia;0,28;0,00;0,57;0,56
01001;Alegría-Dulantzi;0,54;0,14;0,74;0,57
20006;Alkiza;5,56;5,33;7,35;6,76
48912;Alonsotegi;0,63;0,82;1,00;1,04
20906;Altzaga;0,00;0,00;0,00;0,00
20007;Altzo;2,25;1,20;0,00;0,00
20008;Amezketa;6,35;6,97;7,14;5,95
48003;Amorebieta-Etxano;0,31;0,23;0,39;0,51
48004;Amoroto;1,27;1,30;1,33;2,56
01002;Amurrio;0,83;0,70;0,76;1,00
20009;Andoain;0,26;0,27;0,27;0,23
20010;Anoeta;1,49;1,72;2,01;1,81
20011;Antzuola;1,04;0,85;0,88;0,64
48005;Arakaldo;0,00;0,00;0,00;0,00
20012;Arama;5,66;8,70;8,33;8,00
01003;Aramaio;1,57;1,57;1,28;1,62
48006;Arantzazu;0,00;0,00;0,00;0,00
48093;Areatza;0,35;0,00;0,38;0,38
20013;Aretxabaleta;0,44;0,46;0,47;0,68
01006;Armiñón;0,00;0,00;4,08;0,00
01037;Arraia-Maeztu;4,02;4,62;5,49;4,64
48009;Arrankudiaga;0,84;1,69;1,75;1,72
20055;Arrasate/Mondragón;0,16;0,16;0,24;0,26
48914;Arratzu;1,92;3,06;4,55;3,30
01008;Arratzua-Ubarrundia;1,24;1,67;2,25;1,81
48010;Arrieta;3,10;2,99;2,34;2,40
48011;Arrigorriaga;0,11;0,11;0,08;0,08
48023;Artea;1,18;1,88;1,99;2,00
48008;Artzentales;3,68;4,96;4,88;4,76
01004;Artziniega;1,47;1,49;2,07;2,33
01009;Asparrena;3,02;3,24;3,72;4,29
20014;Asteasu;5,35;6,08;5,62;7,00
20903;Astigarraga;0,65;0,74;0,67;0,91
20015;Ataun;4,09;4,05;3,99;3,63
48091;Atxondo;1,00;1,37;2,01;2,92
48070;Aulesti;1,48;2,29;1,59;2,33
01010;Ayala/Aiara;5,79;6,96;6,73;6,76
20017;Azkoitia;0,84;0,82;0,88;0,92
20018;Azpeitia;0,97;1,07;1,06;1,43
01049;Añana;0,00;0,00;0,00;0,00
48012;Bakio;2,05;2,25;2,38;3,05
20904;Baliarrain;0,00;0,00;0,00;6,25
48090;Balmaseda;0,07;0,14;0,14;0,14
48013;Barakaldo;0,10;0,12;0,13;0,09
48014;Barrika;0,59;0,59;0,62;1,04
01013;Barrundia;4,15;5,08;3,87;5,38
48015;Basauri;0,10;0,06;0,10;0,15
01011;Baños de Ebro/Mañueta;22,00;25,00;26,00;25,00
20019;Beasain;0,14;0,14;0,18;0,11
48092;Bedia;0,39;0,41;0,46;0,89
20020;Beizama;0,00;5,56;0,00;0,00
20021;Belauntza;3,39;2,08;2,04;4,44
48016;Berango;0,17;0,18;0,25;0,19
01014;Berantevilla;3,03;6,38;5,62;7,59
20022;Berastegi;3,36;3,67;3,95;5,07
20074;Bergara;0,42;0,42;0,50;0,55
48017;Bermeo;1,25;1,33;1,59;1,71
01016;Bernedo;7,62;6,36;5,10;7,61
48018;Berriatua;2,38;2,54;2,52;2,98
48019;Berriz;0,67;0,79;0,68;0,65
20023;Berrobi;2,21;1,55;1,64;1,65
20024;Bidania-Goiatz;6,82;6,20;5,56;7,30
48020;Bilbao;0,11;0,10;0,11;0,11
48021;Busturia;0,61;0,92;0,67;0,67
01017;Campezo/Kanpezu;4,11;3,54;3,48;4,50
20029;Deba;2,16;2,42;2,71;2,67
48901;Derio;0,23;0,18;0,12;0,19
48026;Dima;0,56;1,14;1,22;1,17
20069;Donostia / San Sebastián;0,10;0,10;0,10;0,12
48027;Durango;0,19;0,21;0,21;0,20
48028;Ea;0,00;0,00;0,00;0,00
20030;Eibar;0,16;0,17;0,15;0,13
48031;Elantxobe;1,49;0,00;0,00;0,00
01021;Elburgo/Burgelu;3,66;4,49;3,82;3,95
01022;Elciego;6,35;7,07;7,06;8,24
20031;Elduain;1,67;1,72;1,85;1,79
20033;Elgeta;0,82;0,82;0,84;0,40
20032;Elgoibar;0,90;0,80;1,04;0,90
48032;Elorrio;0,63;0,78;0,59;0,67
01023;Elvillar/Bilar;28,21;33,77;36,76;40,00
48902;Erandio;0,09;0,08;0,14;0,13
48033;Ereño;3,64;3,85;5,88;4,08
48034;Ermua;0,20;0,14;0,14;0,03
20067;Errenteria;0,17;0,19;0,22;0,14
20066;Errezil;7,63;8,59;8,59;8,51
01046;Erriberagoitia/Ribera Alta;3,98;6,53;5,61;6,70
48079;Errigoiti;0,00;1,06;2,13;2,11
20034;Eskoriatza;0,22;0,11;0,12;0,35
48029;Etxebarri;0,07;0,04;0,08;0,00
48030;Etxebarria;3,31;3,68;5,26;6,10
20035;Ezkio-Itsaso;4,03;4,29;3,70;2,80
48906;Forua;1,94;1,07;0,54;0,56
48035;Fruiz;3,03;3,05;3,76;3,88
20038;Gabiria;1,65;2,54;2,86;2,00
20037;Gaintza;3,57;3,57;3,70;10,00
48036;Galdakao;0,20;0,19;0,22;0,17
48037;Galdames;4,58;4,70;3,38;3,40
48038;Gamiz-Fika;3,37;3,48;2,99;4,61
48039;Garai;2,67;1,33;1,49;1,35
48040;Gatika;2,50;2,27;2,50;2,79
48041;Gautegiz Arteaga;0,96;0,99;1,57;2,17
20907;Gaztelu;2,63;2,94;0,00;3,33
48046;Gernika-Lumo;0,52;0,50;0,49;0,34
20039;Getaria;2,60;2,68;2,83;3,74
48044;Getxo;0,12;0,09;0,11;0,09
48047;Gizaburuaga;0,00;0,00;0,00;0,00
48042;Gordexola;0,52;0,78;1,08;1,42
48043;Gorliz;0,28;0,30;0,38;0,38
48045;Güeñes;0,34;0,49;0,63;0,43
01056;Harana/Valle de Arana;19,44;16,67;18,92;18,18
20040;Hernani;0,43;0,38;0,33;0,41
20041;Hernialde;4,17;4,41;4,69;4,62
20036;Hondarribia;0,35;0,35;0,45;0,59
20042;Ibarra;0,23;0,35;0,49;0,35
48048;Ibarrangelu;0,72;0,66;0,75;0,81
20043;Idiazabal;1,31;1,54;1,77;2,59
48094;Igorre;0,35;0,36;0,73;0,59
20044;Ikaztegieta;0,00;0,00;0,00;1,11
20045;Irun;0,13;0,16;0,17;0,16
20046;Irura;0,23;0,24;0,25;0,49
01027;Iruraiz-Gauna;5,80;6,29;7,58;9,70
01901;Iruña Oka/Iruña de Oca;0,83;0,72;0,90;0,72
48049;Ispaster;0,66;0,70;0,70;0,74
20047;Itsasondo;2,08;1,42;1,49;3,23
48910;Iurreta;0,67;0,95;1,13;1,25
48050;Izurtza;6,82;7,14;10,87;13,95
48022;Karrantza Harana/Valle de Carranza;13,12;14,71;15,12;17,61
48907;Kortezubi;5,71;5,77;6,73;7,14
01019;Kripan;21,05;17,50;12,12;6,06
01020;Kuartango;5,48;6,25;4,62;4,29
01028;Labastida/Bastida;7,19;7,19;5,73;8,00
01030;Lagrán;3,45;3,33;3,70;3,33
01031;Laguardia;4,06;3,12;4,97;7,30
01032;Lanciego/Lantziego;15,38;16,22;14,15;20,20
48051;Lanestosa;4,35;6,00;9,52;7,69
01902;Lantarón;10,67;10,67;10,87;10,27
01033;Lapuebla de Labarca;14,46;12,42;13,51;16,13
48052;Larrabetzu;1,57;0,61;0,62;0,82
20048;Larraul;1,85;3,57;3,85;0,00
20902;Lasarte-Oria;0,23;0,21;0,15;0,20
01036;Laudio/Llodio;0,49;0,50;0,52;0,54
48053;Laukiz;1,72;1,86;2,28;1,15
20049;Lazkao;0,48;0,49;0,59;0,95
20050;Leaburu;0,00;0,00;1,52;1,43
20051;Legazpi;0,18;0,25;0,26;0,38
20052;Legorreta;0,32;0,33;0,34;0,34
01058;Legutio;1,62;2,07;2,53;2,40
20068;Leintz-Gatzaga;0,00;0,00;0,00;0,00
48054;Leioa;0,13;0,10;0,10;0,13
48057;Lekeitio;0,34;0,28;0,64;0,44
48055;Lemoa;0,73;0,51;0,80;0,66
48056;Lemoiz;0,64;0,98;0,68;0,72
