Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector construcción (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;1,20;1,19;1,24;1,13
Bizkaia;;1,44;1,41;1,48;1,44
CAE;;29,06;1,32;1,37;1,32
Gipuzkoa;;1,23;1,23;1,26;1,23
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;1,90;1,87;1,49;1,14
01200;Arabako Lautada / Llanada Alavesa;1,20;1,18;1,24;1,14
01300;Arabako Mendialdea / Montaña Alavesa;1,12;0,62;0,84;0,88
48100;Arratia Nerbioi / Arratia-Nervión;1,04;1,08;1,26;1,22
20200;Bidasoa Beherea / Bajo Bidasoa;1,23;1,26;1,15;1,19
48200;Bilbo Handia / Gran Bilbao;1,51;1,47;1,54;1,50
20100;Deba Beherea / Bajo Deba;1,02;0,89;0,96;0,94
20300;Debagoiena / Alto Deba;0,80;0,85;0,91;0,79
20400;Donostialdea / Donostia-San Sebastián;1,22;1,21;1,26;1,23
48300;Durangaldea / Duranguesado;1,09;1,16;1,21;1,15
48400;Enkartazioak / Encartaciones;1,42;1,32;1,22;1,11
01400;Errioxa Arabarra / Rioja Alavesa;0,77;0,89;0,79;0,83
48500;Gernika-Bermeo;1,20;1,20;1,35;1,13
20500;Goierri;1,35;1,27;1,26;1,24
01500;Gorbeia Inguruak / Estribaciones del Gorbea;1,13;0,99;1,08;0,99
01600;Kantauri Arabarra / Cantábrica Alavesa;1,25;1,29;1,32;1,21
48600;Markina-Ondarroa;0,66;0,85;0,86;0,89
48700;Plentzia-Mungia;1,70;1,60;1,60;1,67
20600;Tolosaldea / Tolosa;1,30;1,32;1,38;1,48
20700;Urola-Kostaldea / Urola Costa;1,63;1,72;1,76;1,66
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;0,76;1,02;1,18;1,22
20001;Abaltzisketa;4,41;4,35;4,41;5,80
48002;Abanto y Ciérvana-Abanto Zierbena;1,45;1,40;1,95;1,76
20002;Aduna;2,40;2,61;2,65;2,78
20016;Aia;1,99;1,89;1,33;1,36
20003;Aizarnazabal;1,84;1,95;2,68;2,58
48911;Ajangiz;0,00;0,00;0,00;0,00
20004;Albiztur;2,86;3,03;3,17;1,52
20005;Alegia;1,12;1,12;1,44;1,11
01001;Alegría-Dulantzi;1,36;1,41;1,32;1,13
20006;Alkiza;0,00;1,33;1,47;1,35
48912;Alonsotegi;1,58;1,64;1,34;1,73
20906;Altzaga;0,00;0,00;0,00;0,00
20007;Altzo;3,37;4,82;3,95;4,88
20008;Amezketa;0,53;1,00;1,10;1,08
48003;Amorebieta-Etxano;1,05;1,14;1,22;1,16
48004;Amoroto;0,00;0,00;0,00;0,00
01002;Amurrio;1,25;1,40;1,52;1,43
20009;Andoain;1,32;1,13;1,33;1,16
20010;Anoeta;1,06;0,86;0,67;1,58
20011;Antzuola;0,62;0,64;0,66;0,64
48005;Arakaldo;0,00;0,00;0,00;3,12
20012;Arama;5,66;4,35;2,08;4,00
01003;Aramaio;0,00;0,31;0,32;0,00
48006;Arantzazu;1,12;0,00;1,19;0,00
48093;Areatza;1,41;1,09;1,13;0,76
20013;Aretxabaleta;0,38;0,66;0,87;0,82
01006;Armiñón;3,85;3,39;0,00;3,92
01037;Arraia-Maeztu;1,15;1,16;1,22;1,99
48009;Arrankudiaga;1,68;2,11;1,75;1,72
20055;Arrasate/Mondragón;0,43;0,44;0,57;0,37
48914;Arratzu;0,96;1,02;1,14;1,10
01008;Arratzua-Ubarrundia;4,56;4,18;4,50;4,98
48010;Arrieta;0,78;0,75;1,56;0,80
48011;Arrigorriaga;1,30;1,35;1,12;1,21
48023;Artea;1,76;0,62;0,66;1,33
48008;Artzentales;0,74;0,83;0,81;0,00
01004;Artziniega;1,72;1,24;1,55;1,04
01009;Asparrena;0,55;0,59;0,31;0,00
20014;Asteasu;1,97;1,82;1,88;1,75
20903;Astigarraga;1,65;1,68;1,90;1,77
20015;Ataun;0,88;0,58;0,61;0,60
48091;Atxondo;2,33;2,40;2,01;1,46
48070;Aulesti;2,22;3,05;3,17;2,33
01010;Ayala/Aiara;1,93;1,51;1,60;1,42
20017;Azkoitia;1,31;1,39;1,31;1,30
20018;Azpeitia;1,70;1,98;2,09;1,91
01049;Añana;0,00;0,00;0,00;0,00
48012;Bakio;1,32;1,35;1,43;1,86
20904;Baliarrain;0,00;0,00;0,00;0,00
48090;Balmaseda;0,93;0,83;0,99;0,43
48013;Barakaldo;1,47;1,30;1,43;1,44
48014;Barrika;2,07;2,37;2,48;2,43
01013;Barrundia;1,04;0,51;1,10;1,08
48015;Basauri;1,54;1,40;1,39;1,37
01011;Baños de Ebro/Mañueta;0,00;2,08;0,00;0,00
20019;Beasain;1,53;1,45;1,28;1,33
48092;Bedia;1,56;1,64;0,00;0,44
20020;Beizama;0,00;0,00;0,00;0,00
20021;Belauntza;0,00;0,00;0,00;0,00
48016;Berango;1,36;1,71;1,36;1,44
