Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector industria (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;9,80;9,58;9,99;9,87
Bizkaia;;6,42;6,48;6,55;6,52
CAE;;8,04;8,07;8,18;8,06
Gipuzkoa;;9,78;9,84;9,88;9,65
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;11,57;10,38;10,94;12,18
01200;Arabako Lautada / Llanada Alavesa;9,44;9,24;9,67;9,50
01300;Arabako Mendialdea / Montaña Alavesa;14,86;13,18;13,09;13,76
48100;Arratia Nerbioi / Arratia-Nervión;9,14;9,33;9,03;9,16
20200;Bidasoa Beherea / Bajo Bidasoa;6,71;6,85;7,07;6,38
48200;Bilbo Handia / Gran Bilbao;4,86;4,88;4,97;4,91
20100;Deba Beherea / Bajo Deba;15,26;15,59;15,59;15,93
20300;Debagoiena / Alto Deba;19,61;19,52;19,58;19,63
20400;Donostialdea / Donostia-San Sebastián;6,55;6,48;6,45;6,13
48300;Durangaldea / Duranguesado;14,88;14,87;15,15;15,17
48400;Enkartazioak / Encartaciones;6,28;6,33;6,42;6,08
01400;Errioxa Arabarra / Rioja Alavesa;14,47;14,20;14,50;13,93
48500;Gernika-Bermeo;9,15;9,39;9,48;9,67
20500;Goierri;13,44;13,85;14,04;13,55
01500;Gorbeia Inguruak / Estribaciones del Gorbea;10,37;10,55;11,07;11,73
01600;Kantauri Arabarra / Cantábrica Alavesa;10,41;10,20;10,54;10,63
48600;Markina-Ondarroa;19,18;20,04;19,55;20,91
48700;Plentzia-Mungia;6,20;6,26;6,21;6,08
20600;Tolosaldea / Tolosa;10,82;10,66;10,75;10,92
20700;Urola-Kostaldea / Urola Costa;12,23;12,30;12,18;12,26
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;17,80;17,75;17,86;18,06
20001;Abaltzisketa;14,71;13,04;11,76;13,04
48002;Abanto y Ciérvana-Abanto Zierbena;5,18;4,75;5,12;5,39
20002;Aduna;6,40;6,96;7,96;8,33
20016;Aia;10,36;10,11;10,67;10,41
20003;Aizarnazabal;20,25;20,78;20,81;19,35
48911;Ajangiz;13,59;17,35;17,71;19,81
20004;Albiztur;12,86;15,15;14,29;9,09
20005;Alegia;11,20;9,52;10,34;10,83
01001;Alegría-Dulantzi;9,62;10,89;11,32;11,74
20006;Alkiza;13,89;14,67;10,29;13,51
48912;Alonsotegi;6,48;5,59;5,52;5,18
20906;Altzaga;15,79;12,20;11,43;15,15
20007;Altzo;16,85;18,07;19,74;14,63
20008;Amezketa;16,40;15,42;15,38;17,30
48003;Amorebieta-Etxano;11,69;11,34;11,92;12,35
48004;Amoroto;16,46;18,18;20,00;23,08
01002;Amurrio;11,50;10,90;10,89;10,79
20009;Andoain;10,77;10,61;10,75;10,85
20010;Anoeta;7,64;8,41;8,26;7,45
20011;Antzuola;20,91;21,54;20,79;23,35
48005;Arakaldo;13,33;11,63;5,56;0,00
20012;Arama;20,75;21,74;16,67;18,00
