Indicadores municipales de sostenibilidad: Mujeres ocupadas en el sector servicios (% sobre total mujeres ocupadas);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2023;2022;2021;2020
Araba/Álava;;88,15;88,35;87,83;88,02
Bizkaia;;91,83;91,78;91,61;91,68
CAE;;90,19;90,16;89,97;90,10
Gipuzkoa;;88,54;88,47;88,38;88,58
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2023;2022;2021;2020
01100;Arabako Ibarrak / Valles Alaveses;82,56;82,97;82,33;81,33
01200;Arabako Lautada / Llanada Alavesa;89,02;89,22;88,70;88,99
01300;Arabako Mendialdea / Montaña Alavesa;78,27;80,78;80,37;79,01
48100;Arratia Nerbioi / Arratia-Nervión;88,96;88,49;88,50;88,22
20200;Bidasoa Beherea / Bajo Bidasoa;91,88;91,68;91,55;92,18
48200;Bilbo Handia / Gran Bilbao;93,50;93,53;93,36;93,46
20100;Deba Beherea / Bajo Deba;83,07;82,91;82,78;82,47
20300;Debagoiena / Alto Deba;79,26;79,30;79,12;79,13
20400;Donostialdea / Donostia-San Sebastián;92,01;92,08;92,06;92,41
48300;Durangaldea / Duranguesado;83,66;83,58;83,21;83,18
48400;Enkartazioak / Encartaciones;90,65;90,43;90,32;90,57
01400;Errioxa Arabarra / Rioja Alavesa;75,79;75,95;74,81;73,79
48500;Gernika-Bermeo;88,63;88,29;87,91;87,96
20500;Goierri;84,61;84,24;84,02;84,40
01500;Gorbeia Inguruak / Estribaciones del Gorbea;86,58;86,30;85,64;84,71
01600;Kantauri Arabarra / Cantábrica Alavesa;87,09;87,20;86,80;86,72
48600;Markina-Ondarroa;78,43;77,39;77,75;76,23
48700;Plentzia-Mungia;91,36;91,38;91,35;91,33
20600;Tolosaldea / Tolosa;86,70;86,78;86,63;86,16
20700;Urola-Kostaldea / Urola Costa;85,10;84,89;84,96;84,75
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2023;2022;2021;2020
48001;Abadiño;81,15;80,87;80,46;79,99
20001;Abaltzisketa;72,06;72,46;73,53;72,46
48002;Abanto y Ciérvana-Abanto Zierbena;93,13;93,49;92,63;92,65
20002;Aduna;88,80;86,96;85,84;85,19
20016;Aia;81,27;80,63;80,22;79,41
20003;Aizarnazabal;73,62;72,08;72,48;72,90
48911;Ajangiz;85,44;80,61;80,21;77,36
20004;Albiztur;80,00;78,79;79,37;84,85
20005;Alegia;87,39;89,36;87,64;87,50
01001;Alegría-Dulantzi;88,48;87,55;86,62;86,56
20006;Alkiza;80,56;78,67;80,88;78,38
48912;Alonsotegi;91,31;91,94;92,14;92,06
20906;Altzaga;84,21;87,80;88,57;84,85
20007;Altzo;77,53;75,90;76,32;80,49
