Indicadores municipales de sostenibilidad: Mujeres paradas registradas en Lanbide (% mujeres de 16 a 64 años);;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
Araba/Álava;;10,10;10,39;10,38;11,67;10,11;10,83;11,37;11,73;12,61;13,39;13,04;12,79;10,83;9,71;8,91;7,29;5,96;6,08;6,17;5,38
Bizkaia;;9,26;9,57;9,70;10,88;9,66;10,36;10,95;11,30;12,04;12,81;12,62;12,34;10,79;10,00;8,93;7,24;6,02;6,24;6,87;5,88
CAE;;8,78;9,01;9,14;10,24;9,09;9,74;10,29;10,71;11,54;12,30;12,14;11,96;10,41;9,59;8,76;7,18;6,01;6,22;6,60;5,60
Gipuzkoa;;7,16;7,47;7,66;8,51;7,68;8,22;8,69;9,27;10,21;10,93;10,90;10,93;9,56;8,86;8,42;7,03;6,02;6,26;6,34;5,22
"";;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
01100;Arabako Ibarrak / Valles Alaveses;6,33;7,56;6,73;8,71;7,13;7,94;8,00;8,28;8,75;9,78;8,84;9,58;7,43;5,66;6,26;4,49;3,40;3,25;3,07;1,97
01200;Arabako Lautada / Llanada Alavesa;10,19;10,48;10,51;11,80;10,15;10,99;11,53;11,90;12,83;13,63;13,32;13,09;11,12;10,02;9,13;7,42;6,12;6,19;6,21;5,39
01300;Arabako Mendialdea / Montaña Alavesa;6,03;5,22;5,52;7,29;6,07;6,40;7,09;8,88;7,62;6,96;8,24;7,90;7,84;6,21;5,34;4,34;2,96;3,04;4,40;3,13
48100;Arratia Nerbioi / Arratia-Nervión;5,91;6,14;6,38;7,11;6,85;9,09;8,32;8,45;9,50;10,17;10,33;10,04;8,60;8,24;7,51;5,93;5,04;5,19;5,72;5,01
20200;Bidasoa Beherea / Bajo Bidasoa;8,70;8,94;9,55;10,27;9,51;10,06;10,61;11,20;12,72;13,52;13,37;13,63;12,65;11,87;11,16;9,68;8,69;8,91;8,74;6,83
48200;Bilbo Handia / Gran Bilbao;9,87;10,14;10,25;11,50;10,12;10,85;11,51;11,83;12,62;13,41;13,20;12,89;11,30;10,49;9,20;7,44;6,37;6,59;7,20;6,28
20100;Deba Beherea / Bajo Deba;9,52;9,52;9,63;10,20;9,72;10,05;10,71;11,39;12,33;12,77;12,24;12,07;10,62;9,28;9,07;8,09;6,15;6,84;7,26;5,25
20300;Debagoiena / Alto Deba;7,25;7,26;7,11;7,72;7,20;7,75;7,81;8,58;9,46;10,11;9,67;9,77;8,29;7,41;7,94;6,95;5,25;5,18;5,49;4,03
20400;Donostialdea / Donostia-San Sebastián;6,74;7,09;7,35;8,31;7,18;7,75;8,27;8,77;9,60;10,40;10,54;10,50;9,12;8,55;8,07;6,67;5,92;6,12;6,01;5,19
48300;Durangaldea / Duranguesado;7,65;8,18;8,24;9,03;8,07;8,49;8,91;9,18;10,13;11,01;11,06;10,73;9,25;8,25;8,55;6,76;4,34;4,50;5,31;4,05
48400;Enkartazioak / Encartaciones;10,30;10,84;10,82;12,40;11,64;12,62;13,18;13,74;14,33;14,95;14,38;14,02;11,61;10,45;9,58;7,24;6,22;5,69;6,02;5,73
01400;Errioxa Arabarra / Rioja Alavesa;10,23;10,20;10,89;12,57;10,42;12,50;12,35;12,35;12,65;13,73;12,51;11,64;9,70;7,54;7,30;6,14;3,94;3,77;3,75;3,55
48500;Gernika-Bermeo;7,61;7,82;8,34;9,28;8,61;8,62;9,35;10,15;10,45;11,14;11,05;10,61;9,15;8,24;7,46;6,48;5,13;5,19;5,82;4,70
20500;Goierri;6,90;7,59;7,12;7,98;7,52;7,78;8,24;8,88;9,47;10,31;10,53;10,64;9,43;8,37;7,67;5,93;4,54;5,08;5,61;4,82
01500;Gorbeia Inguruak / Estribaciones del Gorbea;5,28;5,95;5,79;6,33;4,96;6,44;4,80;5,14;5,75;5,92;6,29;6,44;5,61;5,42;4,82;5,02;3,33;3,59;4,15;2,77
01600;Kantauri Arabarra / Cantábrica Alavesa;11,65;11,88;11,44;12,60;11,85;10,90;12,31;12,57;13,55;14,34;13,66;13,24;10,97;9,86;9,32;7,83;6,55;7,08;7,56;6,93
48600;Markina-Ondarroa;5,96;6,77;6,89;7,75;6,77;7,40;7,55;7,49;8,05;8,50;8,06;8,99;8,03;7,26;6,90;6,86;4,22;4,71;5,86;4,14
48700;Plentzia-Mungia;6,66;6,88;7,21;8,23;7,66;8,14;8,61;9,31;9,35;9,95;9,73;9,47;8,46;8,36;7,57;6,11;5,19;5,73;6,52;4,67
20600;Tolosaldea / Tolosa;6,77;7,21;7,34;8,42;7,72;8,82;9,12;9,92;11,10;11,93;11,12;11,38;9,72;9,22;8,52;7,33;6,28;6,67;6,51;5,46
20700;Urola-Kostaldea / Urola Costa;6,27;6,51;6,83;7,59;7,06;7,45;7,96;8,44;9,48;9,84;10,21;10,14;8,62;8,13;7,56;5,87;5,26;5,27;5,81;4,81
"";;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
48001;Abadiño;8,35;9,29;8,77;10,54;7,62;8,82;8,92;8,23;9,63;10,32;10,02;9,63;8,88;8,86;8,47;7,12;4,15;4,04;4,61;3,51
20001;Abaltzisketa;3,16;2,15;3,30;11,83;3,37;2,25;5,56;4,44;6,82;7,06;7,87;12,09;6,59;6,67;5,43;4,60;2,27;3,66;2,38;1,23
48002;Abanto y Ciérvana-Abanto Zierbena;11,48;10,69;10,54;12,21;11,13;11,61;11,68;12,65;13,83;13,25;13,88;13,10;11,37;9,04;8,55;6,97;6,20;6,74;8,53;5,85
20002;Aduna;3,27;2,04;4,79;2,82;2,94;2,13;2,22;2,19;9,85;12,88;12,03;12,21;6,11;5,80;6,92;3,25;3,48;5,98;5,08;2,54
20016;Aia;5,41;5,30;4,33;6,31;4,35;6,87;6,77;5,70;7,00;6,61;8,76;7,05;7,97;7,13;5,77;5,32;5,59;4,55;3,24;1,77
20003;Aizarnazabal;7,17;9,21;10,39;11,62;9,09;11,40;12,17;13,04;14,53;14,05;13,71;12,97;10,66;12,50;9,96;8,64;5,58;3,83;2,96;5,56
48911;Ajangiz;2,96;2,92;3,01;3,82;2,90;2,78;4,35;5,04;2,22;6,06;3,82;6,06;4,41;3,65;4,96;2,80;2,65;4,14;2,76;2,10
20004;Albiztur;5,10;2,20;1,12;1,12;2,35;1,22;1,20;4,60;4,44;2,27;4,26;4,30;5,38;4,12;6,32;2,06;0,00;1,01;2,06;4,17
20005;Alegia;7,39;7,99;7,81;10,11;9,83;11,40;10,58;10,22;14,96;13,87;12,00;12,24;10,49;9,91;9,57;8,53;7,01;7,92;8,13;5,61
01001;Alegría-Dulantzi;9,85;8,78;8,63;8,95;7,16;9,63;9,91;10,73;11,76;10,91;11,00;10,70;9,08;8,03;8,92;7,19;5,31;4,68;4,27;2,40
20006;Alkiza;3,77;6,54;5,88;7,69;5,10;7,92;5,21;9,28;12,24;8,42;13,21;12,75;8,57;7,22;5,15;5,71;4,90;6,25;5,32;7,06
48912;Alonsotegi;10,84;12,71;11,66;12,41;11,56;13,58;14,47;15,43;16,35;16,42;15,36;13,77;12,88;11,77;9,85;8,52;8,22;7,77;6,72;6,84
20906;Altzaga;0,00;0,00;3,45;5,45;3,51;3,64;5,56;9,62;3,85;7,84;12,50;8,70;6,67;8,33;6,52;6,25;4,08;4,26;8,89;2,04
20007;Altzo;4,92;2,48;5,98;4,96;6,45;4,07;5,74;7,50;9,82;12,26;13,21;12,61;10,00;7,62;7,34;4,96;4,27;2,63;6,60;5,61
20008;Amezketa;5,96;5,65;5,32;5,78;7,38;10,69;10,27;8,46;13,03;8,37;9,06;8,90;8,03;8,24;7,43;5,95;6,77;3,42;3,27;4,33
48003;Amorebieta-Etxano;6,96;7,41;7,95;8,73;7,68;8,38;7,93;9,03;9,33;10,22;10,35;10,30;8,70;7,22;7,06;6,20;3,55;4,39;4,38;3,74
48004;Amoroto;5,93;2,54;4,92;5,60;5,88;5,43;6,11;3,15;4,17;6,03;4,42;4,50;2,73;3,57;4,35;3,39;3,36;3,39;3,42;2,54
01002;Amurrio;14,27;13,80;13,15;13,62;13,24;10,86;12,79;13,41;13,31;14,15;13,15;12,33;11,51;9,76;8,79;6,61;5,65;6,23;6,80;5,87
20009;Andoain;7,92;8,28;8,39;9,61;8,07;8,71;10,00;10,53;11,75;12,46;12,14;12,48;10,89;9,92;9,35;7,50;7,29;7,42;7,65;6,82
20010;Anoeta;8,25;8,20;8,38;10,02;10,53;11,39;10,08;13,11;11,53;14,81;14,12;14,45;12,05;11,69;11,02;10,18;8,91;8,80;7,67;5,60
20011;Antzuola;5,27;6,54;6,11;5,71;5,04;6,00;5,28;6,71;8,36;8,07;9,24;9,63;7,88;7,22;8,20;7,78;4,96;4,01;4,98;3,63
48005;Arakaldo;4,69;8,62;8,93;7,55;14,00;12,50;7,55;9,80;8,33;11,11;5,56;6,45;6,90;3,45;3,85;13,64;4,76;4,55;13,64;4,76
20012;Arama;1,52;1,54;1,45;5,88;4,29;5,97;11,59;4,76;6,25;9,52;9,23;9,09;6,67;6,67;4,84;3,64;3,70;5,45;1,85;3,70
01003;Aramaio;0,00;0,46;0,92;1,79;1,57;2,46;1,13;1,13;2,25;2,64;2,64;3,06;2,38;2,61;3,00;3,89;3,43;1,06;3,41;1,52
48006;Arantzazu;9,76;9,17;9,38;7,03;9,48;8,70;13,39;10,62;6,84;8,40;9,09;5,98;7,83;3,39;5,61;3,96;1,98;3,19;1,01;1,08
48093;Areatza;7,49;7,33;6,90;7,62;9,75;9,75;8,97;8,68;9,87;10,67;9,18;10,25;8,86;6,10;3,87;3,50;3,09;3,37;4,32;2,06
20013;Aretxabaleta;5,19;5,21;5,40;5,96;6,34;7,71;8,02;7,85;7,50;8,01;7,85;8,17;6,79;6,89;7,09;7,40;6,01;4,77;5,41;3,67
01006;Armiñón;6,41;6,58;6,41;7,04;6,41;2,63;4,35;7,89;11,27;10,81;11,43;12,86;8,96;14,52;6,35;2,17;13,64;7,32;8,11;7,89
01037;Arraia-Maeztu;6,58;3,51;3,60;6,67;5,98;7,77;7,26;9,09;7,45;5,91;6,70;8,96;9,71;6,80;5,00;3,11;3,00;1,90;3,23;2,90
48009;Arrankudiaga;5,64;5,56;6,77;7,21;6,60;6,58;8,33;6,99;6,42;9,43;9,87;11,99;8,36;10,19;9,45;9,45;5,37;6,23;5,92;5,99
20055;Arrasate/Mondragón;9,63;9,80;9,14;9,85;9,64;9,32;9,57;10,73;12,19;12,45;11,77;11,56;10,03;8,89;9,36;8,23;6,10;5,68;6,27;4,26
48914;Arratzu;6,30;3,97;2,99;6,45;3,23;4,13;5,60;5,60;6,40;6,40;5,98;1,72;0,00;2,68;5,71;3,88;1,02;3,96;3,00;1,02
01008;Arratzua-Ubarrundia;4,66;4,06;5,06;5,96;5,21;6,01;4,82;4,87;3,77;5,43;7,34;5,18;6,34;7,05;4,73;5,32;5,67;5,12;3,47;3,38
48010;Arrieta;6,15;5,11;6,21;3,93;4,81;6,25;6,21;7,60;6,94;9,30;10,29;7,93;6,83;10,00;9,82;8,92;4,40;4,38;3,95;4,05
48011;Arrigorriaga;8,72;8,96;9,03;10,54;9,53;9,90;10,80;11,49;12,30;12,74;13,10;11,90;11,00;10,54;10,67;9,09;7,36;7,53;7,85;7,04
48023;Artea;6,03;4,33;3,48;6,01;5,12;5,00;7,91;5,43;7,02;6,30;6,84;7,83;6,48;6,00;4,98;4,56;3,93;5,12;4,25;4,31
48008;Artzentales;10,41;10,19;8,72;12,15;8,37;11,96;12,02;10,58;13,11;11,74;12,21;11,85;10,38;9,45;6,77;4,21;6,67;6,77;5,35;3,28
01004;Artziniega;8,81;8,18;8,44;9,08;9,45;10,67;9,15;10,53;11,35;11,15;11,98;13,62;11,15;11,97;11,39;9,58;7,12;6,00;7,18;6,27
01009;Asparrena;6,11;7,06;7,72;7,50;8,95;7,33;8,57;9,22;9,06;10,64;8,68;9,21;9,16;7,24;5,39;3,70;4,29;4,45;5,85;5,01
20014;Asteasu;4,09;3,75;6,63;6,18;5,25;5,66;5,74;6,67;9,15;9,24;9,81;10,71;8,08;7,58;6,05;7,62;4,71;4,11;4,60;4,01
20903;Astigarraga;5,94;5,97;6,22;6,46;6,27;7,09;7,44;7,68;8,16;8,73;9,67;9,66;7,66;6,62;6,10;5,80;5,33;5,00;4,35;3,39
20015;Ataun;5,14;6,84;5,29;4,96;4,15;5,81;4,57;6,54;7,07;8,24;7,43;8,14;8,61;5,71;5,47;3,99;3,77;2,37;2,80;3,22
48091;Atxondo;6,07;6,21;5,16;5,44;8,03;6,87;7,16;9,65;7,73;9,59;9,53;8,58;8,25;8,78;6,56;4,77;3,09;3,91;5,37;3,82
48070;Aulesti;4,71;7,00;6,40;5,82;5,18;4,69;3,05;4,19;5,43;7,26;7,03;8,47;8,29;9,14;7,61;4,84;2,69;2,65;4,21;1,04
01010;Ayala/Aiara;6,21;6,09;6,56;8,98;8,65;9,21;8,59;7,72;9,31;8,63;9,97;10,36;9,82;8,11;8,27;7,91;6,24;5,59;6,09;4,63
20017;Azkoitia;6,83;6,92;7,03;7,72;8,00;9,22;9,88;9,55;10,99;10,77;11,59;11,14;9,00;7,84;7,70;5,38;4,68;4,61;5,89;4,85
20018;Azpeitia;6,88;7,06;7,03;7,86;7,57;7,68;8,11;8,88;9,55;10,80;10,79;10,59;8,59;7,98;7,38;5,57;4,80;4,95;5,46;4,82
01049;Añana;2,78;2,56;2,56;5,26;0,00;2,70;7,14;6,98;8,33;5,71;7,69;5,41;2,63;5,00;7,69;2,56;0,00;2,56;0,00;7,32
48012;Bakio;5,51;6,14;6,24;7,07;7,67;6,86;9,59;9,45;9,84;8,92;9,29;8,49;9,48;8,85;7,78;5,32;3,11;6,39;7,17;5,47
20904;Baliarrain;6,25;6,98;4,44;8,89;2,17;4,65;4,65;6,67;11,11;12,77;12,20;5,00;10,00;7,50;10,26;5,56;0,00;3,85;0,00;6,90
48090;Balmaseda;12,77;12,92;13,87;15,42;15,27;16,30;15,44;16,07;16,11;17,36;15,80;15,13;12,65;11,78;11,14;7,92;6,24;6,24;6,64;7,11
48013;Barakaldo;10,23;10,52;10,90;11,99;10,47;11,53;12,50;12,83;13,67;14,20;14,14;13,64;11,55;10,47;8,68;6,82;5,87;6,40;6,57;5,74
48014;Barrika;6,83;6,64;6,86;7,88;9,96;7,99;10,20;9,13;7,64;8,20;7,91;6,85;7,66;4,57;5,58;5,10;4,00;4,44;4,31;2,95
01013;Barrundia;3,52;4,53;3,23;3,88;3,68;2,59;3,32;4,10;4,78;7,87;8,88;10,53;5,28;4,53;3,77;2,80;0,84;2,20;3,42;3,00
48015;Basauri;11,79;11,68;12,07;12,99;11,79;12,07;12,84;13,51;14,52;15,61;14,84;15,12;12,82;11,72;10,30;8,57;7,29;7,76;8,18;7,10
01011;Baños de Ebro/Mañueta;4,71;4,65;3,33;3,57;3,53;6,02;6,25;5,06;6,17;6,10;6,98;7,59;5,00;4,82;4,82;3,57;4,49;1,16;1,19;1,22
20019;Beasain;7,32;7,59;6,75;7,91;7,48;7,94;7,97;8,65;9,89;10,70;10,05;10,33;9,78;7,88;7,65;5,78;4,35;4,49;5,60;4,11
