Indicadores municipales de sostenibilidad: PIB municipal per cápita (Base CAE=100);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000;1996
Araba/Álava;;104,44;105,47;106,41;107,06;108,22;109,40;110,23;110,35;110,42;107,95;115,18;119,01;122,67;120,77
Bizkaia;;97,59;97,02;96,55;96,71;96,91;96,74;96,35;96,26;95,79;96,50;94,48;94,30;92,06;92,17
CAE;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Gipuzkoa;;101,80;102,24;102,58;102,03;101,19;100,00;101,21;101,35;102,13;102,15;102,31;101,04;103,68;104,53
"";;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;
Código comarca;Comarca;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000;1996
01100;Arabako Ibarrak / Valles Alaveses;145,03;147,46;151,56;146,33;155,60;172,16;172,95;164,24;181,64;156,87;169,89;176,46;186,12;210,60
01200;Arabako Lautada / Llanada Alavesa;86,26;102,48;102,44;102,61;103,56;104,73;105,25;105,30;104,74;103,48;107,50;111,28;116,10;116,23
01300;Arabako Mendialdea / Montaña Alavesa;84,10;116,96;108,05;109,66;108,69;113,22;115,29;113,72;116,63;124,30;121,61;107,78;113,30;94,91
48100;Arratia Nerbioi / Arratia-Nervión;144,94;91,10;95,91;96,87;94,46;91,40;83,33;89,87;91,82;108,55;100,23;108,46;111,28;112,75
20200;Bidasoa Beherea / Bajo Bidasoa;130,45;83,05;86,00;87,05;84,00;82,81;81,47;84,20;86,49;82,24;80,90;81,30;86,65;82,76
48200;Bilbo Handia / Gran Bilbao;86,40;99,34;98,70;98,86;98,92;98,86;97,99;97,77;96,73;97,35;94,16;94,12;91,15;91,73
20100;Deba Beherea / Bajo Deba;105,98;93,33;93,05;95,67;94,41;95,50;95,33;92,73;93,13;90,82;92,91;96,15;100,01;95,05
20300;Debagoiena / Alto Deba;52,83;118,19;116,30;111,29;112,32;112,66;115,99;117,64;124,65;131,88;132,69;139,26;134,94;130,74
20400;Donostialdea / Donostia-San Sebastián;162,71;107,55;108,17;107,53;107,95;107,21;106,18;106,68;104,01;104,96;101,02;99,15;101,84;110,09
48300;Durangaldea / Duranguesado;101,89;118,59;116,81;118,77;117,84;117,36;118,06;117,09;115,46;114,52;118,83;119,98;117,40;106,16
48400;Enkartazioak / Encartaciones;72,38;56,46;57,57;52,35;54,14;56,47;57,51;58,23;65,96;69,04;73,88;74,37;64,16;60,22
01400;Errioxa Arabarra / Rioja Alavesa;99,07;166,10;177,18;186,06;193,89;189,56;178,50;179,25;177,86;172,44;196,53;224,08;240,76;183,64
48500;Gernika-Bermeo;75,51;75,31;76,44;78,28;81,34;78,92;80,57;77,61;84,15;77,29;80,42;78,25;82,05;81,97
20500;Goierri;78,85;107,09;109,46;109,05;104,89;103,60;106,22;104,62;110,89;105,47;118,29;110,96;106,99;92,68
01500;Gorbeia Inguruak / Estribaciones del Gorbea;92,03;126,48;133,94;137,87;136,96;130,89;134,75;131,20;137,75;147,48;174,30;203,77;228,70;232,73
01600;Kantauri Arabarra / Cantábrica Alavesa;121,86;93,98;97,92;99,54;99,23;101,08;107,04;109,66;109,90;99,21;119,67;112,06;102,46;104,53
48600;Markina-Ondarroa;93,97;76,28;76,29;77,96;81,73;84,61;85,21;87,00;82,33;79,27;82,09;82,34;84,09;94,07
48700;Plentzia-Mungia;91,20;77,11;76,38;73,92;74,65;73,62;78,99;80,33;81,21;85,87;83,15;75,54;82,29;93,20
20600;Tolosaldea / Tolosa;101,88;95,37;92,49;90,71;91,54;92,33;93,52;92,48;97,56;97,92;103,27;94,91;104,66;107,02
20700;Urola-Kostaldea / Urola Costa;108,76;92,22;91,21;91,51;88,16;89,84;92,31;91,14;92,60;93,62;96,52;96,02;100,65;93,66
"";;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;
Código municipio;Municipio;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000;1996
48001;Abadiño;250,07;212,76;224,42;226,03;234,41;243,21;239,51;230,68;207,03;200,41;206,86;226,96;220,04;173,37
20001;Abaltzisketa;53,66;63,19;64,59;61,06;60,93;51,30;50,24;56,21;65,25;66,52;67,26;54,04;55,09;42,49
48002;Abanto y Ciérvana-Abanto Zierbena;94,95;98,02;95,72;91,92;91,13;89,67;90,55;90,70;93,00;93,89;101,15;97,13;89,58;91,06
20002;Aduna;574,21;546,76;444,17;423,58;399,75;370,33;388,56;394,65;403,83;428,63;531,60;529,75;686,81;700,60
20016;Aia;106,74;108,22;107,10;104,13;103,72;106,32;99,69;103,93;108,12;118,86;141,32;175,96;130,08;116,95
20003;Aizarnazabal;303,99;214,28;212,83;170,72;166,35;153,77;160,98;158,06;153,09;198,41;210,12;266,41;260,08;274,94
48911;Ajangiz;629,30;642,43;633,35;646,48;637,68;634,99;702,12;629,19;531,79;554,83;445,62;500,91;588,90;423,99
20004;Albiztur;126,65;117,07;107,00;108,28;99,48;92,45;97,43;73,21;153,44;153,82;156,62;150,03;125,94;169,38
20005;Alegia;83,60;81,70;69,42;70,54;68,72;68,78;73,68;68,96;77,01;60,96;57,78;67,01;77,06;56,27
01001;Alegría-Dulantzi;45,03;44,39;44,11;43,62;41,92;54,74;49,90;53,10;70,21;73,83;88,50;96,02;126,33;160,75
20006;Alkiza;35,30;35,26;38,35;36,71;37,61;40,00;38,04;40,36;45,70;48,44;43,71;59,29;72,21;94,28
48912;Alonsotegi;72,49;81,16;81,43;72,71;69,63;67,06;70,16;76,21;94,73;63,49;101,48;119,73;118,22;100,55
20906;Altzaga;34,35;37,85;38,96;31,71;32,11;33,14;40,54;37,43;35,12;33,93;26,29;37,32;64,74;57,67
20007;Altzo;254,54;282,09;240,93;214,89;189,63;252,09;297,50;283,65;279,08;302,93;279,21;320,61;270,80;195,40
20008;Amezketa;206,05;185,79;186,61;148,59;144,47;150,04;153,24;138,07;120,36;107,06;96,45;84,20;86,67;88,16
48003;Amorebieta-Etxano;193,41;170,47;161,26;163,96;161,85;157,26;158,01;153,31;147,13;140,80;146,92;121,59;122,52;107,67
48004;Amoroto;146,80;153,62;156,68;132,11;121,47;119,83;123,75;141,53;146,24;159,12;173,75;166,25;176,75;113,94
01002;Amurrio;86,84;95,47;107,11;116,63;115,84;117,23;117,79;130,26;146,43;127,68;151,64;143,16;112,57;126,72
20009;Andoain;86,14;93,64;94,88;94,65;95,47;98,65;94,91;103,97;94,85;96,55;88,33;88,51;90,15;100,80
20010;Anoeta;90,91;97,39;94,74;90,57;112,85;105,26;94,47;99,19;122,35;91,26;86,99;86,82;126,92;118,11
20011;Antzuola;105,86;106,77;99,57;98,54;109,89;112,93;112,65;111,72;113,70;114,19;120,77;127,96;157,29;156,03
48005;Arakaldo;61,65;65,66;77,05;76,94;80,68;81,05;77,71;124,43;182,22;255,14;324,39;312,31;292,65;321,73
20012;Arama;627,29;518,22;618,80;468,60;498,03;475,25;159,71;151,65;177,53;160,03;215,28;291,13;46,30;33,39
01003;Aramaio;37,02;37,12;35,38;36,04;40,78;40,98;41,94;46,73;44,19;39,52;43,23;46,13;58,57;60,78
48006;Arantzazu;39,39;41,14;42,22;44,40;48,53;47,83;49,43;40,76;42,48;40,96;69,01;62,23;75,77;62,84
48093;Areatza;28,54;29,98;35,76;34,76;36,64;37,36;38,92;34,76;37,87;45,35;94,91;54,55;45,96;62,55
20013;Aretxabaleta;91,65;94,93;88,82;84,92;86,29;89,07;93,01;95,12;98,19;92,37;118,74;108,52;124,50;124,55
01006;Armiñón;133,86;133,87;165,55;188,73;188,82;172,12;169,93;192,96;189,35;180,43;192,36;333,83;399,08;385,06
01037;Arraia-Maeztu;66,10;71,90;76,08;77,91;76,93;86,93;89,18;89,16;91,83;128,29;100,96;105,83;105,40;102,28
48009;Arrankudiaga;196,64;178,18;159,60;189,65;189,92;174,11;175,18;183,59;170,63;201,30;228,29;266,79;253,27;260,04
20055;Arrasate/Mondragón;130,49;131,08;122,82;116,04;118,82;120,01;125,26;126,67;143,66;147,70;133,32;153,70;139,36;147,48
48914;Arratzu;69,85;69,04;61,60;61,38;64,46;66,98;75,49;75,06;71,51;104,39;67,33;73,56;97,34;49,38
01008;Arratzua-Ubarrundia;80,53;80,75;79,77;78,75;67,43;74,35;80,83;84,94;102,15;94,31;84,72;152,09;182,22;174,90
48010;Arrieta;38,92;40,51;42,88;34,12;35,01;34,66;38,33;38,38;43,38;43,27;45,04;37,82;39,14;45,42
48011;Arrigorriaga;73,63;74,14;84,50;83,82;77,66;75,82;73,10;76,15;77,47;83,76;87,11;96,47;96,74;92,55
48023;Artea;162,90;157,45;172,45;164,19;161,39;158,23;132,10;165,00;154,92;123,75;96,31;51,14;63,12;61,99
48008;Artzentales;42,76;47,43;50,56;44,14;52,32;50,04;49,38;46,37;45,61;42,57;43,88;41,92;43,47;41,01
01004;Artziniega;43,55;48,64;47,06;45,51;55,86;63,55;71,01;69,89;69,75;71,37;79,08;88,21;85,41;86,13
01009;Asparrena;195,88;169,93;235,57;224,55;232,09;197,87;230,59;214,19;172,96;231,62;221,50;266,63;188,47;190,50
20014;Asteasu;239,05;228,55;224,70;207,03;215,45;206,28;212,64;208,00;222,02;226,62;254,11;217,34;186,22;145,54
20903;Astigarraga;126,23;128,36;147,33;160,24;158,33;149,06;155,73;164,63;153,80;187,85;189,70;196,68;224,55;223,71
20015;Ataun;33,21;34,60;34,33;34,01;36,04;36,25;34,94;31,79;34,65;37,63;39,97;43,43;44,56;38,22
48091;Atxondo;213,01;220,98;201,89;186,86;202,31;207,99;208,74;207,05;177,80;168,35;168,49;185,70;158,53;148,69
48070;Aulesti;69,31;73,96;59,89;57,66;60,08;65,10;69,83;70,02;76,87;73,19;73,46;77,71;61,09;64,73
01010;Ayala/Aiara;63,81;62,37;65,58;69,67;68,82;73,11;76,27;78,67;83,42;84,17;94,98;95,19;139,79;116,77
20017;Azkoitia;101,38;94,19;91,68;100,35;88,41;91,26;89,92;91,63;81,24;81,56;83,88;76,74;80,53;75,30
20018;Azpeitia;90,92;95,44;98,12;98,66;92,10;92,08;91,37;90,67;91,87;102,18;117,27;120,56;123,86;108,85
01049;Añana;98,53;105,44;97,69;118,88;101,05;110,69;94,65;102,89;108,19;118,22;91,43;111,39;104,66;104,36
48012;Bakio;50,40;54,41;58,77;62,31;63,20;60,56;62,39;67,56;69,03;88,30;118,41;67,16;71,48;99,07
20904;Baliarrain;71,02;57,81;55,41;53,52;56,82;52,12;56,38;51,83;50,07;47,98;92,54;61,46;59,38;59,08
48090;Balmaseda;49,79;53,95;52,76;50,57;54,46;58,10;62,60;58,72;60,09;62,72;72,48;64,67;71,28;53,30
48013;Barakaldo;68,74;71,33;69,04;69,91;74,34;74,47;79,48;77,91;73,42;70,65;76,69;77,56;59,30;68,45
48014;Barrika;42,89;42,17;44,44;41,72;42,64;43,56;45,82;46,56;45,19;42,26;44,68;48,12;60,50;67,74
01013;Barrundia;41,52;42,16;43,83;48,88;45,92;51,09;56,16;49,54;53,80;51,25;51,17;59,01;86,04;98,72
48015;Basauri;87,78;86,83;88,28;89,92;87,62;86,88;86,33;88,78;89,98;92,44;94,92;88,27;80,21;82,45
01011;Baños de Ebro/Mañueta;98,76;90,51;119,40;150,35;144,21;152,01;127,18;110,07;101,87;103,29;139,87;179,01;207,28;174,84
20019;Beasain;176,33;175,93;177,37;176,35;152,80;137,71;143,77;143,48;171,60;164,48;192,15;125,67;125,42;123,06
48092;Bedia;131,25;133,29;146,65;132,79;136,44;147,05;133,49;138,97;186,57;207,90;253,83;199,73;210,08;210,75
20020;Beizama;71,25;69,85;63,08;62,75;68,75;61,15;64,04;60,25;53,07;45,82;43,57;34,69;54,07;56,22
20021;Belauntza;262,68;283,69;256,75;278,03;253,70;238,66;244,93;197,09;225,42;206,95;269,53;276,03;321,64;322,45
48016;Berango;77,02;55,87;52,73;53,88;52,47;58,76;62,05;59,97;56,28;54,98;62,03;63,93;71,95;76,93
01014;Berantevilla;351,80;413,83;499,62;456,36;501,47;461,78;442,87;477,05;520,77;354,22;352,40;387,84;235,40;176,07
20022;Berastegi;100,08;88,87;82,02;84,78;87,63;98,45;96,30;100,88;84,94;84,11;70,26;112,14;132,57;138,11
20074;Bergara;105,27;97,55;95,83;98,24;94,00;91,74;92,96;103,61;98,80;115,13;114,06;108,95;112,53;109,07
48017;Bermeo;87,79;78,11;81,04;81,94;91,04;81,92;85,55;81,74;93,94;73,42;84,97;78,08;83,78;90,33
01016;Bernedo;281,90;336,03;289,99;304,30;282,89;304,77;306,50;284,26;278,85;289,73;307,68;238,98;220,36;115,37
48018;Berriatua;166,71;203,52;225,74;231,26;253,49;246,09;242,40;236,33;209,10;213,74;229,88;240,54;328,57;262,71
48019;Berriz;107,92;101,15;107,92;111,51;112,76;118,83;111,80;110,91;109,66;97,88;115,13;125,81;134,83;132,90
20023;Berrobi;36,16;39,61;39,61;41,73;38,91;38,18;41,01;43,35;69,70;75,41;94,78;91,70;84,61;106,04
20024;Bidania-Goiatz;60,14;53,84;53,76;50,50;57,62;54,33;58,11;61,72;61,98;58,92;65,28;91,47;79,64;67,22
48020;Bilbao;100,58;103,10;99,79;100,23;101,57;100,66;99,38;100,37;98,59;96,77;93,50;95,94;100,61;103,88
48021;Busturia;46,30;50,00;49,10;48,76;47,54;50,08;48,94;50,23;47,79;46,74;39,83;38,70;43,89;42,82
01017;Campezo/Kanpezu;72,63;80,05;69,25;67,21;72,44;68,18;71,44;74,40;85,26;81,23;81,91;81,08;93,09;93,65
20029;Deba;117,73;116,20;122,01;130,58;121,20;122,62;113,85;106,96;117,03;108,40;126,93;115,39;127,34;122,86
48901;Derio;377,50;386,62;386,78;402,28;376,16;377,03;379,59;408,22;365,58;346,37;328,85;237,93;171,99;141,71
48026;Dima;46,81;48,52;47,24;48,57;49,44;53,12;50,50;54,74;51,95;56,49;50,92;57,43;50,69;57,72
20069;Donostia / San Sebastián;117,94;119,45;120,27;119,29;121,23;120,04;118,03;118,53;113,02;112,85;107,63;104,48;105,85;122,24
48027;Durango;70,16;65,04;64,81;66,51;63,56;63,95;66,04;68,37;71,04;74,91;61,73;59,02;65,21;73,96
48028;Ea;72,86;66,99;64,17;63,64;60,12;64,22;62,56;63,54;67,97;60,81;68,89;83,02;47,76;56,14
20030;Eibar;77,66;77,96;76,35;78,13;75,37;76,42;75,39;74,13;77,39;76,76;74,15;77,30;84,03;90,21
48031;Elantxobe;40,98;41,24;38,59;44,33;42,29;47,76;44,20;40,44;39,20;36,51;38,97;37,44;42,74;63,27
01021;Elburgo/Burgelu;50,88;49,94;57,17;64,55;63,51;66,00;61,34;66,33;58,74;59,67;67,96;80,84;107,59;186,12
01022;Elciego;193,55;167,80;199,99;225,90;223,30;215,94;186,64;179,34;186,11;184,29;186,79;267,80;324,79;205,16
20031;Elduain;86,12;86,10;87,86;78,58;101,21;115,29;101,43;91,50;92,79;82,65;117,43;90,41;89,36;144,58
20033;Elgeta;156,53;137,00;149,64;147,45;145,37;145,33;153,37;157,69;151,45;166,02;188,24;197,93;220,73;136,42
20032;Elgoibar;125,16;131,01;129,12;134,19;133,57;135,93;140,35;137,25;133,01;127,02;126,57;137,41;141,97;116,90
48032;Elorrio;106,01;119,39;103,77;107,83;106,75;103,58;123,69;120,18;113,82;119,94;137,81;136,20;154,20;112,72
01023;Elvillar/Bilar;91,62;79,27;103,69;126,47;131,05;125,63;121,88;116,22;103,91;99,20;129,19;214,15;173,57;160,26
48902;Erandio;119,93;114,57;124,42;118,87;113,89;117,32;125,13;124,47;135,74;130,15;117,29;116,08;111,75;97,99
48033;Ereño;43,86;37,21;40,83;47,34;74,95;81,00;65,14;60,12;55,58;56,77;67,69;74,73;48,83;42,28
48034;Ermua;58,57;59,36;62,70;65,39;65,64;66,11;63,93;61,63;63,18;63,98;63,13;72,21;62,35;63,93
20067;Errenteria;57,83;58,89;57,98;57,77;55,40;56,80;54,99;56,58;56,60;54,29;58,70;59,65;58,66;55,20
20066;Errezil;167,25;136,46;112,77;106,52;102,14;104,58;111,42;107,12;105,32;111,58;101,30;137,58;119,53;95,43
01046;Erriberagoitia/Ribera Alta;47,66;45,87;49,83;51,34;57,64;62,35;69,91;61,28;58,28;57,10;58,06;67,81;84,71;98,49
48079;Errigoiti;38,15;37,28;38,48;37,02;35,58;41,50;40,81;39,24;41,80;43,16;47,60;55,44;63,17;55,64
20034;Eskoriatza;95,41;98,84;107,71;96,02;123,70;122,19;127,75;116,62;122,07;137,39;130,98;137,58;116,71;135,14
48029;Etxebarri;91,04;86,64;85,53;91,56;93,49;90,93;87,73;90,56;88,25;121,18;121,90;125,58;127,13;160,98
