Indicadores municipales de sostenibilidad: PIB municipal por persona ocupada (?);;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;
Entidad;;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000
Araba/Álava;;70.047,00;65.702,00;71.859,00;70.657,00;70.167,00;69.887,00;69.224,00;67.693,00;64.914,00;60.456,00;62.466,00;56.269,00;46.764,00
Bizkaia;;72.088,00;66.917,00;72.481,00;71.300,00;70.567,00;69.347,00;68.029,00;67.496,00;65.109,00;63.763,00;61.851,00;55.791,00;45.831,00
CAE;;71.551,00;66.626,00;72.569,00;71.143,00;70.280,00;69.327,00;68.180,00;67.437,00;65.378,00;63.411,00;62.443,00;55.883,00;46.394,00
Gipuzkoa;;71.465,00;66.632,00;73.047,00;71.140,00;69.896,00;68.368,00;67.900,00;67.211,00;66.027,00;64.360,00;63.340,00;55.779,00;47.065,00
"";;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;
Código comarca;Comarca;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000
01100;Arabako Ibarrak / Valles Alaveses;75.634,00;68.551,00;79.092,00;74.224,00;69.902,00;74.147,00;73.265,00;68.405,00;72.736,00;64.516,00;70.882,00;64.072,00;51.934,00
01200;Arabako Lautada / Llanada Alavesa;69.472,00;65.360,00;70.723,00;69.055,00;69.321,00;69.180,00;68.378,00;66.965,00;64.413,00;60.287,00;60.684,00;55.135,00;45.876,00
01300;Arabako Mendialdea / Montaña Alavesa;60.696,00;61.366,00;63.562,00;63.937,00;59.124,00;60.421,00;60.758,00;54.513,00;57.475,00;61.395,00;57.758,00;45.827,00;37.900,00
48100;Arratia Nerbioi / Arratia-Nervión;74.169,00;70.984,00;80.595,00;79.231,00;77.133,00;71.694,00;64.864,00;68.443,00;64.211,00;72.078,00;63.427,00;61.123,00;47.832,00
20200;Bidasoa Beherea / Bajo Bidasoa;71.162,00;64.720,00;72.085,00;71.270,00;69.412,00;67.393,00;65.171,00;66.706,00;66.601,00;62.999,00;59.655,00;52.749,00;47.418,00
48200;Bilbo Handia / Gran Bilbao;71.065,00;66.699,00;72.295,00;71.016,00;70.347,00;69.354,00;67.784,00;66.941,00;64.614,00;63.089,00;60.712,00;55.147,00;45.597,00
20100;Deba Beherea / Bajo Deba;69.580,00;65.243,00;70.887,00;70.724,00;70.063,00;69.666,00;68.977,00;67.096,00;65.959,00;62.153,00;62.716,00;55.508,00;47.959,00
