Indicadores municipales de sostenibilidad: PIB municipal por persona ocupada (Base CAE=100);;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;
Entidad;;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000
Araba/Álava;;97,90;98,61;99,02;99,32;99,84;100,81;101,53;100,38;99,29;95,34;100,04;100,69;100,80
Bizkaia;;100,75;100,44;99,88;100,22;100,41;100,03;99,78;100,09;99,59;100,56;99,05;99,84;98,79
CAE;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Gipuzkoa;;99,88;100,01;100,66;100,00;99,45;98,62;99,59;99,66;100,99;101,50;101,44;99,81;101,45
"";;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;
Código comarca;Comarca;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000
01100;Arabako Ibarrak / Valles Alaveses;105,71;102,89;108,99;104,33;99,46;106,95;107,46;101,44;111,25;101,74;113,51;114,65;111,94
01200;Arabako Lautada / Llanada Alavesa;97,09;98,10;97,46;97,07;98,64;99,79;100,29;99,30;98,52;95,07;97,18;98,66;98,88
01300;Arabako Mendialdea / Montaña Alavesa;84,83;92,11;87,59;89,87;84,13;87,15;89,11;80,84;87,91;96,82;92,50;82,01;81,69
48100;Arratia Nerbioi / Arratia-Nervión;103,66;106,54;111,06;111,37;109,75;103,41;95,14;101,49;98,21;113,67;101,58;109,38;103,10
20200;Bidasoa Beherea / Bajo Bidasoa;99,46;97,14;99,33;100,18;98,76;97,21;95,59;98,92;101,87;99,35;95,54;94,39;102,21
48200;Bilbo Handia / Gran Bilbao;99,32;100,11;99,62;99,82;100,10;100,04;99,42;99,26;98,83;99,49;97,23;98,68;98,28
20100;Deba Beherea / Bajo Deba;97,25;97,92;97,68;99,41;99,69;100,49;101,17;99,49;100,89;98,02;100,44;99,33;103,37
20300;Debagoiena / Alto Deba;102,87;100,94;99,26;94,74;93,43;95,09;97,90;98,18;101,98;106,60;109,31;107,87;103,82
20400;Donostialdea / Donostia-San Sebastián;97,88;98,66;99,73;99,18;100,35;100,10;99,04;99,73;98,29;100,02;96,72;95,53;98,27
48300;Durangaldea / Duranguesado;116,38;104,72;102,04;104,92;102,75;101,67;103,15;104,69;101,91;105,41;106,62;107,16;104,76
48400;Enkartazioak / Encartaciones;77,03;83,64;85,04;78,04;79,47;82,17;83,85;83,59;88,70;88,70;98,28;98,82;93,88
01400;Errioxa Arabarra / Rioja Alavesa;100,03;99,03;105,78;110,57;108,78;102,33;99,76;102,89;104,08;104,62;116,68;123,58;126,90
48500;Gernika-Bermeo;103,83;99,11;100,48;101,74;107,84;102,53;104,87;104,76;111,33;100,11;104,99;97,44;95,00
20500;Goierri;110,83;108,98;111,53;111,78;106,66;106,12;106,76;103,94;113,83;108,94;118,75;114,30;108,93
01500;Gorbeia Inguruak / Estribaciones del Gorbea;111,07;95,92;99,02;103,34;99,72;97,57;100,48;93,72;91,24;87,72;99,22;96,29;109,44
01600;Kantauri Arabarra / Cantábrica Alavesa;98,23;103,50;107,27;110,52;104,70;107,71;111,44;110,53;102,39;92,99;110,15;103,27;96,80
48600;Markina-Ondarroa;87,69;93,64;94,14;94,48;93,09;95,89;96,01;99,21;95,49;92,10;95,98;95,84;91,51
48700;Plentzia-Mungia;103,38;105,71;103,72;103,22;103,75;102,74;106,13;109,17;107,85;115,47;113,39;104,99;102,21
20600;Tolosaldea / Tolosa;97,10;98,17;97,22;96,03;96,36;96,22;96,61;95,46;99,55;100,66;104,80;99,64;102,15
20700;Urola-Kostaldea / Urola Costa;100,68;102,91;102,28;101,40;96,85;98,84;101,57;100,21;101,08;101,04;103,23;104,08;104,78
"";;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;
Código municipio;Municipio;2021;2020;2019;2018;2017;2016;2015;2014;2012;2010;2008;2005;2000
48001;Abadiño;139,88;117,17;119,51;120,21;120,54;126,48;124,71;129,62;111,52;111,83;113,10;119,19;121,82
20001;Abaltzisketa;45,94;47,06;46,24;53,29;54,19;51,02;56,20;46,28;50,80;47,44;47,86;53,30;49,57
48002;Abanto y Ciérvana-Abanto Zierbena;85,90;91,11;87,70;83,32;83,75;82,59;80,62;79,41;79,09;79,60;79,19;79,47;78,54
20002;Aduna;92,32;91,10;96,97;100,40;95,12;86,70;88,71;88,72;90,94;88,63;96,17;85,41;91,48
20016;Aia;85,27;86,20;81,30;80,62;80,94;82,00;79,59;78,04;81,05;83,82;91,19;102,29;86,16
20003;Aizarnazabal;163,64;153,09;148,35;128,21;122,11;118,10;125,69;118,31;108,42;111,33;107,72;132,56;117,34
48911;Ajangiz;128,63;124,86;103,84;109,10;108,60;110,41;117,07;115,54;101,01;117,30;98,29;91,74;113,80
20004;Albiztur;85,04;81,93;79,64;84,76;81,52;78,38;79,22;76,90;110,74;107,95;108,01;113,43;118,35
20005;Alegia;94,77;102,64;95,59;100,46;97,75;92,82;99,20;95,57;105,40;103,77;102,54;98,20;110,48
01001;Alegría-Dulantzi;81,81;82,93;82,42;81,20;76,05;82,02;72,04;77,06;98,34;95,82;101,59;108,92;108,07
20006;Alkiza;56,33;56,98;57,48;56,26;61,54;60,99;58,95;61,99;75,21;67,76;65,50;88,27;95,20
48912;Alonsotegi;89,36;98,78;102,50;99,51;100,12;90,38;90,48;99,14;125,22;72,27;102,87;105,88;103,76
20906;Altzaga;76,98;80,21;78,70;72,95;64,10;60,88;78,56;71,73;64,01;62,09;61,84;55,18;92,20
20007;Altzo;128,43;142,82;123,29;116,96;150,51;135,58;151,40;141,58;155,19;155,84;145,91;185,39;150,88
20008;Amezketa;191,83;173,38;176,05;142,22;134,79;139,77;138,21;125,08;116,05;113,32;105,47;94,22;98,60
48003;Amorebieta-Etxano;137,54;117,81;111,29;116,14;113,51;111,52;113,89;115,76;103,81;116,27;122,17;117,86;125,01
48004;Amoroto;107,77;117,38;114,76;104,49;99,41;92,59;89,21;103,62;104,69;124,89;116,88;126,52;103,02
01002;Amurrio;84,36;90,99;99,29;106,33;101,85;102,42;100,69;111,85;113,37;103,60;126,22;123,01;101,07
20009;Andoain;105,55;113,25;113,13;113,38;112,07;115,06;110,56;120,65;111,16;111,92;99,91;98,98;102,36
