Indicadores municipales de sostenibilidad: Personas beneficiarias de Renta de Garantía de Ingresos (? habitantes);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;29,22;25,52;26,92;26,68;24,30;25,08;27,32;29,59;29,97;30,82;28,16;25,02;23,42;22,35;20,29;13,01;10,11;9,41;9,01;9,81;9,93
Bizkaia;;28,41;25,47;27,58;28,56;27,89;29,89;32,77;34,39;35,11;35,44;34,73;32,64;31,89;32,77;28,31;21,17;19,07;17,95;16,54;14,93;13,63
CAE;;25,43;22,49;24,11;24,96;23,83;25,31;27,70;29,32;29,80;30,22;28,91;26,61;25,56;25,30;22,30;15,68;13,78;12,92;12,05;11,29;10,57
Gipuzkoa;;18,92;16,36;17,30;18,44;17,14;18,11;19,78;21,10;21,21;21,57;19,85;17,52;16,18;14,37;13,31;7,82;6,68;6,15;5,99;5,97;5,81
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;16,33;13,63;14,54;13,24;11,85;11,48;12,02;13,59;13,83;14,88;11,30;8,50;9,13;6,55;5,42;3,67;0,00;0,00;0,00;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;31,36;27,48;28,75;28,32;25,74;26,45;28,94;31,69;32,11;32,87;29,92;26,54;25,19;24,27;22,15;14,08;0,00;0,00;0,00;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;11,45;9,66;9,87;10,38;9,26;9,97;10,62;14,29;14,42;12,30;14,04;13,56;11,84;9,09;8,74;5,00;0,00;0,00;0,00;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;21,52;19,64;20,62;21,50;19,94;21,44;23,82;24,65;25,50;24,53;24,97;24,81;21,63;21,45;18,15;10,34;0,00;0,00;0,00;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;20,67;18,07;19,55;20,46;18,65;18,43;20,15;21,06;21,95;21,65;20,87;18,72;16,41;13,48;12,97;8,24;0,00;0,00;0,00;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;31,07;27,82;30,21;31,22;30,49;32,67;35,80;37,47;37,98;38,46;37,71;35,34;35,25;36,28;31,47;24,22;0,00;0,00;0,00;0,00;0,00
20100;Deba Beherea / Bajo Deba;25,99;21,78;22,82;25,70;23,27;24,15;26,11;28,15;28,66;27,98;25,08;22,13;18,10;16,36;14,71;7,38;0,00;0,00;0,00;0,00;0,00
20300;Debagoiena / Alto Deba;17,23;14,59;14,18;12,93;12,04;14,74;16,06;17,15;16,53;16,62;14,18;12,07;11,19;9,44;8,30;3,32;0,00;0,00;0,00;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;19,85;17,38;18,51;19,65;18,38;19,38;21,47;22,88;22,69;23,32;21,70;18,86;18,40;16,59;15,41;9,89;0,00;0,00;0,00;0,00;0,00
