Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
Araba/Álava;;11,69;10,39;10,72;10,61;9,22;9,66;11,61;12,63;12,64;13,40
Bizkaia;;9,17;8,27;9,18;9,30;8,68;10,33;12,54;13,00;14,24;14,80
CAE;;8,75;7,79;8,59;8,69;7,91;9,05;10,82;11,34;11,83;12,24
Gipuzkoa;;6,57;5,70;6,57;6,78;6,05;6,88;7,96;8,21;7,94;7,88
"";;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
01100;Arabako Ibarrak / Valles Alaveses;4,17;3,89;4,68;3,87;3,82;3,84;5,22;5,21;5,57;5,41
01200;Arabako Lautada / Llanada Alavesa;12,25;10,90;11,11;11,01;9,50;9,96;12,03;13,25;13,21;14,05
01300;Arabako Mendialdea / Montaña Alavesa;5,31;3,30;2,70;2,92;3,07;2,34;3,45;2,37;6,30;5,79
48100;Arratia Nerbioi / Arratia-Nervión;9,24;8,37;8,84;8,13;7,67;8,00;9,64;9,10;11,21;12,05
20200;Bidasoa Beherea / Bajo Bidasoa;5,21;4,56;5,39;5,69;5,01;5,27;5,98;5,99;6,04;5,90
48200;Bilbo Handia / Gran Bilbao;9,83;8,82;9,81;9,91;9,32;11,24;13,61;13,99;15,25;15,91
20100;Deba Beherea / Bajo Deba;11,34;9,66;10,56;11,41;10,38;11,81;13,56;14,33;14,41;12,87
20300;Debagoiena / Alto Deba;8,86;7,49;8,26;7,37;6,71;9,03;11,08;11,84;10,64;9,77
20400;Donostialdea / Donostia-San Sebastián;5,88;5,13;6,09;6,04;5,20;5,93;7,06;7,14;7,00;7,41
48300;Durangaldea / Duranguesado;6,82;6,45;6,85;7,16;6,10;6,88;9,42;9,88;10,54;10,30
48400;Enkartazioak / Encartaciones;10,50;9,54;10,93;11,95;10,55;11,56;12,83;13,14;14,14;14,00
01400;Errioxa Arabarra / Rioja Alavesa;6,58;6,38;7,07;7,20;6,04;8,06;8,26;7,73;6,67;6,27
48500;Gernika-Bermeo;5,77;5,16;6,25;6,53;6,27;7,11;7,56;8,98;10,09;11,71
20500;Goierri;5,44;4,72;5,23;5,35;4,94;5,49;5,77;6,12;5,06;5,67
01500;Gorbeia Inguruak / Estribaciones del Gorbea;8,97;8,90;9,30;7,40;6,67;6,89;7,54;7,89;5,06;4,73
01600;Kantauri Arabarra / Cantábrica Alavesa;10,59;8,65;10,55;10,95;10,11;9,53;11,41;11,77;13,22;14,45
48600;Markina-Ondarroa;5,38;5,60;6,47;5,24;4,34;6,65;7,48;9,51;12,55;12,77
48700;Plentzia-Mungia;6,30;5,60;6,35;7,08;7,10;8,03;10,61;10,27;11,06;10,99
20600;Tolosaldea / Tolosa;7,20;6,30;7,53;8,77;8,47;8,66;9,30;10,21;10,88;9,64
20700;Urola-Kostaldea / Urola Costa;6,62;5,84;6,52;7,36;6,60;7,85;9,07;9,42;8,65;8,47
"";;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48001;Abadiño;4,96;4,01;5,77;7,91;6,24;4,90;7,10;9,41;6,70;6,23
20001;Abaltzisketa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48002;Abanto y Ciérvana-Abanto Zierbena;7,93;6,56;5,50;6,41;6,64;9,68;9,30;10,68;10,80;15,00
