Indicadores municipales de sostenibilidad: Plazas de alojamiento turístico (? habitantes);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2017;2010;2009;2008;2007;2006;2005
Araba/Álava;;24,86;22,72;21,87;21,28;20,63;22,18;20,23;18,84;17,45;17,57;17,43
Bizkaia;;18,98;18,98;17,06;16,47;16,18;14,49;14,07;13,36;13,27;13,05;12,88
CAE;;25,22;24,42;22,22;22,08;21,08;19,06;18,62;17,47;17,28;17,15;16,95
Gipuzkoa;;35,29;33,84;30,60;31,38;29,13;25,14;25,38;23,65;23,83;23,77;23,43
"";;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2017;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;216,04;212,20;200,73;191,10;191,11;186,02;113,29;111,69;110,54;112,65;109,41
01200;Arabako Lautada / Llanada Alavesa;18,83;16,56;16,21;16,27;15,45;16,73;16,61;15,13;13,72;13,77;13,95
01300;Arabako Mendialdea / Montaña Alavesa;95,39;75,24;76,73;59,87;54,43;59,52;59,32;55,36;55,80;56,10;56,35
48100;Arratia Nerbioi / Arratia-Nervión;26,60;27,46;26,43;26,97;24,28;34,38;33,88;27,49;27,93;28,46;27,79
20200;Bidasoa Beherea / Bajo Bidasoa;31,47;24,17;27,94;28,00;28,32;27,38;27,49;27,38;26,78;26,89;26,92
48200;Bilbo Handia / Gran Bilbao;17,24;16,97;14,94;14,32;14,07;11,70;11,06;10,46;10,39;10,10;9,98
20100;Deba Beherea / Bajo Deba;33,25;33,19;32,19;31,79;30,25;24,89;33,05;32,54;32,42;31,95;32,00
20300;Debagoiena / Alto Deba;12,23;12,16;11,59;12,40;12,05;13,86;13,71;13,04;13,23;13,26;10,62
20400;Donostialdea / Donostia-San Sebastián;37,36;37,28;30,75;32,25;28,05;21,96;21,31;19,84;20,25;20,23;20,14
48300;Durangaldea / Duranguesado;8,70;9,09;8,14;8,25;8,33;8,21;8,16;8,12;7,73;7,83;7,94
48400;Enkartazioak / Encartaciones;17,72;18,87;18,00;17,61;16,98;16,67;15,77;15,53;14,47;14,39;14,50
01400;Errioxa Arabarra / Rioja Alavesa;77,45;75,07;73,52;73,47;73,65;74,43;62,79;60,89;57,92;58,99;53,21
48500;Gernika-Bermeo;30,44;33,80;29,46;28,71;28,53;30,56;30,69;28,71;28,21;28,14;28,50
20500;Goierri;14,45;14,68;13,09;13,61;13,63;11,13;10,33;10,23;9,86;9,26;9,36
01500;Gorbeia Inguruak / Estribaciones del Gorbea;37,65;36,76;29,36;28,88;29,12;43,21;43,60;44,43;42,96;43,82;44,84
01600;Kantauri Arabarra / Cantábrica Alavesa;8,76;8,83;8,39;6,71;7,09;7,75;7,10;6,63;5,62;5,64;5,68
48600;Markina-Ondarroa;60,76;59,37;57,39;57,48;54,49;52,50;54,80;53,56;53,77;53,85;54,17
