Indicadores municipales de sostenibilidad: Población de 16 y más años ocupada en el sector agropesquero (%);;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001;1996
Araba/Álava;;1,62;1,79;1,79;1,90;2,03;2,04;2,09;2,63;1,86;1,58;1,48;2,77;3,70
Bizkaia;;0,77;0,82;0,80;0,80;0,87;0,86;0,91;1,30;0,86;0,77;0,94;1,51;1,93
CAE;;0,91;0,98;0,94;0,99;1,07;1,06;1,11;1,54;1,03;0,91;1,05;1,78;2,37
Gipuzkoa;;0,80;0,85;0,76;0,85;0,95;0,93;0,97;1,40;0,89;0,81;1,03;1,74;2,44
"";;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001;1996
01100;Arabako Ibarrak / Valles Alaveses;6,52;7,62;8,07;8,39;9,29;9,17;10,39;11,41;8,56;6,87;8,06;17,45;30,90
01200;Arabako Lautada / Llanada Alavesa;0,64;0,71;0,70;0,72;0,78;0,93;0,92;1,43;0,88;0,76;0,75;1,26;1,47
01300;Arabako Mendialdea / Montaña Alavesa;8,87;9,43;9,54;11,10;11,07;11,54;12,16;13,31;9,84;10,33;12,13;21,80;30,30
48100;Arratia Nerbioi / Arratia-Nervión;1,85;2,16;2,30;2,52;2,57;2,54;2,55;2,88;2,17;1,73;1,84;2,78;3,76
20200;Bidasoa Beherea / Bajo Bidasoa;1,04;1,09;0,68;0,72;0,77;0,94;0,90;1,57;1,04;0,96;1,37;2,31;3,15
48200;Bilbo Handia / Gran Bilbao;0,35;0,36;0,34;0,32;0,37;0,38;0,41;0,82;0,39;0,36;0,43;0,51;0,42
20100;Deba Beherea / Bajo Deba;1,20;1,25;1,11;1,16;1,27;1,23;1,25;1,73;1,16;1,03;1,02;1,69;2,76
20300;Debagoiena / Alto Deba;0,59;0,58;0,60;0,64;0,75;0,74;0,67;0,96;0,62;0,57;0,56;0,83;1,06
20400;Donostialdea / Donostia-San Sebastián;0,43;0,44;0,45;0,47;0,53;0,55;0,59;1,00;0,56;0,54;0,73;1,28;1,65
48300;Durangaldea / Duranguesado;0,86;0,91;0,92;0,90;0,95;0,97;1,03;1,34;0,88;0,82;0,82;1,14;1,12
48400;Enkartazioak / Encartaciones;3,08;3,45;3,71;4,09;4,05;4,13;4,16;4,76;3,76;3,04;3,54;6,73;9,21
01400;Errioxa Arabarra / Rioja Alavesa;17,82;19,58;19,81;23,17;24,65;21,58;21,87;22,06;17,92;14,45;10,83;21,91;28,21
48500;Gernika-Bermeo;3,46;3,41;3,41;3,36;3,46;3,12;3,34;3,85;3,31;2,97;4,63;9,38;13,77
20500;Goierri;0,84;0,88;0,89;1,04;1,08;1,03;1,11;1,50;0,98;0,87;1,02;1,43;2,18
01500;Gorbeia Inguruak / Estribaciones del Gorbea;3,57;3,93;4,17;4,48;4,38;4,28;4,51;4,83;4,22;3,44;3,71;6,48;10,53
01600;Kantauri Arabarra / Cantábrica Alavesa;1,69;1,84;1,82;1,88;1,91;1,91;2,04;2,58;1,83;1,64;1,54;3,33;3,92
48600;Markina-Ondarroa;5,02;5,32;4,78;5,00;5,63;5,32;5,54;5,75;6,37;6,03;7,64;13,03;19,23
48700;Plentzia-Mungia;1,25;1,31;1,35;1,45;1,54;1,45;1,62;1,87;1,37;1,19;1,32;2,43;3,71
20600;Tolosaldea / Tolosa;1,28;1,45;1,43;1,70;1,84;1,61;1,76;2,20;1,37;1,22;1,35;2,43;3,79
20700;Urola-Kostaldea / Urola Costa;1,70;1,91;1,54;1,88;2,15;1,95;2,09;2,46;1,91;1,63;2,26;4,02;5,92
"";;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001;1996
48001;Abadiño;0,64;0,86;0,86;1,03;1,18;0,93;1,10;1,44;1,15;1,29;1,57;1,78;0,97
20001;Abaltzisketa;7,27;7,98;8,75;7,88;8,50;4,90;6,62;7,80;5,26;3,47;6,30;11,38;18,10
48002;Abanto y Ciérvana-Abanto Zierbena;0,32;0,54;0,41;0,33;0,36;0,46;0,45;0,99;0,42;0,16;0,48;0,87;1,23
20002;Aduna;1,13;1,62;1,63;2,05;2,44;2,50;2,22;2,29;1,34;1,89;1,12;3,23;7,38
20016;Aia;7,45;8,27;8,18;10,67;11,39;10,81;11,05;11,36;9,85;8,29;11,83;23,77;27,76
20003;Aizarnazabal;3,80;3,98;2,80;4,76;5,12;4,31;5,10;3,15;3,12;2,48;2,69;5,50;9,35
48911;Ajangiz;1,81;2,76;3,37;3,26;2,64;3,21;3,54;4,19;3,83;3,29;3,50;4,84;10,00
20004;Albiztur;2,67;2,88;3,03;3,55;3,50;2,94;2,90;3,45;3,17;2,38;2,17;8,80;16,04
20005;Alegia;0,74;0,74;0,65;0,76;0,95;0,68;1,01;0,71;0,67;0,66;0,82;1,51;1,14
01001;Alegría-Dulantzi;1,24;1,16;1,35;1,37;1,68;1,67;1,63;1,56;1,24;1,44;1,75;4,93;6,18
20006;Alkiza;5,66;5,59;6,12;6,37;5,70;6,17;5,70;5,99;3,21;3,66;5,03;10,74;17,27
48912;Alonsotegi;1,16;1,48;1,62;1,58;1,97;1,93;1,34;1,88;0,99;0,66;0,40;1,46;1,63
20906;Altzaga;1,39;1,30;1,54;2,86;4,00;2,90;2,90;1,43;2,99;1,25;2,60;5,66;33,33
20007;Altzo;1,55;1,65;1,14;0,00;1,06;1,20;1,96;2,68;1,89;0,61;2,87;6,35;6,96
20008;Amezketa;4,51;6,14;5,21;6,05;6,40;6,16;6,46;5,45;3,06;2,70;3,61;4,68;6,96
48003;Amorebieta-Etxano;0,54;0,68;0,65;0,70;0,72;0,73;0,78;1,05;0,71;0,61;0,71;1,23;1,37
48004;Amoroto;1,14;1,19;1,16;1,74;1,71;2,78;3,33;2,81;6,82;5,03;5,81;15,43;15,58
01002;Amurrio;1,69;1,69;1,56;1,81;2,00;1,93;2,19;2,66;1,87;1,71;1,29;3,02;3,04
20009;Andoain;0,33;0,35;0,36;0,42;0,55;0,50;0,44;0,80;0,48;0,36;0,44;0,87;0,76
20010;Anoeta;1,38;1,82;1,85;1,87;2,08;1,19;1,34;1,27;1,53;0,60;1,33;2,08;2,54
20011;Antzuola;1,46;1,17;1,21;1,18;1,57;1,07;1,01;1,30;1,02;1,57;1,73;3,39;2,94
48005;Arakaldo;1,05;1,12;1,25;1,27;4,82;2,60;1,27;2,99;1,79;3,85;0,00;-1.234,56;12,82
20012;Arama;5,21;6,74;6,67;6,19;6,45;4,95;5,26;5,38;5,62;5,43;5,63;12,07;9,68
01003;Aramaio;3,72;3,59;4,00;4,04;4,16;3,75;3,60;4,01;4,17;2,24;3,33;4,82;7,30
48006;Arantzazu;0,00;0,00;0,56;0,58;0,00;1,23;1,22;1,83;1,85;2,03;0,76;1,65;1,09
48093;Areatza;2,77;2,73;3,69;4,11;3,85;4,15;3,31;3,22;3,14;3,10;3,15;1,94;5,34
20013;Aretxabaleta;0,60;0,56;0,66;0,75;0,73;0,77;0,49;0,79;0,53;0,61;0,76;0,59;0,85
01006;Armiñón;1,71;4,03;7,34;5,36;5,13;7,34;7,34;10,53;5,56;13,19;14,71;15,38;34,92
01037;Arraia-Maeztu;7,36;8,12;8,29;9,50;10,51;10,39;10,71;12,27;8,19;9,55;10,09;20,00;26,71
