Indicadores municipales de sostenibilidad: Población de 16 y más años ocupada en el sector servicios (%);;;;;;;;;;;;;;
"";;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001;1996
Araba/Álava;;71,86;71,94;70,94;71,26;70,78;70,60;70,73;70,00;68,18;66,01;62,69;58,12;54,80
Bizkaia;;78,48;78,42;77,98;77,99;77,76;77,35;77,01;76,78;74,68;72,47;68,80;65,58;61,73
CAE;;75,47;75,35;74,85;74,93;74,64;74,13;73,86;73,47;71,66;69,52;65,75;62,08;58,91
Gipuzkoa;;72,47;72,22;71,83;71,92;71,64;70,81;70,44;69,94;68,53;66,48;62,27;58,53;56,43
"";;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001;1996
01100;Arabako Ibarrak / Valles Alaveses;62,26;62,56;60,67;60,86;57,29;57,61;56,48;57,00;57,57;58,85;56,05;46,12;40,80
01200;Arabako Lautada / Llanada Alavesa;73,84;74,00;73,06;73,39;73,03;72,88;73,22;72,42;70,42;67,93;64,65;60,37;57,57
01300;Arabako Mendialdea / Montaña Alavesa;60,91;61,42;59,82;57,54;56,14;55,59;55,90;55,94;53,16;52,04;47,63;40,16;34,38
48100;Arratia Nerbioi / Arratia-Nervión;68,91;68,67;68,38;67,74;67,38;66,80;66,47;65,83;64,04;61,56;57,70;51,83;48,15
20200;Bidasoa Beherea / Bajo Bidasoa;78,69;78,73;78,45;79,46;79,23;78,20;78,01;77,89;75,78;73,96;69,73;66,11;62,34
48200;Bilbo Handia / Gran Bilbao;81,29;81,32;80,95;81,04;80,92;80,58;80,21;79,89;77,76;75,38;71,77;69,39;65,58
20100;Deba Beherea / Bajo Deba;63,27;62,86;62,58;62,21;61,78;60,91;60,66;59,93;58,28;56,12;51,37;45,68;45,92
