Indicadores municipales de sostenibilidad: Población de 45 y más años parada registrada en Lanbide (% población de 45 y 64 años);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;9,09;9,34;9,65;10,06;9,23;9,59;10,14;10,74;11,55;12,17;12,00;11,03;9,20;8,56;7,84;6,25;5,21;5,28;5,43;4,63;4,57
Bizkaia;;9,38;9,65;9,79;10,39;9,52;10,13;10,47;10,86;11,66;12,24;12,17;11,49;9,90;9,16;8,19;6,80;5,77;5,76;6,28;5,35;5,31
CAE;;8,64;8,83;8,96;9,48;8,73;9,29;9,68;10,14;10,94;11,59;11,54;10,92;9,39;8,86;8,05;6,59;5,59;5,60;5,86;4,93;4,91
Gipuzkoa;;6,98;7,25;7,29;7,70;7,20;7,77;8,15;8,66;9,48;10,25;10,26;9,91;8,62;8,50;7,92;6,38;5,48;5,48;5,36;4,38;4,39
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;5,73;6,07;5,50;5,84;5,43;5,61;5,51;5,85;5,83;6,73;6,91;6,57;4,99;4,21;4,24;2,99;2,14;1,66;1,91;1,49;1,36
01200;Arabako Lautada / Llanada Alavesa;9,34;9,66;9,98;10,44;9,54;10,02;10,61;11,14;12,04;12,69;12,54;11,57;9,64;9,10;8,40;6,68;5,60;5,66;5,73;4,81;4,71
01300;Arabako Mendialdea / Montaña Alavesa;4,93;4,42;4,36;5,06;4,00;4,73;5,21;5,85;5,56;6,84;7,89;8,77;7,11;6,51;4,05;3,08;3,23;3,20;2,94;2,58;2,40
