Indicadores municipales de sostenibilidad: Población parada de larga duración registrada en Lanbide (% población de 16 a 64 años);;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
Araba/Álava;;4,32;4,37;4,66;5,44;4,36;4,82;5,35;5,79;6,47;6,69;6,31;5,43;4,11;3,29;2,48;1,62;1,63;1,64;1,66
Bizkaia;;4,24;4,40;4,70;5,52;4,52;5,05;5,48;5,82;6,43;6,74;6,52;5,77;4,42;3,35;2,58;1,88;1,86;1,98;2,24
CAE;;3,78;3,91;4,19;4,92;3,99;4,47;4,90;5,26;5,87;6,16;5,95;5,25;4,09;3,35;2,58;1,85;1,84;1,91;2,05
Gipuzkoa;;2,80;2,90;3,15;3,70;2,97;3,36;3,76;4,10;4,68;4,99;4,86;4,31;3,55;3,37;2,63;1,90;1,91;1,93;1,93
"";;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;2,47;2,78;2,46;2,98;2,11;2,52;2,88;3,05;3,72;3,67;3,69;2,84;2,06;1,72;1,01;0,96;0,64;0,57;0,45
01200;Arabako Lautada / Llanada Alavesa;4,47;4,54;4,86;5,67;4,52;5,05;5,57;6,01;6,75;6,96;6,55;5,65;4,30;3,48;2,60;1,72;1,73;1,72;1,70
01300;Arabako Mendialdea / Montaña Alavesa;2,51;1,86;1,76;2,30;1,95;2,01;2,53;3,30;2,80;3,34;4,05;3,91;3,16;2,20;1,17;0,78;1,18;1,24;0,84
48100;Arratia Nerbioi / Arratia-Nervión;2,41;2,58;2,80;3,38;2,77;3,77;3,71;4,17;4,67;5,12;5,04;4,69;3,56;2,65;2,00;1,54;1,29;1,44;1,53
20200;Bidasoa Beherea / Bajo Bidasoa;3,51;3,53;3,91;4,53;3,63;3,90;4,40;4,74;5,64;5,84;5,82;5,25;4,59;4,25;3,55;2,77;2,89;2,80;2,71
48200;Bilbo Handia / Gran Bilbao;4,68;4,85;5,17;6,05;4,98;5,57;6,02;6,35;6,98;7,28;7,05;6,23;4,83;3,60;2,79;2,09;2,09;2,22;2,52
