Indicadores municipales de sostenibilidad: Población parada registrada en Lanbide (% poblacion de 16 a 64 años);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;8,57;8,84;9,18;10,28;8,95;9,48;9,96;10,68;11,75;12,89;12,76;12,51;10,35;9,43;8,84;6,92;4,87;4,95;5,23;4,57;4,47
Bizkaia;;8,28;8,57;8,91;9,97;8,96;9,53;10,09;10,64;11,59;12,67;12,69;12,62;10,78;9,94;9,14;7,16;5,30;5,43;6,22;5,43;5,72
CAE;;7,71;7,93;8,24;9,24;8,24;8,74;9,26;9,87;10,85;11,91;11,93;11,91;10,14;9,40;8,80;6,90;5,12;5,22;5,76;4,95;5,19
Gipuzkoa;;6,22;6,49;6,73;7,58;6,74;7,13;7,60;8,26;9,23;10,22;10,31;10,46;8,98;8,49;8,23;6,45;4,91;5,00;5,24;4,35;4,65
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;5,42;6,02;5,66;7,69;5,93;5,98;5,97;6,53;7,37;8,37;8,27;8,46;6,79;5,61;5,61;3,57;2,77;;2,44;1,90;2,23
01200;Arabako Lautada / Llanada Alavesa;8,70;9,00;9,31;10,36;9,05;9,71;10,19;10,92;12,07;13,25;13,18;12,94;10,68;9,83;9,16;7,21;5,08;;5,31;4,58;4,42
01300;Arabako Mendialdea / Montaña Alavesa;5,12;4,48;4,98;7,16;5,19;5,82;6,33;7,04;6,70;7,20;8,73;8,96;7,77;6,48;5,57;3,62;3,26;;3,50;2,94;2,75
48100;Arratia Nerbioi / Arratia-Nervión;5,19;5,48;5,70;6,51;6,13;7,88;6,99;7,68;8,76;9,67;9,94;10,02;8,65;8,03;7,66;5,99;4,07;;4,75;4,23;4,75
20200;Bidasoa Beherea / Bajo Bidasoa;7,58;7,63;8,16;8,68;8,18;8,36;8,83;9,64;11,11;12,14;12,09;12,46;11,14;10,38;9,86;8,36;6,67;;6,82;5,37;5,51
48200;Bilbo Handia / Gran Bilbao;8,87;9,12;9,47;10,56;9,47;10,09;10,74;11,25;12,28;13,38;13,40;13,29;11,40;10,51;9,48;7,43;5,69;;6,62;5,87;6,22
20100;Deba Beherea / Bajo Deba;7,89;7,85;8,10;8,74;8,24;8,62;9,25;9,75;10,84;11,74;11,10;11,31;9,90;9,02;9,18;7,04;4,77;;5,59;3,83;4,10
20300;Debagoiena / Alto Deba;6,00;6,24;6,38;7,04;6,29;6,72;6,72;7,73;8,46;9,39;9,04;9,05;7,59;7,24;8,11;6,75;4,39;;4,35;3,35;3,31
20400;Donostialdea / Donostia-San Sebastián;6,04;6,36;6,66;7,58;6,57;7,02;7,56;8,09;9,00;9,95;10,31;10,40;8,89;8,38;7,96;6,32;5,05;;5,32;4,59;5,07
48300;Durangaldea / Duranguesado;6,57;7,01;7,21;8,05;7,22;7,41;7,76;8,15;8,96;10,36;10,47;10,54;8,70;8,14;8,81;6,35;3,53;;4,24;3,41;3,59
48400;Enkartazioak / Encartaciones;8,92;9,15;9,39;10,63;10,01;10,89;11,54;12,45;13,58;14,43;14,06;13,96;11,45;9,59;8,67;6,82;5,31;;5,17;4,79;5,42
01400;Errioxa Arabarra / Rioja Alavesa;7,52;8,05;9,25;10,97;8,98;10,39;10,40;10,84;11,53;12,51;11,77;11,10;9,25;7,78;6,98;5,23;3,00;;3,02;2,96;3,01
48500;Gernika-Bermeo;6,86;7,19;7,67;8,58;7,94;7,96;8,45;9,44;10,08;10,80;10,91;10,69;9,07;8,04;7,50;6,37;4,31;;5,39;4,31;3,96
20500;Goierri;5,90;6,33;6,04;7,00;6,23;6,33;6,76;7,56;7,85;9,13;9,23;9,56;8,30;8,00;7,62;5,41;3,54;;4,13;3,69;3,99
01500;Gorbeia Inguruak / Estribaciones del Gorbea;4,61;4,67;5,19;5,94;4,47;5,61;4,30;5,04;5,76;5,91;6,44;6,48;5,63;5,72;5,02;4,67;2,55;;3,19;2,54;3,14
01600;Kantauri Arabarra / Cantábrica Alavesa;10,02;10,00;10,28;11,32;10,28;9,38;10,62;11,32;12,10;13,38;12,69;12,29;10,28;8,71;8,75;6,74;4,91;;6,30;5,95;6,05
48600;Markina-Ondarroa;5,35;6,31;6,60;7,30;6,24;6,91;6,87;6,98;7,96;8,65;8,52;9,46;7,64;7,16;7,34;6,61;3,63;;4,82;3,72;3,30
48700;Plentzia-Mungia;6,09;6,40;6,87;7,84;7,05;7,29;7,68;8,61;8,77;9,51;9,53;9,31;8,26;8,00;7,48;5,87;4,51;;5,68;4,26;4,49
20600;Tolosaldea / Tolosa;5,71;6,08;6,19;7,24;6,43;7,02;7,64;8,45;9,53;10,59;10,26;10,67;9,02;8,64;7,97;6,23;4,94;;5,23;4,43;4,52
20700;Urola-Kostaldea / Urola Costa;5,27;5,53;5,84;6,80;5,95;6,38;6,81;7,46;8,76;9,76;9,91;9,90;8,23;8,02;7,75;5,32;4,18;;4,62;3,92;4,08
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;6,63;7,66;7,43;9,37;7,05;7,65;7,51;7,20;8,05;9,47;9,66;9,68;7,79;7,48;8,23;6,74;3,53;3,21;3,65;3,20;3,46
