Indicadores municipales de sostenibilidad: Población perceptora de pensiones no contributivas (? habitantes);;;;;
"";;;;;
Resumen de datos;;;;;
Entidad;;2006;2005;2004;2003
Araba/Álava;;4,40;4,48;4,51;5,16
Bizkaia;;6,42;6,77;6,95;7,07
CAE;;5,73;5,96;6,13;6,38
Gipuzkoa;;5,18;5,28;5,50;5,78
"";;;;;
Detalle por comarcas;;;;;
Código comarca;Comarca;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;2,16;0,00;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;4,76;0,00;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;3,17;0,00;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;5,10;0,00;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;4,69;0,00;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;6,63;0,00;0,00;0,00
20100;Deba Beherea / Bajo Deba;4,58;0,00;0,00;0,00
20300;Debagoiena / Alto Deba;7,29;0,00;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;5,34;0,00;0,00;0,00
48300;Durangaldea / Duranguesado;4,91;0,00;0,00;0,00
48400;Enkartazioak / Encartaciones;7,51;0,00;0,00;0,00
01400;Errioxa Arabarra / Rioja Alavesa;4,42;0,00;0,00;0,00
48500;Gernika-Bermeo;7,32;0,00;0,00;0,00
20500;Goierri;4,36;0,00;0,00;0,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;1,24;0,00;0,00;0,00
01600;Kantauri Arabarra / Cantábrica Alavesa;3,08;0,00;0,00;0,00
48600;Markina-Ondarroa;5,58;0,00;0,00;0,00
48700;Plentzia-Mungia;5,07;0,00;0,00;0,00
20600;Tolosaldea / Tolosa;5,36;0,00;0,00;0,00
20700;Urola-Kostaldea / Urola Costa;4,23;0,00;0,00;0,00
"";;;;;
Detalle por municipios;;;;;
Código municipio;Municipio;2006;2005;2004;2003
48001;Abadiño;4,19;4,24;4,29;4,19
20001;Abaltzisketa;3,31;3,38;6,76;6,76
