Indicadores municipales de sostenibilidad: Porcentaje de establecimientos del sector primario sobre el total (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Araba/Álava;;8,17;8,03;8,79;9,75;9,88;8,81;8,62;7,87;7,30;7,78;8,17;7,03
Bizkaia;;1,81;1,79;1,95;2,13;2,15;2,08;2,13;2,11;2,21;2,29;2,52;2,14
CAE;;3,01;3,00;3,29;3,63;3,71;3,43;3,43;3,36;3,40;3,67;4,00;3,38
Gipuzkoa;;2,66;2,71;3,02;3,33;3,49;3,26;3,23;3,41;3,61;4,07;4,49;3,77
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01100;Arabako Ibarrak / Valles Alaveses;33,74;32,93;35,44;37,13;38,83;36,63;36,01;34,26;32,01;32,56;34,44;30,87
01200;Arabako Lautada / Llanada Alavesa;2,98;2,94;3,08;3,33;3,47;3,10;3,07;2,88;2,52;2,70;2,84;2,49
01300;Arabako Mendialdea / Montaña Alavesa;36,19;38,12;40,72;43,11;45,26;41,69;40,57;40,42;39,26;39,90;39,39;35,75
48100;Arratia Nerbioi / Arratia-Nervión;9,68;9,98;10,89;11,67;11,77;11,42;11,84;11,02;12,75;12,69;13,52;11,75
20200;Bidasoa Beherea / Bajo Bidasoa;1,39;1,44;1,62;1,76;2,57;1,45;1,52;1,50;1,59;1,73;1,87;1,75
48200;Bilbo Handia / Gran Bilbao;0,49;0,49;0,50;0,57;0,58;0,60;0,60;0,57;0,55;0,58;0,62;0,57
20100;Deba Beherea / Bajo Deba;3,91;3,93;4,50;5,03;5,05;4,77;4,74;5,01;5,67;6,35;6,64;5,54
20300;Debagoiena / Alto Deba;3,65;3,71;4,47;5,01;5,05;5,28;5,05;5,18;5,79;6,73;8,71;6,94
20400;Donostialdea / Donostia-San Sebastián;1,05;1,06;1,15;1,25;1,25;1,23;1,24;1,27;1,35;1,48;1,65;1,34
48300;Durangaldea / Duranguesado;3,09;2,88;3,08;3,25;3,10;3,01;3,03;3,14;3,44;3,70;4,35;3,57
48400;Enkartazioak / Encartaciones;13,60;13,57;14,82;16,00;16,30;15,65;15,53;15,18;16,13;16,70;17,63;15,05
01400;Errioxa Arabarra / Rioja Alavesa;37,42;36,70;38,70;43,32;42,67;38,17;37,61;34,10;33,07;32,86;34,69;31,01
48500;Gernika-Bermeo;5,40;5,48;5,96;6,32;6,82;6,71;7,29;7,46;8,02;8,17;8,99;7,30
20500;Goierri;4,16;4,42;5,01;5,22;5,28;5,21;5,18;5,96;6,36;7,22;7,79;6,59
01500;Gorbeia Inguruak / Estribaciones del Gorbea;16,69;16,31;18,52;20,09;20,00;17,96;18,74;17,93;16,45;17,52;18,35;15,05
01600;Kantauri Arabarra / Cantábrica Alavesa;9,75;9,44;10,57;11,40;11,57;10,83;10,94;10,33;10,52;12,40;13,14;11,66
48600;Markina-Ondarroa;9,03;8,80;10,32;11,02;11,31;10,12;10,01;10,92;10,52;10,73;12,07;9,70
48700;Plentzia-Mungia;4,61;4,68;5,02;5,53;5,48;4,96;5,12;5,14;5,43;5,64;6,43;5,84
20600;Tolosaldea / Tolosa;6,59;6,83;7,57;8,37;8,35;8,25;8,11;8,85;9,33;10,62;11,22;9,75
20700;Urola-Kostaldea / Urola Costa;6,87;6,99;7,48;8,46;9,04;8,12;7,95;8,27;8,13;8,99;9,59;8,32
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48001;Abadiño;2,94;2,92;3,73;3,62;3,19;3,23;4,56;5,03;5,19;5,93;6,75;4,83
