Indicadores municipales de sostenibilidad: Porcentaje de establecimientos del sector servicios sobre el total (%);;;;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Araba/Álava;;73,83;73,57;72,97;72,22;72,03;72,76;72,95;73,36;73,46;72,58;71,68;71,47;75,33;74,51;73,39;74,48;74,47;74,68;75,36;75,35;75,39;75,49;75,96;76,44
Bizkaia;;80,60;80,47;80,29;80,30;80,28;80,52;80,63;80,49;80,20;79,81;78,98;78,48;79,35;78,69;77,86;79,00;79,46;79,65;80,10;79,95;80,07;80,29;80,62;81,06
CAE;;78,74;78,58;78,30;78,10;77,95;78,20;78,25;78,09;77,81;77,17;76,23;75,88;77,70;76,94;75,97;77,19;77,40;77,56;77,89;77,70;77,76;77,91;78,23;78,76
Gipuzkoa;;77,98;77,82;77,47;77,23;76,89;76,91;76,82;76,40;76,00;75,11;74,01;73,76;76,10;75,26;74,15;75,57;75,54;75,59;75,66;75,36;75,35;75,41;75,65;76,30
"";;;;;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
01100;Arabako Ibarrak / Valles Alaveses;48,26;48,93;45,85;43,86;42,92;44,53;45,24;46,72;47,33;47,18;46,85;46,96;66,19;67,56;66,82;70,21;69,98;69,71;70,35;70,51;70,18;70,48;72,05;71,94
01200;Arabako Lautada / Llanada Alavesa;81,04;80,75;80,67;80,40;80,16;80,35;80,43;80,38;80,29;79,69;78,87;78,28;79,11;78,35;77,21;78,50;78,60;78,91;79,57;79,71;79,59;79,58;79,90;80,53
01300;Arabako Mendialdea / Montaña Alavesa;47,45;46,13;44,85;42,35;40,00;41,95;43,41;43,57;45,36;45,27;45,20;45,85;70,11;70,16;68,77;68,91;69,63;69,38;69,44;70,12;69,14;69,80;70,39;71,31
48100;Arratia Nerbioi / Arratia-Nervión;68,76;69,19;68,13;67,34;67,26;67,34;66,49;67,25;64,91;64,62;63,07;63,42;70,48;69,99;69,74;72,57;73,18;73,47;73,80;73,16;74,41;75,30;75,76;75,63
20200;Bidasoa Beherea / Bajo Bidasoa;78,21;78,23;77,98;77,95;77,22;77,91;77,75;78,15;77,91;77,70;77,04;76,28;77,57;76,52;74,98;76,06;75,91;76,37;76,01;76,03;76,10;76,47;76,97;77,92
48200;Bilbo Handia / Gran Bilbao;82,97;82,81;82,83;82,95;82,92;83,13;83,42;83,24;83,07;82,78;82,19;81,50;81,25;80,59;79,78;80,93;81,34;81,39;81,62;81,48;81,61;81,79;82,07;82,55
20100;Deba Beherea / Bajo Deba;74,84;75,01;74,25;73,62;72,80;72,62;72,78;72,14;71,73;70,71;69,86;69,97;73,70;73,01;72,46;73,96;73,75;73,38;73,15;72,46;72,03;71,66;71,67;71,44
20300;Debagoiena / Alto Deba;75,12;74,95;74,58;73,66;73,24;72,70;72,97;72,45;71,85;70,29;67,83;67,75;72,80;72,37;71,20;73,66;73,28;73,17;72,86;72,48;72,53;72,26;72,00;72,27
20400;Donostialdea / Donostia-San Sebastián;82,80;82,47;82,26;82,18;82,08;81,84;81,68;81,20;80,79;80,26;79,42;79,04;79,45;78,57;77,45;78,51;78,00;78,00;78,00;78,00;77,98;77,94;78,31;79,21
48300;Durangaldea / Duranguesado;73,37;73,22;72,85;72,67;72,69;72,84;72,61;72,52;71,86;71,24;69,86;69,61;71,08;70,73;69,66;71,20;72,35;72,38;72,72;72,78;72,24;72,28;72,96;72,62
48400;Enkartazioak / Encartaciones;66,48;66,75;65,77;65,19;65,57;66,48;66,32;66,52;65,51;65,17;63,53;64,82;75,22;74,74;73,24;73,85;74,82;75,26;76,09;75,43;75,02;74,86;75,32;76,35
01400;Errioxa Arabarra / Rioja Alavesa;36,90;37,32;35,41;32,62;32,84;34,97;34,84;36,44;36,16;35,48;34,38;35,95;49,44;47,59;46,26;45,74;43,66;41,95;40,90;41,27;40,40;39,81;40,25;39,98
48500;Gernika-Bermeo;73,65;73,83;72,57;72,19;71,68;72,30;71,63;71,66;71,69;70,89;69,83;69,69;74,37;73,82;72,24;73,58;75,54;75,68;76,77;76,28;76,57;76,84;77,10;77,95
20500;Goierri;69,53;69,54;69,45;69,53;69,44;69,75;69,78;69,32;69,55;67,86;66,35;66,18;71,11;70,31;68,73;70,20;74,28;74,05;74,17;73,58;73,44;74,06;73,86;74,21
01500;Gorbeia Inguruak / Estribaciones del Gorbea;57,49;56,57;54,77;54,37;54,60;56,66;55,97;56,08;56,90;56,14;55,81;57,91;67,46;66,67;66,13;66,91;67,32;67,44;67,57;67,77;68,26;64,39;64,52;63,76
01600;Kantauri Arabarra / Cantábrica Alavesa;69,07;68,56;67,97;67,64;67,53;68,29;68,29;68,72;68,32;66,92;65,97;66,78;74,82;74,50;73,65;73,99;74,79;74,68;74,30;74,65;74,18;74,16;74,12;74,74
48600;Markina-Ondarroa;72,86;72,96;71,14;70,63;70,17;70,65;70,46;69,21;69,46;68,56;66,65;68,36;75,25;74,65;75,37;76,39;77,20;77,59;77,70;78,10;77,92;77,37;77,60;77,57
48700;Plentzia-Mungia;79,27;78,70;78,05;77,59;77,36;77,77;77,38;77,17;76,35;75,59;73,94;74,15;78,31;77,41;76,59;77,64;77,32;77,89;77,79;77,58;76,78;77,21;77,76;78,46
20600;Tolosaldea / Tolosa;69,68;69,24;68,46;67,78;67,28;67,00;66,95;66,65;66,01;64,60;63,15;64,29;70,83;69,87;69,81;71,34;70,92;70,66;71,25;70,26;69,93;69,71;69,71;70,18
20700;Urola-Kostaldea / Urola Costa;71,58;71,52;70,94;70,23;69,43;70,34;70,21;69,50;69,18;67,73;66,77;66,75;71,65;71,22;70,69;72,84;72,90;72,99;72,92;72,11;72,15;72,10;72,46;72,86
"";;;;;;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
48001;Abadiño;68,51;68,04;67,29;67,71;67,62;66,72;64,98;65,26;64,29;63,14;62,01;63,14;64,60;64,77;63,27;63,95;64,77;64,21;65,97;65,15;64,06;63,79;63,07;62,50
20001;Abaltzisketa;54,29;55,26;52,63;48,72;53,85;59,46;56,76;58,33;57,58;58,82;51,28;52,50;81,48;80,00;79,17;77,78;79,17;73,91;68,75;70,59;68,42;70,00;65,00;68,18
48002;Abanto y Ciérvana-Abanto Zierbena;66,45;67,20;66,61;65,64;67,02;66,62;67,33;66,31;66,22;65,74;64,09;64,37;65,87;64,95;65,22;65,15;64,90;64,67;64,06;65,53;65,31;66,40;65,94;67,29
20002;Aduna;59,18;56,86;57,43;57,00;53,47;49,50;49,48;50,00;48,65;49,57;47,46;46,72;52,63;55,00;57,02;59,35;60,83;60,68;61,47;57,80;58,88;59,09;54,39;52,63
20016;Aia;45,95;46,90;41,86;40,23;39,62;42,80;42,25;40,75;39,35;36,39;33,89;37,59;53,59;52,75;52,00;52,44;53,37;54,17;54,14;55,36;54,82;54,71;54,84;56,33
20003;Aizarnazabal;50,77;54,29;54,93;51,43;52,86;56,41;52,78;51,39;52,94;48,68;49,33;49,33;61,67;66,04;66,07;66,07;60,78;62,00;59,09;58,14;62,16;64,29;65,12;66,67
48911;Ajangiz;64,71;61,29;58,62;59,38;60,71;62,07;57,69;58,62;60,00;60,00;53,85;51,85;68,18;66,67;60,00;63,16;66,67;63,16;68,42;61,11;61,11;57,89;52,63;50,00
20004;Albiztur;45,00;46,15;43,90;42,50;35,90;32,35;34,29;37,14;51,35;43,90;44,19;46,51;67,74;62,16;60,00;65,79;61,76;59,38;59,26;59,26;60,71;54,17;57,14;57,69
20005;Alegia;63,20;62,60;64,52;66,39;66,95;69,05;64,93;62,79;63,16;64,03;60,14;60,87;64,06;60,31;61,36;59,26;58,78;58,39;59,70;59,29;59,57;60,14;63,83;63,50
01001;Alegría-Dulantzi;63,74;62,94;62,42;63,47;64,20;64,37;64,41;62,96;62,78;64,52;64,13;64,42;70,59;70,72;68,45;69,11;68,36;68,07;67,33;67,16;66,94;65,52;65,09;67,74
20006;Alkiza;54,84;51,72;53,85;51,61;55,56;52,78;55,56;51,28;48,72;47,37;41,67;44,44;69,23;62,96;63,33;71,43;71,43;77,78;84,00;78,26;78,26;77,27;80,95;78,26
48912;Alonsotegi;63,88;62,96;63,35;60,83;61,29;58,96;58,14;59,82;60,00;61,84;61,04;59,58;60,35;58,70;57,92;58,94;58,27;58,17;58,80;58,04;57,33;57,08;58,69;61,68
20906;Altzaga;50,00;50,00;46,15;46,67;50,00;47,06;43,75;56,25;57,14;61,54;47,06;60,00;63,64;46,15;53,33;60,00;50,00;53,85;57,14;57,14;53,85;69,23;63,64;70,00
20007;Altzo;53,66;48,78;52,17;48,72;51,28;53,66;53,33;52,17;53,19;48,94;46,94;46,81;50,00;51,35;55,26;55,26;58,97;55,00;58,54;60,61;59,38;55,17;46,15;52,00
20008;Amezketa;38,75;37,97;38,75;37,97;38,27;40,45;37,08;31,43;30,84;28,70;28,32;33,01;49,28;50,60;49,43;52,38;51,85;53,85;56,00;50,00;48,10;49,37;48,19;53,01
48003;Amorebieta-Etxano;70,91;71,25;70,67;70,97;70,88;71,32;72,34;73,26;72,84;72,88;71,03;69,72;70,73;70,71;69,42;70,77;76,67;76,27;75,71;76,60;76,74;76,92;77,96;77,96
48004;Amoroto;71,43;72,73;72,73;76,19;71,43;70,59;66,67;53,85;48,39;48,15;35,00;34,21;70,00;72,22;68,42;68,42;68,42;64,71;61,11;61,11;63,16;61,11;58,82;60,00
01002;Amurrio;68,96;67,42;66,93;66,28;66,79;68,41;68,73;69,09;68,15;67,04;65,83;66,75;74,29;73,32;72,96;74,15;74,62;73,61;72,51;72,96;72,38;72,96;72,89;73,48
20009;Andoain;72,15;72,35;71,46;71,19;71,50;72,51;71,81;71,66;71,20;68,82;68,46;69,60;71,91;70,82;69,96;69,83;68,31;67,79;68,59;69,60;69,05;69,34;69,60;71,16
20010;Anoeta;66,91;68,18;67,74;67,48;66,94;68,50;67,67;65,67;64,96;64,03;67,81;69,23;71,43;71,92;70,83;72,41;72,86;73,23;74,40;74,34;73,50;73,64;72,09;72,22
20011;Antzuola;69,67;69,60;67,46;62,60;61,72;62,60;65,04;65,32;67,48;64,57;61,76;60,99;66,92;66,17;63,64;65,28;66,18;67,67;64,44;64,39;65,67;64,34;65,12;65,35
48005;Arakaldo;68,75;64,71;64,71;63,16;63,64;61,90;63,64;65,00;63,64;59,09;54,55;61,90;60,00;57,14;55,56;73,68;78,95;73,33;75,00;71,43;72,73;66,67;70,00;70,00
20012;Arama;60,00;62,96;60,71;66,67;68,75;72,41;70,37;75,00;69,23;73,08;68,00;70,83;66,67;66,67;67,86;69,57;66,67;68,18;63,16;66,67;71,43;75,00;83,33;71,43
01003;Aramaio;56,76;53,95;51,90;53,16;53,85;56,98;54,22;52,33;53,41;50,00;47,92;55,56;70,77;68,12;70,37;70,24;71,76;74,39;75,32;75,31;75,95;77,63;75,95;75,29
48006;Arantzazu;78,95;83,33;78,95;73,91;73,91;76,00;76,00;73,91;83,33;87,50;76,47;77,78;85,71;87,50;86,67;80,00;76,47;81,25;81,25;76,47;81,25;87,50;85,71;91,67
48093;Areatza;76,47;76,92;74,39;73,03;70,11;68,29;67,47;70,89;70,73;70,73;67,90;66,23;74,07;65,91;63,83;66,67;74,68;75,34;76,39;76,47;81,97;83,87;82,54;79,03
20013;Aretxabaleta;71,51;70,90;72,00;71,63;70,60;70,57;71,05;69,61;69,41;67,16;65,79;65,53;66,02;65,26;63,90;70,22;69,27;69,82;69,15;69,13;69,19;68,23;66,31;66,49
01006;Armiñón;45,00;50,00;45,00;40,00;40,91;50,00;56,52;63,64;54,17;56,52;52,00;56,52;72,22;73,68;73,68;73,68;70,59;73,33;68,75;68,75;70,59;70,59;66,67;64,29
01037;Arraia-Maeztu;41,67;35,71;38,95;36,56;34,48;37,93;38,89;39,13;40,66;39,33;40,66;40,91;62,50;60,71;60,00;61,02;60,71;57,41;61,11;64,71;64,15;66,00;65,96;66,00
48009;Arrankudiaga;68,97;70,37;68,47;66,06;65,35;65,57;60,50;60,48;58,87;60,68;59,20;59,40;58,27;60,61;58,09;58,21;55,00;55,81;53,33;49,12;48,67;50,44;48,08;53,21
