Indicadores municipales de sostenibilidad: Presion fiscal municipal por habitante;;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;632,23;631,27;603,93;626,56;627,95;618,49;619,05;642,93;607,12;590,58;591,59;612,24;587,47;575,66;590,15;598,45;584,06;481,61;462,23;408,39;413,56
Bizkaia;;563,04;537,14;508,85;528,29;509,09;496,35;482,73;460,17;468,68;470,92;463,93;472,11;482,01;462,93;458,20;465,26;446,93;402,95;402,67;383,91;390,74
CAE;;598,42;579,33;552,03;575,05;562,38;550,54;544,82;535,30;528,34;523,46;516,51;520,12;517,21;502,88;497,09;499,21;477,09;427,19;430,05;408,87;402,08
Gipuzkoa;;639,03;622,52;597,00;626,00;617,44;606,21;610,53;607,11;588,82;578,25;568,14;556,84;543,19;535,86;519,54;511,08;479,53;443,16;461,05;450,17;415,93
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;864,89;700,80;821,18;833,07;761,85;724,15;708,09;690,55;684,36;677,10;689,80;642,69;560,59;539,02;542,76;574,51;589,41;640,95;445,71;451,45;421,87
01200;Arabako Lautada / Llanada Alavesa;640,73;636,02;608,87;630,28;640,02;635,99;627,30;651,24;616,07;597,31;602,83;625,61;605,19;590,72;607,43;613,42;600,86;486,92;461,88;391,45;417,25
01300;Arabako Mendialdea / Montaña Alavesa;494,39;434,49;422,30;475,77;483,11;462,60;503,03;473,90;483,23;474,83;451,75;457,40;381,44;391,20;404,35;385,70;351,53;310,35;292,97;278,55;257,52
48100;Arratia Nerbioi / Arratia-Nervión;672,68;459,15;370,89;386,21;403,54;397,93;350,64;362,52;350,29;368,95;340,67;409,20;413,12;363,00;379,07;403,63;402,83;360,54;305,52;276,98;266,81
20200;Bidasoa Beherea / Bajo Bidasoa;470,18;441,87;437,59;464,02;463,71;456,26;476,09;474,44;451,71;443,16;425,38;425,40;432,81;411,36;413,24;406,77;384,94;348,67;360,63;334,90;339,62
48200;Bilbo Handia / Gran Bilbao;577,54;553,17;529,74;548,56;526,42;509,43;500,12;471,92;483,90;487,32;475,39;470,80;488,35;473,31;466,71;467,93;444,02;404,12;398,70;384,96;403,56
20100;Deba Beherea / Bajo Deba;474,21;477,49;491,23;473,36;476,63;453,60;447,69;452,67;441,80;490,48;460,86;445,52;428,40;407,92;394,31;412,31;401,71;373,52;407,94;412,69;407,03
20300;Debagoiena / Alto Deba;736,66;679,88;642,33;683,80;681,54;666,21;683,71;711,36;655,01;643,94;614,72;605,72;610,49;589,39;611,86;635,13;581,84;513,64;556,70;459,01;428,76
20400;Donostialdea / Donostia-San Sebastián;720,56;733,57;705,47;730,89;710,66;689,22;690,77;685,49;669,47;650,38;655,34;626,93;615,82;608,78;574,08;552,34;499,00;466,58;491,88;506,67;446,27
48300;Durangaldea / Duranguesado;578,42;575,73;519,63;526,29;505,24;511,67;497,60;489,10;494,52;491,76;506,86;531,01;507,68;504,00;509,84;502,81;504,85;423,46;406,67;421,31;418,07
48400;Enkartazioak / Encartaciones;335,57;269,88;271,96;290,99;306,00;328,02;316,46;317,98;323,24;309,82;307,83;338,73;310,92;331,75;313,36;360,51;328,85;336,40;319,74;224,31;215,39
