Indicadores municipales de sostenibilidad: Recaudación impositiva del Ayuntamiento por habitante (?);;;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
Araba/Álava;;395,73;408,42;407,12;404,74;405,70;404,23;404,55;420,55;385,51;379,20;378,46;388,87;349,84;352,71;365,70;385,23;368,06;302,94;295,80;262,94;263,96
Bizkaia;;330,14;330,19;318,19;314,74;306,03;298,13;289,01;278,35;280,02;279,79;273,49;273,72;281,79;281,70;274,53;284,65;267,39;244,60;229,67;224,74;248,82
CAE;;353,51;357,11;348,89;348,08;341,22;332,74;330,28;326,99;319,77;315,97;307,71;306,62;300,39;301,03;302,37;308,15;290,30;261,58;246,34;240,85;250,51
Gipuzkoa;;371,14;376,31;371,07;375,29;367,92;355,51;362,62;362,66;354,07;345,99;331,37;323,07;308,55;309,57;319,92;312,63;293,67;271,35;252,27;257,88;247,58
"";;;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
01100;Arabako Ibarrak / Valles Alaveses;690,08;600,35;725,77;681,07;639,79;575,30;600,17;570,11;560,22;562,78;582,78;471,04;428,15;436,62;442,56;445,57;493,20;549,57;402,32;353,38;375,13
01200;Arabako Lautada / Llanada Alavesa;389,77;404,37;405,37;403,12;407,36;407,88;404,94;427,11;385,93;381,00;379,68;393,25;349,74;352,59;367,19;387,64;368,81;295,72;289,02;251,21;258,88
01300;Arabako Mendialdea / Montaña Alavesa;414,78;382,12;383,30;413,50;418,96;392,44;420,92;407,23;390,54;377,55;363,77;347,17;326,30;326,10;325,38;337,53;306,73;265,33;255,69;232,55;215,29
