Indicadores municipales de sostenibilidad: Renta familiar total (?);;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
Araba/Álava;;46.542,00;44.057,00;42.365,00;43.496,00;41.395,00;40.203,00;39.738,00;39.133,00;38.447,00;38.589,00;41.727,00;42.001,00;38.610,00;33.968,00;31.305,00
Bizkaia;;49.438,00;46.534,00;44.578,00;45.064,00;42.831,00;42.492,00;41.766,00;40.887,00;40.136,00;40.368,00;41.476,00;42.191,00;39.008,00;32.201,00;29.549,00
CAE;;50.367,00;47.005,00;45.266,00;45.899,00;43.648,00;42.940,00;42.154,00;41.058,00;40.097,00;40.247,00;42.192,00;42.729,00;38.853,00;32.609,00;30.009,00
Gipuzkoa;;53.652,00;49.144,00;47.734,00;48.368,00;46.017,00;44.943,00;43.905,00;42.231,00;40.808,00;40.832,00;43.589,00;43.950,00;38.704,00;32.692,00;30.218,00
"";;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
01100;Arabako Ibarrak / Valles Alaveses;45.545,00;43.920,00;40.981,00;40.091,00;39.121,00;38.589,00;38.065,00;37.312,00;36.380,00;37.210,00;39.908,00;39.583,00;36.478,00;30.233,00;27.241,00
01200;Arabako Lautada / Llanada Alavesa;46.967,00;44.264,00;42.672,00;43.477,00;41.628,00;40.360,00;39.819,00;39.175,00;38.493,00;38.673,00;42.095,00;42.483,00;39.281,00;34.841,00;32.035,00
01300;Arabako Mendialdea / Montaña Alavesa;39.215,00;43.923,00;37.361,00;52.095,00;35.979,00;34.478,00;33.899,00;33.641,00;32.777,00;32.704,00;35.196,00;34.832,00;28.874,00;24.955,00;23.567,00
48100;Arratia Nerbioi / Arratia-Nervión;47.648,00;44.763,00;43.410,00;43.956,00;41.431,00;41.387,00;41.161,00;39.974,00;39.746,00;39.225,00;39.575,00;40.151,00;36.823,00;30.675,00;29.039,00
20200;Bidasoa Beherea / Bajo Bidasoa;52.288,00;45.481,00;43.837,00;43.624,00;41.453,00;40.121,00;39.482,00;38.507,00;37.051,00;37.191,00;40.635,00;40.305,00;36.583,00;29.607,00;26.165,00
48200;Bilbo Handia / Gran Bilbao;49.136,00;46.108,00;44.213,00;44.677,00;42.447,00;42.224,00;41.444,00;40.668,00;39.951,00;40.214,00;41.376,00;42.179,00;39.181,00;32.186,00;29.519,00
20100;Deba Beherea / Bajo Deba;48.521,00;45.838,00;45.092,00;44.912,00;44.096,00;43.523,00;43.367,00;39.474,00;38.384,00;38.357,00;40.854,00;41.266,00;36.929,00;31.396,00;27.852,00
20300;Debagoiena / Alto Deba;52.824,00;49.070,00;47.992,00;49.293,00;47.212,00;46.285,00;44.277,00;42.685,00;40.411,00;41.396,00;44.607,00;46.834,00;41.964,00;36.499,00;35.409,00
20400;Donostialdea / Donostia-San Sebastián;54.878,00;49.921,00;48.338,00;49.396,00;46.625,00;45.649,00;44.488,00;42.982,00;41.716,00;41.538,00;44.099,00;44.585,00;39.483,00;33.083,00;30.760,00
48300;Durangaldea / Duranguesado;50.451,00;47.726,00;46.609,00;47.060,00;44.794,00;44.030,00;43.683,00;42.151,00;41.278,00;41.210,00;42.473,00;43.320,00;38.474,00;33.525,00;30.858,00
48400;Enkartazioak / Encartaciones;43.119,00;40.607,00;38.984,00;39.026,00;36.813,00;36.191,00;35.770,00;34.967,00;34.262,00;34.601,00;35.443,00;36.325,00;33.788,00;27.397,00;25.822,00
01400;Errioxa Arabarra / Rioja Alavesa;35.685,00;35.392,00;33.699,00;36.262,00;34.627,00;33.946,00;34.046,00;32.901,00;31.213,00;30.314,00;31.793,00;32.656,00;32.280,00;26.399,00;23.395,00
48500;Gernika-Bermeo;47.087,00;43.995,00;42.308,00;42.803,00;41.602,00;40.533,00;40.671,00;39.262,00;38.592,00;38.990,00;39.428,00;39.861,00;36.517,00;30.259,00;27.769,00
20500;Goierri;52.047,00;49.534,00;48.283,00;48.464,00;47.043,00;45.754,00;45.704,00;43.720,00;42.111,00;42.170,00;44.073,00;43.448,00;37.217,00;31.948,00;30.219,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;57.486,00;54.257,00;52.137,00;54.066,00;50.364,00;49.599,00;49.920,00;49.339,00;48.270,00;48.301,00;51.482,00;49.732,00;43.921,00;38.184,00;35.459,00
01600;Kantauri Arabarra / Cantábrica Alavesa;45.063,00;42.799,00;41.204,00;43.158,00;40.614,00;39.674,00;39.443,00;39.308,00;39.089,00;39.252,00;40.933,00;40.882,00;36.029,00;30.842,00;29.203,00
48600;Markina-Ondarroa;46.361,00;48.773,00;41.983,00;42.458,00;41.850,00;41.242,00;40.093,00;38.761,00;37.699,00;37.515,00;38.159,00;37.647,00;34.486,00;29.821,00;27.740,00
48700;Plentzia-Mungia;59.929,00;56.249,00;53.615,00;54.895,00;51.226,00;50.653,00;49.193,00;48.563,00;47.341,00;48.033,00;49.421,00;49.221,00;45.712,00;36.940,00;33.061,00
20600;Tolosaldea / Tolosa;53.239,00;48.318,00;47.225,00;46.681,00;45.064,00;44.211,00;42.851,00;41.594,00;40.721,00;41.021,00;43.963,00;43.253,00;37.306,00;32.110,00;29.061,00
20700;Urola-Kostaldea / Urola Costa;55.899,00;52.201,00;50.702,00;51.509,00;48.093,00;46.370,00;44.961,00;43.497,00;41.675,00;41.485,00;44.960,00;45.573,00;38.290,00;33.011,00;30.345,00
"";;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
48001;Abadiño;48.987,00;46.478,00;47.552,00;46.347,00;44.110,00;43.976,00;43.997,00;42.493,00;41.429,00;40.767,00;44.712,00;44.690,00;40.834,00;36.526,00;32.294,00
20001;Abaltzisketa;62.018,00;60.895,00;75.941,00;58.735,00;57.050,00;78.967,00;46.514,00;44.789,00;48.445,00;47.622,00;54.190,00;46.294,00;40.923,00;35.415,00;35.041,00
48002;Abanto y Ciérvana-Abanto Zierbena;44.728,00;42.039,00;40.231,00;40.847,00;38.645,00;37.559,00;37.218,00;36.135,00;35.327,00;35.288,00;36.295,00;36.639,00;34.241,00;27.623,00;24.887,00
20002;Aduna;60.659,00;53.058,00;53.648,00;56.248,00;54.637,00;52.837,00;45.456,00;44.894,00;42.727,00;42.472,00;44.086,00;44.805,00;43.544,00;32.131,00;26.704,00
20016;Aia;54.126,00;50.229,00;48.987,00;47.413,00;45.998,00;45.870,00;45.434,00;42.564,00;40.795,00;41.097,00;42.038,00;41.788,00;36.373,00;31.658,00;28.565,00
20003;Aizarnazabal;52.436,00;48.373,00;47.507,00;47.947,00;44.769,00;44.523,00;44.394,00;42.179,00;38.931,00;37.545,00;42.723,00;45.767,00;37.708,00;36.283,00;31.205,00
48911;Ajangiz;64.841,00;59.327,00;57.083,00;59.509,00;59.241,00;59.899,00;56.247,00;55.051,00;52.423,00;53.384,00;52.251,00;48.181,00;44.747,00;36.069,00;32.170,00
20004;Albiztur;58.544,00;53.778,00;52.501,00;55.708,00;50.301,00;51.963,00;50.830,00;47.277,00;48.008,00;46.576,00;48.994,00;49.350,00;46.330,00;37.905,00;34.360,00
20005;Alegia;45.377,00;42.437,00;42.152,00;41.148,00;39.986,00;40.742,00;38.342,00;37.644,00;35.781,00;36.643,00;39.135,00;39.549,00;33.482,00;28.707,00;26.654,00
01001;Alegría-Dulantzi;46.291,00;44.684,00;43.516,00;44.332,00;41.254,00;41.608,00;40.957,00;39.912,00;40.142,00;39.615,00;41.994,00;41.089,00;37.259,00;32.104,00;30.003,00
20006;Alkiza;52.036,00;45.514,00;45.269,00;47.954,00;44.431,00;42.715,00;44.318,00;44.305,00;43.528,00;44.143,00;42.317,00;43.015,00;39.296,00;34.143,00;31.282,00
48912;Alonsotegi;40.986,00;38.251,00;36.653,00;36.423,00;34.362,00;34.237,00;33.314,00;32.487,00;32.957,00;32.602,00;33.727,00;34.286,00;31.583,00;26.718,00;24.293,00
20906;Altzaga;59.524,00;53.928,00;51.592,00;50.512,00;48.872,00;49.605,00;45.439,00;43.893,00;45.171,00;42.014,00;44.227,00;42.908,00;36.706,00;32.806,00;28.577,00
20007;Altzo;58.871,00;57.645,00;57.504,00;58.037,00;50.245,00;49.133,00;43.888,00;42.374,00;45.179,00;44.150,00;45.018,00;44.822,00;36.874,00;34.362,00;32.561,00
20008;Amezketa;54.148,00;55.834,00;51.122,00;53.426,00;48.454,00;47.829,00;47.034,00;43.954,00;43.030,00;44.175,00;45.073,00;43.781,00;36.009,00;35.095,00;34.400,00
48003;Amorebieta-Etxano;50.776,00;47.566,00;45.776,00;46.498,00;44.732,00;44.104,00;42.731,00;41.640,00;40.849,00;40.663,00;41.832,00;44.651,00;39.669,00;33.774,00;31.232,00
48004;Amoroto;56.035,00;53.364,00;48.764,00;50.902,00;47.750,00;49.150,00;47.805,00;47.225,00;44.240,00;42.762,00;42.093,00;43.041,00;39.602,00;34.452,00;32.738,00
01002;Amurrio;46.812,00;44.343,00;42.446,00;43.926,00;41.714,00;40.819,00;40.132,00;40.691,00;41.057,00;41.386,00;42.884,00;42.560,00;38.557,00;32.666,00;30.617,00
20009;Andoain;45.796,00;42.787,00;42.351,00;41.358,00;39.532,00;38.998,00;39.007,00;37.564,00;36.507,00;36.756,00;38.044,00;38.175,00;34.160,00;29.448,00;28.226,00
20010;Anoeta;46.778,00;45.336,00;44.062,00;43.481,00;42.077,00;39.876,00;39.640,00;37.589,00;36.835,00;38.230,00;40.512,00;39.272,00;34.937,00;29.838,00;28.586,00
20011;Antzuola;55.710,00;52.848,00;50.984,00;53.454,00;51.434,00;50.989,00;48.394,00;46.782,00;43.700,00;44.046,00;45.983,00;46.685,00;41.139,00;36.798,00;34.442,00
48005;Arakaldo;52.238,00;51.627,00;50.197,00;54.972,00;50.845,00;50.271,00;45.807,00;44.197,00;42.830,00;40.985,00;47.796,00;49.668,00;46.259,00;34.542,00;33.342,00
20012;Arama;74.247,00;69.209,00;63.007,00;67.119,00;62.665,00;62.812,00;71.205,00;60.373,00;65.616,00;55.310,00;62.275,00;54.354,00;45.008,00;38.138,00;34.448,00
01003;Aramaio;55.582,00;52.902,00;51.562,00;57.490,00;52.071,00;51.481,00;55.516,00;51.363,00;49.495,00;47.752,00;53.332,00;50.445,00;46.228,00;39.714,00;37.480,00
48006;Arantzazu;53.340,00;50.045,00;48.927,00;49.714,00;49.107,00;47.833,00;48.917,00;49.587,00;46.453,00;48.442,00;48.361,00;49.266,00;45.469,00;41.853,00;37.039,00
48093;Areatza;44.148,00;42.281,00;40.279,00;41.486,00;39.265,00;38.781,00;37.832,00;36.172,00;37.629,00;36.967,00;36.865,00;37.998,00;37.530,00;28.586,00;26.752,00
20013;Aretxabaleta;53.217,00;49.932,00;48.846,00;49.759,00;47.934,00;47.289,00;44.788,00;42.943,00;39.870,00;41.525,00;45.749,00;49.968,00;43.334,00;37.999,00;36.405,00
01006;Armiñón;45.637,00;50.141,00;42.407,00;42.949,00;41.308,00;36.573,00;33.185,00;35.652,00;34.795,00;34.207,00;37.863,00;37.494,00;42.705,00;30.851,00;30.198,00
01037;Arraia-Maeztu;45.036,00;67.057,00;41.618,00;108.981,00;42.335,00;39.191,00;36.807,00;39.286,00;35.494,00;36.750,00;39.623,00;36.927,00;33.655,00;26.243,00;24.648,00
48009;Arrankudiaga;59.209,00;56.070,00;51.669,00;50.925,00;47.457,00;48.082,00;52.856,00;47.912,00;46.668,00;45.777,00;45.789,00;46.979,00;42.313,00;36.893,00;31.225,00
20055;Arrasate/Mondragón;49.123,00;46.192,00;45.578,00;47.026,00;44.390,00;43.602,00;41.645,00;39.455,00;37.653,00;39.161,00;42.121,00;44.484,00;40.212,00;35.307,00;35.050,00
48914;Arratzu;63.763,00;59.425,00;57.300,00;55.644,00;53.659,00;52.598,00;50.718,00;49.713,00;47.216,00;47.699,00;49.079,00;49.185,00;43.759,00;36.588,00;34.666,00
01008;Arratzua-Ubarrundia;81.822,00;60.833,00;60.088,00;61.656,00;57.971,00;58.846,00;58.766,00;57.046,00;56.550,00;59.676,00;70.355,00;61.855,00;51.319,00;46.398,00;40.438,00
48010;Arrieta;61.266,00;60.657,00;55.173,00;63.226,00;56.006,00;58.480,00;50.018,00;48.399,00;49.961,00;46.909,00;44.980,00;46.709,00;39.096,00;30.597,00;27.496,00
48011;Arrigorriaga;46.824,00;44.320,00;43.337,00;43.331,00;40.859,00;40.133,00;39.572,00;39.082,00;37.661,00;37.695,00;39.183,00;39.268,00;35.435,00;30.156,00;26.626,00
48023;Artea;58.042,00;54.492,00;52.426,00;52.850,00;51.011,00;52.230,00;50.834,00;46.362,00;47.680,00;47.225,00;45.457,00;45.286,00;40.778,00;35.097,00;37.871,00
48008;Artzentales;43.547,00;40.731,00;40.159,00;37.342,00;38.618,00;36.030,00;36.120,00;36.064,00;32.887,00;34.409,00;34.969,00;36.451,00;32.329,00;26.346,00;24.795,00
01004;Artziniega;46.223,00;40.997,00;39.545,00;40.315,00;39.056,00;37.199,00;38.702,00;37.985,00;37.571,00;37.645,00;38.630,00;39.318,00;32.509,00;26.075,00;28.398,00
01009;Asparrena;39.792,00;38.090,00;38.451,00;40.245,00;37.904,00;36.988,00;37.525,00;35.488,00;36.593,00;34.953,00;36.582,00;36.041,00;29.312,00;26.372,00;24.837,00
20014;Asteasu;53.818,00;52.755,00;49.476,00;50.399,00;46.007,00;48.542,00;44.650,00;43.330,00;41.236,00;42.044,00;43.903,00;43.686,00;36.494,00;34.512,00;30.861,00
