Indicadores municipales de sostenibilidad: Renta personal derivada del trabajo (% renta personal total). Hombres;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
Araba/Álava;;59,99;60,03;58,33;60,85;61,51;61,58;61,39;61,77;61,72;61,86;63,65;64,98;67,93;71,84;72,18
Bizkaia;;59,41;59,36;58,34;61,07;60,55;60,44;60,58;60,41;61,21;61,28;63,85;64,12;64,49;67,66;67,61
CAE;;58,75;59,08;57,70;60,64;60,71;60,43;59,91;60,24;61,17;61,42;63,32;63,41;65,46;68,26;68,70
Gipuzkoa;;57,27;58,26;56,49;59,90;60,61;59,92;58,30;59,31;60,84;61,44;62,34;61,61;65,98;67,60;68,96
"";;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
01100;Arabako Ibarrak / Valles Alaveses;57,53;56,92;57,37;59,90;61,26;59,56;61,03;59,78;61,29;59,82;60,74;62,27;62,46;65,27;64,17
01200;Arabako Lautada / Llanada Alavesa;60,65;60,90;58,93;62,23;62,36;62,47;62,20;62,58;62,40;62,33;64,02;65,52;68,80;72,89;73,48
01300;Arabako Mendialdea / Montaña Alavesa;53,22;48,18;53,65;40,15;54,20;53,26;54,65;54,03;55,36;55,18;56,14;58,55;62,99;61,50;59,77
48100;Arratia Nerbioi / Arratia-Nervión;61,32;61,35;60,52;62,79;63,02;63,15;63,00;62,93;64,11;64,63;67,14;67,07;68,69;70,45;70,48
20200;Bidasoa Beherea / Bajo Bidasoa;53,34;56,78;55,25;59,31;59,33;59,39;58,17;58,13;59,94;60,55;61,76;62,67;66,25;67,81;68,44
48200;Bilbo Handia / Gran Bilbao;58,86;59,01;57,84;60,62;59,89;59,60;59,84;59,59;60,45;60,59;63,21;63,82;63,87;67,15;67,04
20100;Deba Beherea / Bajo Deba;57,72;57,88;55,61;60,86;61,92;60,95;56,10;60,22;62,43;62,20;63,02;60,99;66,71;67,84;68,86
20300;Debagoiena / Alto Deba;57,58;58,34;56,68;60,96;61,07;60,68;58,17;60,47;62,11;63,05;64,50;59,70;68,76;71,22;72,99
20400;Donostialdea / Donostia-San Sebastián;56,58;57,30;55,42;58,32;58,88;58,47;57,22;58,21;59,54;60,26;61,65;61,37;64,23;66,00;67,03
