Indicadores municipales de sostenibilidad: Renta personal total (?);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001;1997
Araba/Álava;;23.660,00;22.373,00;21.516,00;21.994,00;20.978,00;20.410,00;19.889,00;19.789,00;19.346,00;19.359,00;20.148,00;19.657,00;17.190,00;14.132,00;13.266,00;10.037,00
Bizkaia;;24.481,00;22.944,00;21.853,00;21.959,00;20.886,00;20.654,00;19.818,00;19.589,00;19.082,00;19.053,00;19.187,00;19.241,00;17.332,00;13.376,00;12.321,00;9.795,00
CAE;;25.061,00;23.313,00;22.343,00;22.548,00;21.458,00;21.083,00;20.295,00;19.968,00;19.379,00;19.319,00;19.715,00;19.631,00;17.362,00;13.647,00;12.676,00;9.888,00
Gipuzkoa;;26.639,00;24.341,00;23.512,00;23.756,00;22.605,00;22.086,00;21.256,00;20.669,00;19.880,00;19.739,00;20.396,00;20.270,00;17.488,00;13.892,00;13.022,00;9.981,00
"";;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001;1997
01100;Arabako Ibarrak / Valles Alaveses;22.435,00;21.740,00;20.021,00;19.689,00;19.286,00;18.916,00;18.519,00;18.329,00;17.685,00;18.103,00;18.926,00;18.534,00;16.465,00;13.024,00;11.515,00;9.220,00
01200;Arabako Lautada / Llanada Alavesa;23.960,00;22.571,00;21.787,00;22.078,00;21.210,00;20.632,00;20.113,00;19.989,00;19.550,00;19.596,00;20.479,00;19.979,00;17.525,00;14.468,00;13.658,00;10.363,00
01300;Arabako Mendialdea / Montaña Alavesa;22.418,00;24.641,00;20.879,00;29.583,00;20.285,00;19.246,00;18.622,00;18.629,00;18.088,00;18.054,00;18.387,00;18.151,00;14.301,00;11.845,00;10.637,00;7.890,00
48100;Arratia Nerbioi / Arratia-Nervión;23.587,00;22.033,00;21.198,00;21.483,00;20.367,00;20.351,00;19.794,00;19.413,00;19.201,00;18.768,00;18.549,00;18.547,00;16.588,00;13.074,00;11.983,00;9.477,00
20200;Bidasoa Beherea / Bajo Bidasoa;25.349,00;21.891,00;21.025,00;20.854,00;19.882,00;19.244,00;18.612,00;18.366,00;17.599,00;17.620,00;18.605,00;18.342,00;16.402,00;12.572,00;11.496,00;9.087,00
48200;Bilbo Handia / Gran Bilbao;24.416,00;22.802,00;21.739,00;21.814,00;20.757,00;20.578,00;19.712,00;19.529,00;19.028,00;19.016,00;19.203,00;19.317,00;17.519,00;13.416,00;12.383,00;9.875,00
20100;Deba Beherea / Bajo Deba;24.998,00;23.512,00;23.016,00;22.803,00;22.410,00;22.100,00;21.636,00;19.880,00;19.201,00;19.009,00;19.517,00;19.351,00;16.751,00;13.374,00;12.572,00;9.472,00
20300;Debagoiena / Alto Deba;26.791,00;24.824,00;24.136,00;24.671,00;23.651,00;23.201,00;21.843,00;21.260,00;20.007,00;20.219,00;20.899,00;21.043,00;18.212,00;15.122,00;14.369,00;11.066,00
20400;Donostialdea / Donostia-San Sebastián;27.295,00;24.824,00;23.885,00;24.333,00;22.940,00;22.452,00;21.596,00;21.085,00;20.378,00;20.149,00;20.822,00;20.788,00;18.048,00;14.056,00;13.283,00;10.183,00
