Indicadores municipales de sostenibilidad: Renta personal total (Base CAE=100);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001;1997
Araba/Álava;;94,41;95,97;96,30;97,54;97,76;96,81;98,00;99,10;99,83;100,21;102,20;100,13;99,01;103,55;104,65;101,51
Bizkaia;;97,69;98,42;97,81;97,39;97,33;97,97;97,65;98,10;98,47;98,62;97,32;98,01;99,83;98,01;97,20;99,06
CAE;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00
Gipuzkoa;;106,30;104,41;105,23;105,36;105,35;104,76;104,74;103,51;102,59;102,17;103,45;103,26;100,73;101,80;102,73;100,94
"";;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001;1997
01100;Arabako Ibarrak / Valles Alaveses;89,52;93,25;89,61;87,32;89,88;89,72;91,25;91,79;91,26;93,71;96,00;94,41;94,83;95,43;90,84;93,24
01200;Arabako Lautada / Llanada Alavesa;95,61;96,82;97,51;97,92;98,84;97,86;99,10;100,11;100,88;101,43;103,88;101,77;100,94;106,02;107,75;104,80
01300;Arabako Mendialdea / Montaña Alavesa;89,45;105,70;93,45;131,20;94,53;91,29;91,76;93,29;93,34;93,45;93,26;92,46;82,37;86,80;83,91;79,79
48100;Arratia Nerbioi / Arratia-Nervión;94,12;94,51;94,88;95,28;94,92;96,53;97,53;97,22;99,08;97,15;94,09;94,48;95,54;95,80;94,53;95,84
20200;Bidasoa Beherea / Bajo Bidasoa;101,15;93,90;94,10;92,49;92,66;91,28;91,71;91,98;90,81;91,21;94,37;93,43;94,47;92,12;90,69;91,90
48200;Bilbo Handia / Gran Bilbao;97,43;97,81;97,30;96,74;96,73;97,60;97,13;97,80;98,19;98,43;97,40;98,40;100,90;98,31;97,69;99,87
20100;Deba Beherea / Bajo Deba;99,75;100,85;103,01;101,13;104,44;104,82;106,61;99,56;99,08;98,40;99,00;98,57;96,48;98,00;99,18;95,79
20300;Debagoiena / Alto Deba;106,90;106,48;108,02;109,42;110,22;110,05;107,63;106,47;103,24;104,66;106,01;107,19;104,90;110,81;113,36;111,91
20400;Donostialdea / Donostia-San Sebastián;108,91;106,48;106,90;107,92;106,91;106,49;106,41;105,59;105,16;104,30;105,62;105,89;103,95;103,00;104,79;102,98
48300;Durangaldea / Duranguesado;98,20;99,46;100,84;100,30;100,03;99,72;100,52;99,58;99,90;99,33;97,45;98,16;95,06;98,48;97,74;97,58
48400;Enkartazioak / Encartaciones;84,22;85,19;84,91;83,77;83,08;82,92;83,01;83,24;83,29;83,96;82,68;83,71;85,35;83,15;83,43;82,12
01400;Errioxa Arabarra / Rioja Alavesa;71,14;75,65;75,47;80,70;81,41;80,94;82,23;81,58;78,84;76,78;77,46;78,15;84,39;82,13;82,05;89,22
48500;Gernika-Bermeo;94,84;94,83;94,88;94,85;96,80;95,69;96,95;96,00;96,64;97,15;93,06;91,68;91,83;91,47;89,75;92,53
20500;Goierri;103,56;105,43;106,64;105,76;107,82;106,80;108,68;107,03;105,65;105,45;105,20;102,60;98,36;101,69;101,04;98,40
01500;Gorbeia Inguruak / Estribaciones del Gorbea;110,33;111,71;111,15;116,46;112,79;113,04;114,60;117,18;118,11;118,12;120,95;116,20;112,33;119,59;117,25;103,25
01600;Kantauri Arabarra / Cantábrica Alavesa;90,15;91,67;91,61;94,30;92,88;91,87;92,62;94,73;96,56;96,30;95,43;93,19;89,20;92,17;91,63;86,21
48600;Markina-Ondarroa;91,56;102,67;91,35;91,24;93,54;93,37;91,84;91,15;90,69;89,75;87,57;85,05;84,24;87,80;86,69;89,27
48700;Plentzia-Mungia;114,42;115,63;114,17;116,04;113,57;114,06;113,00;114,67;114,61;115,70;114,81;113,85;116,55;114,62;110,98;112,94
20600;Tolosaldea / Tolosa;104,96;102,34;104,07;101,43;103,17;103,39;102,55;102,23;102,69;102,69;104,01;101,22;96,96;100,88;99,91;98,27
20700;Urola-Kostaldea / Urola Costa;107,53;107,36;108,17;109,16;107,20;105,46;104,79;104,30;102,63;101,47;102,49;103,92;96,95;102,23;102,37;98,74
"";;;;;;;;;;;;;;;;;
