Indicadores municipales de sostenibilidad: Renta personal total. Hombres (?);;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
Araba/Álava;;28.471,00;27.148,00;26.236,00;27.163,00;26.054,00;25.484,00;24.738,00;24.618,00;24.112,00;24.140,00;25.323,00;24.727,00;22.703,00;19.090,00;18.358,00
Bizkaia;;29.765,00;27.988,00;26.978,00;27.232,00;26.447,00;26.168,00;25.031,00;24.899,00;24.265,00;24.406,00;24.915,00;25.149,00;23.370,00;18.724,00;17.569,00
CAE;;30.356,00;28.360,00;27.422,00;27.831,00;26.930,00;26.519,00;25.494,00;25.152,00;24.417,00;24.457,00;25.258,00;25.376,00;23.224,00;18.846,00;17.820,00
Gipuzkoa;;32.165,00;29.511,00;28.672,00;29.091,00;28.100,00;27.554,00;26.582,00;25.802,00;24.802,00;24.685,00;25.791,00;26.049,00;23.219,00;18.939,00;18.007,00
"";;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
01100;Arabako Ibarrak / Valles Alaveses;26.661,00;25.972,00;24.229,00;23.689,00;23.237,00;23.338,00;22.530,00;22.495,00;21.691,00;22.101,00;23.319,00;22.618,00;20.779,00;16.516,00;15.129,00
01200;Arabako Lautada / Llanada Alavesa;28.748,00;27.330,00;26.475,00;27.157,00;26.214,00;25.636,00;24.896,00;24.734,00;24.215,00;24.302,00;25.617,00;25.026,00;23.144,00;19.488,00;18.833,00
01300;Arabako Mendialdea / Montaña Alavesa;25.115,00;27.259,00;23.878,00;32.539,00;23.769,00;22.402,00;21.987,00;22.382,00;21.412,00;21.279,00;22.138,00;21.843,00;17.766,00;14.889,00;13.522,00
48100;Arratia Nerbioi / Arratia-Nervión;27.803,00;26.171,00;25.405,00;26.126,00;25.131,00;25.275,00;24.781,00;24.437,00;24.286,00;23.549,00;23.618,00;23.837,00;21.988,00;18.082,00;16.925,00
20200;Bidasoa Beherea / Bajo Bidasoa;30.982,00;26.751,00;25.673,00;25.483,00;24.741,00;23.967,00;23.256,00;22.949,00;21.918,00;22.118,00;23.735,00;23.649,00;21.865,00;17.259,00;16.089,00
48200;Bilbo Handia / Gran Bilbao;29.779,00;27.900,00;26.955,00;27.139,00;26.352,00;26.136,00;24.941,00;24.884,00;24.247,00;24.423,00;25.058,00;25.401,00;23.750,00;18.903,00;17.738,00
20100;Deba Beherea / Bajo Deba;30.977,00;29.297,00;28.733,00;28.925,00;28.783,00;28.449,00;28.606,00;25.493,00;24.637,00;24.245,00;25.087,00;25.319,00;22.573,00;18.507,00;17.750,00
20300;Debagoiena / Alto Deba;31.836,00;29.434,00;28.696,00;29.743,00;28.849,00;28.462,00;26.571,00;26.017,00;24.432,00;24.646,00;25.715,00;26.518,00;23.856,00;20.213,00;19.496,00
20400;Donostialdea / Donostia-San Sebastián;32.357,00;29.665,00;28.703,00;29.220,00;27.952,00;27.523,00;26.484,00;25.824,00;24.931,00;24.776,00;25.968,00;26.319,00;23.572,00;18.861,00;18.012,00
48300;Durangaldea / Duranguesado;30.420,00;28.878,00;28.101,00;28.210,00;27.659,00;27.146,00;26.419,00;25.795,00;25.224,00;25.037,00;25.183,00;25.209,00;22.527,00;18.900,00;17.869,00
48400;Enkartazioak / Encartaciones;25.749,00;24.382,00;23.530,00;23.655,00;22.753,00;22.371,00;21.506,00;21.202,00;20.705,00;20.938,00;21.357,00;21.648,00;20.138,00;16.060,00;15.488,00
01400;Errioxa Arabarra / Rioja Alavesa;20.443,00;20.748,00;20.023,00;21.989,00;21.320,00;20.902,00;20.349,00;20.006,00;18.592,00;17.882,00;18.648,00;19.016,00;18.050,00;14.867,00;13.935,00
48500;Gernika-Bermeo;27.973,00;26.097,00;25.164,00;25.500,00;25.383,00;24.576,00;23.692,00;23.371,00;22.761,00;23.038,00;22.825,00;22.419,00;20.485,00;16.461,00;15.321,00
20500;Goierri;32.765,00;31.270,00;30.581,00;30.841,00;30.512,00;29.671,00;29.062,00;28.278,00;27.060,00;26.923,00;27.546,00;26.914,00;23.829,00;19.891,00;18.687,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;32.497,00;30.970,00;29.602,00;31.560,00;29.409,00;28.767,00;27.916,00;28.148,00;27.736,00;27.753,00;29.124,00;27.703,00;24.640,00;21.041,00;19.850,00
01600;Kantauri Arabarra / Cantábrica Alavesa;28.860,00;27.215,00;26.366,00;27.954,00;26.384,00;25.808,00;24.941,00;25.046,00;25.060,00;24.868,00;25.241,00;24.470,00;21.593,00;18.148,00;17.259,00
48600;Markina-Ondarroa;26.831,00;27.739,00;24.148,00;24.548,00;24.606,00;24.053,00;22.777,00;22.290,00;21.565,00;21.430,00;21.217,00;20.712,00;18.765,00;15.888,00;14.773,00
48700;Plentzia-Mungia;34.210,00;32.117,00;30.784,00;32.150,00;30.218,00;29.883,00;28.368,00;28.502,00;27.569,00;28.160,00;28.613,00;28.396,00;26.305,00;20.971,00;19.414,00
20600;Tolosaldea / Tolosa;31.953,00;29.007,00;28.654,00;28.523,00;27.733,00;27.458,00;26.236,00;25.826,00;25.222,00;25.186,00;26.278,00;25.757,00;22.535,00;18.960,00;17.693,00
20700;Urola-Kostaldea / Urola Costa;33.264,00;30.620,00;29.818,00;30.532,00;29.020,00;28.011,00;26.841,00;26.372,00;25.267,00;24.875,00;25.776,00;26.929,00;22.933,00;19.386,00;18.371,00
"";;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
48001;Abadiño;30.356,00;28.261,00;28.243,00;29.221,00;28.367,00;28.495,00;27.886,00;27.116,00;26.185,00;25.121,00;25.810,00;25.030,00;22.976,00;20.306,00;17.826,00
20001;Abaltzisketa;33.277,00;33.395,00;41.462,00;34.872,00;34.159,00;45.933,00;28.126,00;27.705,00;30.259,00;30.720,00;34.598,00;29.017,00;23.679,00;19.594,00;17.109,00
48002;Abanto y Ciérvana-Abanto Zierbena;27.159,00;25.702,00;24.632,00;25.121,00;24.297,00;23.661,00;23.041,00;22.687,00;22.218,00;22.182,00;22.633,00;23.300,00;22.204,00;17.589,00;16.093,00
20002;Aduna;34.970,00;31.575,00;30.187,00;33.614,00;31.891,00;30.887,00;28.256,00;28.641,00;27.471,00;25.618,00;26.765,00;27.004,00;23.614,00;18.162,00;14.538,00
20016;Aia;29.746,00;27.266,00;26.837,00;25.937,00;25.072,00;25.104,00;24.543,00;23.465,00;22.931,00;22.961,00;22.688,00;22.850,00;17.932,00;15.306,00;13.883,00
