Indicadores municipales de sostenibilidad: Renta personal total. Mujeres (?);;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
Araba/Álava;;19.109,00;17.853,00;17.050,00;17.105,00;16.164,00;15.597,00;15.245,00;15.168,00;14.761,00;14.747,00;15.074,00;14.652,00;11.768,00;9.257,00;8.308,00
Bizkaia;;19.688,00;18.373,00;17.217,00;17.184,00;15.853,00;15.661,00;15.078,00;14.769,00;14.375,00;14.180,00;13.938,00;13.796,00;11.768,00;8.401,00;7.454,00
CAE;;20.180,00;18.659,00;17.667,00;17.681,00;16.416,00;16.074,00;15.479,00;15.175,00;14.711,00;14.549,00;14.534,00;14.242,00;11.857,00;8.744,00;7.840,00
Gipuzkoa;;21.474,00;19.497,00;18.687,00;18.761,00;17.459,00;16.972,00;16.249,00;15.852,00;15.249,00;15.080,00;15.300,00;14.811,00;12.049,00;9.109,00;8.301,00
"";;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
01100;Arabako Ibarrak / Valles Alaveses;17.177,00;16.542,00;14.914,00;14.905,00;14.458,00;13.630,00;13.686,00;13.296,00;12.812,00;13.235,00;13.622,00;13.571,00;11.187,00;8.741,00;7.103,00
01200;Arabako Lautada / Llanada Alavesa;19.527,00;18.158,00;17.441,00;17.362,00;16.552,00;15.979,00;15.621,00;15.539,00;15.148,00;15.146,00;15.522,00;15.079,00;12.096,00;9.613,00;8.707,00
01300;Arabako Mendialdea / Montaña Alavesa;19.008,00;21.383,00;17.061,00;25.749,00;15.841,00;15.162,00;14.332,00;13.855,00;13.868,00;13.955,00;13.736,00;13.541,00;9.976,00;8.090,00;7.150,00
48100;Arratia Nerbioi / Arratia-Nervión;19.379,00;17.897,00;17.009,00;16.863,00;15.603,00;15.474,00;14.871,00;14.466,00;14.192,00;14.015,00;13.518,00;13.267,00;11.163,00;8.000,00;7.024,00
20200;Bidasoa Beherea / Bajo Bidasoa;20.084,00;17.322,00;16.671,00;16.535,00;15.349,00;14.840,00;14.258,00;14.075,00;13.550,00;13.391,00;13.767,00;13.307,00;11.185,00;8.082,00;7.153,00
48200;Bilbo Handia / Gran Bilbao;19.638,00;18.271,00;17.111,00;17.089,00;15.798,00;15.649,00;15.051,00;14.765,00;14.382,00;14.188,00;13.939,00;13.814,00;11.883,00;8.400,00;7.501,00
20100;Deba Beherea / Bajo Deba;19.332,00;18.039,00;17.608,00;16.974,00;16.311,00;16.029,00;14.946,00;14.494,00;13.971,00;13.949,00;14.127,00;13.579,00;11.089,00;8.370,00;7.535,00
20300;Debagoiena / Alto Deba;21.915,00;20.337,00;19.727,00;19.745,00;18.598,00;18.077,00;17.211,00;16.606,00;15.643,00;15.842,00;16.116,00;15.645,00;12.626,00;10.075,00;9.286,00
20400;Donostialdea / Donostia-San Sebastián;22.738,00;20.466,00;19.551,00;19.936,00;18.436,00;17.907,00;17.199,00;16.831,00;16.285,00;16.000,00;16.199,00;15.822,00;13.052,00;9.715,00;8.999,00
48300;Durangaldea / Duranguesado;19.095,00;17.779,00;17.228,00;17.251,00;15.520,00;15.141,00;14.619,00;14.212,00;13.740,00;13.580,00;13.415,00;13.462,00;10.616,00;8.039,00;6.987,00
48400;Enkartazioak / Encartaciones;16.688,00;15.546,00;14.619,00;14.331,00;13.114,00;12.783,00;12.351,00;12.205,00;11.749,00;11.670,00;11.375,00;11.344,00;9.617,00;6.731,00;5.792,00
01400;Errioxa Arabarra / Rioja Alavesa;14.977,00;14.274,00;13.457,00;14.130,00;13.390,00;12.959,00;12.767,00;12.312,00;11.719,00;11.537,00;11.579,00;11.346,00;10.951,00;7.283,00;6.624,00
48500;Gernika-Bermeo;19.802,00;18.340,00;17.454,00;17.505,00;16.423,00;16.005,00;15.859,00;15.184,00;14.890,00;14.718,00;14.098,00;13.793,00;11.592,00;8.634,00;7.585,00
20500;Goierri;19.184,00;17.897,00;17.086,00;16.858,00;15.785,00;15.397,00;15.005,00;14.425,00;13.805,00;13.704,00;13.796,00;13.183,00;10.183,00;7.770,00;6.883,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;22.252,00;20.553,00;19.498,00;20.415,00;18.450,00;18.352,00;17.945,00;17.966,00;17.365,00;17.168,00;17.848,00;17.260,00;13.719,00;10.983,00;9.309,00
01600;Kantauri Arabarra / Cantábrica Alavesa;16.703,00;15.872,00;14.925,00;14.975,00;13.849,00;13.258,00;12.899,00;13.033,00;12.621,00;12.558,00;12.571,00;12.224,00;9.475,00;7.084,00;6.063,00
48600;Markina-Ondarroa;19.042,00;20.090,00;16.639,00;16.526,00;15.450,00;15.238,00;14.423,00;14.040,00;13.501,00;13.202,00;13.251,00;12.583,00;10.405,00;8.009,00;7.184,00
48700;Plentzia-Mungia;23.396,00;22.011,00;20.490,00;20.426,00;18.757,00;18.448,00;17.692,00;17.485,00;17.026,00;16.727,00;16.828,00;16.458,00;14.326,00;10.410,00;8.830,00
20600;Tolosaldea / Tolosa;20.770,00;18.795,00;17.958,00;17.337,00;16.644,00;16.252,00;15.457,00;15.076,00;14.623,00;14.525,00;14.708,00;13.946,00;11.072,00;8.547,00;7.604,00
20700;Urola-Kostaldea / Urola Costa;20.768,00;19.542,00;18.636,00;18.789,00;17.077,00;16.530,00;15.737,00;15.334,00;14.555,00;14.356,00;14.640,00;13.889,00;10.738,00;8.556,00;7.630,00
"";;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2011;2009;2006;2003;2001
48001;Abadiño;17.880,00;17.497,00;18.584,00;15.906,00;14.641,00;14.501,00;14.080,00;13.754,00;13.332,00;13.234,00;13.161,00;13.114,00;11.305,00;8.092,00;6.788,00
20001;Abaltzisketa;15.143,00;15.008,00;20.711,00;13.625,00;12.582,00;20.845,00;11.219,00;10.405,00;10.841,00;11.039,00;10.957,00;10.307,00;8.716,00;7.580,00;6.981,00
48002;Abanto y Ciérvana-Abanto Zierbena;16.494,00;15.287,00;14.583,00;14.383,00;13.135,00;12.597,00;12.268,00;11.966,00;11.529,00;11.276,00;11.436,00;11.193,00;9.313,00;6.591,00;5.537,00
20002;Aduna;21.337,00;18.744,00;20.405,00;19.494,00;18.662,00;20.340,00;15.817,00;15.272,00;14.567,00;14.800,00;15.619,00;14.562,00;13.676,00;8.560,00;6.549,00
20016;Aia;19.888,00;18.304,00;17.347,00;16.251,00;15.355,00;15.101,00;14.611,00;13.752,00;13.018,00;13.102,00;13.161,00;11.910,00;8.628,00;6.776,00;5.476,00
20003;Aizarnazabal;18.574,00;16.940,00;16.604,00;16.298,00;15.459,00;15.366,00;15.433,00;14.060,00;13.389,00;12.870,00;13.980,00;16.015,00;9.182,00;8.230,00;6.888,00
48911;Ajangiz;24.905,00;22.245,00;20.481,00;22.654,00;21.486,00;22.525,00;19.752,00;19.195,00;18.479,00;17.886,00;18.738,00;15.774,00;13.598,00;9.812,00;9.726,00
20004;Albiztur;19.933,00;18.630,00;18.164,00;19.052,00;18.271,00;17.725,00;17.208,00;15.789,00;17.088,00;16.910,00;17.281,00;15.385,00;13.129,00;9.751,00;7.367,00
20005;Alegia;16.806,00;15.726,00;15.289,00;15.161,00;13.875,00;13.691,00;13.276,00;13.029,00;12.350,00;12.781,00;12.493,00;11.672,00;9.390,00;7.755,00;6.570,00
01001;Alegría-Dulantzi;17.926,00;17.518,00;16.895,00;17.956,00;16.054,00;15.979,00;15.690,00;15.077,00;14.543,00;14.383,00;14.644,00;14.810,00;12.125,00;9.822,00;7.772,00
20006;Alkiza;19.106,00;16.937,00;16.571,00;16.358,00;16.546,00;15.911,00;16.020,00;15.697,00;15.133,00;15.946,00;14.026,00;14.484,00;9.117,00;7.399,00;6.481,00
48912;Alonsotegi;16.482,00;14.962,00;14.323,00;13.793,00;13.039,00;12.676,00;12.198,00;12.048,00;11.327,00;11.187,00;10.694,00;10.904,00;9.044,00;6.623,00;5.191,00
20906;Altzaga;20.904,00;17.640,00;16.001,00;18.467,00;16.371,00;17.773,00;16.535,00;15.829,00;16.322,00;14.073,00;15.919,00;16.145,00;11.771,00;8.947,00;9.057,00
20007;Altzo;21.109,00;20.730,00;19.494,00;19.051,00;16.731,00;17.764,00;15.469,00;15.630,00;15.872,00;14.419,00;12.748,00;13.115,00;9.943,00;8.308,00;7.057,00
20008;Amezketa;15.694,00;17.343,00;15.188,00;15.154,00;14.115,00;13.741,00;13.031,00;11.721,00;11.647,00;11.194,00;12.342,00;11.853,00;8.109,00;6.820,00;6.070,00
48003;Amorebieta-Etxano;19.706,00;18.155,00;17.101,00;17.267,00;15.813,00;15.557,00;14.681,00;14.397,00;13.925,00;13.865,00;13.558,00;14.890,00;10.966,00;8.314,00;6.965,00
48004;Amoroto;18.944,00;16.669,00;16.015,00;15.818,00;14.976,00;15.397,00;14.848,00;15.431,00;14.742,00;14.338,00;13.041,00;13.710,00;11.108,00;9.271,00;8.231,00
01002;Amurrio;16.950,00;16.112,00;15.139,00;15.097,00;14.081,00;13.482,00;12.952,00;13.149,00;12.839,00;13.166,00;12.956,00;12.675,00;10.318,00;7.181,00;6.276,00
20009;Andoain;17.863,00;16.686,00;16.235,00;15.509,00;14.512,00;14.175,00;13.870,00;13.365,00;12.955,00;12.895,00;12.877,00;12.536,00;9.901,00;7.308,00;6.166,00
20010;Anoeta;17.925,00;17.147,00;16.158,00;15.371,00;14.875,00;13.810,00;13.361,00;12.805,00;12.474,00;12.908,00;12.657,00;11.679,00;9.425,00;6.999,00;6.293,00
20011;Antzuola;21.834,00;20.233,00;19.667,00;19.010,00;18.480,00;17.995,00;17.176,00;16.969,00;15.314,00;15.678,00;15.437,00;14.863,00;12.052,00;9.431,00;7.760,00
48005;Arakaldo;23.380,00;21.589,00;19.895,00;20.992,00;20.073,00;18.691,00;17.176,00;16.398,00;17.391,00;13.110,00;14.924,00;16.180,00;12.700,00;9.955,00;6.855,00
20012;Arama;25.792,00;21.988,00;19.437,00;20.375,00;18.692,00;17.867,00;19.207,00;19.204,00;22.368,00;18.469,00;21.919,00;15.705,00;11.461,00;8.424,00;7.036,00
01003;Aramaio;22.426,00;20.572,00;19.095,00;20.080,00;18.587,00;18.497,00;19.215,00;17.829,00;17.156,00;16.583,00;17.462,00;15.973,00;12.551,00;10.435,00;9.829,00
48006;Arantzazu;22.409,00;20.143,00;19.123,00;18.915,00;18.216,00;17.048,00;16.963,00;18.499,00;15.492,00;16.731,00;16.666,00;16.218,00;12.286,00;10.083,00;8.245,00
