Indicadores municipales de sostenibilidad: Tamaño medio de los establecimientos industriales (nº de empleados);;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;20,35;20,01;20,33;20,40;19,91;19,23;18,23;17,86;17,90;18,04;18,29;17,75;18,05;18,84;18,19;18,11;18,69;18,73;18,61;18,28
Bizkaia;;14,46;14,48;14,52;14,15;14,11;13,62;12,85;12,61;12,53;12,75;12,57;12,24;12,39;13,24;13,50;13,20;13,50;13,47;13,50;13,51
CAE;;16,33;16,21;16,34;15,95;15,62;15,07;14,38;14,06;14,08;14,18;14,13;13,77;13,89;14,77;14,84;14,65;15,06;14,90;14,72;14,71
Gipuzkoa;;16,53;16,37;16,55;15,97;15,39;14,82;14,40;14,00;14,16;14,15;14,14;13,87;13,88;14,84;14,94;14,82;15,30;14,92;14,49;14,60
"";;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;32,09;32,06;29,25;30,96;32,71;32,28;33,15;31,91;31,25;33,58;31,11;28,63;24,95;25,28;26,45;27,31;;;;
01200;Arabako Lautada / Llanada Alavesa;23,80;23,42;23,62;23,94;23,02;22,01;20,32;19,80;19,98;19,63;20,07;19,59;20,48;21,30;20,85;20,97;;;;
01300;Arabako Mendialdea / Montaña Alavesa;14,55;14,10;15,79;17,21;14,22;15,00;14,05;15,00;13,59;12,54;10,97;11,57;13,07;12,82;13,30;11,07;;;;
48100;Arratia Nerbioi / Arratia-Nervión;20,77;20,86;20,46;19,85;18,54;18,30;17,16;16,45;16,82;16,57;16,97;17,09;17,85;19,29;20,53;20,99;;;;
