Indicadores municipales de sostenibilidad: Tasa de actividad (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001
Araba/Álava;;49,52;49,79;48,94;49,24;49,54;49,59;50,04;51,27;50,43;49,92;50,79;50,00
Bizkaia;;49,10;48,64;47,86;48,03;47,97;48,02;48,67;49,09;47,97;47,02;47,52;45,00
CAE;;49,26;48,87;48,05;48,32;48,31;48,32;48,73;49,43;48,39;47,74;48,31;47,00
Gipuzkoa;;49,39;48,82;47,95;48,35;48,31;48,23;48,22;49,14;48,14;47,94;48,53;48,00
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001
01100;Arabako Ibarrak / Valles Alaveses;50,34;50,45;49,86;48,53;48,42;48,38;49,16;51,39;49,83;48,91;49,34;50,35
01200;Arabako Lautada / Llanada Alavesa;49,68;49,95;49,07;49,57;49,89;49,94;50,37;51,59;50,88;50,35;51,39;50,76
01300;Arabako Mendialdea / Montaña Alavesa;50,37;50,97;49,72;50,02;50,02;49,59;50,15;49,39;48,56;49,77;48,47;47,28
48100;Arratia Nerbioi / Arratia-Nervión;49,23;48,90;48,16;48,48;48,97;49,05;50,10;50,42;49,22;49,05;48,64;45,08
20200;Bidasoa Beherea / Bajo Bidasoa;48,74;48,55;47,45;47,64;47,56;47,73;47,87;49,11;48,44;47,75;48,71;48,28
48200;Bilbo Handia / Gran Bilbao;49,03;48,53;47,72;47,93;47,81;47,86;48,50;48,84;47,73;46,68;47,21;45,26
20100;Deba Beherea / Bajo Deba;47,66;47,15;46,63;46,91;47,29;47,44;47,16;47,83;46,70;46,76;47,20;45,49
20300;Debagoiena / Alto Deba;48,08;47,66;47,00;47,36;47,48;47,35;47,38;48,42;48,30;48,43;50,01;49,98
20400;Donostialdea / Donostia-San Sebastián;50,06;49,30;48,37;48,86;48,79;48,72;48,72;49,74;48,62;48,20;48,66;48,69
48300;Durangaldea / Duranguesado;49,86;49,47;48,79;48,80;48,98;48,94;49,65;50,26;48,87;48,49;49,48;47,00
48400;Enkartazioak / Encartaciones;48,51;48,29;47,80;47,41;47,77;47,87;48,66;48,80;47,84;46,94;47,05;42,41
01400;Errioxa Arabarra / Rioja Alavesa;48,21;47,93;47,18;45,28;46,03;45,97;45,90;48,67;46,80;45,86;45,80;44,96
48500;Gernika-Bermeo;47,12;46,97;46,17;46,35;46,36;46,47;47,10;47,87;46,94;46,03;46,06;43,70
20500;Goierri;48,23;47,78;47,05;47,71;47,35;47,20;47,13;48,01;46,63;46,96;47,38;45,18
01500;Gorbeia Inguruak / Estribaciones del Gorbea;52,02;52,65;51,47;51,64;51,54;51,60;52,22;53,36;51,90;51,58;52,87;51,38
01600;Kantauri Arabarra / Cantábrica Alavesa;47,88;48,18;47,66;47,50;47,70;47,89;48,53;49,41;48,26;47,90;48,05;45,03
48600;Markina-Ondarroa;46,44;46,06;45,42;45,58;45,42;45,57;46,13;47,51;46,38;46,11;45,72;45,59
48700;Plentzia-Mungia;51,76;51,24;50,53;50,75;50,65;50,80;51,33;52,34;51,38;50,42;51,29;49,05
20600;Tolosaldea / Tolosa;49,74;49,09;48,15;48,50;48,65;48,46;48,69;49,14;48,15;48,34;48,56;47,01
20700;Urola-Kostaldea / Urola Costa;50,26;49,95;49,04;49,28;49,04;48,76;48,60;49,14;48,04;48,10;48,48;47,68
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2016;2015;2011;2010;2006;2001
48001;Abadiño;50,14;49,43;49,29;49,32;49,51;49,69;50,41;51,29;50,04;50,05;52,03;48,15
20001;Abaltzisketa;54,21;55,26;53,75;54,14;49,09;50,64;46,82;47,34;44,62;49,36;44,22;45,85
48002;Abanto y Ciérvana-Abanto Zierbena;51,95;51,81;50,85;50,98;50,80;50,48;51,47;51,11;49,83;48,83;49,22;46,51
20002;Aduna;53,88;52,17;52,09;52,38;52,71;52,08;52,90;52,90;53,81;52,71;53,02;53,75
20016;Aia;52,64;51,74;51,45;51,59;51,70;50,99;50,35;50,44;48,95;50,83;49,06;48,45
20003;Aizarnazabal;49,27;47,87;47,08;48,37;49,28;48,30;49,07;50,60;51,08;52,92;58,17;44,26
48911;Ajangiz;49,78;49,78;47,64;52,73;52,32;50,66;51,40;51,66;53,11;52,26;48,28;44,93
20004;Albiztur;49,03;47,18;46,03;49,83;49,32;46,69;46,93;50,00;46,76;45,70;48,97;44,95
20005;Alegia;48,76;48,69;47,91;48,22;46,43;47,32;46,88;46,51;47,99;47,89;47,48;47,44
01001;Alegría-Dulantzi;54,80;54,94;53,96;53,98;54,02;53,91;54,17;55,95;56,02;55,97;58,32;52,32
20006;Alkiza;48,60;49,56;45,40;47,43;50,00;48,59;50,58;53,14;48,58;50,74;51,41;50,38
48912;Alonsotegi;50,49;49,59;48,81;48,62;48,46;49,81;48,90;48,15;47,22;46,97;47,65;43,31
20906;Altzaga;45,18;46,20;40,00;42,08;42,55;40,76;42,77;45,51;44,44;52,56;53,59;53,77
20007;Altzo;51,01;51,19;46,97;47,44;53,41;50,00;48,60;47,71;50,56;51,01;48,94;40,80
20008;Amezketa;49,40;50,54;47,90;48,70;48,84;49,30;47,12;49,24;46,16;48,88;46,92;47,96
48003;Amorebieta-Etxano;51,21;50,96;49,44;49,97;50,10;49,61;50,28;51,13;49,56;49,50;49,77;46,72
48004;Amoroto;49,61;45,38;45,81;46,27;46,70;46,06;47,46;49,88;49,13;48,40;44,83;48,67
01002;Amurrio;47,91;48,38;47,97;48,24;48,35;48,38;49,54;50,45;49,03;49,02;48,84;45,81
20009;Andoain;48,93;48,13;47,85;48,05;47,85;47,70;48,05;48,83;48,34;48,91;50,35;47,47
20010;Anoeta;51,34;51,07;50,57;51,67;51,47;51,56;51,80;51,53;49,13;49,27;50,60;49,15
20011;Antzuola;50,89;50,68;49,63;49,79;48,75;48,90;48,63;49,53;49,59;50,28;51,81;47,92
48005;Arakaldo;60,67;57,99;55,88;54,12;55,69;56,10;53,94;49,08;52,80;50,91;45,26;43,16
20012;Arama;50,26;47,47;46,34;51,47;49,01;51,67;48,10;49,30;48,74;45,79;42,31;42,33
01003;Aramaio;48,86;47,72;46,09;47,23;48,34;47,80;47,77;48,77;49,38;49,51;50,98;52,25
48006;Arantzazu;50,97;48,57;47,96;47,94;47,75;48,37;48,15;49,22;50,70;49,85;46,33;44,98
48093;Areatza;50,08;48,26;48,49;49,92;52,43;51,88;51,42;49,83;49,10;46,08;47,85;38,41
20013;Aretxabaleta;49,09;48,50;47,54;48,56;48,46;48,35;48,36;49,25;50,29;50,61;53,16;52,18
01006;Armiñón;54,67;56,14;54,02;53,81;56,95;55,14;55,86;59,03;50,00;49,75;46,50;51,81
01037;Arraia-Maeztu;50,12;51,75;50,44;51,09;50,68;50,77;51,39;51,49;52,90;52,96;50,78;50,49
48009;Arrankudiaga;52,08;51,22;50,84;50,39;51,52;51,38;51,79;50,91;49,85;48,22;46,67;45,68
20055;Arrasate/Mondragón;46,93;46,18;45,86;45,99;46,12;46,28;46,85;47,59;47,73;47,46;49,09;50,05
48914;Arratzu;49,16;45,99;43,96;46,34;45,54;47,95;52,58;50,25;50,00;51,47;50,43;46,20
01008;Arratzua-Ubarrundia;51,39;53,13;51,23;51,69;53,73;52,13;54,44;53,73;53,92;54,42;55,42;52,29
48010;Arrieta;52,97;54,87;52,58;50,44;51,06;50,82;52,88;51,06;52,11;49,19;47,54;38,96
48011;Arrigorriaga;52,81;51,86;50,77;51,20;51,33;51,39;51,83;51,57;50,40;50,23;51,30;48,40
48023;Artea;48,10;47,74;46,33;46,19;47,78;47,36;47,01;49,67;48,89;50,87;50,15;48,14
