Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización: Personal administrativo (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
Araba/Álava;;32,26;32,44;32,73;32,64;32,50;32,30;32,75;33,02;33,32;32,94;33,30;32,38
Bizkaia;;34,67;35,00;34,87;35,12;35,28;35,42;35,65;35,85;35,90;35,84;36,06;35,65
CAE;;33,22;33,55;33,53;33,65;33,73;33,79;34,04;34,15;34,34;34,27;34,52;34,09
Gipuzkoa;;31,40;31,80;31,82;31,84;31,90;31,96;32,11;31,98;32,34;32,39;32,62;32,38
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
01100;Arabako Ibarrak / Valles Alaveses;31,88;30,78;32,66;31,05;29,79;29,34;29,57;30,68;30,85;32,70;32,20;31,72
01200;Arabako Lautada / Llanada Alavesa;32,76;32,99;33,23;33,05;32,90;32,72;33,24;33,51;33,96;33,59;33,93;33,50
01300;Arabako Mendialdea / Montaña Alavesa;23,03;23,14;23,99;22,08;23,11;23,88;25,00;25,42;26,01;24,56;25,97;24,23
48100;Arratia Nerbioi / Arratia-Nervión;30,38;29,96;30,08;30,49;30,42;30,15;30,51;30,51;30,88;30,82;31,33;29,96
20200;Bidasoa Beherea / Bajo Bidasoa;36,24;37,58;37,46;37,49;37,29;37,58;37,94;37,93;38,21;38,27;38,51;38,37
48200;Bilbo Handia / Gran Bilbao;36,13;36,65;36,47;36,73;37,00;37,19;37,43;37,57;37,64;37,53;37,66;37,39
20100;Deba Beherea / Bajo Deba;28,88;28,60;28,97;28,82;29,34;29,22;29,30;29,21;29,17;29,19;29,30;29,09
20300;Debagoiena / Alto Deba;25,47;25,99;25,48;26,30;26,38;25,93;26,13;26,27;26,45;26,41;26,22;26,17
20400;Donostialdea / Donostia-San Sebastián;33,49;34,06;34,08;34,02;34,17;34,40;34,58;34,37;34,83;35,04;35,34;35,33
48300;Durangaldea / Duranguesado;27,75;27,53;27,29;27,36;27,26;27,05;27,02;27,07;27,18;27,38;27,50;27,03
48400;Enkartazioak / Encartaciones;35,40;35,99;36,59;36,33;36,34;36,13;36,75;38,62;38,64;38,81;39,60;37,21
01400;Errioxa Arabarra / Rioja Alavesa;31,41;32,09;32,32;32,87;32,53;32,82;33,02;33,90;33,57;33,67;39,72;20,11
48500;Gernika-Bermeo;30,01;30,58;30,56;30,76;30,43;30,80;30,78;31,28;31,35;30,95;31,55;30,86
20500;Goierri;28,09;28,11;27,99;27,91;27,57;27,45;27,46;27,52;27,82;27,49;27,64;27,27
01500;Gorbeia Inguruak / Estribaciones del Gorbea;28,49;28,81;30,36;30,71;29,99;30,11;28,92;30,17;30,05;29,45;30,11;29,62
01600;Kantauri Arabarra / Cantábrica Alavesa;29,93;29,70;29,88;30,57;30,68;30,18;30,52;30,30;29,68;29,13;28,64;28,00
48600;Markina-Ondarroa;22,43;21,99;21,93;22,30;22,04;21,92;22,10;22,39;22,29;23,16;22,83;21,44
48700;Plentzia-Mungia;34,52;34,15;34,52;34,83;34,77;34,96;35,38;35,70;35,08;34,93;35,80;35,24
20600;Tolosaldea / Tolosa;28,96;29,28;29,30;29,45;29,50;29,33;29,18;29,05;29,65;29,62;30,17;29,33
