Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización: Personal directivo (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
Araba/Álava;;25,35;24,14;24,15;23,25;23,11;22,95;22,76;22,66;22,96;22,86;22,50;21,60
Bizkaia;;30,03;28,97;28,98;28,01;27,68;27,36;27,05;26,97;26,98;26,94;26,50;25,63
CAE;;28,52;27,41;27,41;26,45;26,14;25,87;25,66;25,55;25,57;25,52;25,15;24,33
Gipuzkoa;;27,70;26,53;26,51;25,56;25,17;24,95;24,84;24,70;24,59;24,53;24,26;23,57
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
01100;Arabako Ibarrak / Valles Alaveses;17,15;16,36;15,37;14,72;14,73;14,37;15,01;14,97;16,37;16,10;16,39;14,55
01200;Arabako Lautada / Llanada Alavesa;25,71;24,40;24,48;23,57;23,48;23,35;23,21;23,10;23,39;23,34;23,03;22,27
01300;Arabako Mendialdea / Montaña Alavesa;18,72;16,94;17,73;16,39;15,26;13,60;14,09;13,17;13,40;14,13;12,60;12,63
48100;Arratia Nerbioi / Arratia-Nervión;27,50;27,05;26,80;25,80;25,37;24,84;24,67;24,58;24,23;23,75;22,97;22,20
20200;Bidasoa Beherea / Bajo Bidasoa;23,56;22,21;22,24;21,48;21,13;21,03;21,06;20,97;21,25;21,07;20,77;20,23
48200;Bilbo Handia / Gran Bilbao;30,19;29,08;29,24;28,28;28,01;27,77;27,46;27,43;27,48;27,49;27,12;26,23
20100;Deba Beherea / Bajo Deba;24,43;23,56;23,23;22,51;22,01;21,62;21,20;21,25;20,97;20,81;20,60;20,12
20300;Debagoiena / Alto Deba;27,83;26,91;26,19;25,19;24,62;24,37;23,94;23,64;23,75;23,55;23,30;22,77
20400;Donostialdea / Donostia-San Sebastián;29,70;28,38;28,66;27,55;27,34;27,26;27,32;27,23;27,13;27,22;27,04;26,27
48300;Durangaldea / Duranguesado;25,44;24,47;24,08;23,25;22,68;22,22;21,96;21,74;21,34;21,17;20,81;20,11
48400;Enkartazioak / Encartaciones;21,84;21,28;20,90;20,04;19,58;19,03;18,52;18,74;19,08;18,61;17,54;16,71
01400;Errioxa Arabarra / Rioja Alavesa;17,88;16,53;15,83;14,86;14,35;15,03;13,98;14,16;14,06;14,13;12,55;8,85
48500;Gernika-Bermeo;33,85;33,22;32,53;31,35;30,83;29,66;29,75;29,13;29,21;29,11;28,10;27,17
20500;Goierri;25,26;24,17;23,88;23,28;22,60;21,94;21,79;21,57;21,30;21,33;20,95;20,05
01500;Gorbeia Inguruak / Estribaciones del Gorbea;31,89;30,72;30,62;29,34;29,51;28,81;28,64;28,32;28,85;30,23;29,72;28,99
01600;Kantauri Arabarra / Cantábrica Alavesa;24,23;23,11;22,73;21,98;21,57;21,23;20,77;20,76;21,04;20,21;19,91;19,31
48600;Markina-Ondarroa;32,05;31,17;30,41;29,49;28,91;28,75;28,02;27,47;27,38;27,32;27,03;25,93
48700;Plentzia-Mungia;37,10;36,08;35,75;34,44;34,21;33,76;33,32;33,15;33,27;33,29;32,33;31,45
20600;Tolosaldea / Tolosa;25,27;24,56;24,33;23,38;22,98;22,92;22,70;22,23;21,61;21,27;20,77;20,23
20700;Urola-Kostaldea / Urola Costa;28,94;27,91;27,66;26,72;26,11;25,61;25,18;24,94;24,79;24,48;24,00;23,30
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48001;Abadiño;21,41;21,17;20,41;19,94;19,64;18,37;18,13;17,92;17,40;16,88;16,16;14,99
20001;Abaltzisketa;14,41;13,89;15,09;13,39;12,24;9,80;9,18;6,06;6,32;6,80;8,57;10,91
48002;Abanto y Ciérvana-Abanto Zierbena;20,83;20,05;19,99;19,55;18,73;18,77;17,90;17,81;17,65;17,44;17,26;16,82
20002;Aduna;23,66;24,29;25,86;25,70;27,38;27,22;25,75;24,00;24,11;22,63;21,97;18,24
20016;Aia;20,00;17,36;16,15;16,34;16,98;15,75;18,75;19,84;17,24;18,61;18,57;20,00
20003;Aizarnazabal;15,47;15,59;15,85;13,82;13,93;14,18;14,51;13,73;15,29;15,29;13,94;12,64
48911;Ajangiz;41,60;40,32;37,40;35,54;36,44;34,51;37,84;35,96;33,91;35,14;34,55;37,38
20004;Albiztur;21,62;21,15;22,77;24,76;22,94;22,33;23,76;23,00;21,57;21,65;18,48;18,18
20005;Alegia;19,40;19,86;20,17;20,00;17,04;18,71;17,76;18,03;19,27;18,25;16,57;16,73
01001;Alegría-Dulantzi;20,22;19,94;20,93;20,30;19,94;20,36;20,83;19,77;20,83;21,48;22,45;20,87
20006;Alkiza;22,88;21,05;25,00;25,00;27,27;26,72;22,41;22,03;16,67;18,92;17,59;15,09
48912;Alonsotegi;21,08;20,68;19,73;19,18;18,48;19,09;19,85;19,80;19,79;19,81;18,33;18,63
20906;Altzaga;32,73;29,63;28,26;25,64;29,79;27,91;26,83;27,03;34,21;34,21;29,73;31,25
20007;Altzo;25,14;21,43;22,22;21,56;20,75;20,41;19,08;16,26;17,39;17,24;18,26;19,30
20008;Amezketa;16,42;15,99;14,46;11,75;13,54;13,52;14,19;14,09;13,68;11,51;11,59;10,68
48003;Amorebieta-Etxano;27,09;26,18;25,77;25,08;24,55;24,42;24,45;24,22;23,43;23,54;23,57;22,83
48004;Amoroto;32,31;32,50;29,91;30,43;26,96;30,84;28,83;25,93;25,74;25,00;25,56;21,00
01002;Amurrio;26,02;25,16;24,08;23,18;22,43;22,41;21,33;21,14;21,60;20,22;20,04;19,26
20009;Andoain;21,31;20,34;20,58;19,57;19,08;18,56;18,53;18,81;18,54;17,95;17,24;16,65
20010;Anoeta;24,60;21,81;22,51;20,74;19,39;20,28;20,09;18,13;19,05;17,95;17,20;17,47
20011;Antzuola;29,45;27,83;28,06;26,48;26,82;25,50;25,17;25,13;27,24;27,70;24,67;24,19
48005;Arakaldo;28,30;28,57;26,09;25,00;20,00;19,05;21,62;25,00;28,57;25,00;21,43;19,23
20012;Arama;32,86;25,76;26,98;27,42;26,56;27,42;25,86;28,07;29,09;31,58;29,82;32,14
01003;Aramaio;36,99;36,28;35,22;34,23;34,62;31,19;30,95;30,87;32,54;34,39;30,23;30,03
48006;Arantzazu;32,09;30,40;29,91;31,19;31,78;27,72;30,43;32,29;32,97;27,78;25,29;23,26
48093;Areatza;25,88;25,46;25,13;24,45;25,27;25,35;26,55;26,87;27,04;26,09;24,84;25,07
20013;Aretxabaleta;30,63;29,22;28,43;27,62;27,03;27,00;26,98;26,67;27,52;26,45;26,42;25,67
01006;Armiñón;11,36;10,13;8,45;5,80;5,97;6,35;8,51;6,82;14,58;14,58;15,56;12,50
01037;Arraia-Maeztu;24,40;19,07;18,89;18,41;16,67;15,20;14,45;16,76;16,85;19,53;17,13;17,03
48009;Arrankudiaga;36,15;34,06;32,48;31,99;30,19;30,10;27,17;26,69;28,29;29,34;29,46;25,10
20055;Arrasate/Mondragón;25,80;24,91;24,45;23,35;22,85;23,01;22,39;22,07;22,65;22,36;22,37;22,31
48914;Arratzu;37,93;38,18;36,11;34,86;33,94;32,71;32,69;32,67;31,96;32,29;30,93;30,39
01008;Arratzua-Ubarrundia;30,29;25,42;26,28;27,36;25,68;25,80;26,25;25,46;27,52;27,67;27,17;25,66
48010;Arrieta;36,36;39,04;36,26;36,46;36,31;33,33;36,31;33,33;32,89;36,30;30,46;28,03
48011;Arrigorriaga;28,72;27,91;27,37;26,25;25,42;25,22;24,82;25,33;25,14;24,96;24,59;23,61
48023;Artea;36,00;35,86;35,42;33,17;30,59;28,72;28,88;30,05;30,21;28,80;27,23;25,53
48008;Artzentales;18,62;16,47;16,00;14,13;13,37;11,41;12,64;14,46;14,72;14,94;14,84;17,06
01004;Artziniega;24,52;23,16;23,32;22,04;21,73;20,59;20,88;21,17;21,39;20,81;20,96;20,99
01009;Asparrena;19,00;17,90;18,00;16,95;16,06;15,83;15,21;14,61;13,82;12,69;11,92;12,55
20014;Asteasu;19,57;17,43;16,99;15,05;14,60;15,93;15,92;15,79;13,88;14,37;15,94;15,12
20903;Astigarraga;28,28;26,62;26,36;25,64;25,54;25,71;24,21;24,23;24,01;23,88;22,67;21,44
20015;Ataun;29,56;27,37;27,67;27,51;27,59;26,31;26,16;26,07;25,10;24,93;23,24;22,63
48091;Atxondo;19,31;17,36;16,41;15,96;16,25;16,36;15,50;14,58;13,88;14,13;15,11;13,81
48070;Aulesti;30,77;31,15;28,33;26,67;29,41;22,00;20,75;21,15;27,08;22,73;22,22;25,00
01010;Ayala/Aiara;22,41;21,28;22,07;20,68;19,42;19,28;19,20;18,19;18,72;18,58;18,61;17,58
20017;Azkoitia;26,91;26,18;25,44;24,97;24,23;23,63;23,20;22,80;22,60;22,58;21,93;21,01
20018;Azpeitia;28,10;26,73;26,88;26,03;25,70;24,50;23,97;23,78;23,83;23,95;23,77;22,72
01049;Añana;17,65;13,33;16,67;11,11;14,29;15,38;18,18;16,22;17,14;16,67;14,71;13,16
48012;Bakio;33,88;33,15;32,10;32,04;32,65;31,34;31,29;34,14;34,30;33,77;31,28;29,87
20904;Baliarrain;20,00;13,16;10,26;10,81;8,11;6,06;6,45;2,70;5,56;2,78;5,56;2,63
48090;Balmaseda;20,79;20,84;20,24;19,25;19,21;18,52;18,62;19,25;19,52;19,33;17,66;16,44
48013;Barakaldo;21,88;20,81;20,64;19,88;19,57;19,37;19,10;18,99;18,90;18,86;18,72;17,82
48014;Barrika;40,83;42,20;41,71;38,89;39,46;36,49;37,18;40,23;42,06;42,42;40,86;40,54
01013;Barrundia;33,46;30,08;31,30;30,77;27,43;26,47;26,07;26,22;24,66;25,85;26,44;24,89
48015;Basauri;20,12;18,93;19,20;18,43;17,99;17,63;17,57;17,34;17,25;17,40;17,16;16,67
01011;Baños de Ebro/Mañueta;18,06;14,29;14,29;13,33;13,33;12,50;13,33;17,39;15,38;14,29;4,41;1,38
20019;Beasain;26,01;24,78;24,48;23,93;23,12;22,75;22,52;23,17;22,19;22,11;21,62;20,57
48092;Bedia;27,74;26,58;26,50;25,99;25,20;25,59;25,22;26,67;24,26;24,15;22,81;21,34
20020;Beizama;47,83;52,38;45,00;50,00;40,54;35,90;37,84;36,36;36,84;40,00;40,62;34,38
20021;Belauntza;15,96;15,22;15,12;14,61;15,73;19,10;17,44;18,07;18,52;19,05;21,51;16,67
48016;Berango;41,14;39,78;39,80;38,88;38,60;38,06;38,35;37,74;36,87;37,01;36,77;35,78
01014;Berantevilla;17,76;23,15;24,76;24,53;23,23;21,36;20,83;19,15;21,98;18,28;20,19;22,86
20022;Berastegi;19,76;20,60;18,49;17,84;18,82;17,39;16,61;15,53;15,75;15,20;12,97;11,67
20074;Bergara;29,18;28,39;27,72;26,67;26,03;25,64;25,34;25,05;24,12;23,91;23,58;23,10
48017;Bermeo;28,32;27,16;26,72;26,23;26,20;24,73;24,58;23,76;24,07;23,82;23,40;22,70
01016;Bernedo;17,24;16,81;18,02;17,86;14,29;14,41;15,24;14,16;13,64;12,17;10,08;9,17
48018;Berriatua;33,62;33,84;30,89;30,00;29,50;27,62;25,72;27,65;25,96;24,92;23,76;24,21
48019;Berriz;23,17;22,01;21,11;20,41;19,69;19,70;19,89;20,09;20,26;19,78;19,69;18,97
20023;Berrobi;17,65;16,75;16,41;14,00;14,67;13,66;13,68;13,66;13,74;12,71;13,71;11,17
20024;Bidania-Goiatz;20,00;18,48;16,95;17,05;15,08;14,53;14,53;13,94;14,19;12,84;11,04;9,21
48020;Bilbao;34,07;33,20;33,54;32,35;32,22;31,98;31,71;31,77;31,84;31,74;31,31;30,27
48021;Busturia;30,85;29,57;29,07;27,77;27,15;27,15;28,15;27,59;27,15;26,65;26,29;25,55
01017;Campezo/Kanpezu;16,15;16,29;18,21;15,51;15,58;13,20;13,00;11,28;12,25;12,65;10,84;10,87
20029;Deba;29,10;28,11;27,38;26,25;26,88;26,36;25,58;24,83;23,99;22,89;22,74;22,06
48901;Derio;27,44;25,93;25,13;23,77;23,38;22,93;22,80;21,24;21,37;21,02;20,38;19,06
48026;Dima;37,83;37,08;35,55;33,78;33,26;32,94;31,67;32,25;32,63;33,06;31,56;30,00
20069;Donostia / San Sebastián;36,85;35,40;35,87;34,54;34,52;34,60;34,63;34,67;34,57;34,75;34,61;33,63
48027;Durango;30,87;29,77;29,72;28,73;28,43;28,00;27,62;27,43;27,33;27,36;26,58;25,80
48028;Ea;35,68;35,15;35,90;34,54;34,69;34,90;34,03;32,12;34,03;35,87;33,85;32,98
20030;Eibar;25,02;24,04;23,86;23,10;22,59;22,43;22,10;22,28;21,99;21,84;21,65;21,03
48031;Elantxobe;32,26;33,77;34,94;34,15;39,02;37,18;36,59;35,90;33,77;34,21;29,49;27,06
01021;Elburgo/Burgelu;24,64;24,58;26,14;24,44;25,27;24,74;22,16;21,62;19,55;18,29;18,50;19,05
01022;Elciego;18,82;15,61;13,37;12,44;11,47;12,50;12,50;14,50;13,79;14,80;14,55;11,18
20031;Elduain;19,42;19,15;20,93;19,79;19,28;21,84;17,24;16,09;12,66;12,66;12,35;10,71
20033;Elgeta;26,86;23,08;23,16;23,44;22,08;21,13;22,31;22,91;22,35;22,34;22,01;21,33
20032;Elgoibar;23,52;22,98;22,33;21,64;20,65;20,79;20,03;19,91;19,37;19,24;18,86;18,83
48032;Elorrio;28,12;27,54;26,91;25,51;24,82;25,11;24,46;23,71;22,96;23,10;22,69;21,95
01023;Elvillar/Bilar;14,10;11,54;11,54;9,43;13,73;9,43;9,43;6,52;11,86;12,50;10,91;5,97
48902;Erandio;18,80;17,70;17,25;16,40;16,30;16,32;15,85;15,93;15,63;15,42;15,28;14,67
48033;Ereño;29,69;38,33;38,60;36,21;33,33;31,67;29,51;29,82;30,36;29,03;28,79;25,35
48034;Ermua;16,78;15,34;15,17;14,18;13,42;12,79;12,87;12,68;12,50;11,88;11,90;11,64
20067;Errenteria;17,89;17,09;16,87;16,03;15,62;15,56;15,56;15,22;15,10;14,93;14,89;14,64
20066;Errezil;14,89;13,37;14,04;14,20;14,88;14,56;15,06;15,19;15,17;14,69;11,39;10,59
01046;Erriberagoitia/Ribera Alta;14,01;13,44;10,00;11,40;13,66;14,69;16,38;16,18;17,86;19,76;18,71;14,46
48079;Errigoiti;35,66;40,00;37,04;36,94;37,61;39,17;42,20;38,54;40,00;40,00;32,99;31,78
20034;Eskoriatza;24,68;25,90;23,92;22,72;21,89;21,12;20,56;20,26;21,69;21,49;21,30;20,98
48029;Etxebarri;23,57;22,65;22,37;21,82;21,52;21,17;20,18;19,76;19,55;18,33;17,60;16,93
48030;Etxebarria;28,46;28,61;25,20;24,93;25,00;26,18;24,31;23,91;25,95;22,62;22,64;23,64
20035;Ezkio-Itsaso;28,26;27,47;26,01;25,41;24,86;22,89;24,26;21,95;21,71;21,57;21,57;23,49
48906;Forua;35,92;34,51;33,33;33,70;32,99;32,98;35,14;33,60;31,94;32,28;30,18;27,72
48035;Fruiz;38,22;35,43;37,58;37,34;35,03;34,51;31,47;31,85;34,78;35,25;30,77;32,14
20038;Gabiria;35,81;36,03;34,07;33,81;34,97;35,77;34,59;32,06;28,79;29,17;30,77;28,16
20037;Gaintza;48,57;33,33;30,30;28,12;36,11;33,33;32,35;27,27;25,81;19,44;20,00;17,14
48036;Galdakao;28,14;27,17;27,10;26,26;26,01;25,81;24,89;24,37;24,71;24,49;24,43;23,44
48037;Galdames;26,05;27,75;27,96;26,19;24,02;25,25;21,99;24,44;24,71;24,29;23,33;22,46
48038;Gamiz-Fika;38,27;38,08;36,19;34,69;35,11;35,05;33,68;34,75;32,87;33,61;32,50;34,25
48039;Garai;44,55;40,45;39,33;36,67;36,36;28,24;30,86;32,91;33,33;35,82;35,82;34,29
48040;Gatika;34,34;34,14;35,11;34,56;34,01;34,39;34,25;32,43;34,99;33,47;32,29;31,11
48041;Gautegiz Arteaga;39,03;38,27;37,82;39,41;36,82;37,34;37,85;39,23;38,73;39,02;38,92;38,61
20907;Gaztelu;27,91;21,95;28,57;21,05;19,44;17,14;29,03;24,14;21,88;21,88;11,36;11,11
48046;Gernika-Lumo;37,52;37,26;36,48;34,77;33,61;32,59;32,75;32,38;32,31;32,08;30,62;29,86
20039;Getaria;24,90;24,87;23,74;22,75;22,95;22,04;22,64;23,33;22,85;23,73;22,75;21,78
48044;Getxo;49,84;47,97;48,14;47,25;46,86;46,59;46,62;46,74;47,26;47,55;46,99;46,06
48047;Gizaburuaga;44,78;44,62;44,44;41,67;37,93;37,04;38,00;37,50;35,56;33,33;31,37;32,00
48042;Gordexola;31,31;30,02;29,60;29,20;29,16;28,98;26,40;25,00;25,96;24,49;22,20;22,45
48043;Gorliz;39,80;38,86;39,45;37,50;37,90;36,88;35,63;35,69;35,62;35,40;34,87;33,61
48045;Güeñes;22,09;21,18;20,53;19,38;18,98;18,56;17,62;18,13;18,12;18,49;17,69;16,63
01056;Harana/Valle de Arana;16,00;16,67;20,00;15,00;12,50;10,64;14,89;10,64;12,50;10,64;11,36;12,00
20040;Hernani;23,19;22,33;22,30;21,65;20,94;21,17;21,60;20,97;21,02;20,97;20,83;20,23
20041;Hernialde;22,73;23,66;22,22;22,00;22,86;22,64;22,12;20,79;27,72;25,66;21,62;22,22
20036;Hondarribia;33,09;31,41;31,17;30,41;30,61;30,18;30,65;30,27;30,96;31,36;31,01;30,36
20042;Ibarra;22,65;21,86;21,74;21,50;21,83;22,39;21,78;20,64;19,76;18,69;18,59;17,79
48048;Ibarrangelu;43,97;45,71;43,36;41,50;38,89;39,04;40,00;39,86;38,46;37,88;38,64;36,22
20043;Idiazabal;30,58;29,12;27,64;26,31;24,59;24,04;22,48;22,28;21,46;21,68;22,43;20,83
48094;Igorre;28,53;27,85;28,34;26,09;26,03;25,45;24,80;24,40;23,90;22,89;22,45;21,80
20044;Ikaztegieta;17,39;15,60;15,04;16,44;20,28;20,00;17,56;23,26;20,30;20,30;22,05;19,71
20045;Irun;21,10;19,81;19,90;19,14;18,66;18,58;18,50;18,51;18,65;18,32;18,10;17,64
20046;Irura;23,09;22,77;22,32;21,75;21,09;21,17;20,59;21,72;21,82;22,97;22,05;21,88
01027;Iruraiz-Gauna;18,13;17,82;19,88;18,45;20,62;20,26;20,00;18,44;21,21;20,30;18,05;19,42
01901;Iruña Oka/Iruña de Oca;15,52;14,51;14,31;13,74;14,29;14,54;14,62;14,35;14,89;14,83;14,38;13,56
48049;Ispaster;36,32;37,30;39,11;38,07;38,55;38,12;33,94;31,68;30,63;30,97;28,76;27,89
20047;Itsasondo;18,22;18,46;19,07;18,41;16,59;15,51;13,11;14,77;14,79;15,98;16,56;16,09
48910;Iurreta;20,38;20,11;18,95;18,74;18,49;17,27;17,38;17,46;16,58;16,93;17,09;17,08
48050;Izurtza;33,78;32,39;30,56;29,17;29,11;29,11;29,49;26,25;24,05;23,75;22,37;20,25
48022;Karrantza Harana/Valle de Carranza;14,71;14,71;15,93;14,71;14,86;14,89;16,46;14,48;13,02;12,80;11,26;10,13
48907;Kortezubi;34,65;37,29;36,44;35,48;33,61;28,93;27,59;31,25;31,13;32,04;30,69;28,85
01019;Kripan;16,67;15,62;21,43;16,67;18,18;17,65;17,65;20,00;12,00;8,70;12,50;5,56
01020;Kuartango;13,13;16,00;15,62;12,04;15,24;13,68;10,53;13,19;13,33;12,82;11,76;9,47
01028;Labastida/Bastida;18,47;20,56;19,43;18,48;17,75;18,73;18,15;17,65;18,80;18,53;17,23;12,85
01030;Lagrán;7,69;4,76;5,26;5,56;6,67;0,00;5,26;0,00;5,00;5,56;5,26;8,33
01031;Laguardia;21,01;17,45;17,19;16,49;15,22;14,70;11,62;11,44;12,53;13,61;13,19;10,56
01032;Lanciego/Lantziego;23,95;21,51;18,68;17,98;17,00;17,24;19,28;20,00;21,13;19,12;16,92;12,00
48051;Lanestosa;15,69;5,26;4,44;4,88;7,32;0,00;0,00;2,94;6,06;0,00;0,00;0,00
01902;Lantarón;13,56;12,84;11,43;11,41;11,84;12,33;13,10;15,71;16,26;14,96;16,31;15,00
01033;Lapuebla de Labarca;19,76;21,94;20,53;18,87;19,28;20,50;16,27;16,22;19,59;16,89;14,81;9,93
48052;Larrabetzu;42,00;43,33;42,77;39,72;39,89;39,20;38,39;37,80;37,95;37,56;36,50;35,52
20048;Larraul;29,52;33,33;31,40;26,74;28,95;29,11;29,58;28,57;26,98;22,06;27,69;22,95
