Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización:Personal no cualificado y Aprendices  (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
Araba/Álava;;10,64;11,39;11,30;11,25;11,33;11,43;11,45;11,92;11,01;10,74;10,29;11,59
Bizkaia;;10,14;10,69;10,90;10,92;10,88;10,99;10,97;11,28;11,09;10,91;10,53;10,87
CAE;;10,42;11,00;11,07;11,03;11,07;11,14;11,17;11,49;11,21;10,97;10,56;11,00
Gipuzkoa;;10,77;11,31;11,22;11,10;11,23;11,25;11,37;11,63;11,51;11,18;10,73;10,92
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
01100;Arabako Ibarrak / Valles Alaveses;11,93;13,22;12,93;13,92;12,93;12,75;14,65;14,31;12,10;10,30;9,89;11,38
01200;Arabako Lautada / Llanada Alavesa;10,43;11,20;11,05;11,04;11,07;11,17;11,14;11,72;10,88;10,53;10,11;10,55
01300;Arabako Mendialdea / Montaña Alavesa;11,58;11,98;12,22;14,44;14,68;15,48;14,85;16,23;13,40;11,40;11,51;13,22
48100;Arratia Nerbioi / Arratia-Nervión;11,26;12,27;11,76;11,28;11,84;11,54;11,60;12,38;12,09;11,82;11,47;12,40
20200;Bidasoa Beherea / Bajo Bidasoa;11,07;11,52;11,44;11,32;11,82;11,72;11,86;12,24;12,28;12,17;11,66;11,79
48200;Bilbo Handia / Gran Bilbao;10,00;10,51;10,70;10,73;10,61;10,68;10,65;10,93;10,76;10,56;10,21;10,39
20100;Deba Beherea / Bajo Deba;10,75;11,45;11,07;10,85;10,67;10,66;10,67;10,53;10,40;9,93;9,52;9,69
20300;Debagoiena / Alto Deba;12,29;12,54;12,88;12,11;12,30;12,28;12,90;12,66;12,28;11,78;11,50;11,23
20400;Donostialdea / Donostia-San Sebastián;10,74;11,41;11,38;11,22;11,29;11,27;11,40;11,88;11,72;11,46;10,97;10,98
48300;Durangaldea / Duranguesado;10,66;11,46;11,62;11,54;11,67;11,96;12,24;13,07;12,65;12,28;11,72;12,11
48400;Enkartazioak / Encartaciones;9,94;10,32;10,34;10,47;10,73;11,67;11,33;11,46;11,22;11,23;10,86;12,52
01400;Errioxa Arabarra / Rioja Alavesa;18,57;22,96;23,83;23,77;25,50;24,27;25,25;24,08;22,31;22,56;20,06;49,52
48500;Gernika-Bermeo;12,28;12,40;13,37;13,20;13,53;13,85;13,49;12,85;12,92;13,26;13,01;14,09
20500;Goierri;9,93;10,23;10,15;10,24;10,18;10,36;10,10;10,21;10,25;9,80;9,58;9,88
01500;Gorbeia Inguruak / Estribaciones del Gorbea;10,64;11,40;11,05;10,87;11,07;12,16;12,75;11,70;9,46;8,60;8,07;9,18
01600;Kantauri Arabarra / Cantábrica Alavesa;10,03;10,68;10,97;10,34;10,62;10,70;10,53;10,89;10,25;10,83;10,35;10,72
48600;Markina-Ondarroa;15,16;15,53;16,29;17,01;17,23;16,53;16,61;17,01;16,76;16,74;15,75;17,73
48700;Plentzia-Mungia;7,60;8,36;8,52;8,53;8,64;8,90;8,74;9,16;9,04;8,99;8,75;9,28
20600;Tolosaldea / Tolosa;10,24;10,51;10,47;10,53;11,09;11,03;11,25;11,37;11,29;11,09;10,51;11,52
20700;Urola-Kostaldea / Urola Costa;10,72;11,25;10,72;11,01;11,14;11,41;11,41;11,47;11,42;10,79;10,30;11,05
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48001;Abadiño;10,63;11,96;12,27;11,61;12,06;12,25;12,83;14,10;13,98;12,71;12,85;12,61
20001;Abaltzisketa;10,81;8,33;9,43;11,61;12,24;9,80;12,24;10,10;9,47;8,74;6,67;6,36
48002;Abanto y Ciérvana-Abanto Zierbena;10,96;12,05;12,81;12,76;12,65;12,20;11,84;11,75;12,01;11,21;10,90;11,45
20002;Aduna;10,75;10,17;10,34;10,61;13,10;9,47;11,98;10,67;9,22;11,68;10,61;10,81
20016;Aia;10,74;12,08;12,69;13,62;13,58;14,17;12,89;14,57;14,22;12,99;12,24;10,42
20003;Aizarnazabal;15,11;12,93;14,72;15,27;14,64;15,33;15,29;16,08;14,05;16,08;14,74;22,22
48911;Ajangiz;10,40;10,48;11,38;11,57;16,10;15,93;12,61;11,40;10,43;10,81;11,82;9,35
20004;Albiztur;5,41;5,77;7,92;7,62;9,17;8,74;9,90;9,00;11,76;11,34;5,43;8,18
20005;Alegia;15,46;13,07;13,22;12,48;13,77;13,61;13,14;12,75;11,75;12,62;11,68;12,41
01001;Alegría-Dulantzi;11,72;11,74;10,37;10,82;11,28;12,30;11,26;11,69;9,83;8,46;7,18;9,13
20006;Alkiza;14,41;13,16;12,04;12,50;10,91;7,76;14,66;13,56;16,67;15,32;13,89;17,92
48912;Alonsotegi;10,90;10,97;11,59;11,93;12,54;11,59;10,77;11,60;11,31;10,31;10,87;10,31
20906;Altzaga;14,55;16,67;15,22;17,95;12,77;13,95;12,20;16,22;15,79;10,53;13,51;12,50
20007;Altzo;8,57;15,48;12,96;14,97;17,61;15,65;16,03;12,20;13,91;11,21;6,96;5,26
