Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Construcción  (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Araba/Álava;;4,65;4,54;4,61;4,47;4,49;4,38;4,34;4,39;4,52;4,67;5,26
Bizkaia;;6,15;6,07;6,13;6,02;6,01;5,90;5,86;5,89;5,93;6,04;6,58
CAE;;5,64;5,62;5,66;5,57;5,56;5,47;5,46;5,50;5,58;5,70;6,17
Gipuzkoa;;5,30;5,41;5,42;5,39;5,38;5,33;5,35;5,39;5,52;5,63;5,95
"";;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01100;Arabako Ibarrak / Valles Alaveses;6,19;6,24;6,00;5,79;5,72;5,89;5,74;5,96;6,05;6,35;6,49
01200;Arabako Lautada / Llanada Alavesa;4,57;4,49;4,51;4,36;4,39;4,28;4,25;4,26;4,39;4,52;5,11
01300;Arabako Mendialdea / Montaña Alavesa;5,74;5,80;5,62;5,98;6,41;6,28;6,16;6,30;6,53;7,05;8,23
48100;Arratia Nerbioi / Arratia-Nervión;5,42;5,17;5,17;5,01;4,96;5,06;5,32;5,43;5,57;5,63;6,16
20200;Bidasoa Beherea / Bajo Bidasoa;6,13;6,38;6,39;6,38;6,33;6,23;6,23;6,22;6,29;6,51;6,72
48200;Bilbo Handia / Gran Bilbao;6,46;6,39;6,46;6,33;6,32;6,19;6,15;6,16;6,15;6,27;6,83
20100;Deba Beherea / Bajo Deba;4,31;4,12;4,06;4,06;4,06;3,98;4,05;4,19;4,26;4,32;4,56
20300;Debagoiena / Alto Deba;3,26;3,27;3,33;3,25;3,33;3,36;3,40;3,33;3,40;3,36;3,77
20400;Donostialdea / Donostia-San Sebastián;5,36;5,55;5,59;5,55;5,55;5,51;5,49;5,53;5,68;5,76;6,02
48300;Durangaldea / Duranguesado;4,66;4,55;4,63;4,59;4,46;4,35;4,32;4,36;4,55;4,63;4,94
48400;Enkartazioak / Encartaciones;7,33;7,17;7,11;6,97;7,06;6,87;6,73;6,86;6,95;7,06;7,64
01400;Errioxa Arabarra / Rioja Alavesa;4,11;3,55;3,60;3,82;3,61;3,63;3,59;4,18;4,13;4,55;4,93
48500;Gernika-Bermeo;6,33;6,07;6,21;6,03;6,09;6,22;5,98;5,99;6,12;6,30;6,99
20500;Goierri;6,42;6,36;6,24;6,12;5,95;5,73;5,70;5,57;5,61;5,93;6,27
01500;Gorbeia Inguruak / Estribaciones del Gorbea;4,15;3,87;4,27;4,30;4,46;4,41;4,60;4,68;4,76;5,34;5,56
01600;Kantauri Arabarra / Cantábrica Alavesa;5,33;5,09;5,42;5,22;5,20;4,95;4,91;5,04;5,21;5,34;6,05
48600;Markina-Ondarroa;3,90;3,95;4,04;4,00;3,90;3,86;3,97;4,18;4,43;4,60;5,04
48700;Plentzia-Mungia;4,85;4,94;4,84;4,85;5,01;4,94;4,96;5,12;5,24;5,32;5,83
20600;Tolosaldea / Tolosa;5,38;5,52;5,41;5,49;5,70;5,66;5,80;6,00;6,32;6,50;7,13
20700;Urola-Kostaldea / Urola Costa;5,42;5,58;5,68;5,67;5,61;5,74;5,85;6,08;6,28;6,39;6,78
"";;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48001;Abadiño;4,01;3,96;4,04;4,03;4,03;3,92;3,99;3,86;4,60;4,75;5,05
