Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Servicios (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
Araba/Álava;;72,52;72,26;71,71;71,60;71,36;71,22;71,16;71,35;70,98;70,06;68,88
Bizkaia;;78,47;78,43;78,09;77,91;77,66;77,51;77,48;77,52;77,26;76,63;75,83
CAE;;75,74;75,56;75,22;75,06;74,84;74,72;74,67;74,63;74,24;73,49;72,62
Gipuzkoa;;73,06;72,69;72,44;72,31;72,13;72,08;71,98;71,69;71,11;70,25;69,39
"";;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01100;Arabako Ibarrak / Valles Alaveses;61,51;59,82;58,62;58,06;56,35;55,29;54,69;54,34;54,11;53,47;53,57
01200;Arabako Lautada / Llanada Alavesa;74,42;74,23;73,79;73,69;73,49;73,44;73,43;73,69;73,45;72,75;71,51
01300;Arabako Mendialdea / Montaña Alavesa;58,96;57,37;57,00;56,79;55,23;53,29;52,68;51,97;51,29;48,64;47,50
48100;Arratia Nerbioi / Arratia-Nervión;69,12;68,64;68,31;67,30;66,73;66,08;66,20;66,27;66,02;64,76;64,13
20200;Bidasoa Beherea / Bajo Bidasoa;79,47;79,63;79,19;79,51;79,50;79,56;79,50;79,45;79,18;78,57;77,68
48200;Bilbo Handia / Gran Bilbao;81,03;81,15;80,92;80,81;80,65;80,61;80,57;80,65;80,39;79,79;79,03
20100;Deba Beherea / Bajo Deba;64,32;64,07;63,53;62,88;62,67;62,29;62,01;61,35;60,85;59,64;58,45
20300;Debagoiena / Alto Deba;60,49;59,93;59,73;58,84;58,65;58,45;58,53;58,29;55,12;53,12;51,92
20400;Donostialdea / Donostia-San Sebastián;80,76;80,66;80,43;80,48;80,39;80,41;80,34;80,33;80,05;79,67;79,06
48300;Durangaldea / Duranguesado;64,89;64,39;64,05;63,48;63,13;62,82;62,67;62,57;62,30;61,45;60,72
48400;Enkartazioak / Encartaciones;72,75;73,37;72,98;72,56;72,58;72,38;72,36;72,61;72,70;72,07;71,05
01400;Errioxa Arabarra / Rioja Alavesa;53,80;48,54;46,83;46,82;46,49;46,76;46,85;45,70;44,93;43,51;43,34
48500;Gernika-Bermeo;73,60;73,24;72,04;71,96;71,53;70,75;70,99;70,75;70,37;69,68;68,60
20500;Goierri;59,90;59,07;58,70;58,77;58,50;58,59;58,31;57,64;57,21;56,02;55,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;71,39;71,21;70,39;69,80;69,40;69,88;69,60;69,92;68,59;66,83;66,24
01600;Kantauri Arabarra / Cantábrica Alavesa;65,89;65,22;64,33;64,10;64,06;63,32;63,20;63,16;62,12;60,14;58,96
48600;Markina-Ondarroa;63,84;63,08;61,83;61,17;60,54;59,47;59,47;59,69;59,61;58,96;57,14
48700;Plentzia-Mungia;80,66;80,68;80,27;79,90;79,21;79,12;78,99;78,71;78,13;77,50;76,44
20600;Tolosaldea / Tolosa;65,56;65,20;64,99;64,74;64,69;64,38;64,08;63,38;62,91;62,10;61,02
20700;Urola-Kostaldea / Urola Costa;65,84;65,33;65,62;64,92;64,56;64,58;64,51;63,62;63,27;62,08;60,45
"";;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48001;Abadiño;61,58;60,30;60,08;59,50;59,02;58,14;58,24;58,19;57,76;57,05;56,11
20001;Abaltzisketa;53,12;51,88;53,46;54,82;57,05;58,06;56,21;56,13;52,38;54,55;52,23
48002;Abanto y Ciérvana-Abanto Zierbena;75,77;75,42;75,04;74,31;73,66;73,79;74,06;74,76;74,29;73,85;73,11
20002;Aduna;64,08;63,91;62,50;64,19;62,50;63,96;63,80;61,06;62,31;58,42;57,22
20016;Aia;56,91;55,59;54,18;53,37;53,16;51,32;53,98;49,87;50,27;49,86;51,06
20003;Aizarnazabal;52,00;50,65;50,32;48,93;48,94;50,00;49,06;49,69;50,33;52,20;44,95
48911;Ajangiz;73,02;71,89;68,11;66,67;64,09;63,95;66,27;62,72;65,50;62,58;61,49
20004;Albiztur;57,72;56,55;55,00;56,85;55,03;53,90;53,96;58,39;58,27;58,09;54,69
20005;Alegia;63,90;62,23;61,10;61,44;61,23;60,29;60,00;58,70;59,12;57,43;57,69
01001;Alegría-Dulantzi;68,66;69,27;68,30;68,24;67,68;68,61;69,14;69,30;70,17;68,68;67,19
20006;Alkiza;55,83;55,70;53,55;57,76;53,99;56,14;56,29;53,99;55,76;52,90;51,01
48912;Alonsotegi;75,23;76,22;76,20;75,72;75,09;75,02;73,58;72,58;71,66;71,24;71,07
20906;Altzaga;70,37;68,35;68,12;66,15;67,61;65,71;65,22;68,75;66,67;66,13;66,67
20007;Altzo;60,40;61,62;62,94;60,70;63,08;63,33;61,35;60,26;59,73;60,93;60,00
20008;Amezketa;48,86;47,50;46,08;45,26;44,55;43,47;43,87;42,25;41,48;41,26;39,76
48003;Amorebieta-Etxano;68,41;68,15;67,42;67,24;67,18;66,98;67,44;67,60;67,73;66,34;66,06
48004;Amoroto;65,29;62,96;63,41;63,58;58,75;57,76;56,80;58,48;57,58;52,50;48,75
01002;Amurrio;63,39;63,17;62,39;62,15;62,20;61,10;61,16;61,51;60,48;58,17;57,29
20009;Andoain;69,73;69,89;68,88;68,44;68,44;67,63;67,41;66,62;66,59;65,92;64,83
20010;Anoeta;63,01;62,00;62,90;62,75;61,51;60,95;60,77;59,17;59,52;58,83;58,95
20011;Antzuola;54,55;52,66;53,01;52,44;52,90;51,61;51,79;50,33;49,18;49,55;47,03
48005;Arakaldo;67,61;63,24;68,25;68,85;64,06;66,07;64,00;73,47;64,10;60,98;57,50
20012;Arama;50,00;48,91;52,27;52,27;54,44;52,87;52,44;56,96;55,26;56,25;56,25
01003;Aramaio;65,68;65,33;65,62;64,42;64,78;63,32;63,47;63,49;57,10;53,33;52,59
48006;Arantzazu;67,66;67,92;68,24;65,96;64,29;64,18;59,84;65,65;63,87;65,57;66,09
48093;Areatza;73,26;72,95;72,13;70,00;69,80;69,20;69,70;71,46;69,34;67,50;67,05
20013;Aretxabaleta;59,85;59,32;58,90;57,91;57,89;57,10;57,56;57,96;52,71;51,18;49,95
01006;Armiñón;61,82;59,00;60,87;56,67;53,85;55,17;50,72;50,72;48,61;47,22;44,78
01037;Arraia-Maeztu;59,60;54,23;56,16;57,19;55,00;52,76;53,52;52,71;53,01;50,98;50,37
48009;Arrankudiaga;76,53;77,33;76,78;77,72;74,93;76,55;74,66;73,31;75,07;72,40;73,12
20055;Arrasate/Mondragón;64,37;64,24;64,29;63,42;63,63;63,59;64,03;63,77;59,42;56,42;55,36
48914;Arratzu;74,03;73,47;72,60;72,11;70,95;70,34;71,13;70,50;69,85;69,40;68,38
01008;Arratzua-Ubarrundia;69,70;67,61;67,68;66,67;66,67;67,65;65,80;66,00;65,92;64,08;62,97
48010;Arrieta;75,30;74,69;75,85;74,89;73,82;73,78;74,34;74,67;73,04;72,14;70,79
48011;Arrigorriaga;78,88;78,70;77,63;77,15;77,15;77,31;76,77;76,61;76,60;75,63;74,20
48023;Artea;72,17;72,56;73,31;69,89;73,49;71,59;71,92;71,98;72,83;72,97;71,71
48008;Artzentales;69,32;67,89;69,38;69,40;68,66;69,96;70,43;70,61;67,49;65,20;63,30
01004;Artziniega;70,06;67,72;67,46;67,18;67,18;66,94;66,06;65,26;65,60;63,90;63,33
01009;Asparrena;59,91;62,31;59,93;57,22;56,09;55,19;52,84;50,66;48,63;46,64;44,72
20014;Asteasu;60,98;59,17;58,79;58,03;58,54;58,48;57,68;57,62;58,12;58,25;56,45
20903;Astigarraga;77,03;76,32;75,95;76,10;76,18;76,32;75,61;75,05;73,89;72,40;71,66
20015;Ataun;62,32;61,16;60,11;60,82;60,97;61,22;61,00;60,96;59,45;57,36;56,85
48091;Atxondo;61,49;61,08;62,77;61,22;61,03;59,59;59,87;60,19;60,53;59,90;57,48
