Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia  (% habitantes de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Araba/Álava;;53,40;49,49;48,46;50,12;49,89;49,55;48,71;47,89;46,99;46,64;47,34;48,70;48,86;49,10
Bizkaia;;50,82;47,77;46,77;47,65;47,20;46,50;45,83;45,17;44,15;43,46;44,01;45,07;45,00;45,00
CAE;;52,12;49,04;48,05;49,11;48,70;48,07;47,29;46,59;45,56;44,98;45,48;46,74;46,67;46,83
Gipuzkoa;;53,64;50,89;49,93;51,02;50,61;49,95;49,02;48,31;47,23;46,73;47,07;48,63;48,46;48,86
"";;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
01100;Arabako Ibarrak / Valles Alaveses;40,04;32,00;31,39;33,14;33,14;32,31;31,63;31,22;30,00;29,63;30,28;31,42;30,92;30,85
01200;Arabako Lautada / Llanada Alavesa;54,27;50,70;49,61;51,31;51,09;50,74;49,86;49,05;48,18;47,78;48,44;49,43;49,76;49,91
01300;Arabako Mendialdea / Montaña Alavesa;41,71;37,17;36,58;39,89;38,49;38,72;38,52;38,67;38,29;36,90;37,05;38,02;38,17;38,82
48100;Arratia Nerbioi / Arratia-Nervión;50,81;48,81;48,04;49,46;49,23;48,46;47,55;47,26;45,97;45,16;45,72;47,25;46,42;46,59
20200;Bidasoa Beherea / Bajo Bidasoa;52,20;48,45;47,24;48,66;48,31;47,49;46,45;45,43;44,57;43,92;43,95;45,31;45,20;45,48
48200;Bilbo Handia / Gran Bilbao;50,68;47,42;46,33;47,19;46,66;45,95;45,32;44,67;43,69;43,02;43,64;44,59;44,57;44,70
20100;Deba Beherea / Bajo Deba;51,75;49,89;49,06;49,74;49,55;48,88;48,03;47,24;45,97;45,20;45,79;47,51;47,22;47,51
20300;Debagoiena / Alto Deba;52,76;51,06;50,39;51,13;50,93;50,53;49,78;49,49;48,52;48,97;49,49;51,66;51,87;51,86
20400;Donostialdea / Donostia-San Sebastián;53,69;50,52;49,53;50,84;50,37;49,75;48,91;48,27;47,29;46,66;47,01;48,23;48,30;48,89
48300;Durangaldea / Duranguesado;52,97;50,84;50,16;50,85;50,92;50,48;50,03;49,47;48,15;47,53;47,95;49,77;49,69;49,02
48400;Enkartazioak / Encartaciones;48,62;45,46;44,67;45,40;44,82;43,98;42,79;41,55;40,69;39,74;40,25;41,95;42,64;42,64
01400;Errioxa Arabarra / Rioja Alavesa;49,90;35,59;35,47;36,48;36,78;36,50;36,85;36,01;34,84;34,33;36,50;45,79;45,16;48,53
48500;Gernika-Bermeo;47,70;45,78;45,30;46,13;46,01;45,16;44,35;43,49;42,55;41,76;42,22;43,78;43,07;42,66
20500;Goierri;55,34;53,01;52,19;52,94;52,32;51,70;50,53;50,03;48,72;48,21;48,07;50,19;49,05;49,13
01500;Gorbeia Inguruak / Estribaciones del Gorbea;51,52;48,82;48,24;51,18;50,68;51,17;49,90;48,52;47,83;47,21;46,83;47,07;46,14;45,63
01600;Kantauri Arabarra / Cantábrica Alavesa;51,86;49,54;48,40;49,24;48,92;48,51;47,64;46,74;45,77;46,01;46,90;48,70;48,27;48,34
48600;Markina-Ondarroa;48,41;46,76;45,95;46,35;45,93;45,45;44,95;45,00;44,27;42,92;42,93;45,00;44,04;43,86
48700;Plentzia-Mungia;54,07;50,69;49,82;51,67;51,19;50,37;49,21;48,22;47,02;46,42;46,52;46,73;46,51;45,94
20600;Tolosaldea / Tolosa;56,05;53,58;52,57;53,51;53,39;52,58;51,86;51,39;49,99;49,45;49,69;51,78;51,68;52,29
20700;Urola-Kostaldea / Urola Costa;53,93;52,01;51,06;51,82;51,19;50,39;49,07;47,78;46,45;46,08;46,88;48,66;47,99;48,25
"";;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48001;Abadiño;51,90;50,47;51,14;51,11;51,50;51,44;51,62;51,38;49,69;48,91;49,90;51,94;52,45;51,10
20001;Abaltzisketa;58,99;62,12;61,60;64,12;59,32;60,08;58,62;61,75;58,33;59,92;63,20;68,80;70,12;73,28
48002;Abanto y Ciérvana-Abanto Zierbena;52,74;50,07;48,44;49,33;49,92;48,14;47,72;46,38;45,46;44,79;44,38;46,22;46,55;43,13
20002;Aduna;63,40;61,70;61,58;61,66;59,42;60,16;58,78;57,78;56,06;53,07;52,86;58,29;57,06;59,94
20016;Aia;21,41;22,39;23,17;23,45;23,79;23,32;24,05;23,80;22,98;22,76;23,38;24,07;24,15;24,51
20003;Aizarnazabal;56,03;52,95;53,26;56,06;56,51;55,23;54,39;54,79;52,13;54,67;52,96;55,52;53,48;57,14
48911;Ajangiz;47,87;46,98;47,85;48,81;46,77;44,79;42,35;43,11;44,30;42,12;42,71;42,30;38,22;38,99
20004;Albiztur;62,08;61,70;61,04;64,32;65,07;60,00;59,83;56,56;58,02;55,87;53,06;60,91;61,92;60,76
20005;Alegia;53,42;50,43;49,70;50,60;51,80;52,29;52,66;51,47;49,02;47,90;48,51;48,50;47,94;48,23
01001;Alegría-Dulantzi;57,99;52,22;50,78;52,23;52,00;52,04;51,73;53,12;52,48;50,62;49,89;49,19;48,07;46,34
20006;Alkiza;59,71;59,62;59,09;62,31;62,93;66,80;64,98;63,92;62,74;56,57;53,60;51,97;54,10;52,43
48912;Alonsotegi;48,19;47,10;45,05;46,53;46,29;45,38;43,59;42,06;41,22;39,69;41,27;41,15;41,39;41,01
20906;Altzaga;60,74;60,90;55,47;48,55;50,71;50,72;51,11;50,00;49,61;50,00;48,39;46,28;46,28;47,90
20007;Altzo;63,24;62,66;61,56;64,56;65,12;62,20;58,30;57,25;56,34;58,40;57,14;57,04;55,60;54,48
20008;Amezketa;56,67;57,23;55,80;56,54;56,68;55,85;53,75;52,69;52,80;52,35;51,88;53,32;51,00;49,52
48003;Amorebieta-Etxano;55,38;52,64;51,69;52,64;52,39;52,45;51,07;50,72;49,84;48,87;49,08;50,96;50,61;49,73
48004;Amoroto;51,51;48,22;47,28;46,99;46,80;45,89;47,75;50,00;49,70;47,63;48,20;53,13;50,45;47,51
01002;Amurrio;52,49;49,87;49,13;50,70;49,94;49,60;48,60;47,20;46,30;46,81;47,79;49,97;49,82;49,73
20009;Andoain;53,12;50,55;49,68;50,92;50,27;49,48;48,65;48,55;47,66;46,62;46,83;48,38;48,37;49,15
20010;Anoeta;56,84;54,57;55,02;58,91;56,89;56,13;54,91;54,46;52,53;51,80;52,42;54,72;53,50;56,48
20011;Antzuola;56,55;55,11;54,23;54,88;54,26;53,79;53,33;52,00;50,86;49,31;48,27;50,14;48,32;47,96
48005;Arakaldo;51,08;48,23;45,65;45,52;48,12;43,75;40,65;38,58;31,45;36,61;38,83;40,62;39,39;41,57
20012;Arama;58,64;55,03;52,66;52,63;53,25;51,45;47,67;46,20;44,19;45,98;46,51;50,31;47,80;41,86
01003;Aramaio;52,49;51,63;50,55;51,56;51,98;50,59;49,24;49,36;47,10;48,93;47,36;48,51;47,26;45,77
48006;Arantzazu;49,12;45,33;42,33;44,65;45,45;44,22;40,40;43,38;38,76;38,98;37,34;37,42;35,79;38,43
48093;Areatza;51,07;49,17;47,38;48,41;49,22;47,66;47,41;46,20;45,28;44,58;43,68;43,89;44,36;45,03
20013;Aretxabaleta;53,96;52,90;52,32;53,60;53,73;54,24;53,72;54,14;52,59;52,52;52,74;54,05;54,12;52,03
01006;Armiñón;56,63;52,33;50,81;51,10;49,46;51,16;38,04;39,55;39,89;38,83;36,41;36,00;32,95;38,60
01037;Arraia-Maeztu;44,31;42,56;41,43;47,97;42,23;42,43;42,34;42,05;44,15;41,22;42,92;42,40;41,14;42,24
48009;Arrankudiaga;50,77;47,62;45,70;47,11;45,13;44,25;43,04;42,98;42,37;41,29;39,70;44,50;42,80;41,37
20055;Arrasate/Mondragón;50,97;49,49;48,79;49,32;48,91;48,57;47,75;47,35;46,47;48,01;49,01;52,16;52,43;52,72
48914;Arratzu;44,80;41,57;42,07;43,15;42,61;42,52;41,28;40,06;39,08;39,07;40,24;52,51;43,41;38,32
01008;Arratzua-Ubarrundia;51,94;46,55;43,95;46,73;46,88;46,24;44,58;46,60;45,12;44,66;46,26;47,33;47,75;50,32
48010;Arrieta;50,20;48,60;48,47;47,45;47,75;46,88;47,38;47,30;42,56;42,50;45,55;47,61;47,12;43,13
48011;Arrigorriaga;51,45;48,66;47,42;48,01;47,79;46,75;46,00;44,49;43,42;42,30;43,16;42,67;42,14;41,79
48023;Artea;48,07;44,08;42,70;46,91;49,50;44,87;42,58;41,55;42,18;41,14;42,10;40,25;41,31;41,61
48008;Artzentales;43,41;40,38;42,24;45,82;44,05;42,74;40,92;38,53;38,70;36,46;34,76;36,82;40,54;38,79
01004;Artziniega;51,80;47,63;47,28;46,79;46,37;46,70;46,46;45,82;45,78;45,53;45,65;45,26;44,50;43,28
01009;Asparrena;46,75;41,46;39,79;42,66;43,73;44,48;43,81;43,59;42,11;41,56;40,06;41,13;41,65;41,58
20014;Asteasu;62,16;57,98;57,46;57,50;55,19;56,44;55,91;58,31;58,32;57,43;56,37;56,60;55,21;56,55
20903;Astigarraga;57,63;55,29;54,66;57,28;58,33;58,47;56,55;52,36;51,13;48,67;48,29;49,53;49,29;49,63
20015;Ataun;97,91;96,11;91,20;91,87;88,74;88,04;85,47;83,22;81,77;77,60;76,70;77,24;74,40;74,48
48091;Atxondo;52,53;51,34;51,43;49,21;51,15;52,12;51,02;53,46;50,63;50,79;50,00;53,75;51,53;50,80
48070;Aulesti;15,62;14,54;14,29;13,78;13,40;13,10;13,46;13,75;12,72;12,05;11,79;12,76;12,61;10,80
01010;Ayala/Aiara;56,16;53,62;52,83;53,01;54,44;53,94;53,84;51,34;50,43;48,86;48,22;48,86;46,51;45,53
20017;Azkoitia;54,74;52,74;51,55;52,05;51,22;50,50;48,97;47,81;46,02;45,46;45,25;47,81;46,80;46,38
20018;Azpeitia;55,61;53,54;52,57;53,52;53,55;53,05;51,29;49,79;47,15;46,90;48,59;52,36;52,26;52,81
01049;Añana;29,68;26,95;25,00;29,45;32,34;34,13;30,36;31,90;32,28;27,88;33,77;33,96;32,91;33,33
48012;Bakio;44,86;42,38;41,96;43,89;43,66;41,80;39,87;38,45;37,84;36,32;35,03;34,85;35,39;35,09
20904;Baliarrain;59,81;51,33;48,25;46,15;50,94;47,17;40,54;46,73;43,36;50,50;50,00;52,88;50,98;56,00
48090;Balmaseda;48,13;43,94;42,87;44,16;43,58;42,59;41,69;40,98;39,65;37,99;38,14;39,66;40,38;40,55
48013;Barakaldo;50,77;47,71;46,47;47,38;46,60;46,00;45,33;44,26;43,08;42,29;42,47;43,47;43,19;43,26
48014;Barrika;46,99;41,30;40,78;42,28;42,18;41,37;40,79;40,02;39,86;41,01;41,37;41,40;42,33;40,40
01013;Barrundia;50,44;46,36;45,02;45,41;45,99;46,03;45,47;47,06;47,38;44,40;45,47;48,96;48,01;47,29
48015;Basauri;47,80;45,50;44,52;45,51;45,24;44,57;44,22;43,89;42,84;42,57;43,61;45,45;46,20;46,37
