Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia: Hombres (% hombres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Araba/Álava;;56,82;52,11;51,16;52,92;53,06;52,91;51,92;50,41;49,95;49,76;51,10;53,64;54,70;55,41
Bizkaia;;54,29;50,46;49,61;50,65;50,69;50,10;49,54;48,16;47,70;47,20;48,17;50,81;51,87;52,32
CAE;;55,40;51,59;50,71;51,97;52,06;51,57;50,84;49,55;49,01;48,63;49,60;52,27;53,26;53,92
Gipuzkoa;;56,51;53,13;52,25;53,63;53,77;53,30;52,42;51,38;50,67;50,44;51,22;54,02;54,87;55,85
"";;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
01100;Arabako Ibarrak / Valles Alaveses;40,60;33,19;33,07;34,61;35,50;34,90;34,16;34,94;32,07;31,51;32,47;33,50;33,47;33,88
01200;Arabako Lautada / Llanada Alavesa;57,98;53,48;52,44;54,17;54,25;54,14;53,03;51,24;50,98;50,71;51,97;54,08;55,18;55,74
01300;Arabako Mendialdea / Montaña Alavesa;41,75;37,94;36,27;39,45;39,37;39,33;39,93;40,61;40,36;39,18;39,68;41,47;42,45;43,01
48100;Arratia Nerbioi / Arratia-Nervión;53,11;50,35;49,91;51,60;51,79;51,70;50,70;50,58;49,55;49,17;49,98;52,57;53,25;53,71
20200;Bidasoa Beherea / Bajo Bidasoa;55,57;50,70;49,69;51,50;51,64;51,16;50,05;47,89;48,17;47,66;48,19;50,73;51,42;52,36
48200;Bilbo Handia / Gran Bilbao;54,43;50,30;49,37;50,33;50,26;49,67;49,11;47,64;47,24;46,73;47,82;50,53;51,61;52,27
20100;Deba Beherea / Bajo Deba;55,75;53,46;52,71;53,65;53,84;53,38;52,98;51,68;50,82;50,42;51,45;53,89;54,56;55,38
20300;Debagoiena / Alto Deba;55,83;53,52;53,08;54,22;54,47;54,19;53,08;52,78;51,50;52,40;53,32;56,01;56,85;57,27
20400;Donostialdea / Donostia-San Sebastián;56,02;52,26;51,38;52,82;52,75;52,20;51,43;50,31;49,90;49,36;50,13;53,07;54,21;55,44
48300;Durangaldea / Duranguesado;56,54;54,09;53,44;54,31;55,05;54,81;54,79;54,02;53,14;52,84;53,37;56,24;57,35;56,92
48400;Enkartazioak / Encartaciones;52,40;48,53;47,95;48,95;49,06;48,16;47,10;45,07;44,82;43,99;45,12;47,67;50,22;50,81
01400;Errioxa Arabarra / Rioja Alavesa;53,68;39,23;39,50;40,90;41,69;41,12;41,46;41,55;39,51;39,04;42,80;56,28;56,37;63,06
