Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia: Mujeres (% mujeres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Araba/Álava;;50,15;47,00;45,90;47,06;46,49;45,99;45,33;44,87;43,94;43,44;43,56;43,76;43,05;42,82
Bizkaia;;47,66;45,32;44,19;44,66;43,77;43,00;42,25;41,65;40,74;39,86;40,07;39,72;38,62;38,21
CAE;;49,09;46,69;45,60;46,12;45,26;44,52;43,69;43,06;42,09;41,30;41,41;41,37;40,31;40,01
Gipuzkoa;;50,96;48,78;47,76;48,08;47,14;46,33;45,33;44,58;43,48;42,74;42,69;43,06;41,93;41,79
"";;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
01100;Arabako Ibarrak / Valles Alaveses;39,34;30,54;29,35;34,54;33,09;32,10;31,05;29,94;29,07;28,79;29,03;30,21;28,78;27,94
01200;Arabako Lautada / Llanada Alavesa;50,82;48,11;46,98;47,90;47,41;46,87;46,28;46,04;45,12;44,62;44,76;44,71;44,33;44,11
01300;Arabako Mendialdea / Montaña Alavesa;41,67;36,20;36,97;41,90;38,70;39,09;37,42;36,36;36,19;34,66;34,32;34,08;33,25;34,02
48100;Arratia Nerbioi / Arratia-Nervión;48,51;47,27;46,16;47,11;46,41;44,93;44,02;43,16;42,13;40,82;41,19;41,68;39,34;39,11
20200;Bidasoa Beherea / Bajo Bidasoa;49,02;46,34;44,93;44,70;44,00;42,95;42,07;41,31;40,27;39,55;39,21;39,49;38,76;38,47
48200;Bilbo Handia / Gran Bilbao;47,33;44,85;43,63;44,12;43,19;42,42;41,75;41,17;40,35;39,51;39,77;39,15;38,18;37,85
20100;Deba Beherea / Bajo Deba;47,97;46,50;45,60;45,84;45,26;44,44;43,03;41,94;40,99;39,85;39,98;41,04;39,81;39,58
20300;Debagoiena / Alto Deba;49,79;48,66;47,79;48,31;47,68;47,23;46,67;46,06;45,47;45,49;45,62;47,16;46,71;46,25
20400;Donostialdea / Donostia-San Sebastián;51,59;48,94;47,86;48,40;47,55;46,89;46,00;45,45;44,35;43,65;43,66;43,35;42,46;42,52
48300;Durangaldea / Duranguesado;49,57;47,74;47,02;47,68;47,09;46,44;45,56;44,92;43,49;42,54;42,89;43,68;42,43;41,49
48400;Enkartazioak / Encartaciones;45,00;42,53;41,52;41,81;40,46;39,70;38,41;37,41;36,63;35,51;35,44;36,29;35,20;34,66
01400;Errioxa Arabarra / Rioja Alavesa;45,85;31,68;31,12;32,57;32,27;32,16;32,47;31,26;30,41;29,79;30,24;34,72;33,21;33,03
48500;Gernika-Bermeo;45,59;44,16;43,84;44,17;43,96;43,44;42,28;41,35;40,35;39,61;39,78;40,52;38,47;37,88
20500;Goierri;51,15;49,45;48,63;48,70;46,81;45,88;44,56;43,36;42,20;41,18;40,74;42,09;40,01;39,47
01500;Gorbeia Inguruak / Estribaciones del Gorbea;51,06;49,00;48,97;50,01;49,40;50,22;48,88;48,97;47,89;47,32;46,73;45,40;43,06;41,50
01600;Kantauri Arabarra / Cantábrica Alavesa;48,40;46,38;44,93;46,37;45,44;44,92;43,88;42,14;41,09;40,72;40,86;41,84;39,52;39,61
48600;Markina-Ondarroa;46,33;45,59;44,43;44,50;43,68;43,27;42,06;42,08;41,51;39,63;39,01;40,71;38,68;38,73
48700;Plentzia-Mungia;52,92;50,06;49,11;49,22;48,02;47,09;46,11;45,81;44,25;43,39;43,18;42,33;41,17;40,34
