Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de trabajo (% habitantes de 16 y más años);;;;;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
Araba/Álava;;57,70;57,11;55,84;57,76;57,29;56,85;55,45;54,33;52,97;52,48;53,44;55,14;55,45;55,62;56,01;59,29;58,48;56,75;56,60;56,95
Bizkaia;;50,68;50,12;48,95;49,77;49,28;48,48;47,76;47,00;45,84;45,07;45,64;46,69;46,69;46,77;46,99;49,14;48,12;46,91;45,92;45,12
CAE;;52,81;52,34;51,19;52,24;51,73;50,96;50,06;49,22;48,06;47,39;47,94;49,24;49,23;49,43;49,74;52,16;51,16;49,82;48,87;48,15
Gipuzkoa;;53,99;53,74;52,70;53,73;53,17;52,32;51,36;50,53;49,48;48,90;49,24;50,78;50,63;51,06;51,51;54,00;53,01;51,59;50,38;49,37
"";;;;;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
01100;Arabako Ibarrak / Valles Alaveses;66,39;62,68;64,91;67,90;68,83;67,25;66,76;67,99;64,35;63,15;62,81;56,34;57,88;58,39;62,62;0,00;0,00;0,00;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;59,13;58,77;57,15;59,11;58,56;58,16;56,52;55,30;53,89;53,17;53,89;55,35;55,65;55,73;56,14;0,00;0,00;0,00;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;33,39;32,21;32,41;34,29;33,61;32,21;33,56;33,33;33,25;32,07;32,21;34,79;36,08;37,47;37,04;0,00;0,00;0,00;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;35,84;35,72;35,91;37,62;38,45;37,91;36,59;35,28;35,93;35,76;37,20;39,18;40,11;40,59;42,79;0,00;0,00;0,00;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;38,18;38,43;36,86;38,07;37,39;37,16;36,31;35,22;34,86;34,47;35,24;36,70;36,66;38,29;38,81;0,00;0,00;0,00;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;53,63;52,97;51,50;52,24;51,55;50,61;49,79;49,01;47,83;46,83;47,45;48,39;48,29;48,58;48,52;0,00;0,00;0,00;0,00;0,00
20100;Deba Beherea / Bajo Deba;42,84;43,26;42,89;44,52;44,82;44,36;43,19;42,24;41,13;40,49;40,88;41,87;41,40;42,38;43,43;0,00;0,00;0,00;0,00;0,00
20300;Debagoiena / Alto Deba;63,71;63,35;62,55;64,24;63,60;62,85;61,54;61,23;60,99;61,80;61,47;63,00;62,07;61,91;62,68;0,00;0,00;0,00;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;63,49;62,86;61,72;62,55;61,95;60,80;59,68;58,57;57,26;56,22;56,38;57,55;57,90;58,04;57,63;0,00;0,00;0,00;0,00;0,00
48300;Durangaldea / Duranguesado;61,63;61,32;60,76;61,21;62,26;61,56;61,28;59,59;57,15;57,59;57,70;59,31;59,45;59,09;61,57;0,00;0,00;0,00;0,00;0,00
48400;Enkartazioak / Encartaciones;25,54;25,15;24,51;25,05;24,21;24,22;23,60;23,11;22,82;22,70;23,55;25,34;26,70;24,46;24,64;0,00;0,00;0,00;0,00;0,00
01400;Errioxa Arabarra / Rioja Alavesa;72,46;70,11;69,51;71,70;72,70;72,27;70,67;67,71;63,49;63,03;64,58;74,19;73,39;76,07;69,01;0,00;0,00;0,00;0,00;0,00
48500;Gernika-Bermeo;29,08;29,08;30,12;31,00;30,92;30,41;30,17;29,62;28,83;28,02;28,53;30,19;30,82;30,93;30,03;0,00;0,00;0,00;0,00;0,00
20500;Goierri;47,60;48,13;47,71;48,49;47,67;46,59;45,55;45,39;43,85;43,46;43,19;44,62;43,97;44,64;45,75;0,00;0,00;0,00;0,00;0,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;62,32;59,76;60,23;64,04;64,38;61,27;60,26;59,06;59,11;58,66;64,30;66,46;68,90;71,39;76,40;0,00;0,00;0,00;0,00;0,00
01600;Kantauri Arabarra / Cantábrica Alavesa;41,07;40,65;40,63;41,64;41,05;41,36;41,43;41,15;41,13;42,54;44,26;46,32;46,28;45,54;46,68;0,00;0,00;0,00;0,00;0,00
48600;Markina-Ondarroa;33,60;33,51;33,39;33,80;34,26;34,81;34,52;34,98;33,94;32,97;32,85;34,29;33,88;33,48;32,78;0,00;0,00;0,00;0,00;0,00
48700;Plentzia-Mungia;32,98;32,36;31,30;33,16;31,92;31,69;31,19;32,02;31,61;31,87;32,19;32,33;31,79;30,42;31,66;0,00;0,00;0,00;0,00;0,00
20600;Tolosaldea / Tolosa;43,94;43,49;42,54;43,46;42,67;41,72;41,31;41,14;39,93;39,89;40,93;45,31;45,14;45,50;46,42;0,00;0,00;0,00;0,00;0,00
20700;Urola-Kostaldea / Urola Costa;40,42;40,28;39,05;39,99;39,53;39,26;39,15;38,40;37,62;37,07;38,41;40,42;39,27;39,64;42,32;0,00;0,00;0,00;0,00;0,00
"";;;;;;;;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003
48001;Abadiño;73,21;72,79;74,45;75,89;79,86;79,35;80,40;78,21;73,52;69,47;72,36;77,91;75,83;74,77;80,72;84,49;83,49;82,00;84,27;85,03
20001;Abaltzisketa;61,51;65,15;65,40;66,41;61,98;58,14;47,13;42,63;51,98;43,97;48,00;58,80;60,96;64,78;68,92;72,22;61,07;55,69;53,04;54,00
48002;Abanto y Ciérvana-Abanto Zierbena;49,34;46,68;45,37;45,80;44,60;42,31;43,43;44,56;44,30;44,45;45,67;47,83;48,94;50,68;55,36;66,27;63,55;59,98;58,04;54,35
20002;Aduna;350,26;253,72;246,59;251,74;235,54;218,70;208,24;228,06;218,59;230,73;219,71;232,86;220,90;235,91;226,40;269,10;262,46;244,77;259,60;276,47
20016;Aia;24,11;26,67;27,79;29,66;31,44;30,58;31,37;32,23;32,30;31,53;34,22;39,20;24,34;25,25;27,04;29,47;31,08;29,07;35,52;35,01
20003;Aizarnazabal;73,51;67,96;68,28;69,53;68,36;72,21;69,93;70,55;64,57;64,86;67,01;72,50;90,77;98,04;107,37;107,26;106,92;106,14;102,58;95,30
48911;Ajangiz;175,44;169,60;195,70;246,44;256,07;250,00;230,10;230,36;212,69;211,63;213,00;232,38;215,97;165,52;165,52;18,47;32,36;32,80;26,85;12,15
20004;Albiztur;61,67;59,57;58,44;56,83;54,59;50,21;50,43;46,72;33,74;48,99;51,43;55,14;63,18;62,45;61,57;66,80;66,67;60,00;57,37;53,57
20005;Alegia;23,46;24,48;24,42;25,23;25,76;22,26;22,16;24,09;22,59;25,05;24,73;25,31;26,03;24,95;26,28;27,23;23,30;24,21;24,32;24,65
01001;Alegría-Dulantzi;25,03;24,01;26,87;26,68;26,35;26,82;28,43;30,93;29,96;31,24;31,63;32,66;34,94;37,47;42,39;44,20;42,75;38,65;38,49;34,98
20006;Alkiza;18,32;18,11;18,18;21,54;20,08;17,58;20,23;16,47;14,83;16,42;14,75;14,34;14,93;14,61;14,13;23,19;22,61;21,76;22,13;21,05
48912;Alonsotegi;35,13;36,79;36,53;37,48;32,58;31,04;31,38;29,79;31,16;29,19;30,10;30,42;31,05;38,06;40,95;42,62;42,59;42,44;41,00;41,30
20906;Altzaga;20,00;21,80;21,88;22,46;22,14;24,64;25,19;25,00;22,05;24,19;21,77;22,31;17,36;20,17;16,39;25,83;25,81;22,58;21,09;19,69
20007;Altzo;100,00;109,81;101,88;72,47;73,42;69,76;69,26;69,93;73,51;73,28;75,82;78,15;70,52;72,01;66,12;70,55;72,28;66,34;81,36;78,64
20008;Amezketa;47,78;47,38;49,93;48,30;45,32;47,31;47,57;46,12;42,91;41,80;42,96;41,41;38,72;36,54;36,49;38,98;39,85;35,25;34,47;34,43
48003;Amorebieta-Etxano;69,56;70,62;68,98;70,59;68,57;67,47;66,30;63,01;57,57;63,49;63,67;65,25;64,79;62,93;64,24;55,68;53,58;53,02;50,54;47,96
48004;Amoroto;85,54;79,29;73,93;76,50;74,42;66,86;64,33;66,86;68,86;67,46;68,86;74,63;73,29;66,86;53,25;42,43;47,80;60,53;60,06;62,39
