Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de trabajo: Hombres (% hombres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Araba/Álava;;63,29;62,51;61,46;63,68;63,47;63,36;61,59;60,25;58,62;58,33;60,01;63,10;64,47;65,12
Bizkaia;;53,63;52,98;51,98;52,87;52,90;52,19;51,57;50,66;49,46;48,85;49,90;52,59;53,74;54,14
CAE;;56,47;55,88;54,86;56,11;56,08;55,42;54,51;53,56;52,32;51,85;52,89;55,68;56,78;57,23
Gipuzkoa;;57,85;57,42;56,40;57,82;57,75;56,94;55,97;55,15;54,01;53,74;54,47;57,29;58,20;58,66
"";;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
01100;Arabako Ibarrak / Valles Alaveses;87,21;82,29;85,54;89,28;89,00;87,77;86,79;89,47;84,29;82,88;82,45;73,55;75,35;79,53
01200;Arabako Lautada / Llanada Alavesa;62,41;61,88;60,41;62,68;62,41;62,42;60,32;58,84;57,13;56,60;58,05;60,96;62,16;62,53
01300;Arabako Mendialdea / Montaña Alavesa;33,46;31,92;31,80;34,20;32,95;31,88;32,61;32,41;32,68;31,87;32,41;36,14;38,56;39,67
48100;Arratia Nerbioi / Arratia-Nervión;47,13;46,56;46,96;49,49;50,73;49,64;48,24;46,28;47,84;47,63;49,87;53,50;56,39;55,95
20200;Bidasoa Beherea / Bajo Bidasoa;42,27;42,62;41,21;42,75;42,70;42,77;41,85;40,84;40,25;39,92;41,21;43,62;44,10;45,21
48200;Bilbo Handia / Gran Bilbao;55,99;55,27;54,08;54,90;54,78;54,03;53,34;52,49;51,28;50,54;51,62;54,41;55,47;56,13
20100;Deba Beherea / Bajo Deba;48,74;48,86;48,61;50,27;49,97;49,55;48,88;48,09;46,70;46,11;46,83;48,76;49,28;50,51
20300;Debagoiena / Alto Deba;71,12;70,47;69,67;72,26;71,36;70,31;68,49;67,75;66,81;68,12;67,78;70,28;69,50;69,69
20400;Donostialdea / Donostia-San Sebastián;63,37;62,56;61,58;62,75;62,77;61,79;60,62;59,58;58,43;57,74;58,40;61,34;63,14;63,32
48300;Durangaldea / Duranguesado;66,92;66,15;65,11;65,46;66,43;65,57;65,59;63,90;61,15;60,41;61,47;63,93;65,00;64,69
48400;Enkartazioak / Encartaciones;29,41;28,83;28,08;28,80;28,20;27,76;26,74;26,14;25,78;26,00;27,20;29,26;32,65;30,81
01400;Errioxa Arabarra / Rioja Alavesa;92,70;89,84;90,16;92,88;95,02;94,12;91,80;89,05;82,97;81,30;83,95;97,73;97,65;106,51
48500;Gernika-Bermeo;33,74;34,32;34,58;35,48;35,95;34,34;34,08;33,40;32,71;31,85;32,58;34,94;36,24;36,18
20500;Goierri;58,98;59,37;59,01;60,23;60,26;58,75;57,64;57,87;56,29;56,35;55,95;57,91;58,39;59,56
