Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de trabajo: Mujeres (% mujeres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
Araba/Álava;;52,40;51,99;50,51;52,15;51,41;50,65;49,59;48,65;47,53;46,64;47,04;47,33;46,58;46,19
Bizkaia;;48,00;47,51;46,19;46,96;45,99;45,12;44,30;43,67;42,53;41,43;41,74;41,27;40,20;39,82
CAE;;49,43;49,07;47,80;48,66;47,71;46,85;45,95;45,20;44,11;42,95;43,32;43,21;42,15;41,84
Gipuzkoa;;50,39;50,28;49,22;49,89;48,86;47,98;47,03;46,18;45,20;43,84;44,29;44,63;43,46;43,31
"";;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
01100;Arabako Ibarrak / Valles Alaveses;40,30;38,64;39,96;42,39;44,17;42,62;42,53;42,05;40,24;41,28;38,91;35,52;36,48;35,23
01200;Arabako Lautada / Llanada Alavesa;56,10;55,87;54,12;55,78;54,96;54,19;52,95;51,98;50,82;49,51;49,91;49,94;49,35;48,94
01300;Arabako Mendialdea / Montaña Alavesa;33,31;32,57;33,20;34,40;34,45;32,64;34,79;34,51;33,96;32,88;31,96;33,10;32,97;34,84
48100;Arratia Nerbioi / Arratia-Nervión;24,53;24,86;24,80;25,65;26,04;26,22;25,03;24,39;24,15;23,73;24,58;24,96;23,86;24,92
20200;Bidasoa Beherea / Bajo Bidasoa;34,34;34,48;32,77;33,67;32,42;31,90;31,12;29,94;29,78;28,72;29,62;30,16;29,61;31,09
48200;Bilbo Handia / Gran Bilbao;51,52;50,92;49,20;49,87;48,68;47,56;46,63;45,89;44,74;43,30;43,71;42,96;41,80;41,62
20100;Deba Beherea / Bajo Deba;37,26;37,94;37,46;39,04;39,90;39,40;37,73;36,62;35,77;34,78;35,12;35,21;33,76;34,14
20300;Debagoiena / Alto Deba;56,54;56,41;55,64;56,44;56,03;55,57;54,74;54,83;55,24;55,45;55,20;55,77;54,70;53,89
20400;Donostialdea / Donostia-San Sebastián;63,60;63,14;61,86;62,37;61,21;59,91;58,82;57,66;56,20;54,15;54,56;54,15;53,18;52,67
48300;Durangaldea / Duranguesado;56,59;56,71;56,61;57,12;58,23;57,70;57,12;55,44;53,31;55,03;54,06;54,81;54,04;53,59
48400;Enkartazioak / Encartaciones;21,84;21,63;21,09;21,45;20,39;20,82;20,57;20,19;19,97;19,44;20,00;21,52;20,88;18,18
01400;Errioxa Arabarra / Rioja Alavesa;50,71;48,91;47,23;48,91;49,04;48,83;48,03;44,96;42,46;44,08;43,43;48,35;46,62;45,70
48500;Gernika-Bermeo;24,69;24,12;25,90;26,75;26,16;26,66;26,45;26,02;25,12;24,14;24,66;25,66;25,67;25,59
20500;Goierri;36,29;36,88;36,43;36,75;35,07;34,46;33,43;32,82;31,23;30,00;30,20;31,05;29,17;28,61
01500;Gorbeia Inguruak / Estribaciones del Gorbea;43,71;41,38;42,80;45,70;45,16;42,79;42,84;43,12;44,37;45,20;48,44;47,96;48,15;50,03
01600;Kantauri Arabarra / Cantábrica Alavesa;29,55;29,33;28,73;29,80;29,09;29,08;28,71;28,28;27,56;28,15;29,22;30,62;28,64;27,93
48600;Markina-Ondarroa;29,66;30,56;29,70;30,17;30,13;30,30;29,60;29,91;29,45;28,04;27,69;28,58;27,21;27,29
48700;Plentzia-Mungia;29,70;28,65;27,54;29,52;27,29;26,82;26,58;29,04;28,40;27,68;28,00;26,53;25,13;21,34
20600;Tolosaldea / Tolosa;35,34;35,17;34,34;35,09;33,40;32,63;32,39;32,71;31,93;31,35;32,49;36,54;36,04;35,58
20700;Urola-Kostaldea / Urola Costa;33,08;33,03;32,54;33,07;31,93;31,60;31,16;30,43;29,85;28,96;29,55;30,18;27,70;28,18
"";;;;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48001;Abadiño;38,25;38,56;39,39;42,30;43,58;41,67;42,68;40,82;39,02;37,38;38,22;39,30;37,60;37,56
20001;Abaltzisketa;111,76;111,97;109,92;115,52;110,34;100,85;79,66;72,17;90,18;65,04;73,91;81,74;76,52;70,69
48002;Abanto y Ciérvana-Abanto Zierbena;22,57;21,71;21,48;21,27;19,89;19,82;21,26;22,07;21,26;21,75;21,68;22,76;23,12;22,41
20002;Aduna;174,73;100,56;108,57;107,56;100,00;102,98;116,07;133,13;130,67;147,83;131,06;134,38;123,81;131,21
20016;Aia;15,33;16,67;17,23;17,20;18,16;19,37;19,97;20,83;21,02;20,34;21,38;24,41;14,82;15,73
20003;Aizarnazabal;38,54;36,21;35,02;36,68;35,17;42,14;43,01;43,93;34,84;34,13;34,15;40,00;47,45;49,07
48911;Ajangiz;99,48;98,43;120,11;146,81;148,45;157,14;144,56;146,81;127,27;138,83;123,94;130,53;121,16;95,29
20004;Albiztur;57,02;53,78;53,78;51,33;49,11;42,74;43,10;39,50;29,57;44,00;47,01;50,00;55,46;53,85
20005;Alegia;19,44;21,09;20,74;21,51;21,15;18,71;18,60;19,19;18,79;18,05;17,29;16,46;17,08;17,11
01001;Alegría-Dulantzi;17,71;17,64;16,41;15,75;16,79;16,17;18,17;19,50;18,46;19,14;18,52;18,30;17,65;19,79
20006;Alkiza;17,16;15,62;19,08;20,80;18,90;16,67;20,83;17,36;15,13;15,79;16,00;16,13;17,09;16,24
48912;Alonsotegi;20,89;21,06;19,92;19,91;17,54;17,20;17,27;16,18;16,28;16,79;16,82;15,66;15,02;16,24
20906;Altzaga;22,06;18,31;21,43;22,22;22,54;24,64;23,53;24,62;23,81;29,31;25,86;23,21;14,29;23,08
20007;Altzo;34,44;36,00;37,09;35,53;38,03;34,25;33,80;36,09;39,68;34,01;40,48;43,90;38,02;39,52
20008;Amezketa;23,88;23,80;27,30;27,20;25,71;27,58;27,04;25,21;22,44;23,61;24,68;22,83;18,04;17,85
48003;Amorebieta-Etxano;59,24;62,89;60,97;63,68;60,30;58,82;58,01;54,20;49,99;58,48;58,79;60,11;58,74;56,87
48004;Amoroto;47,77;45,40;45,24;45,56;46,24;40,68;42,86;43,37;46,88;44,24;47,80;50,96;51,27;47,83
01002;Amurrio;30,16;29,74;29,50;30,66;30,34;31,29;29,86;28,97;28,62;29,38;30,02;31,52;29,59;29,13
20009;Andoain;27,91;27,74;26,96;27,64;26,94;27,21;27,49;27,24;26,53;26,76;26,48;28,83;28,04;28,95
20010;Anoeta;31,50;31,29;30,27;29,43;28,86;29,11;27,37;25,66;25,57;25,55;26,57;27,61;28,40;26,69
20011;Antzuola;31,66;30,03;29,91;30,48;29,07;27,56;27,34;26,88;26,08;26,73;24,47;24,06;21,93;21,06
48005;Arakaldo;18,57;20,29;19,70;21,31;22,95;25,00;29,51;28,33;40,68;53,06;64,44;87,80;90,91;104,88
20012;Arama;53,66;51,14;53,33;54,44;48,28;41,57;38,82;32,56;34,88;40,24;33,72;35,06;32,91;32,10
