"Indicadores municipales de sostenibilidad: Tasa de afiliación a la seguridad social por municipio de residencia: población 16-24 años (%habitantes) ";;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
Araba/Álava;;31,05;26,91;21,97;27,62;26,68;25,32;23,47;22,18;19,96;19,13;19,52;22,96
Bizkaia;;24,23;20,56;17,28;20,84;20,00;19,00;17,50;16,54;14,96;13,96;15,01;18,73
CAE;;26,99;23,42;19,67;23,64;22,80;21,49;19,77;18,65;16,63;15,57;16,29;20,01
Gipuzkoa;;29,28;26,11;22,19;26,06;25,24;23,49;21,52;20,24;17,69;16,46;16,82;20,69
"";;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;
Código comarca;Comarca;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
01100;Arabako Ibarrak / Valles Alaveses;18,62;15,90;17,95;18,26;15,38;17,17;15,28;14,81;10,33;11,27;13,51;12,60
01200;Arabako Lautada / Llanada Alavesa;32,31;28,12;22,74;28,87;27,72;26,07;24,20;23,11;21,01;20,16;20,10;22,43
01300;Arabako Mendialdea / Montaña Alavesa;21,49;20,87;15,23;26,90;27,27;26,58;25,79;21,76;22,49;21,88;19,19;22,29
48100;Arratia Nerbioi / Arratia-Nervión;25,35;20,94;16,88;20,52;21,00;19,11;16,62;16,15;14,76;13,91;16,18;20,31
20200;Bidasoa Beherea / Bajo Bidasoa;29,30;25,29;20,66;25,13;24,19;22,66;20,50;18,93;16,40;15,43;16,18;19,82
48200;Bilbo Handia / Gran Bilbao;24,51;20,62;17,27;20,93;19,74;18,68;17,24;16,35;14,94;14,04;15,21;18,91
20100;Deba Beherea / Bajo Deba;25,88;24,20;20,67;25,00;24,60;23,06;21,45;21,01;17,94;16,35;16,47;19,40
20300;Debagoiena / Alto Deba;28,38;26,71;24,12;27,66;26,83;25,85;23,67;22,05;17,79;17,40;15,23;20,43
20400;Donostialdea / Donostia-San Sebastián;29,42;25,69;21,45;25,70;24,37;22,55;20,55;19,39;17,10;15,80;16,23;19,89
48300;Durangaldea / Duranguesado;25,86;22,84;19,55;22,47;23,48;23,35;22,25;20,53;17,05;15,39;14,97;19,76
48400;Enkartazioak / Encartaciones;23,14;19,89;18,04;21,75;22,13;21,46;18,14;16,18;15,36;14,19;17,00;20,54
01400;Errioxa Arabarra / Rioja Alavesa;25,77;14,46;14,36;15,72;17,05;15,87;16,09;14,25;12,30;12,11;17,28;46,26
48500;Gernika-Bermeo;20,28;18,05;15,77;18,99;18,01;17,53;15,37;14,99;13,50;12,12;12,94;16,67
20500;Goierri;29,77;27,01;23,35;26,38;26,39;24,84;21,87;20,12;18,80;16,92;16,98;22,61
01500;Gorbeia Inguruak / Estribaciones del Gorbea;29,65;29,47;22,56;27,84;28,15;29,50;24,79;21,28;18,72;15,41;16,77;19,94
01600;Kantauri Arabarra / Cantábrica Alavesa;26,14;23,09;19,46;23,17;22,87;22,72;20,97;19,01;16,10;15,39;17,32;21,42
48600;Markina-Ondarroa;20,81;18,55;15,40;18,58;19,37;17,73;16,32;16,45;15,72;13,30;12,74;17,06
48700;Plentzia-Mungia;22,17;18,87;15,48;18,88;18,16;16,80;15,43;14,18;12,34;11,88;13,23;14,79
20600;Tolosaldea / Tolosa;32,52;29,07;24,84;28,02;28,78;26,90;26,00;24,76;22,00;19,71;20,48;25,70
20700;Urola-Kostaldea / Urola Costa;28,93;26,68;23,48;26,36;25,73;23,30;21,76;20,38;17,39;17,02;18,73;21,00
"";;;;;;;;;;;;;
Detalle por municipios;;;;;;;;;;;;;
Código municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48001;Abadiño;21,59;22,87;20,18;23,81;24,12;25,30;23,11;25,16;20,82;16,47;15,46;19,60
20001;Abaltzisketa;50,00;54,76;55,00;57,89;38,24;45,95;37,14;30,30;25,00;20,69;29,17;26,09
48002;Abanto y Ciérvana-Abanto Zierbena;26,81;21,95;18,16;20,47;21,95;19,07;18,93;16,20;15,59;17,70;15,73;20,91
20002;Aduna;43,40;28,26;28,89;37,78;29,55;24,32;23,68;14,71;16,00;18,18;20,83;35,00
20016;Aia;16,06;18,97;14,77;15,12;14,75;12,11;10,61;9,78;6,71;9,04;11,11;9,26
20003;Aizarnazabal;28,07;18,33;19,05;28,57;36,17;26,19;26,32;37,50;30,23;45,10;47,83;47,06
48911;Ajangiz;22,73;17,39;17,07;26,32;23,26;8,57;12,90;12,50;20,00;25,81;25,81;24,14
20004;Albiztur;25,00;23,08;18,18;26,32;40,91;31,82;38,89;34,78;33,33;35,00;20,00;36,00
20005;Alegia;33,84;33,33;27,91;25,15;27,74;27,52;28,46;25,95;22,14;21,17;24,66;24,11
01001;Alegría-Dulantzi;27,00;26,86;18,69;26,51;24,11;26,51;24,11;28,29;23,20;22,55;21,00;24,12
20006;Alkiza;26,32;21,05;14,29;24,00;25,00;18,75;35,71;37,50;29,41;30,77;30,77;37,04
48912;Alonsotegi;24,55;17,22;12,38;14,53;17,84;15,93;20,11;19,13;18,72;12,99;14,05;15,05
20906;Altzaga;25,93;45,00;14,29;5,26;17,65;0,00;30,77;27,27;57,14;33,33;28,57;14,29
20007;Altzo;47,27;42,00;21,57;35,56;34,15;23,08;13,16;21,21;16,67;20,00;26,47;25,81
20008;Amezketa;38,10;44,71;36,59;39,74;40,28;42,67;33,33;40,00;34,33;30,00;24,59;43,10
48003;Amorebieta-Etxano;28,08;25,10;21,38;24,32;25,45;26,31;22,62;20,86;19,94;18,61;16,58;22,67
48004;Amoroto;23,26;13,04;8,16;16,28;7,69;11,11;11,76;15,62;19,35;13,79;3,70;16,67
01002;Amurrio;27,76;25,71;22,25;26,50;25,54;25,62;22,68;18,22;14,78;15,99;15,63;19,38
20009;Andoain;28,14;27,01;23,23;28,41;25,34;25,77;22,47;21,38;21,09;18,78;19,50;25,10
20010;Anoeta;35,56;25,56;29,44;33,33;31,67;30,95;32,73;29,51;26,26;14,72;22,36;30,14
20011;Antzuola;26,63;25,84;18,29;24,86;27,98;28,77;26,24;28,89;27,74;17,65;16,42;24,83
48005;Arakaldo;15,79;18,75;21,43;0,00;14,29;8,33;22,22;37,50;16,67;16,67;0,00;0,00
20012;Arama;24,00;28,00;20,00;31,82;25,00;25,00;25,00;28,57;22,22;25,00;28,57;37,50
01003;Aramaio;23,90;29,87;20,00;24,31;25,56;29,63;25,20;21,43;14,04;13,16;15,38;18,42
48006;Arantzazu;14,63;16,67;5,88;8,00;5,00;5,00;0,00;11,76;15,38;16,67;23,81;23,81
48093;Areatza;26,19;17,50;19,17;15,04;21,37;20,18;18,00;19,39;14,29;4,94;6,90;19,10
20013;Aretxabaleta;27,86;24,69;25,37;24,91;24,54;23,11;24,34;24,39;18,48;16,30;16,39;21,41
01006;Armiñón;26,09;16,67;7,14;30,00;9,09;18,18;9,09;9,09;13,33;27,27;42,86;20,00
01037;Arraia-Maeztu;18,00;13,33;15,79;36,67;21,88;26,92;25,93;28,12;40,00;17,86;35,71;27,27
48009;Arrankudiaga;26,04;21,59;19,28;23,33;23,08;19,51;11,63;13,70;9,09;8,45;5,97;17,39
20055;Arrasate/Mondragón;27,63;26,32;25,44;28,92;26,80;27,08;24,16;23,15;18,40;20,11;16,79;22,34
48914;Arratzu;28,00;18,52;0,00;0,00;0,00;0,00;0,00;5,88;19,05;18,75;16,67;10,00
01008;Arratzua-Ubarrundia;36,73;32,08;26,36;34,48;23,14;20,54;17,35;16,28;10,31;11,11;16,47;25,68
48010;Arrieta;33,33;30,77;22,22;20,00;19,64;17,54;11,36;17,78;11,36;17,50;17,14;17,24
48011;Arrigorriaga;25,04;21,21;18,32;21,86;19,23;17,49;16,78;14,81;12,81;12,62;13,06;14,00
48023;Artea;30,67;19,70;9,52;28,30;35,85;26,00;16,67;12,00;3,77;6,25;8,89;3,85
48008;Artzentales;29,03;27,03;21,62;37,14;37,14;27,91;20,51;20,45;15,91;19,15;20,93;17,11
01004;Artziniega;25,42;17,28;14,19;15,75;14,57;19,53;15,52;14,52;14,88;15,93;23,58;22,31
01009;Asparrena;36,18;29,45;23,23;28,37;24,22;19,55;24,22;19,84;16,00;17,80;18,90;16,53
20014;Asteasu;41,27;31,18;21,26;26,32;25,93;28,10;26,62;35,25;34,17;35,96;32,65;31,96
20903;Astigarraga;31,97;27,72;28,37;29,73;28,40;32,79;33,24;28,49;26,21;21,17;18,42;20,50
20015;Ataun;47,50;46,36;44,62;48,76;52,00;56,64;44,34;45,92;43,53;35,00;48,68;55,70
48091;Atxondo;36,08;32,65;35,71;31,73;28,16;35,78;32,65;33,33;20,72;21,62;20,00;34,31
48070;Aulesti;7,81;8,93;7,27;12,50;13,79;12,00;16,67;9,76;2,63;5,56;2,86;6,67
01010;Ayala/Aiara;26,15;23,64;21,49;18,10;23,47;23,08;18,68;21,43;21,55;17,88;24,06;33,92
20017;Azkoitia;30,52;27,31;26,22;27,97;28,00;26,37;24,10;21,69;18,59;17,75;18,73;21,05
20018;Azpeitia;30,44;28,36;26,69;29,42;28,85;28,23;25,55;27,00;19,59;19,48;22,01;27,80
01049;Añana;0,00;25,00;14,29;25,00;25,00;33,33;33,33;13,33;0,00;11,76;16,67;25,00
48012;Bakio;15,86;14,42;8,59;13,61;17,44;9,88;8,00;5,59;8,70;15,94;12,41;13,64
20904;Baliarrain;25,00;7,14;23,08;18,18;14,29;40,00;25,00;44,44;22,22;25,00;14,29;33,33
48090;Balmaseda;24,09;21,61;16,19;21,21;20,57;19,38;17,95;16,07;15,90;12,77;15,67;18,75
48013;Barakaldo;24,51;21,98;18,51;22,72;22,32;21,63;20,47;19,18;17,43;17,03;17,70;22,53
48014;Barrika;22,97;20,98;15,94;11,81;12,06;10,61;13,85;9,84;11,71;8,33;7,29;6,45
01013;Barrundia;28,00;26,53;11,24;10,71;12,35;14,10;21,43;15,79;19,64;14,58;16,00;21,74
48015;Basauri;25,42;21,70;18,12;21,92;21,41;19,59;18,58;17,17;15,14;14,60;17,90;21,74
01011;Baños de Ebro/Mañueta;24,14;17,65;13,89;8,82;11,11;21,21;13,33;10,34;10,34;10,34;37,50;366,67
20019;Beasain;27,68;27,65;22,88;26,98;25,50;25,56;22,88;22,03;20,78;20,60;19,12;23,79
48092;Bedia;33,33;22,47;14,46;13,04;25,86;20,31;32,31;26,47;27,54;13,89;17,91;21,21
20020;Beizama;50,00;112,50;66,67;70,00;45,45;33,33;25,00;40,00;54,55;33,33;37,50;40,00
20021;Belauntza;29,63;30,77;18,52;20,00;26,32;27,78;28,57;14,29;6,25;20,00;28,57;46,15
48016;Berango;21,38;16,13;13,96;15,95;15,77;15,26;16,14;15,73;15,43;14,77;15,07;20,80
01014;Berantevilla;19,15;26,83;22,50;26,47;24,14;16,67;16,67;12,12;7,41;8,00;9,09;16,00
20022;Berastegi;44,64;34,82;38,53;38,61;38,00;35,05;35,48;28,72;27,84;24,73;28,09;34,57
20074;Bergara;26,47;26,40;23,14;24,82;26,31;22,28;21,90;18,90;16,14;15,33;13,83;17,83
48017;Bermeo;19,20;17,55;13,77;16,36;16,80;16,91;14,02;14,17;14,69;13,59;13,26;18,08
01016;Bernedo;15,15;14,29;13,51;24,14;22,58;15,15;13,79;10,00;9,68;12,50;14,63;22,86
48018;Berriatua;19,66;17,71;16,47;19,23;27,94;16,18;18,06;17,91;27,14;18,31;17,95;22,09
48019;Berriz;21,46;19,76;20,43;22,80;27,51;24,84;24,92;24,67;20,62;15,91;16,72;25,14
20023;Berrobi;26,42;15,09;24,49;32,00;21,74;28,57;27,08;30,43;14,89;24,53;31,03;39,06
20024;Bidania-Goiatz;49,09;44,64;37,50;31,03;34,62;25,00;43,75;38,46;32,56;20,45;27,27;34,04
